Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,2030,2130,2167,2134,2138,2152,2072,2069,1950,2035,2078,2051
2013,2280,2298,2124,2296,2234,2203,2363,2316,2302,2372,2391,2287
2014,2311,2411,2449,2474,2483,2507,2633,2549,2732,2718,2600,2552
2015,2764,2741,2754,2705,2743,2756,2764,2879,2778,2810,2897,3056
2016,2875,2994,2917,2955,3009,3018,2967,2998,3047,3074,3026,2989
2017,3188,3089,3150,3028,3111,3154,3097,3103,3190,3219,3186,3222
2018,3060,3195,3309,3364,3384,3381,3437,3431,3414,3487,3502,3407
2019,3545,3558,3527,3491,3468,3486,3624,3557,3452,3453,3530,3516
2020,3578,3445,2951,2038,2244,2580,2973,2901,3158,3297,3258,3368
2021,3311,3439,3695,4015,3838,4035,4088,4126,4253,4132,4510,4403
2022,4258,4384,4449,4424,,,,,,,,
,,,,,,,,,,,,
