,company,headline,date,overall_rating,author_position,pros,cons
0,,work experience,2022-03-13,3.0,Trading Developer,good small team management and agile environment,Excessive team fragmentation recently caused employees shuffling and distracted
1,,A Case Study in Poor Leadership,2022-03-10,1.0,Anonymous Employee,"There is no shortage of work at Acadian, you will gain experience quickly in whichever role you take. This should be seen as a positive. Separately, the benefits are generous.","Acadian’s culture was very disappointing. For a world class asset manager, I would expect the culture to be inclusive, supportive, and respectful. Unfortunately, the environment was toxic, which stemmed from the top. I saw countless examples where management allowed poor behavior of their subordinates to continue. This was unfortunate, as it fostered a toxic environment for many employees. It was one thing to demand excellence, it is another to berate your employees. 

Additionally, as a company who prides itself on being diverse, inclusive leadership is nonexistent. There is no healthy debate of opinions – in fact, if you do not share the same sentiment as leadership, you are essentially blacklisted in your career. This is not the type of environment that will retain employees."
2,,Overall very good,2022-03-10,4.0,Anonymous Employee,Great benefits and a lot of good people,Nothing much to speak of
3,,"Great firm,  nice to be back in the office",2022-03-02,5.0,Anonymous Employee,"Great firm, nice comp package (health and education benefits). Collegic vibe suits me and my work style.",Took a while to get back to the office after COVID but we are back and great to see colleagues again.
4,,Good work life balance. Opportunities to contribute to tech stack and learn about factor investing.,2022-02-17,5.0,Investment Data Analyst,Environment is relaxed. Will have time to complete extra side projects and develop skills beyond BAU,Satellite office so coordination with HQ in Boston will be somewhat of a challenge.
5,,good place to work,2021-12-22,5.0,Engineering Manager,a nice place to work together,some good friends are still working there
6,,Good stepping stone,2021-12-09,3.0,Anonymous Employee,Acadian offers a good training ground.,There has been a lot of turnover.
7,,Chill Quant Shop,2021-08-08,5.0,Analyst,"Good pay
Good people
Good work life balance",A small firm very focused business. If you seek for a more diverse workplace. This is not a very good place.
8,,"Nice culture, collegiate environment",2021-05-31,4.0,Anonymous Employee,Nice culture and collegiate environment; structure is pretty flat.,This is a very competitive industry.
9,,Company Review,2021-05-20,3.0,Support Staff,"Flexible schedule, good medical/dental benefits","Employees are undervalued and overworked, Executive Management needs to step up"
10,,Took A Downward Turn,2021-04-08,3.0,Anonymous Employee,"Benefits are amazing here
Pay is competitive with a bonus each year
Transparency for the most part","No opportunity for growth of your career or opportunities to climb the corporate ladder unless you have an in.
Before I left it was easy to see the transition of power was resulting in loss of employee moral and how leadership cared about their employees"
11,,Good company,2021-03-18,5.0,Performance Analyst,"Great culture, friendly people, good products","Like most asset management companies, revenue is correlated to market performance"
12,,Acadian is performative.,2021-03-08,2.0,Anonymous Employee,Hard to find any pros.,"Acadian has an EVP who now writes columns on their website about how she champions women and supports women in the workplace, however she was responsible for a re-org at the firm that laid off 5 senior women, and several other junior women at the end of 2019. 

Her recent post states: ""In last year’s post, I noted the importance of building the pipeline to lay the groundwork for greater female representation at the senior levels, by supporting women at a much earlier stage in their careers than the industry historically has.""

At the layoff, Acadian had less than 20 senior women. The EVP does not care about women empowerment and neither does the company."
13,,Great company and culture,2021-02-12,5.0,Anonymous Employee,"Great company. Offers flexibility, good comp and genuinely cares about employees.",I like my job and don’t see any major negatives with the company
14,,tough times means finding ways to lead and making the most of opportunity,2021-01-18,4.0,Principal Software Engineer,Working from home has made working at Acadian far more enjoyable - please keep this in your back pocket.,Not looking forward to going in to office - dealing with the commute and the rush when there
