,company,headline,date,overall_rating,author_position,pros,cons
0,Balyasny Asset Management,Working at Balyasny Asset Management,2022-04-16,5.0,Software Engineer,Balyasny Asset Management is one of top hedge funds in the world. You will be tasked with interesting problems to solve.,"None really, work is demanding but that is expected."
1,Balyasny Asset Management,Great Company,2022-04-13,5.0,Quantitative Analyst,Your efforts are well rewarded,Difficult to get to the next level
2,Balyasny Asset Management,Good,2022-04-07,4.0,Intern,Reputable firm with good experience,Not too many opportunities to get hired unless already have experience or in tech
3,Balyasny Asset Management,Quabt,2022-03-13,5.0,Quantitative Researcher,"Pay very well
Benefits 
Great future","Way too political
Junior pay low"
4,Balyasny Asset Management,Competitive but fufilling,2022-02-21,4.0,Equity Analyst,"Equip analysts well to do their job
Industry recognition
Generous benefits, the only thing you have to concentrate on is generating alpha","Competitive, stressful
Strict restrictions on the amount of risk you can take
Low tolerance to volatility"
5,Balyasny Asset Management,BAM is great,2022-02-18,5.0,Data Engineer,Good place to work and tough projects,Always a ton of work in the pipeline
6,Balyasny Asset Management,Great place to work if you are in a right team,2022-02-09,4.0,Director,"- Great benefit 
- People are generally very nice 
- Co-founders are even nicer, they always try their best for employees","- They sometimes hire wrong people for wrong roles 
- Employees tend to focus on their own jobs and forget to look at a big picture"
7,Balyasny Asset Management,Excellent Workplace,2022-02-06,5.0,Engineer,"Exciting place to work with intelligent, nice people. Amazing benefits and compensation.",No particular cons right now
8,Balyasny Asset Management,Good culture,2022-01-24,5.0,Analyst,"- Good culture
- Really growing the infrastructure
- Quickly get a lot of responsibilities",Many people are still working remotely so on certain days it can be a bit quiet but that will soon change.
9,Balyasny Asset Management,Exciting place to work,2022-01-10,4.0,Anonymous Employee,"Good compensation, lean teams, flat structure.","Long working hours, work/life balance hard to achieve for a tech person."
10,Balyasny Asset Management,Senior Manager,2022-01-04,5.0,Senior Manager,"Work life balance 
Meaningful work 
Common Goal",People should come into the office
11,Balyasny Asset Management,Good culture,2021-12-21,5.0,Senior Strategist,Good culture there. Feel quite involved (not every hedge fund will have that nice culture). Quite organized. Be willing to go back if there is an opportunity.,Firm is struggling sometimes so they may gear toward millennium or citadel style.
12,Balyasny Asset Management,Great company,2021-12-07,5.0,Data Scientist,"Very great company. Nice culture, great people.","Compared to other hedge funds, I cannot think of any."
13,Balyasny Asset Management,Ok,2021-11-23,2.0,Software Engineer,Office views and breakfast in office,The company is flat and not much progression
14,Balyasny Asset Management,Good benefits,2021-10-05,5.0,Personal Assistant,decent health insurance and 401k,they used to match 401k and no longer do
15,Balyasny Asset Management,Love the work and people,2021-09-29,5.0,Macro Analyst,Very stimulating work with bright minds,Slightly hard working remotely during covid
