,company,headline,date,overall_rating,author_position,pros,cons
0,Brookfield Asset Management,Great place to work,2022-04-20,5.0,Anonymous Employee,"Good Growth opportunities, diverse roles and experiences",Long hours and sometimes turnover/lack of continuity
1,Brookfield Asset Management,Nice place to work,2022-04-09,4.0,Vice President,Very strong in real assets management,Not as much diverse leadership
2,Brookfield Asset Management,"Good pay, growth opportunities",2022-04-02,4.0,Business Analyst,"- good base pay, rrsp contribution, and bonus structure
- no micro management but dependent on team 
- lots of autonomy and opportunities to work with senior leaders","- office politics
- cannot work remotely"
3,Brookfield Asset Management,"Intelligent colleagues, interesting work, low sharp elbows",2022-04-01,4.0,Managing Director,"C-suite, challenging work, diversity of Board","No summer hours, lower cash comp."
4,Brookfield Asset Management,Flat structures,2022-03-31,5.0,Anonymous Employee,Good people to work with,Low pay and high stress
5,Brookfield Asset Management,underpaid,2022-03-29,3.0,Private Wealth Management Summer Analyst,Great on the institutional side. Great history and track record,Still a baby in wealth management. Underpaying sales people
6,Brookfield Asset Management,meh,2022-03-24,3.0,Senior Analyst,pay and benefits were good,culture could use some work
7,Brookfield Asset Management,"Low pay, passive aggressive",2022-03-20,1.0,Senior Vice President Finance,They used to be a big player but Blackstone has doubled in AUM over covid and trounced them.,Will have you move countries just to keep you from getting too powerful in your role. Constantly harassing and firing senior people so no one can compete with Bruce. Very low pay with incredibly long equity vesting schedule (9.5 years). Boring culture with passive aggressive communication styles. Based in the most boring part of Manhattan downtown. Open layout and 5 days in the office - so out of touch with what employees want. No diversity especially none on the investments teams.
8,Brookfield Asset Management,Beware of Brookfield,2022-03-16,1.0,Planner,They pay their employees on time.,Long hours. Unrealistic expectations. Poor communication / borderline harassment from superiors.
9,Brookfield Asset Management,good company,2022-03-13,3.0,AVP-IT,"nice people, environment overall not hectic",average to slow career growth
10,Brookfield Asset Management,Professional Company,2022-02-28,4.0,Anonymous Employee,"Extremely professional, long hours, lots expected of you, learn a lot, will give you opportunity to grow.","Very old school, need to evolve with the times. People want work life balance and flexibility."
11,Brookfield Asset Management,Rigid Return to Office Policy,2022-02-22,3.0,Associate,"A lot of smart individuals at the firm. Depending on the team, you can have a lot of autonomy over your work. Benefits are generally very good.","Brookfield shows little to no empathy for its workforce. One of the first firms back to office full time, and they see each individual as replaceable. Pay is below average. Company is turning into a toxic environment. Losing talent fast to other firms."
12,Brookfield Asset Management,Great company overall with strong progression opportunities,2022-02-03,5.0,Accountant/Financial Analyst,"Progression opportunities, global impact, good salary, bonus scheme",Strict working from office requirement
13,Brookfield Asset Management,Great place to work,2022-02-01,5.0,Director,"I loved working there. Great place, great people",growing at a rapid pace can create challenges
14,Brookfield Asset Management,BAM,2022-01-18,5.0,SVP- Investment Banking,Great leadership with analytical focus,"Large organization, not always easy to navigate"
15,Brookfield Asset Management,"Terrible culture, toxic management",2022-01-14,1.0,Anonymous Employee,Free lunches. That’s about it.,"No culture. Toxic management that will micromanage you to a point where it will destroy your mental health. You will be lucky, and of select view, if you end up reporting to someone who isn’t a bully."
16,Brookfield Asset Management,Great place to develop if you are motivated.,2022-01-13,5.0,Anonymous Employee,Great place to develop if you are motivated.,sometimes working hours can be long
17,Brookfield Asset Management,A nightmare.,2022-01-11,1.0,Executive Assistant,The view is pretty. Theres a food court downstairs.,"Brookfield uses an ARCHAIC hierarchy system when it comes to their employees. Those in administration and office team receive the worst treatment - being forced to come to office during rampant numbers and offered WAY below market compensation. After losing family to covid I received zero compassion, being forced in office 5x a week, received no time off, no mental health check ups or anything of the sort. The management for administration is authoritative and keeps people stuck there with no room for growth until 3 years after initially hired. An absolute nightmare to work there. Anyone interested in administration: do NOT work there. Brookfield is a capitalist machine that does nothing for their employees, has zero diversity, and everyone is a worker robot."
18,Brookfield Asset Management,Good exposure but unnecessarily long hours,2022-01-10,3.0,Analyst,Opportunity to work on unique opportunities and learn from some of the best minds in this industry,"You have to be proactive in developing yourself, lack of formal training or education.
Culture of long hours, leaving on time with work complete does affect bonus."
19,Brookfield Asset Management,Good people,2022-01-01,5.0,Analyst,"Good working environment, good team atmosphere",No bonues for entry-level analyst
