,company,headline,date,overall_rating,author_position,pros,cons
0,CPP Investments,Very Stressful,2022-04-22,1.0,Senior Software Engineer,Rich Company with all latest Tools and Resources,"The Compliance part sucks. Too many rules, regulations and compliance. Wonder you work for developing software or working as a clerk in the law office. Please stay away from CPPIB if possible. This is for slow moving people who just want to stay forever or do politics & get promotions."
1,CPP Investments,Good company,2022-04-20,5.0,Senior Analyst,"good working culture, smart people",salary increase is slow for tech people
2,CPP Investments,Technology and Data department is a mess,2022-04-17,1.0,Director,kind of chill if you know how to navigate,"low pay, senior management are incompetent, turnover is ridiculous"
3,CPP Investments,CPP,2022-04-12,3.0,Anonymous Employee,Great place to fit in,not so great place to stand out
4,CPP Investments,Good place to work but thinigs could be better,2022-04-12,3.0,Senior Software Engineer,"Good Colleagues
Good work life balance","Old tech stack
No net new things to learn
Bureaucratic and hirarchial."
5,CPP Investments,Great Place to Work,2022-04-07,4.0,Senior Developer,Good work life Balance and opportunity to learn,Reorganization and replacement at senior management level impact work and moral
6,CPP Investments,IT,2022-04-07,4.0,IT Analyst,good culture good equipment good interview,"old system
traditional 
too many dependency"
7,CPP Investments,Great place to work,2022-04-05,5.0,Financial Analyst,Good people and competitive pay,Long hours and no expectation of weekends
8,CPP Investments,"Good benefits & salary, terrible work environment",2022-04-04,2.0,Associate,Your salary and overall compensation is quite good with a yearly performance bonus. There are genuinely good people there as well.,"Management is driven by personality and is overly involved in their teams day to day work. Micromanaging is the norm. No work-life balance as teams are under resourced leading to everyone working long hours, 8am-12am is very common. Managers also prevent you from taken on new opportunities within the organization and block your career growth. There is very low diversity in the organization. It is not psychologically safe for black people."
9,CPP Investments,Great company,2022-04-03,5.0,Associate,"very organized, good salary, great benefits","closed minded to anything new, hard to innovate"
10,CPP Investments,Great Opportunity,2022-03-24,5.0,Analyst,Awesome time with awesome people,No bad times with no bad people
11,CPP Investments,Great place to work,2022-03-23,5.0,Recruiter,"Smart nice people who know what they are doing, lots of opportunity for interesting work",Workload sometimes high but no higher than other places
12,CPP Investments,Needs to focus on culture and motivating staff,2022-03-22,3.0,Senior Analyst,"- Great benefits
- Flexible work policies
- Some really great people","- Really favour investment teams as well as new hires in terms of career progression
- Culture of talking the talk, but not actually walking the walk especially when it comes to principles
- Terrible work/life balance on many teams
- Compensation does not keep pace with the industry in many groups"
13,CPP Investments,Not ideal for tech people,2022-03-22,3.0,Associate,"Decent pay before covid-19, good job security, good benefits, almost ideal for people who wants to rest and vest","Little to no growth space for tech people, technically and levelling perspective; arrogant investment counterparties, toxic and casual engineering management, change-driven, highly floating T&D senior management made changes for the purpose of change ending with garbage."
