,company,headline,date,overall_rating,author_position,pros,cons
0,"HarbourVest Partners, LLC",Uneven distribution of work and high turnover,2022-05-20,2.0,Anonymous Employee,The work is interesting and the company's growth has been impressive.,"Departmental leadership is either unequipped to handle the new size of the business, or has no interest in disturbing the status quo. The existing operating model had not been successfully scaled and led to huge amounts of burnout and turnover, neither of which seemed to be a priority to those making decisions."
1,"HarbourVest Partners, LLC","Wonderful firm, great growth opportunity",2022-04-20,5.0,"Assistant Manager, Client Service","Positive culture, collaborative and rewarding",None come to mind now
2,"HarbourVest Partners, LLC",Terrific firm,2022-03-02,5.0,Principal,Great people and lots of opportunity for growth (firm and personal) in an interesting position in the ecosystem.,Still evolving from a boutique to an institutional level
3,"HarbourVest Partners, LLC",Great company.  Very nice people throughout.,2022-02-07,4.0,Tech Lead,Leadership cares very much about the employees' well being. This has been demonstrated throughout the pandemic. Beautiful office space with a great location near South Station. Good benefits and vacation with 401(k) with normal standard holidays,"Company offers 401(k) matching - but it must vest over a five year period. It's not a software company; technical people be aware. Some interesting work in analytics and solid team in infrastructure and devops. If you wish to be highly technical, rather than administrative, it's best to look elsewhere."
4,"HarbourVest Partners, LLC",Great company to get an opportunity at,2021-11-03,5.0,Portfolio Associate,Great expanding company to work at in an ever changing industry with high quality people,"With that being said, not all groups are made equal and its important when joining here to not get stuck in the wrong group"
5,"HarbourVest Partners, LLC",Industry leader but internal progression is slow,2021-09-29,4.0,Anonymous Employee,Industry leader - gaining traction,Internal progression is somewhat slow
6,"HarbourVest Partners, LLC",Great Place to Work,2021-09-18,5.0,Assistant Manager,"Great work/life balance, benefits, people are awesome here",Some technology is outdated. Needs more transparency in career growth opportunities
7,"HarbourVest Partners, LLC",Curricular experience,2021-08-24,5.0,Anonymous Employee,Great experience during Covid times. Learned a lot,Been held back by the fact it was all remote.
8,"HarbourVest Partners, LLC",Great Company,2021-06-23,5.0,Anonymous Employee,"- great people
- opportunity to advance",Company is growing quickly so a lot of time spent onboarding
9,"HarbourVest Partners, LLC","High caliber people, low caliber work",2021-06-16,4.0,Portfolio Data Analyst,"The culture, the people, the work life balance, no one breathing down your neck to get your work done","Repetitiveness of the work, little room to grow within the team, turnover of people in the lower level positions, sometimes you feel overqualified for the work they ask you to do"
10,"HarbourVest Partners, LLC",Great Firm,2021-04-28,5.0,Anonymous Employee,Great management & relaxed culture,There are no cons to be reported
11,"HarbourVest Partners, LLC",overworked employees,2021-04-25,2.0,Accountant,Good health benefits and salary compared to competitors,Very understaffed with a lot of employees overworked/burnt out
12,"HarbourVest Partners, LLC",Wonderful firm with excellent culture and benefits,2021-03-30,5.0,Associate,"Great benefits, strong culture, respectful work environment and exceptional handling of COVID planning",No cons come to mind
13,"HarbourVest Partners, LLC",Best leadership,2021-03-18,5.0,Anonymous Employee,Great leadership who cares about us,Very busy and sometimes overwhelming
