,company,headline,date,overall_rating,author_position,pros,cons
0,Jane Street,A great place to work,2022-04-22,5.0,Junior Trader,"Good hours for finance, ~50 hours is standard but some people work 60 (but typically aren’t pressured to, people just enjoy the job)

The coworkers are great. Brilliant people that are hardworking, nice people that are great to work with. 

The environment is a lot more collaborative and less in-comp-with-coworkers than other shops. 

The work is very interesting and we have fun (albeit tough) problems to solve

You learn so much and are given a lot of trust/autonomy pretty quickly",The job is very difficult. The learning curve is steep and the job can be tiring.
1,Jane Street,Fine Company,2022-04-18,5.0,Software Engineer,"Great compensation and benefits. The office is wonderful, and the food is amazing!","Not very transparent with upward mobility. Exit opportunities are sub-par due to the nature of the engineering problems solved.

More senior people kind of ignore others. I have had several messages ack'd by senior employees only to ultimately be ignored"
2,Jane Street,Good company with amazing perks,2022-04-14,5.0,Trading Desk Operations,"Highly collaborative people with sheer respect towards each other. Good food, amazing benefits and great work culture. Can go to office with your tracks and t shirt.",Be prepared to work with OCaml.
3,Jane Street,Hello,2022-04-06,5.0,Researcher,GREAT amazing thanks for asking,there were some downsides so
4,Jane Street,Great,2022-03-13,5.0,Anonymous Employee,Amazing great play to be,There are no cons . Love this place
5,Jane Street,Still Great!,2022-03-03,5.0,Trader,Company culture is still strong. People are really competent and you can trust them on tasks you want to do.,Some work days are pretty tough.
6,Jane Street,goods,2022-02-20,4.0,Quantitative Researcher,nothing everything is good and light,challenging problems are given and high prolbmes
7,Jane Street,analyst,2022-02-12,3.0,Business Analyst,loved it as I got to improve quickly,managers were not good leaders
8,Jane Street,Good,2022-02-11,5.0,Anonymous Employee,Very good challenging environment for all,none at the moment for me
9,Jane Street,great place,2022-02-09,5.0,Software Engineer,"great food, great people, great wlb",cant think of any cons
10,Jane Street,Good place,2022-02-08,3.0,Anonymous Employee,Pay and benefits. Patients. Workload,None really. Good environment to me
11,Jane Street,Nice place,2022-02-08,5.0,Junior Trader,"Generous compensation, friendly teammates, a lot deal","not pretty much cons, great place in general"
12,Jane Street,"Great Company, Great Salary",2022-02-02,5.0,Quantitative Trader,"The salary is very good.
The job is much less stressful than in other trading companies of similar salaries.
Once you get in, colleagues are invested in helping you get better, rather than just leaving you to figure it out yourself and firing you if you don't.
The training process is very long and thorough.","The contract of employment says 8-9 hour work days, but realistically it's more like 10-11 hour work days (especially for new traders).
Could be difficult to get employed."
13,Jane Street,Nice people,2022-01-21,5.0,Consultant,Nice People and good pay,Some infrastructure and permission-related technical problems should be solved for new joiners.
14,Jane Street,thanks,2022-01-12,4.0,Project Engineer,great place to start off pe,nothing to add here really
15,Jane Street,Fun,2022-01-03,2.0,Assistant Manager,Productive working space and people too,Not that great at growing skills
16,Jane Street,avoid toxic culture,2021-12-31,1.0,Engineer,"- free lunch
- free health insure
- free gym
- free games like ping pong
- above avg pay
- occasionally free tix to plays and baseball","- this is an extremely weird place with very toxic mgrs and culture, either you fit in or you don't; they literally stand and sneak behind your back from time to time to see what's on your screen; micromanagement to the extremes.
- if they don't like you or think you under perform, they cut you
- very hard to concentrate on work, because trade floor is very noisy with traders constantly screaming behind your back, and automated frequent sound alerts
- O'Caml is force on you everywhere even when another lang is better choice such as sysadmin scripts which can be easily done with bash or python; nice if you want to stay here for yrs, but useless everywhere else; good lucky finding your next job
- all tools including those used by traders to trade are TEXT based because O'Caml has no good GUI lib
- free gym is great, except the mouse poop
- love the free snacks in pantry? great, check expiration date
- war posters from WWI and WWII in hallways. what were they thinking?
- some percent of ppl literally wearing communist t-shirts, and even poker cards and message bags with pic of Mao
- you can work here for 10+yrs and be stuck same position, same pay level
- pay can be good but only for small percent of ppl, otherwise when you factor in the 70+ hrs you put in, you're under paid
- they try to squeeze every working hour and minute out of you possible
- no WFH"
17,Jane Street,good,2021-11-23,4.0,Retail Sales Associate,flexible work hours and nice staff,salary is low and staff
18,Jane Street,Jane Street review,2021-11-22,5.0,Anonymous Employee,"Good company, inclusive and diverse culture",The work hours are a bit long
19,Jane Street,It's okay,2021-11-15,3.0,Floor Person,"The people
The fast pace
Friendly
Easy communication
Paid weekly","Cleanliness
Managers
Diversity
Long hours
Only paid minimum wage"
20,Jane Street,Great company,2021-11-08,5.0,Operations,"Cares about their people, treats them well",Oriented around Ocaml which is very difficult to use at first
21,Jane Street,SWE jane street,2021-11-07,3.0,Software Engineer,Decent salary for fresh grad.,Not many students grind leetcode for the interview
22,Jane Street,Amazing,2021-11-05,5.0,Customer Service Representative,Helpful loving supportive teamwork strive,Time management team customers liars
23,Jane Street,smart,2021-11-01,3.0,Quantitative Researcher,People at here are very smart,"very competitive, high pressre, long working hours"
24,Jane Street,Excellent,2021-11-01,1.0,Associate Consultant,The organization is so good,Time management is what they lack
25,Jane Street,cool,2021-10-17,4.0,Janitor,"nice salary, very good pay",very far from my home
26,Jane Street,Good,2021-10-04,2.0,Front Desk Receptionist,Good people pay was ok,Toxic short lunch everything else was cool
27,Jane Street,interesting,2021-09-29,5.0,Intern,"rewarding company culture, supportive collegues",very competitive selection process indeed
28,Jane Street,Hhu,2021-09-11,5.0,Associate,Awesome place to work for a entry level.,"No Cons for this company, it is great."
29,Jane Street,"Great benefits, culture.",2021-09-06,5.0,Trader,"Lots of food, very smart people, very collaborative culture.",Need to be quite self-directed to be a good trader.
30,Jane Street,best firm on wall street,2021-08-28,5.0,Trader,best firm to work at in trading,there are no cons. this is the best place to work
31,Jane Street,I don’t have anything,2021-08-25,3.0,Recruiter,It’s nice it’s good it’s lovely,It’s just okay and can do better
32,Jane Street,Great,2021-08-20,5.0,Software Engineer (Swe II),"- culture
- comp
- mentorship
- work-life balance","- non-transparent leadership/comp
- poor D&I"
33,Jane Street,Cool,2021-08-18,3.0,Customer Service (CSR),"Hours were pretty good and got to know coworkers, they made it a great work environment",Pay wasn’t always great when it came to raises and benefits weren’t that great either
34,Jane Street,Good,2021-08-15,4.0,Crew Member,"IT was amazing, The work environment was great and it was a great opportunity for me over all. It's encouraged that people work there.","No cons, not that I can remember. Everyone should ask questions during training. Just ask your senior and they're helpful."
35,Jane Street,Good,2021-07-28,5.0,Tech Support,It's a good company to work for. Great employee management,None none none none none none none none none none none none
36,Jane Street,Great opportunity,2021-07-15,4.0,Anonymous Employee,Great benefits amd bonus schemes provided,"Sometimes stressful, but possible to handle"
37,Jane Street,good,2021-07-14,4.0,Research Assistant,friendly cool nice easy good wages,nothing i would change here
38,Jane Street,Very good,2021-07-10,5.0,FHA Underwriter,Very good at what they do,Nothing for cons at all
39,Jane Street,Csr,2021-07-09,5.0,Sales Associate/Cashier,Good pay excellent communication skills,Long hours boring work schedule
40,Jane Street,Love it,2021-06-25,5.0,Anonymous Employee,Great people and great place,Needs better 401K match soon
41,Jane Street,Amazing,2021-06-19,1.0,Anonymous Employee,Nice kind place to work at,Long hours to work! Tiring
42,Jane Street,Good,2021-06-12,5.0,Engineer Civil,Fun times everyday so fun,Nothing babe at all I swear
43,Jane Street,test,2021-06-03,4.0,Customer Service Representative,veyr positive culture here to be frank,no cons i can think of
44,Jane Street,Competitive work environment,2021-05-27,1.0,Software Developer,the salary is not bad,work culture is terrible and can be toxic
45,Jane Street,bababa,2021-05-20,3.0,Sales Assistant,yes very good very nice ty,none at all great store
46,Jane Street,Work environemtb,2021-05-12,5.0,Customer Service,Great communication and leadership! Every staff member is so supportive,Rude customers and not the best work life balance
47,Jane Street,"Smart people, high pay, inclusive and collaborative culture",2021-05-06,4.0,Software Developer,"intelligent coworkers, caring management, interesting problems","Programming workflow and technology stack are unorthodox, can be hard to get used to"
48,Jane Street,How,2021-04-30,5.0,Recruitment Consultant,Beautiful amazing scenery beautifully ok,Not good not not not
49,Jane Street,great!,2021-04-19,3.0,Manager,great company to work for,too much work for the pay
50,Jane Street,Quant Job,2021-04-07,5.0,Quantitative Analyst,"Well established hedge fund, good compensation","Long hours, high pressure, competitive environment"
51,Jane Street,Sample review,2021-04-04,4.0,Web Developer,"Good company , all pros good luck","Ni cons , no cons no"
52,Jane Street,Dynamic Energetic working environment,2021-04-01,5.0,Trading Desk Operations,"Flat hierarchy, self-motivated working environment, casual wear","little training, weak management, lack of industrial experience from competitors"
53,Jane Street,Good place to work,2021-03-29,4.0,General Worker,"It was a good place to work, good hours, nice bonuses.",Work got boring and repetitive.
54,Jane Street,Great place,2021-03-19,4.0,Consultant,Lovely and bright people to work with,Not the best place to grow
55,Jane Street,Will not work again here,2021-03-18,4.0,Sales Representative,Benefits are actually really good.,Salary is somehow not satisfying.
56,Jane Street,job,2021-03-17,4.0,Administrative Assistant,benefits like health care and over time,too much work to do all the time
57,Jane Street,23 march 2021,2021-03-15,2.0,Supervisor,they were very organised and supportive,written reports weren't good enough
58,Jane Street,Great place to work,2021-03-13,5.0,Customer Service Representative,Fun environment and fast paced,Not very good benefits but that’s ok
59,Jane Street,wonderful working environment,2021-03-07,4.0,Marketing,professional can focus and improve your career learning,the company doesn't have many diversity in hiring
60,Jane Street,good,2021-03-05,4.0,Software Engineer,good work experience at the job,lot to keep up on so not much flxible
61,Jane Street,flexibility time of working,2021-03-02,5.0,Sales,high salary and good motivation,more time required and less change
62,Jane Street,Review,2021-03-01,5.0,Manager,"Fun, Engaging, Consistent, Responsible, Positive","Busy, disorganized, harsh, independent, busy"
63,Jane Street,Fast Working Environment,2021-02-24,3.0,Softwater Engineer,Nice company culture. Makes you feel like you fit in,Fast-paced environment and possibly not the work you are looking for
64,Jane Street,Great place to be at,2021-02-19,5.0,Administrative Assistant,Good company to work for,I can’t really think of any
65,Jane Street,good for all types for people,2021-02-15,5.0,Truck Driver,very intrestuing work culture for fresher,Dont have any pros for company
