,company,headline,date,overall_rating,author_position,pros,cons
0,Janus Capital,Good one,2021-11-10,5.0,Software Developer,It was really good and comfy.,the food wasn´t that great.
1,Janus Capital,Great place to Work,2020-06-17,5.0,Anonymous Employee,Great work environment and highly diverse,long hours like many other financial institutions
2,Janus Capital,Trainee,2020-03-14,4.0,Trainee,Great learning tools and resources,Not a very collaborative workplace
3,Janus Capital,Client Service,2018-05-01,5.0,Anonymous Employee,"Work Hours, Flexibility, Great teammates",401k Match not full vested
4,Janus Capital,Great place,2018-02-20,5.0,Audit Senior Manager,Great place to work in,Too much work to do
5,Janus Capital,Employee,2018-02-19,3.0,Anonymous Employee,"Fair pay, good benefits and good people... mostly.",The loss of company morale in the last few years is unfortunate.  I really don't know many employees who are happy there.
6,Janus Capital,Janus is going through a lot of changes,2018-02-01,2.0,Anonymous Employee,"Good people, location and work/life balance",Merger with Henderson has been messy. Lots of jobs cut or not replaced
7,Janus Capital,Trade Ops,2018-02-01,5.0,Trade Operations Specialist,"Great work environment, decent compensation",I can not think of any cons
8,Janus Capital,Great Place to work,2018-01-10,4.0,Facilities,"Work/Life Balance, PTO, Health Ins.","The usual corp. stuff, lots of buddy buddy system"
9,Janus Capital,"Here for a good time, not for a long time",2018-01-05,4.0,Anonymous Employee,"Great culture, top notch benefits,  management does their best to best to have your back, and prefer to promote from within","Typical chain of command management system, who you know > what you know"
10,Janus Capital,Competitive with no expertise,2017-12-22,2.0,Anonymous Employee,Just glad I got an office,"I was on a small marketing that ended up being full of nasty, new employees who were all competitive for no reason. The management critiqued work on criteria they kept changing. The whole time I was there was a frustrating experience.  Also, my contractor colleagues often told me they were paid extremely late"
11,Janus Capital,Senior Hr and Payroll Systems Analyst,2017-12-18,4.0,Anonymous Employee,"Great company and good employee perks 
Flexibility 
Close interaction with Top management possible","Growth is very slow. 
Small team/single team member handling multiple business clients"
12,Janus Capital,secretary,2017-12-11,4.0,Anonymous Employee,flexibility/nice environment/open concept / open space / new office,in balance of work load
13,Janus Capital,Intern,2017-11-13,5.0,,"Great Experience, Knowledgeable mentors, Experienced employees",Sometimes there wasn't enough work to do.
14,Janus Capital,Not Very Challenging - Large Corp,2017-11-11,3.0,Anonymous Employee,Well recognized company that everyone will know,Not much room to challenge yourself if you are in the wrong dept.
15,Janus Capital,Desk Manager,2017-11-07,5.0,Anonymous Employee,culture - intelligence - transparent - challenging - fun,passive pressure - trending environment - been caught at a hurdle - difficult to see future
16,Janus Capital,Financial Analyst,2017-11-06,3.0,Anonymous Employee,"salary, benefits, work/life balance, people","lack of fair management, after merger it getting worse"
17,Janus Capital,Portfolio Manager,2017-10-30,4.0,Portfolio Manager,"Entrepreneurial and open culture, with little top down interference.",Fund managers often the last to hear about Distribution's plans/thinking.
18,Janus Capital,Data Architect,2017-10-25,3.0,Data Architect,good work life balance. Good location.,lot of politics. IT management is not knowledgable
19,Janus Capital,Not like it used to be,2017-10-18,3.0,Anonymous Employee,"Salary, benefits, mobility, employee perks","Favoritism, advancement, long hours, communication"
20,Janus Capital,Good company little career progression,2017-09-22,3.0,Anonymous Employee,good pay and bonuses compared to other companies,low amount of career progression
21,Janus Capital,HR Coordinator,2017-09-20,5.0,Anonymous Employee,The management in my area are great.,Location can sometimes be tricky.
22,Janus Capital,Financial Reporting Senior,2017-09-13,4.0,Financial Reportig Senior,"Flexible
Fun
Busy Work
Friendly
Development
Some resources are provided when asked for","Poor Leadership in the department, A LOT of over time"
23,Janus Capital,Trade Operations,2017-09-10,5.0,Trade Operations Specialist,"*Work life balance, genuine people, awesome benefits - honestly the best company I have ever worked for in a corporate environment, departments actually work cohesively to  quickly problem solve.",*Politics - but this is really at any company. My advice is to build relationships with people in upper level management quickly. New investment positions don't open up often.
24,Janus Capital,Entry Level Job,2017-09-07,5.0,Senior Investment Specialist,"Greats benefits (PTO, 401K), No weekends and always done by 4 PM M-F.","Some of the procedures in place are overboard making it difficult to communicate with investors, a lot of changes in management in the last few months, communication within the company isn't always clear,  High employee turnover"
25,Janus Capital,Overall Great Place to Work,2017-08-25,5.0,Anonymous Employee,"Great people that work there, nice Cherry Creek location, good pay, benefits","Not real innovative, hard to change things in technology because of size, not many opportunities to move up in technology"
26,Janus Capital,Operations Analyst,2017-08-16,4.0,Anonymous Employee,"Great people, nice benefits.  Enjoyed the company - at times the employees did not buy into the leaderships vision.",leadership's vision seems to change a lot.
27,Janus Capital,QUALITY ASSURANCE ANALYST,2017-08-12,5.0,Quality Assurance Analyst,GOOD LIFE BALANCE and benefits,Not holding on to good employees when needed.
28,Janus Capital,good company did not like management,2017-07-25,3.0,Anonymous Employee,work is easy. management is not,did not like management or work
29,Janus Capital,Client Relations Analyst,2017-06-28,4.0,Anonymous Employee,"Decent workload, great people to work with","Cubicle farm, complete 9-5 job"
30,Janus Capital,Sales,2017-06-13,4.0,Anonymous Employee,"Good products, people and benefits",Not looking to hire from within.
31,Janus Capital,Very positive experience,2017-06-05,5.0,Anonymous,"Worked with some of the smartest people in the industry. Learned a lot. Gold star benefits. Nice perks, awesome coworkers.",Opportunity to grow and learn was limited by the team and personalities you are assigned and their willingness to mentor.
32,Janus Capital,Manager,2017-05-31,5.0,Anonymous Employee,"Great culture, allowed to do your job, high expectations",Can't mail it in here
33,Janus Capital,Uncertain Times,2017-05-28,1.0,Manager Fixed Income,"vacation time a plus, allowed to take long lunches. Given a staff that does all the work",Too many high level opinions on how to run a company. Will not take advice from leaders like me.
34,Janus Capital,Review,2017-05-09,4.0,Anonymous Employee,"Friendly atmosphere
Good Culture
Nice Management
Good location","Lack of room for growth
Salary
Bonus"
35,Janus Capital,"Fun company, but lots of politics",2017-05-04,3.0,,"Great culture, lots of fun events thrown for employees, amazing holiday party, and great benefits.  Most people are great to work with (depending on the department).","Very political atmosphere, and it's very hard to get promoted. I've seen people who have been in their roles for 10 years before getting promoted. It's very dependent on whether you have a supportive boss who will develop you to progress in your career."
36,Janus Capital,"Changing Culture, Less Colorado, More Boston/New York",2017-04-20,3.0,Intern,"Excellent benefits, great location in Cherry Creek, and an amazing and interesting history.","Janus used to be a very unique and special place, due in large part to the values and culture directly brought into being by its original founder.  The company used to be, proudly, Colorado culture and quite specifically not a typical Wall Street company. 
 Eventually, after Tom Bailey's retirement, the executive leadership became more and more East Coast financial slickers, which over time undermined the 4-decade long unique culture that was."
37,Janus Capital,Total chaos,2017-03-25,2.0,Senior Vice President,Generally the people are really nice and great to work with.  Home office in Denver is a plus and they have great employee benefits.  A lot of smart people that work really hard but we don't get the desired results.,Too much turnover and layoffs are coming with the upcoming Henderson merger.  No matter how hard we try it's difficult to get any traction for moving the dial on AUM and sales.  AUM has been generally flat for what seems like the past decade.
38,Janus Capital,Most amazing place I've ever worked.,2017-03-16,5.0,Sales Representative,"People, Culture, Opportunity, Benefits, Fun, Innovative, Energizing atmosphere, you are surrounded by smart/hard working people that become life long friends",None. I can't think of any. It's truly a wonderful place. Anyone would be lucky to work here. No complaints.
39,Janus Capital,investment accountant,2017-03-10,3.0,Anonymous Employee,benefits nice people lots of free food!,"toxic culture, people are promoted based on who they are buddies with, good people will eventuaally leave like i did!"
40,Janus Capital,Vacation and Paid Time Off,2017-03-02,4.0,Anonymous Employee,Generous PTO package as your years of service and level increases. You will find you have more than you ever could need. Employees can also roll a certain amount of PTO to the next year.,Rollover PTO must be used within the first 6 months of the new year or you lose it.
