,company,headline,date,overall_rating,author_position,pros,cons
0,Man Group,Great folks,2022-05-21,5.0,Investment Analyst,"Great culture, great people. Learned a lot.",Not the best pay levels. Tough to maintain relative to market.
1,Man Group,Man is a great company,2022-05-21,4.0,Finance Business Partner,Great culture with lots of benefits. It is a much more inclusive and progressive company in the financial services sector,The career development is lacking but Man is working on it
2,Man Group,Great place to work,2022-05-12,5.0,Engineer,The nicest front office environment you'll ever work in!,Salary isn't as punchy as the competition.
3,Man Group,Excellent culture,2022-04-26,5.0,Senior Software Engineer,"I have worked at some of the world's largest financial services companies: Morgan Stanley, Fidelity Investments. Good pay, great perks, but long hours and constantly having to deal with ""strong personalities"". (Did I say that delicately enough?) Man Group has NONE of the down sides.

Most people work close to normal hours. Most surprising is I have yet to encounter a single ""strong personality"". Come for the pay and interesting work. Stay for the culture.",I have not seen any cons yet.
4,Man Group,Good place to work,2022-04-21,5.0,Analyst,"Great culture, smart people, good wlb, cool stuff",long hours sometimes but depends on teams
5,Man Group,Flat structure,2022-04-05,3.0,Anonymous Employee,Good reputation in industry. Work life balance flexible.,There is a disappointing salary gap.
6,Man Group,One of the best place to work,2022-03-03,5.0,Senior Analyst,"Salary, Benefit, Growth path, Flexibility",I think there aren't many caveat for this employer
7,Man Group,Finance Function Role,2022-02-25,4.0,Analyst,"Good Experience, Relaxed Culture, Inclusive Environment","Micromanagement in some departments
Lack of transparency"
8,Man Group,Great firm to work for,2022-02-13,5.0,Head of Finance,Great firm to work for,none because its a great firm
9,Man Group,Good employer,2022-02-10,4.0,Finance,Quality workforce. Top quality offices.,There is a five word mandatory minimum for this field
10,Man Group,Man Group truly cares for their Employees well-being/Professional development,2022-02-03,5.0,Associate Engineer,"- Great work/life balance 
- Support for further studies 
- Support for career development/Internal movement 
- Good benefits",Pay can be higher in line with it's competitors
11,Man Group,Great company to work for,2022-02-03,5.0,Anonymous Employee,"Good culture, diverse and atmosphere",There is nothing bad to say
12,Man Group,Solid institution with human side,2022-01-27,4.0,Anonymous Employee,"Cares about its people, lots of variety, large mandates, strong training programmes, decent people with few big egos","Quite a lot of complexity and can be quite siloed, very busy most of the time"
13,Man Group,Good experience,2022-01-25,4.0,Anonymous Employee,Good learning experience - great name to have on CV,Not really any con to put forward
14,Man Group,Not great,2022-01-18,1.0,Portfolio Manager,"Nice People, lots and lots and lots and lots of talk about diversity (if that's your thing)",Terrible technology and no support.
15,Man Group,Fantastic pay and company culture,2021-12-17,5.0,Finance Graduate Analyst,Great company culture - a collective of very intelligent and productive people who are focused on the bottom line.,Not the largest firm - can make moving up tough
