,company,headline,date,overall_rating,author_position,pros,cons
0,Meta,"Overall good company, but some drawbacks",2022-04-08,3.0,Quantitative Researcher,"- Compensation and perks/benefits
- Easy access to resources
- Can learn a lot","- Too focused on metrics
- Company culture is getting worse (lots of turnover)
- Negative public reputation
- Can have poor WLB (though depends on team)"
1,Meta,.,2022-04-07,5.0,Robotics Systems Engineer,Can work on great projects,No cons to be mentioned
2,Meta,Meta,2022-04-07,4.0,Software Engineering Manager,"Compensation and perks, Autonomy, Interesting problems due to scale","Performance evaluation model (PSC), team sizes and growth are small, management is more people oriented"
3,Meta,Toxic,2022-04-06,2.0,Product Growth Analyst,"Benefits are good, smart people to work with","Toxic culture, bad management, reorg"
4,Meta,great benefits,2022-04-06,5.0,Data Center Engineer,"free food, great people, state of the art tech",Facebook proprietary tech doesn't translate well outside of current role
5,Meta,-,2022-04-06,5.0,Software Engineer,Hey I worked there sometime ago,"Great people, cares about employees"
6,Meta,Great workplace,2022-04-06,5.0,Technical Sourcer,"Flexibility, autonomy, pay, creativity, supportive (not cutthroat at all)",Literally cannot think of any. It's the best work environment I have ever had.
7,Meta,Operations,2022-04-06,4.0,Global Security,The company is very diverse,The company is a slow promoting company
8,Meta,Less choice,2022-04-05,4.0,Production Engineer,"PE has the same comp as SWE, and Meta provides competitive benefits, like higher 401K employer match","PE has less teams to choose when considering internal transfer or initial joining. If in any locations instead of MPK, the choices are even less"
9,Meta,good company,2022-04-04,5.0,Software Engineer,"- wlb is pretty good
- tech driven","- psc rating
- benefits cutting"
10,Meta,hi,2022-04-04,5.0,Software Engineer,very good pay and nice benefits,very work heavy environment lol
11,Meta,Great entry point to contributing to product development,2022-04-04,4.0,Product Specialist,"-Autonomy to chase big ideas and choose your own projects
-Freedom to partner with different XFN based on project requirements","Big company with lots of moving pieces. Teams will deprecate or change focus quickly. If you're not constantly on top of your teams' priorities, you will not be able to contribute and you'll be left without any work to do."
12,Meta,Nice,2022-04-04,5.0,Content Curator,Excellent pay and benefits from the start,None to report at the moment
13,Meta,Salary,2022-04-03,5.0,Senior Research Scientist,"High pay, fast promo, good eng culture",WLB; GreenCard application; Always in bad news
14,Meta,"Great culture, perks.",2022-04-03,5.0,Senior User Experience Researcher,Work on the biggest issues in the world at a fast pace and with rigor.,External pressure and toxicity toward company.
15,Meta,+ for learning / - for work/life balance and leadership,2022-04-02,3.0,Director,"+ High level of accountability 
+ Interesting problems to solve
+ Motivated colleagues
+ Generous pay and benefits","- Need to be constantly available / no work-life balance
- Poor company leadership leads to teams duplicating work, infighting between teams and thoughtless prioritization
- Company direction is really led by Zuckerberg and he surrounds himself with likeminded people. While it is encouraged to question him - it doesn't seem like there is a lot you can do to change his mind."
16,Meta,Good Experience! Robust Training,2022-04-01,5.0,Technical Sourcer,Good Training. Good Management Team. A lot of support. Great Diversity,Talent Camp could use some improvement
17,Meta,Great times,2022-04-01,5.0,Digital Content Creator,Great people culture and environment,Nothing that I can think if
18,Meta,Great place to work,2022-03-31,5.0,Software Engineer,"Lots of flexibility, plenty of different teams to choose from",Have not experienced any yet
19,Meta,Work culture,2022-03-31,5.0,Senior Tech Recruiter,"Great benefits, good pay and highly collaborative work culture.","Long hours, high stress and very fast paced performance driven culture."
20,Meta,Great place to work,2022-03-31,4.0,Product Designer,"Overall great place to work, lots of support. Find a team that works though. You can get stuck in a place that doesn't have good growth.","Highly competitive.
If you're on a dead project it's hard to get out."
21,Meta,Best workplace in the world,2022-03-31,5.0,Learning Partner,"+relatively flat organization (values everyone's perspectives and encourages hard conversations, radical candor regardless of level or tenure) 
+ People are generally nice (good combination of high smarts and high emotional intelligence) 
+ strong culture of DE&I (you really feel the management is trying hard with new initiatives, programs, communities to make everyone feel included, safe, fair, respected) 
+ Great support for making strong people managers (we have a pulse survey to check sentiment of the employees and our manager scores are always really high) 
+ Work/Life balance is totally(100%) achievable. It's really up to you and your manager and your team culture. Work time is flexible as long as you have your goals set. 
+ Great benefits",- Not much that I can think of. (I worked in 4 other international(mostly american) companies in the past and by far Meta is the best)
22,Meta,Good compensation,2022-03-31,5.0,Software Engineer,Benefits in Meta is really good,stock price is at bottom no w
23,Meta,E3 salary,2022-03-29,4.0,Software Engineer,Great culture and community to work for,A bit of more work as compared to other company
24,Meta,Meta,2022-03-29,5.0,Technical Sourcer,Great Company to work for,none that come to top of mind
25,Meta,Comfortable working environment,2022-03-28,3.0,Data Analyst,"- pto, health, sick leave, global travel days, benefits",- A big part of getting promotions at the company is posting and sharing in the internal network.
26,Meta,Great culture and benefits,2022-03-28,5.0,Technical Recruiter,Culture and benefits are wonderful,"Nothing yet, great so far."
27,Meta,Rockstar company with rockstar values,2022-03-28,5.0,Senior Software Engineer,"Bottom up, Move fast, Employee centric",Lot of cross functional communication
28,Meta,Great place to learn and grow,2022-03-28,5.0,Quantitative User Experience Researcher,"- Collaborative Culture
- Opportunities for learning
- Compensation & Benefits",- Compensation not as good as competitors
29,Meta,Great place for career,2022-03-28,5.0,Anonymous Employee,"Culture, compensation and people are great",Negative company image with new processes making development process slower
30,Meta,Great company for employees,2022-03-27,5.0,Operations Manager,Great perks and company culture of transparency,Can be chaotic as it takes on bottom up approaches
31,Meta,Good company,2022-03-27,5.0,Software Engineer,"Great culture, leadership and colleagues",Work and life balance is bad
32,Meta,Good benefits,2022-03-25,5.0,Software Developer,"Good benefits, good pay, and empowering environment to breed innovation.","Fast pace work environment, but have high energy"
33,Meta,Good,2022-03-25,5.0,Software Engineer,Job was good and fun,There are no downsides to this job
34,Meta,Nice workplace,2022-03-23,5.0,Software Engineer,"They're a good company, good work-life balance.",Not so many new challenges.
35,Meta,Good perks,2022-03-23,4.0,Operations Specialist,Great benefits and a great work environment,Low company morale and difficulty feeling confident in leadership
36,Meta,No WLB and utter chaos,2022-03-22,2.0,Director,Really good pay and great perks,"Company changes all the time and very chaotic, no work life balance and unreasonable expectations"
37,Meta,Non-tech Program Manager,2022-03-22,4.0,Program Manager,"Great benefits, perks, and office environment.","A fair amount of attrition, which makes continuity difficult"
38,Meta,Engineer,2022-03-22,5.0,Research Engineer,"Move Fast, very good, good meal",A little bit long from my home.
