,company,headline,date,overall_rating,author_position,pros,cons
0,Sequoia,Sequoia is an Amazing Place to Work,2022-05-11,5.0,Anonymous Employee,"The culture at Sequoia is like no other company I've ever worked at. Everyone is friendly, inviting and helpful!",I have not found any downsides so far.
1,Sequoia,Constantly Innovating!,2022-04-13,5.0,Client Service Representative,"Growing like crazy, getting to work with the worlds most innovative companies and a Team that really cares about each other!","Definitely fast faced, but they've done a great job recently of driving work/life blend w. dedicated company wide days off, etc."
2,Sequoia,Great team,2022-03-03,5.0,Office Clerk,Great management and supportive team,A fast paced work environment
3,Sequoia,Best Company I Have Ever Worked For,2022-03-01,5.0,Human Resources,Hands down the best corporate culture I have ever experienced. Everyone is so engaged and friendly. I enjoy opening my laptop and Sunday night doesn't feel stressful. I look forward to starting my week and working with everyone. The leaders place a huge importance of always doing the right thing for employees and clients. It's truly a great place to work!,Nothing comes to mind at the present.
4,Sequoia,nice workplace,2022-02-10,5.0,Salesfroce Developer,"good work culture
good opportunity to grow",none as per my experience
5,Sequoia,Run like a Family Business,2022-01-20,5.0,Event Manager,Feels like a family work environment.,Communication is not always the best
6,Sequoia,Growing,2022-01-10,3.0,Anonymous Employee,"Growing Company, 
Competitive package,
Good Benefits",Offshore focused and no respect to Onsite employees
7,Sequoia,Great!,2021-12-16,5.0,Client Services Manager,Great place to work. Very modern and technology is a big priority which is great. Amazing pay and benefits that I don't find anywhere else,Open Enrollment season can be hard to get through but it gets better.
8,Sequoia,Great benefits in exchange for being mentally drained forever,2021-11-23,2.0,Client Services,"Good benefits, random company perks every once in a while, some absolutely wonderful team members","- continually in “growth mode” and the amount of work never stops increasing
- they literally just hired a chief of people officer last month, but there’s been no internal HR, no compensation director, no development professional for the 21 years of the company’s existence. There’s no transparency about pay and many, myself included, were severely underpaid for the many random hats we had to wear. No career pathing and promotions and raises happen only once at the beginning of the new fiscal year (even if you technically got a new role midyear)
- DEI? What DEI? Diversity, equity, and inclusion is not just an afterthought, but the most performative aspect of Sequoia. There are no active training or support initiatives, only social media posts. 
- leadership has absolutely no idea what the day to day of anyone looks like, nor do they care. When we asked for more hires for a functional group, we would be told that the numbers don’t support more hiring, even though most of the team is continually working overtime for clients and projects
- they only care about sales. All that matters is that the numbers look good and they sell more. To the point that BCs sell services we can’t provide, and then client service gets the heat and have to push our boundaries beyond what our scope of service is
- their semi annual employee surveys always churned out the same results for improvement, and yet I was there for nearly three years and never saw any. 

They question why retention is low, why top performing team members leave after 2-3 years, and it’s never just as simple as one reason. Sure there were great managers and great coworkers, but the low pay, complete disregard for the needs of anyone who isn’t in upper management or leadership, and “the customer is always right” mentality are just some of the multitude of reasons why."
9,Sequoia,"Genuine, like-minded people!",2021-10-20,5.0,People Team,I love the team at Sequoia. Everyone steps in to help during our busy times of year and the positivity can be infectious. Great culture and mission overall.,"Growing pains! We are working on scaling for exciting things ahead, so naturally finding the right talent to help execute in a timely manner can be tough."
10,Sequoia,"People first company, Healthy Work Culture",2021-10-11,5.0,Data Engineer II,"Sequoia is recently expanding it's business in India, Sequoia has a lot of Benefits to offer. The hiring process the HR, everything is really awesome here. People are so humble, and fun to work wit. Sequoia uses cutting and latest technology in the technolgy domain. The comensasation paid is as per and beyond the industry standards. Lot of learning, and great focus on work life balance.","No Cons in real, I am liking the office environmnet and the cutlure."
11,Sequoia,Salary,2021-08-18,3.0,Consultant,Good environment good packages health care is covered and pension guarantee expenses are paid monthly training available. Managers freindly and passionate,No bonus paid.no commission despite negotiating. But taxes and pension is covered even health care is guaranteed. Lateness not tolorated. Reporting very important.
12,Sequoia,"Terrific leadership, culture, and opportunity",2021-08-13,5.0,Business Consultant,"Culture, Executive leadership, Collaborative teamwork, Focus on client success, Opportunity for growth (individual and company)","No downsides to joining the best company in the industry! Employee Benefits & HR Consulting has its own pros and cons but if this industry is where you want to be, Sequoia is a tremendous place to work."
13,Sequoia,"Good place to work, quite peaceful",2021-08-11,5.0,Associate Software Engineer,"1.Good work life balance.
2.Great learning curve as there is constant need to learn new technologies and use it in the product one is working on.
3.Opportunity to finesse existing skills.
4.The perks every other month is such a treat to have, it's sheer joy.
5. Work culture is good, exactly same of what was emphasized in the interview.
6. Company benefits are too good.
7. The management clearly emphasises and gives importance on employees physical and mental health.
8. Salary is as per market standards it's good enough.",Timing is not that much flexible.
14,Sequoia,Great employer with growing pains,2021-08-09,4.0,Insurance Broker,Fair amount of autonomy in your work,Products and Improvements are released half baked
15,Sequoia,Great firm,2021-06-30,4.0,Chief Meme Officer,Work with really great people,it really can't get much better
16,Sequoia,Great place to work,2021-06-27,5.0,Anonymous Employee,Almost everyone at sequoia goes the extra mile to come through for their clients.,Going the extra mile means you are usually on the run most of the time.
17,Sequoia,Nothing special,2021-06-26,2.0,Anonymous Employee,"Direct coworkers

Swag 

Helpful wfh setup","Cliquey 

Not a good work life balance- employees work late and start early 

Lack of communication 

Preaches that they’re focused on culture fit in interviews and the culture is nothing special when you actually start and get past training

There’s ALWAYS sales involved

Manual processes

Political"
18,Sequoia,Sequoia,2021-06-11,4.0,Analyst,It has a nice location,The pay is very low
19,Sequoia,Biggest Mistake of my life!,2021-06-07,1.0,Senior Software Developer,There was a initial joining bonus,"All people in management are double based
No work-life balance
People get fired based on politics
Random Hirerchial changes"
20,Sequoia,Not for everyone,2021-05-18,2.0,Human Resources,"Your direct colleagues are wonderful, most are experienced, and most care! The offices were pretty cool, but very very clicky.","Development is not existent in the organization. DEI is not valued or cherished and the majority of the founding DEI program team is no longer at the organization, which shows how much they feel that the organization is accepting. There is a party culture in the organization and if you don't partake in alcohol you feel like an outsider - another strike on inclusivity. No one seems to go agains the CEO's opinions, at least publicly and when they do they seem to be put in their place right away. There are no experienced HR team members internally to actually support the people, not that the executive team would let the HR people actually do anything. You will bend over backwards for a client, even when they are in the wrong. And everyone even in non-sales roles has to sell all the useless junk the organization is creating."
21,Sequoia,"I wouldn't necessarily recommend it, but I wouldn't necessarily not",2021-05-11,2.0,Client Operations Manager,"- Fun coworkers on lower levels; a few decent hires in upper management and the C-suite (always from outside)
- Decent health benefits
- Party culture if you’re into that, particularly the sales team
- If you don’t care, it’s not that hard to skate by and do the bare minimum, particularly if you are searching for another job
- Good snacks (sometimes)
- So much swag, you could literally dress yourself in solely Sequoia gear for a week after a year on the job","-Members of management that have been there since the inception of the company are only there because of personal reasons and are often grossly incompetent/a hindrance to the growth of the company
- Service centric organization - if client service wants something they get it (including if they don’t want to do their jobs, which they usually do not)
About 10% of the company does 90% of the work - many teams and individuals have an attitude of “this is not my problem/who will fix this problem for me” and are completely unremorseful about treating their coworkers poorly
- Technology is aesthetic but under the surface is a total dumpster fire
- No growth pathways or marketable skills; very little career coaching
- Promotions and title changes are laughably random and feel arbitrary; there is little transparency on compensation so I’d guess that is even more of a joke
- DEI - a slight effort is made by the company overall but there is little interest in self-education by leadership (much of leadership remembers this is an initiative when clients ask what the internal efforts are like)"
22,Sequoia,"Great work culture, lacks diversity",2021-04-29,3.0,Employee Advocate,Sequoia has great work culture! Everyone is genuinely willing to help each other and work as a team.,Leadership can be lacking. Sequoia prides themselves in being innovative but lacks ability to focus on the small details/planning of projects causing headaches and problems for all teams in the long term.
23,Sequoia,Great Place to work,2021-01-14,5.0,Software Development Engineer I,"1. Positive environment 
2. People first company 💯 
3. Great opportunity to learn
4. Awesome team",Not much to write here but the management is average compared to the pro's.
24,Sequoia,"Great benefits, salary and coworkers",2021-01-04,4.0,Anonymous Employee,Great coworkers and fun place to work,Management need improvement and long working hours
25,Sequoia,Awesome place to work!,2020-09-29,5.0,Senior Software Developer,I have worked for big companies and this is the first time I work for a small company. It was one of the best decisions I've ever made. Sequoia has a very friendly environment and I feel like they care about their employees. It offers a wonderful benefits package and many incentives through out the year.,We should have a live band for the Christmas celebration :-)
26,Sequoia,Their Interview would like fancy but the organization is horrible,2020-09-07,1.0,I T Applications Engineer/EDI B2B Analyst,Flexible work hours apart from then nothing positive.,"Consulting company which depends on their client; If the client says they are done, your biling as well done.. you will be fired immediately.. SCG Bangalore is newly built with less number of peoples"
27,Sequoia,Inexperienced Leaders and No Career Opportunities,2020-07-30,1.0,Client Services Manager,"Very talented, smart, and caring people most of which are not in management.","Let me start by saying that most of the reviews found on this site is fake. The talent team and management monitor the negative reviews provided on Glassdoor and try to counter it with posting positive reviews. Early in the year the rating was 3.2ish but has miraculously rose to 4.1 in a matter of months. Questionable? 

If you're an experienced professional, you will find little to no opportunities for personal and professional advancement at Sequoia despite that it’s a growing company. This is largely due to it being a flat hierarchy and a lack of structure for employee development. From the second you step through the door it's about what you can (and need) do for the company, but no clear path on your own development which should have been a red flag #1 for me. The management team also lack experience to be thoughtful leaders to help in development of their team.

There is only one leader at the company and that is the CEO. Actually, CEO is an incorrect term because there is no Board of Directors, making Greg the only decision maker at the company. I have seen the company hire some very smart and talented people, only to watch them leave Sequoia within a year or so. In 2019, the company had about a 100 person turnover. Red flag #2. Steve Jobs once said “It doesn’t make sense to hire smart people and tell them what to do; we hire smart people say they can tell us what to do.” This is not the case at Sequoia. It’s a dictatorship environment and the CEO, Greg, hires smart people so he can tell them what to do. Any disagreement will result in termination. Therefore, all the Principals and managers are pretty much “Yes mans” as they will agree with the CEO mainly to keep their job. The smartest leaders hire people who are much smarter than them to help push through diverse thinking and drive the business forward. Unfortunately, Greg has a difficult time understanding that his vision has taken him so far. It is time that he should utilize the talent that’s within this company to help it reach the next steps. Sequoia has been at a 300+ employee count for the last 2 years due to high turnover. 

Compensation is a joke. It’s below market rate and the bonus structure is less than what I made at my entry level position after college. 

COVID-19 Response: It was disappointing for me to learn that during a time of economic uncertainty, with many of Sequoia clients trying to stay afloat, the CEO was still trying to push forward with aggressive sales goals, and charging clients for add-on services that was not needed. He is very focused on growth, which brought down company morale as client service teams tried their very best to work with clients through difficult decisions such as budget cuts, layoffs and furloughs. This was one of the deciding factors for my departure, as I felt his messaging and approach was tactless during a time when clients needed us as their partners and consultants.

If you're considering an opportunity at Sequoia, I would advise reaching out to former employees to get their experience."
28,Sequoia,Good place to explore growth opportunities,2020-07-21,5.0,Anonymous Employee,"*This organisation promotes positive work environment
*Very cheerful and optimistic coworkers 
*Promising team and products",*management must do more insight on organisation and Work life balance for everyone
29,Sequoia,Good money if you're willing to give up work/life balance,2020-06-24,1.0,Anonymous Employee,Have met some great people here (majority have not stayed),"Sells ""HR"" but has no HR team to support their own employees, claims to support BLM movement but does not celebrate MLK day and requires travel to the Jewish museum for all hands in the same week every year, and supports a culture of retaliation against employees that speak up against skewed work/life balance while lazy employees that are favorited are rewarded with less work."
30,Sequoia,Great company that care about its clients and employees,2020-06-24,5.0,Anonymous Employee,Good culture and strong focus on doing the right thing for our clients. Big investment in people and innovation. The CEO is inspiring and leads by example.,There is always more to do and it is sometimes difficult to get it all done.
31,Sequoia,"Best company I’ve worked for, hands down.",2020-06-24,5.0,Anonymous Employee,Employee centric culture and a value prop that really focuses on creating new solutions for clients in tumultuous environments.,Lack of IT resources. We’re a small company but tech resources are spread thin.
