,company,headline,date,overall_rating,author_position,pros,cons
0,Techstars,Awesome company to work for!,2022-04-16,5.0,Quality Assurance Engineer,Been here less than a year and have been impressed by how the company seems to care about the wellness of their employees! Great collaboration & teamwork.,Seems to be growing so fast it is hard to keep up! Unsure of how bonuses and raises will work here. Also unsure of opportunities to advance.
1,Techstars,great,2022-04-16,4.0,Corp Development,A good spot to work would recommend!,none to say at the moment
2,Techstars,Weak Leadership,2022-04-15,1.0,Anonymous Employee,"Some program teams are providing exceptionally excellent and truly world class experiences and opportunities for early-stage founders. If you have the fortune of working for one of those teams (or in one of those regions) you will have an excellent experience serving founders, growing your network, learning about the tech ecosystem, and making life-long friendships.","The organization has weak and low integrity leadership. A few years ago there was a strong internal culture that was damaged by the original CEOs wanting to scale the company as if it were a SaaS business and failing (it's not SaaS, it's productized service). This resulted in a couple years of tumult within the senior leadership team and resolute abdication of responsibility within the executive team. The board brought on a new CEO who is even more factional than the previous leadership and lacking as a visionary. Likely, whether they know it or not, they were brought on as a hired gun to rapidly change the company, take the blame for the stress of the changes, and then the original CEO(s) will come back to save the day .

All of this impacts everyone's day to day lives because it's creates a disordered environment from the top down. It means employees aren't supported, camaraderie is lost, collaboration is difficult, and culture is toxic."
3,Techstars,Great learning experience,2022-04-11,4.0,Associate,"Great learning experience, good opportunity to network (Techstars shines on your resume for life) and also leads into job offers after the program if you put in the effort.","Lower pay, a bit unstructured (what you make of it)"
4,Techstars,New leadership lacks strategy,2022-04-08,1.0,,"Program Managers, Managing Directors  and Associates are great - all here believing in the ""helping founders succeed"" mission, putting in their best work.","The new CEO is a serious disappointment - all words, no substance. No real strategy or vision. ""Growth, growth, growth"" is all she talks about. Growth is not a strategy, it's a desired outcome - strategy is how to get there. She doesn't have a strategy for Techstars. There were huge hopes for the new CEO coming in - but nothing changed for the better since she stepped into the role - in fact, it is worse."
5,Techstars,Interesting role with lots of startup learning opportunities,2022-04-06,5.0,Operations Associate,"you get to learn alot, meet lots of founders and understand startups","Low salary, high workload, contract basis"
6,Techstars,Incredible Career & Network Opportunity,2022-03-31,5.0,Associate,"- People you meet with remain in your network for a lifetime
- Exposure to a vast array of problems and solutions
- Incredible culture","- Contractual pay is a little low, however, the opportunities make up for it!"
7,Techstars,Amazing Company,2022-03-22,5.0,Salesforce Engineer,"Company is amazing, treat their employees right! Also, they care about individual well-beings :D","Don't have much to say, its a rapidly growing company"
8,Techstars,I love it here,2022-03-22,5.0,Fund Accountant,Great culture with a progressive vision,I honestly don’t have any
9,Techstars,Great place,2022-02-28,5.0,Anonymous Employee,Very good place to work,Nothing bad....is a good place
10,Techstars,PM for Techstars,2022-02-27,5.0,Prgram Manager,Great place to get into the startup ecosystem,3-year programs for most of the accelerators
11,Techstars,techstars,2022-02-22,4.0,Operations,meet amazing entrepreneurs in an exciting fast-paced environment,its a part-time job (roughly 3 months)
12,Techstars,Things used to be good....,2022-02-09,1.0,Anonymous Employee,"-Working with entrepreneurs
-The OG are good people
-Original mission serves","-New CEO has no loyalty, empathy and does not care for the people. The way she presents herself is absolutely not how she reacts. Very disingenuous. 
-Leadership is no longer about the people
-There are no longer opportunities for internal players and is one of the reasons why so many people are leaving. 
-People are leaving in droves due to lack of confidence in new leadership, lack of opportunities, fear factor for lack of security and new mission being wholly money and not founder focus.
-Lots of favoritism where certain people are treated differently and protected due to their relationship with some members of leadership.
-The Techstars ego is strong...they think everyone knows who they are and are fans...this isn't true I realized once I was no longer drinking the koolaid."
