,company,headline,date,overall_rating,author_position,pros,cons
0,Two Sigma,1 year in and really enjoying it,2022-04-21,4.0,Associate,"Flexible work/life balance - my manager is focused on output, not time AFK or OOO",the company can seem like a black box at times. This is particularly evident with WFH when there is less collaboration and visibility into how things are done and who makes decisions.
1,Two Sigma,Excellent Company,2022-04-18,5.0,Analyst,Excellent technology competency and attention to detail when it comes to treating employees well.,Hiring process can be unnecessarily long and bureaucratic.
2,Two Sigma,Amazing Place to Work,2022-03-14,5.0,Data Scientist,"I have had a great time working at TS so far. The culture is awesome, people are super friendly, and the work is really great. Would recommend to everyone!",None that come to mind asof now.
3,Two Sigma,Great wlb,2022-02-17,5.0,Senior Staff Engineer,"Great wlb
Great comp
Plenty of opportunity to grow especially for junior people","- Quite a bit of shuffling at the top that creates uncertainty
- Promo process encourages people to always create new projects and abandon them"
4,Two Sigma,Web developer,2022-02-15,5.0,Web Developer,Nice coworker and nice environment,Could be better salary but pretty decent
5,Two Sigma,Great place,2022-02-08,5.0,Internship,Amazing place for interns. Worked in ME,Few intern projects are shelved
6,Two Sigma,Good company,2022-01-30,5.0,Quantitative Researcher,Very talented people. Good culture.,Some legacy processes are not very efficient and should be reevaluated.
7,Two Sigma,"Cool people, but disorganized.",2022-01-12,3.0,Talent Acquisition Manager,"The people are generally kind, smart, and invested in the work. Tries to have the vibe of a tech company instead of a finance company, and usually succeeds. Culture is certainly more laid back that peer firms.","From a strategy/planning perspective, the firm is pretty disorganized. There are tons of internal politics that make many decisions (even small ones) super drawn out and frustrating. The result is a mess of an organizational structure - doesn't apply to the whole firm but some teams can be miserable."
8,Two Sigma,"Yah, but no",2022-01-04,3.0,Senior Engineer,"Great benefits, good people to work with for the most part","Boss was a micromanager who never liked me
Asked multiple times per year for cross training, never got it
Hired as a specialist in my field, then fell behind in my field because the company wouldn't make a decision on a technology strategy, then they laid me off for cost savings, and hired a contractor to replace two of us
Never learned anything new while I was there"
9,Two Sigma,Good Company,2022-01-04,5.0,Software Engineer,"Generally Great
Supportive environment
Nice Total Compensation","Old codebase
need more internal tool"
10,Two Sigma,ok,2021-12-09,4.0,Computer Science,It's ok to start. Get to learn alot,Nothing much to talk about
11,Two Sigma,A great place to start or build your career,2021-11-26,5.0,Software Engineer,"Great engineers, a wonderful corporate culture, and interesting work","Occasional project mismanagement, and administrative burden foisted on engineers"
12,Two Sigma,Data Analyst Supervisor,2021-11-21,4.0,Customer Compliance Support Officer,"Meeting daily SLA goals - data analyst, time management",No opportunity to extend customer service support or assist with customer needs and request.
13,Two Sigma,Great place to start career,2021-10-28,4.0,Operations Associate,Innovative/Project opportunities. Management pushes you to work beyond daily responsibilities,Salary can be lower than industry norms
14,Two Sigma,Great workplace,2021-09-18,5.0,Software Engineer,Super duper good awesome great,Really nothing to complain about
15,Two Sigma,Decent Place to work,2021-08-11,5.0,Software Engineer,"Awesome work life balance, good culture, great people and environment",Career progression does seem slower compared to other competitor companies in quant finance
16,Two Sigma,Great company to work for.,2021-08-08,5.0,Quantitative Software Engineer,"1. Great People (Super smart and nice people)
2. Nice benefits
3. Company is open to doing unique research",1. Due to being in finance things can be very guarded.
17,Two Sigma,"Strong technical talent, good place to work",2021-07-30,4.0,Senior Software Engineer,"Work with talented people
Generally well managed
Good work-life balance
Relaxed atmosphere
Managers are technically sophisticated
Great mobility within the company","Very few checks on management authority - no 180 review, no peer feedback. Disputes with management feedback have no recourse. Advice - make sure you trust your manager.
Sometimes it feels too laid back and no one is held accountable for serious issues.
Bad managers aren't found and removed.
Much of the trading technology is mature. You won't get to do much new development.
TSS is a mess. Avoid it. They cannot find a vision that works."
18,Two Sigma,A good place to retire,2021-07-16,3.0,Software Engineer,"- smart people
- ok salaary
- good wlb","- politics
- bad company fund performance"
19,Two Sigma,Very good company,2021-07-06,5.0,Vice President,"Overall company impressively well-run and managed
Lots of resources/opportunities to learn.
Culture is a core part of the company and expressed everywhere (hiring, upper management, promotions)
Focus on results and employee growth vs at cost of employee growth.
Work-life balance (off hours/weekends are truly off, I do not to install work email/slack on my phone).","Bias toward in-office: rather than figuring out how do we collaborate better remotely strategy appears to be around office focus.
Restrictions on personal investments and outside activities."
20,Two Sigma,not bad,2021-06-15,4.0,Software Engineer,"people are nice, good work life balance",tbh a lot of the work can be boring/unapplicable elsewhere. don't feel challenged at times
21,Two Sigma,A great place to work,2021-06-15,5.0,Software Engineer,"Smart, but humble nerds (including both founders), strong corporate culture, excellent compensation and benefits.","Office politics became a thing as the company grew, used by the proliferating middle management aspiring to higher ranks. 
Corporate culture started deteriorating. 
Harder to get a feeling of belonging within a company of 1600+ employees."
22,Two Sigma,Good work culture,2021-05-05,4.0,Quantitative Analyst,"Good work life balance, high pay",Slightly more secluded culture than some other top end hf
23,Two Sigma,Good place to work,2021-05-03,4.0,Corporate,Two Sigma has a challenging but friendly culture,Hours can be quite long
24,Two Sigma,Company is great people are not,2021-04-14,3.0,Accounts Payable,"Great company benefits, on-site gym, relaxed casual attire.",Hard work is not rewarded here. Extremely biased at this company. A lot of company politics.
25,Two Sigma,Great company,2021-04-05,5.0,Senior Software Engineer,"Good compensation, company invests in employees' training, very good health insurance, free snacks, employees at all levels have a voice, management cares about work life balance, friendly people, very smart people, great values",Technical debt (but not worse than most other companies)
26,Two Sigma,Great company,2021-04-05,5.0,Quantitative Risk Analyst,"Smart people, stimulating work environment, management cares about the well being of the employees","Nothing, definitely a good company"
