,company,headline,date,overall_rating,author_position,pros,cons
0,Access Bank PLC,NIL,2022-04-07,5.0,Bank Teller,It’s the best place to work,I don’t think there’s any
1,Access Bank PLC,Great workplace,2022-04-07,5.0,Frontend Developer,Fast pace environment and early adopters of technology,"If you're not a workaholic, you might have a hard time coping."
2,Access Bank PLC,My review,2022-04-07,4.0,IT Analyst,"Trainings and certification
It a good environment",The leadership style of bosses
3,Access Bank PLC,Good,2022-04-05,5.0,Cybersecurity Analyst,The opportunity to learn is a lot,There is so much to learn and do
4,Access Bank PLC,NIL,2022-04-05,3.0,Customer Service Representative,a good place for a start up career,no career growth for support staff
5,Access Bank PLC,Happy to be working for Access Bank,2022-03-31,5.0,Head of HR,Clear on vision for expansion in Africa,Access Bank PLc is a Great place to work
6,Access Bank PLC,Access Bank culture,2022-03-30,5.0,Human Resources Business Partner,Very ambitious and driven organisation,Poor engagement levels that affects satisfaction
7,Access Bank PLC,Most haphazard system I have seen,2022-03-29,2.0,Graduate Trainee,They pay slightly higher than other banks.,"There is a clear lack of communication between management and branches. Staff are overworked, unencouraged and dissatisfied."
8,Access Bank PLC,IT SUPPORT,2022-03-29,1.0,IT Support,"Regular income, and health insurance.","High stress environment, Toxic environment"
9,Access Bank PLC,Great place to start,2022-03-28,4.0,Relationship Officer,Learning opportunities as even newbies are given high level of reaponsibility,May be considered toxic in terms of how employees are treated
10,Access Bank PLC,I worked as the ABM for 5 years,2022-03-26,3.0,Assistant Branch Manager,Flexibility in work tools for employees,Poor employee management and culture
11,Access Bank PLC,Operations arions,2022-03-25,5.0,Customer Service Representative,Good place to work. Job security. Career prospects,Work load could be overwhelming
12,Access Bank PLC,Job review,2022-03-25,3.0,Anonymous Employee,opportunities to learn and grow,Work life balance and culture
13,Access Bank PLC,Good company,2022-03-24,3.0,Relationship Manager,Good brand and good exposure,not a place to be if you are in marketting
14,Access Bank PLC,Less salary,2022-03-24,2.0,Anonymous Employee,"Supportive colleagues, flexible working days",Very salary than the industry stds
15,Access Bank PLC,Very Aggressive Working Environment,2022-03-24,3.0,Financial Analyst,You work in an aggressive environment that drives you to do always do more,"Work-life balance is poor and can be very poor, depending on your team"
16,Access Bank PLC,Company Review,2022-03-23,5.0,Anonymous Employee,A great place to start your career,A lot of responsibilities and targets
17,Access Bank PLC,None,2022-03-21,3.0,Relationship Officer,There was none for me,Pressure is too much there.
18,Access Bank PLC,Good,2022-03-21,5.0,Graduate Teaching Assistant,Good Organization for recruitment purposi,The company is amazing & accommodating
