,company,headline,date,overall_rating,author_position,pros,cons
0,Amundi,lovely environment,2022-03-15,5.0,Junior Trader,good vibes and fun people,stress can be a bit much
1,Amundi,Great company to work for,2022-03-09,5.0,Anonymous Employee,"Growing
Treatment of Employees 
Company culture",No cons to report .
2,Amundi,Great,2022-03-03,5.0,Portfolio Manager,Great place to work . Lots of opportunities,Nothing really negative to say
3,Amundi,Mostly positive experience,2022-03-03,4.0,Anonymous Employee,"Decent salary and benefits, staff are friendly, office is very spacious and provides a very good working environment.",Poor communication between Paris and Dublin office occasionally which could affect system usage and workflow.
4,Amundi,Depends on where you are at in life,2022-02-23,3.0,Anonymous Employee,"Great work life balance and little stress, maybe because of the French ownership. Some good benefits.","Slow moving, you won't feel overly challenged or pushed. Salaries are below market rates and there are no annual salary reviews."
5,Amundi,Nice company culture,2022-02-22,5.0,Intern,The staff are friendly and helpful staff,I did not have any negative experience
6,Amundi,Great,2022-02-19,5.0,Intern,Very fast paced and challenging,Nothing bad to say all good
7,Amundi,Low stress finance,2022-02-18,3.0,Portfolio Construction Analyst,work life balance was good,"Everything moves slowly, not somewhere for ambitious people."
8,Amundi,Good company with many advantages,2022-02-18,4.0,Business Data Analyst,"Good package of remuneration.
Work life balance with many paid leaves and other advantages.","The working environment sometimes is not really dynamic (I guess it depends on services/department) and some administrative, RH processes are quite heavy."
9,Amundi,Good Company,2022-02-16,4.0,Sales Support Analyst,Good Company with interesting tasks and,Quite hard to get promoted
10,Amundi,Good but not too ambitious,2022-02-16,3.0,Risk Manager,Gives responsibility quickly to young staff members,No incentive to outperform inside or outside
11,Amundi,Good,2022-02-15,5.0,Anonymous Employee,Good Company with an Global exposure,Large company with complex strutcure
12,Amundi,Very good employer,2022-01-17,5.0,Sales Manager,Reputation of the investment company.,Salary could be higher even for base positions
13,Amundi,Good,2022-01-16,4.0,Asset Manager Senior Professional,Salary + bonus + structure + localisation + équipe,Large Workings hours and huge stress environment
14,Amundi,Good not great,2021-12-17,4.0,Senior Investment Analyst,Interesting work and large scale,Talent doesn’t stay that long
15,Amundi,Admin,2021-10-10,3.0,Receptionist,"- Nice people
- Corporate culture",- Hard to get permanent contract
16,Amundi,Good company,2021-10-04,5.0,Institutional Client Services,"Competitive package, friendly working environment",Needs to be more organized
17,Amundi,ok,2021-10-02,3.0,Senior Web Developer (Full Stack),"nice people, decent office and close to the dart station. Projects are ok, but a lot of pressure, sometimes work in more than 1-2 new projects in parallel.","not so much flexibility when regarding remote working or for start&end time in the office. There are only very few lucky ones to benefit the full remote. Also strict dress code, only Fridays is for casual, which is not justified for IT guys and other no client facing teams."
18,Amundi,Great Company and great Management,2021-09-21,5.0,Anonymous Employee,"- People
- Bonuses
- Opportunities
- Work-life Balance
- Working environment","- Lack of flexibility in changing position within the company 
- Not many opportunities to travel"
19,Amundi,Don’t recommend anyone young / ambitious to join,2021-09-20,2.0,Anonymous Employee,"This company doesn’t really sack people, so even if you perform badly, your bonus is still stable.

You don’t have to work hard for this company, because your compensation package and promotion path wouldn’t change much anyway","- A very French-centric company, that means all - key decisions and information are only available from France, so it’s very limited on what you can do, you feel very helpless when there is no response/support from Paris, which happened very often

If you are young and you have ambitions, this company is not for you, go to investment banks / hedge funds instead for a much better package

The so-called trainee program only offered 1 year contract role to graduates, with only 7 days of AL and significantly lower salary than other management trainee programs organised by banks. There is no future to be a trainee here, they don’t grow you and only use you for cheap labour only.

The management culture of the Hong Kong office is very local and it’s not a MNC. No work from home is allowed once the government resumed working from office , which is probably the only FI had such a practice. Besides, there was no allowance given to employees to wfh. You also need to clock in and clock out because the HR generates a record to see who is late for work."
20,Amundi,Large industrious company,2021-09-19,3.0,Anonymous Employee,"Large company, long-term approach, does well in areas that competitors do not","Not technology-driven enough, not able to brand itself as well as Amercian competitors"
21,Amundi,"Investment culture, performance matters",2021-09-17,4.0,Analyst,"People are great
Analyst portfolio
Accountability for analyst measurement
Expectations are straightforward","Some PMs not easy to work with
Pay is below market"
22,Amundi,Opportunity for fresh people,2021-09-03,3.0,Retail Sales Support,Give opportunities to try different tasks,"The internal control in Taipei office is chaotic.
No chance to transfer for contract to permanent.
Employee's flow rate is very high"
23,Amundi,PM,2021-07-30,4.0,Portfolio Analyst,"Leading research, excellent product, brilliant team and well-structured culture. 
Leading global asset manager, excellent market reputation. 
Colleagues are quite helpful and of leading insights.","very low market share in Hong Kong, marketing strategy not quite aggressive, team size not quite large, many analytics are conducted in Paris, HK side hs no opportunity to involve in significant model validation process."
24,Amundi,not too bad,2021-06-29,1.0,Software Developer,nothing worth to comment. We can find betters,hr is too bad. The Hr policies is only for permanent contracts
25,Amundi,Pros and Cons Amundi,2021-06-15,3.0,Senior Product Specialist,"Good work and life balance, leeway to implement ideas",tendency to hire externally instead of internal promotion; heavy org chart
26,Amundi,Very biased,2021-05-18,3.0,Trade Analyst,Good bunch of people - good coffee,Terrible politics - no scope of career development
27,Amundi,Classic IB corporation,2021-05-13,3.0,Portfolio Manager,Company wants to take care of the employees and takes care of them,It is not really aspirational just like another big IB house
28,Amundi,Great Place to work,2021-05-13,4.0,Business Development,Communication is excellent and you understand what is expected of you.,need to build more market share for more growth opportunities
29,Amundi,Fair work for Fair pauy,2021-04-22,4.0,Internal Wholesaler,Hours are easy and it isn't rocket science,they focus more on culture than results which is strange in such a competitive industry
30,Amundi,A decent place to work,2021-04-06,4.0,Analyst,"Pleasant colleagues, International Company , Good work/ life balance","Compensation could be higher, although non-financial benefits are good"
31,Amundi,Bon,2021-04-01,5.0,Risk Manager,Good place to work at,None to think of currently
32,Amundi,Good,2021-03-24,5.0,Anonymous Employee,"Good company, good working environ ment",Big company with lot of processes
33,Amundi,No,2021-03-21,4.0,Credit Risk Analyst,"INTERNATIONAlity, great endeavour, competent staff","Hard work, highly competitive endeavour"
34,Amundi,Amundi AM internship,2021-03-01,5.0,Quantitative Researcher Intern,"Brilliant quants in the team, real good team spirit",Salary is very low for Paris
35,Amundi,Solid company,2021-03-01,3.0,Anonymous Employee,"It is a solid and big company, well placed to compete internationally","Too complex, too much bureaucracy, little career opportunities"
36,Amundi,Good franchise,2021-02-21,4.0,Director,"good franchise in both institutional, distributional and also ESG",Asia team can be even stronger
37,Amundi,Great place to work,2021-02-11,4.0,Anonymous Employee,"Collegial atmosphere, intelligent people, interesting work",Typically pays below market salaries
38,Amundi,Satisfied,2021-02-11,5.0,Anonymous Employee,"friendly staff, flexible working hours, work-life",not so many opportunities to grow
39,Amundi,Odd,2021-02-03,3.0,ODD Analyst,None the firm is going nowhere positive anytime soon,"Awful environment awful mangement, a truly toxic environment"
40,Amundi,Good company,2021-02-01,3.0,Legal,"Great structure, well organized, Mobility, Network, International, Interesting","Each person has one task
Work/life balance not always good"
41,Amundi,Should have more benefits for contract staff,2021-01-23,3.0,Trainee,Mid-level management are good and reasonable.,Package for contract staff is not attractive
42,Amundi,Good Work Life Balance,2021-01-12,3.0,Institutional Sales,"Good Work Life Balance
Chill People","No career development
Tough if you don't speak French"
43,Amundi,"OK, not great, not the worst",2021-01-11,2.0,Analyst,"- Nice People
- You can learn a fair amount if you look for learning opportunity, as the people are generally nice and happy to help
- Nice office
-Work-Life balance is good relative to other places","- Culture can be toxic
- High employee turnover
- Salary, profit share and bonus is below market - keen on maintaining a specific cost/income ratio - very skewed pay distribution 
- Nepotism, you won't be hired on the basis of merit - some very questionable hires in relatively senior positions where skill/knowledge doesn't match job role and would not happen at a decent firm, it also helps if you are French and you have a personal relationship with the CEO 
- Progression for young people is non-existent, they prefer to hire young people on rotation rather than build young people to lead the business"
44,Amundi,nothing nothing,2021-01-10,3.0,Junior Consultant,there is nothing pros works in here,team ambiance is tendue and no one care about you
45,Amundi,Assistant,2021-01-04,5.0,Executive Assistant,There were good hours at my place of work,There were limited challenging work
46,Amundi,Amundi,2021-01-04,3.0,Fund Administration,"People
Challenging environment
Autonomy
Opportunity to engage in a lot of project work and process improvements 
Bonus/Benefits","Systems
Org structure is overly complex 
Promotional opportunities"
47,Amundi,great,2020-12-04,4.0,Relationship Manager,very nice people to work with,not easy to make progress in career
48,Amundi,Employed,2020-11-30,4.0,Equity Analyst,Employed for many many years,None comes to mind at present
49,Amundi,There are better uses of your time,2020-10-27,2.0,Internal Wholesaler/Regional Sales Associate,"Great location, big salesforce and good foot in the door for the industry","Not a whole lot of accountability, your progression in the company is dependent on pleasing one person (more or less) and sometimes its embarrassing how unprofessional they can be to both employees and clients"
