,company,headline,date,overall_rating,author_position,pros,cons
0,Angel One,aa,2022-04-05,3.0,Sales Executive,"good company for freshers
good company for freshers",no worklife balance still good for freshers
1,Angel One,God company,2022-03-28,5.0,Anonymous Employee,"Very good product
Good Company policies
Good learning",Extra working hours that degrade work life balance sometimes
2,Angel One,Golang Engineer,2022-03-27,4.0,Deputy Manager,Good company to work in,Work pressure is huge here
3,Angel One,"Very poor Management, looks everyone joined with reference only",2022-03-20,3.0,SRE Engineer,Previous management is good had quality work.,All Walmart people captured Angel one management now. No technical experience. Zero management skill. Their goal is set to fire old employees and hire their friends from Walmart. More than 90% of new hiring came from Walmart in the last 3 months. Now just Walmart lobby is there and you can not question them.
4,Angel One,Good,2022-03-15,3.0,Executive,Good company to work at,Salary hike not so good
5,Angel One,Good,2022-03-11,5.0,Trader,Good company and environment is good,Not bad at all thats it
6,Angel One,Great Place to Work,2022-03-10,5.0,Graphic Designer,"Permanent work from home.
Friendly work environment","Work Pressure.
Frequent Urgency of work."
7,Angel One,sales executive,2022-03-03,3.0,Telecaller Executive,get industry knowledge of brokerages,heavy pressure at work time.
8,Angel One,Good job,2022-03-02,5.0,Research Analyst,solid management with great career prospects,the working hours were a bit long
9,Angel One,my experience very nice in this company,2022-03-02,5.0,Software Engineer,higher then previous company in delhi,there is on issue to cons
10,Angel One,Best place to work with friendly teams,2022-02-28,5.0,Software Development Engineer (SDE) II,"Flexible environment, freedom to take care in case something important other than office work comes up.

Great work culture with amazing team members and environment.

Great work life balance.

Great diversity.",Not of anything that I can think of now.
11,Angel One,Good,2022-02-24,4.0,Anonymous Employee,It was good experience with the interviewer,I don't have much negative points
12,Angel One,"Company is good, work culture also good",2022-02-22,5.0,Anonymous Employee,"Company is good , even canteen food is also good","So much politics, management is not good"
13,Angel One,Good,2022-02-19,5.0,Product Manager,Friendly and productive work culture,No cons found till now
14,Angel One,Good,2022-02-19,5.0,Sales Representative,Timely salary credit every month,Target oriented work load every month
15,Angel One,Great Company to work with - 1 Year of Experience Review,2022-02-18,5.0,Senior Quality Analyst,"Great Work Culture,
Saturday Sunday Holiday,
Each one is Supportive, 
You can directly contact any person in the Organization,
compensation is given for working during weekends or at night,
All communication is carried on SLACK,
Most of the meetings are pre-planned,
Weekly YOGA, Dance session is scheduled for","Mid-Night major changes Deployment Activities are planned. So need to test all applications during the weekend after 1 AM to 3 to 4 AM.
and sometimes minor changes deployment is done on Saturday morning."
16,Angel One,Nice place to work,2022-02-17,5.0,Creative Specialist,"Nice place to work, supportive people, and a friendly environment, and also there are lots of learning opportunities.",No I don't find any dislike about working with
17,Angel One,Nice,2022-02-14,4.0,Operation Executive,Best company in broking industries,Mis Management in operation in company
18,Angel One,Angel One is a #greatplacetowork,2022-02-14,4.0,Lead ORM Manager,"There is an open door policy and we have full opportunity to brainstorm, learn grow and improvise. The place I currently working at is a save and productive work place. The company really cares about the safety of their employees. They provide us all the necessary trainings whenever required.",Needs a hybrid work model
19,Angel One,Good learning opportunities,2022-02-14,5.0,Data Analyst,"Learning opportunities were good
Friendly colleague",Can't think of any as of now
20,Angel One,Angelone is the best place to work,2022-02-14,5.0,Executive,Angelone best part is there is Work from Anywhere Process and the best Company to work we get some good to learn as well from Angelone.,No cons according to me
21,Angel One,Great Place to Work,2022-02-14,5.0,Deputy Manager,"Good policies, flexible work schedules, friendly & supportive management, scope to grow, constant learning opportunities, healthy work-life balance",none according to me as of now
22,Angel One,Flexible and an Amazing Place to Learn,2022-02-14,5.0,Social Media Marketing,"Work From Home
Clear objectives
Creative freedom
Offers various learning avenues",Noting at the moment - NA
23,Angel One,Great Place to work,2022-02-13,5.0,Senior Research Analyst,"AngelOne is among the best in the industry, as the organization appreciates the employees’ hard work as and when needed. Apart from appreciation, the working culture and the supporting network across and among the departments are brisk and swift. Supportive team members and a doable attitude make it the leading in the class segment.

#Breaktheoffice and #Workfromanywhere are some of the features that make it one of the best places to work.",Haven't faced yet. Will surely update if any
24,Angel One,Great Place to work,2022-02-11,5.0,CHIEF MANAGER,"Working environment
Management vision mission and adaptability
Freedom of working",Pay Scale to be matched with Fintech Industry
25,Angel One,Sanyam Sharma always been helpful throughout the year with required needs,2022-02-11,5.0,Assistant Manager Administration,"I always feel better place t work , with my team and my Administration head 
Its pleasure to have such Organisation looking every time better and better with improving with our improvement , they always find something new in me to explore my efficiency and my work and task","I feel more efficient, bonded and capable to handle all kinds for situation, received more knowledge to improve my abilities with the confidence and move on with Organisation for his and my betterment and more of productivity"
26,Angel One,Angel One - Indeed a Great Place to Work,2022-02-10,5.0,Deputy Manager Sales,"The work culture at Angel One is one thing that makes me feel grateful about this job that I have
Work From ANYWHERE - literally, the team is spread across the country, and each one of us has the liberty to get the work done from anywhere
At Marketing, we have great leaders & mentors, who are guiding & pushing us to learn and do more every day - amazing, isn't it?",There's a lot of PROS to write about :(
27,Angel One,It is always good & privileged to work with Angel One,2022-02-09,5.0,Enterprise IT,Good team environment in Angel one,All the systems should be aggregated in one domain instead work group.
28,Angel One,Great Culture and good Learning,2022-02-09,5.0,"Lead, campaigns management","- Good supportive culture
- Work from Anywhere
- Transparent Leadership aligned with clarity in goals
- Great Talent Pool, you will work with experts from particular fields",- Pay parity mapping is required for older employees
29,Angel One,Good web,2022-02-07,4.0,Software Development Engineer I,"Good compensation and benefits , good wlb",Work could be more challenging
30,Angel One,Angel one Product review,2022-02-07,4.0,Senior Product Manager,"No micromanagement, Leadership respects work life balance, Really good tech team","Pace of decision making, Too many VPs"
31,Angel One,Angelone,2022-02-04,5.0,Costomer Service Associate,Best place to work and work from anywhere,No downside in an angel
32,Angel One,Its a Good wokplace to work with.,2022-02-04,5.0,Executive Assistant,Friendly Environment. Helping Nature of Seniors.,Pay Scale and nothing more as of now
33,Angel One,Great place to work,2022-02-04,5.0,Influencer Marketing Manager,"Work from Anywhere policy
Perks and benefits
Proper Management","Absolutely nothing to say, no cons"
34,Angel One,Great linkedIn profile related,2022-02-04,5.0,Customer Service Manager (CSM),Learning lot of new things in angel one platform,not able to give all the answers to customers on the same time
35,Angel One,Great place to work,2022-02-04,5.0,Anonymous Employee,Support to learn new technologies and work from anywhere policy,I have' not experience any cons yet.
36,Angel One,Angel one,2022-02-04,5.0,Customer Service Associate,Good team and supportive seniors,N O T H I N G
37,Angel One,Great Place to work,2022-02-04,5.0,Deputy Manager Sales,"Great place to work with comfort, safety and growth",Nothing so far . . .
38,Angel One,Training was quite helpful in understanding and making our own personal branding,2022-02-04,5.0,Senior Customer Service Associate,Angel One takes much care about employees and there needs,stretching work for 12 hours without benefit which effects personal space
39,Angel One,Superb Company,2022-02-04,5.0,Campaign Manager,"Very employee centric company
Appraisal are fair
Efforts are recognized
Permanent WFH",Some old employees need to buck up and show effciency
40,Angel One,Angel One- Great place to work,2022-02-04,5.0,Lead Payroll and Benefits Specialist,"Fair and Transparent Policies
Employee Benefits 
Performance driven culture",Team Outings are very rare
41,Angel One,Good,2022-02-03,4.0,Manager,"Good environment , good learning","Work pressure, shift timings, rest all good"
42,Angel One,Equity dealer,2022-02-02,1.0,Equity Dealer,Worst place they offer letter the employee and after 7 day work will change Or position,"I am working with angel one 
The hr were not good"
43,Angel One,JOB OF MY DREAMS AT A GREAT COMPANY,2022-02-02,5.0,Digital Acquisition Executive,"-Company understands work-life balance and actually respects that
-Our clients are top name brands and we are doing incredible things that impact the way business is done across the India . That's powerful!
-Company is growing so there are opportunities that might not immediately exist
-Company provides regular communication , listen to and consider new ideas, and continually encouraging growth, both personally and professionally.",Nothing really comes to mind. I think it is great the way it is.
44,Angel One,good,2022-02-01,2.0,Relationship Manager,get sales experience and capital market,late working hours and no staff benefit
45,Angel One,delighted working with Angel one,2022-02-01,5.0,Head KYC Operations,"I get freedom to think and being part of executions of new idea and business enablers , when company achieve new millstones I get satisfactions and appreciation and share the success . It gives feeling that i am a member of this family.",right now it nothing to highlight it going on correct path.
46,Angel One,Good company,2022-01-31,3.0,Business Analyst,"1. Good work culture
2. Good work timings",1. Lot of approval process
47,Angel One,Great place to work,2022-01-28,4.0,Customer Service Executive,Supportive staff and management great learning environment.,Less salary is the only con.
48,Angel One,Sub Broker,2022-01-28,3.0,Anonymous Employee,"Brand name, easy to convince clients",very low salary n growth for RM
49,Angel One,Best working culture,2022-01-28,5.0,Senior Software Test Engineer,Given an opportunity to everyone... transperency in every process...supportive colleagues in wfh situation as well...process oriented..,Late night working hrs 3 to 4 days in a week...
50,Angel One,Salary Review Structure,2022-01-27,3.0,Commercial Finance Analyst,"Good support mgmt good , learning opportunities","Salary constaint , extra work"
51,Angel One,I working in Angel  since last 18 years....,2022-01-27,5.0,Manager Operations,"Great Co -working Environment.
Great Professional opportunity.
Continuous Companies Growth Plans, and Execution of plans.","None...no concerns.....almost completed working in Angel 19 years, Always feels like home."
52,Angel One,Really a best place to work,2022-01-27,5.0,Product Management Trainee,"I have started working in Angel some 7 months ago, and about my experience just one word- It's incredible. 
Here you will enjoy permanent work from the home facility but that's not the only thing that separates angel one from others,
Excellent Pay
Good work-life balance
ample opportunities to prove yourself
Friendly and very cooperative people
Great HR Policies
Gifts from companies on a regular basis to celebrate festivals of life
and lot more",No cons so far that i can mention
53,Angel One,Truly a Great Place to Work,2022-01-27,5.0,Anonymous Employee,"Work From Anywhere, Employee Benefits, Super friendly Team & Stakeholders lot more. 

I am not a routine job kind of person. Angel One's culture & environment has given me a platform and freedom to explore and learn new stuff every single day. 

With the goal of becoming a full stack Fin-tech platform there is a lot happening internally and it's a great place for any one to be in and build or enhance their career (be it a fresher or an experienced professional)",Nothing as of now - So far really good
54,Angel One,"Angel one is a financial services company and is primarily engaged in stock, commodity and currency broking.",2022-01-27,5.0,Assistant Manager,Great place to work &Digitech company,No any cons in the company
55,Angel One,employee friendly and futuristic,2022-01-27,5.0,Senior Manager Human Resources,"Work from home as a permanent policiy
flat hierarchy
employee centric policies
Democratic",less bonus and incre ment
56,Angel One,Sales,2022-01-27,5.0,Deputy Manager,Angel one changes time to time their work environment and forecast market situations before any one could.,IT related issues take more time to resolve.
57,Angel One,Employee Engagement,2022-01-27,5.0,Anonymous Employee,There have been lot of engagement initiatives which gives me great workplace experience in spite of being in remote working,There are none as of now.
58,Angel One,Nice Place to work,2022-01-25,4.0,Anonymous Employee,Great opportunity to learn many things.,Need to follow strict timelines.
59,Angel One,Very good organization,2022-01-24,5.0,DVP,"Excellent culture, on path to become a fintech decacorn",Incentives could be better with esops
60,Angel One,Good company to work,2022-01-23,5.0,Campaign Manager,"Work life balance is very good
Lot of learning opportunities
Pay scale is good",For some employees Saturday is not off.
61,Angel One,Customer Experience,2022-01-21,4.0,Assistant Manager,"Work from home and work flexibility 
Paid leave 
Life and health insurance","No jobs security.
Low salry.
Lot of pressure."
62,Angel One,Nil,2022-01-19,3.0,Customer Service Executive,India's top broking firm and best,Work culture is not good for employees
63,Angel One,Okay,2022-01-15,3.0,Senior Business Analyst,"Permanent wfh, goodies, low work pressure","Less growth, no employee value"
64,Angel One,Good,2022-01-12,3.0,Analyst,Good to work with company,No cons for this company
65,Angel One,Good company but not for long term relationship,2022-01-09,4.0,Senior Manager,"Every thing is good 
They give provide facility to work from anywhere that's best part of company","May be your sr.dont have industry information .

But company appoint such PPL on sr . position that's surprise for me"
66,Angel One,Good job but sales based,2022-01-08,3.0,Digital Acquisition Executive,"Environment is very pathetic, we can't work in that environment. The leads provided by company is very very cheap and they didn't even shown intrest to open an demat account","Posionous work culture, torture, pressure"
67,Angel One,Great company to learn and grow,2022-01-08,5.0,Software Developer,"- Great company to learn and grow
- Enthusiastic Work culture
- Opportunities for professional development
- Chance to work with highly professional
- Salary on time",Nothing much Just too many emails
68,Angel One,good experience,2022-01-06,5.0,Relationship Manager,"salary was good
management was good
chance to earn incentive","time structure
pressure 
target was there"
