,company,headline,date,overall_rating,author_position,pros,cons
0,,Work at BB&T,2022-04-13,2.0,Branch Banker II,Pension was fine. Holidays fine,Hours too long. Not enough pay
1,,It is good BUT you don’t make good money,2022-04-13,3.0,Branch Banker III,My coworkers were amazing and my clients I loved!,The pay is not good at all
2,,Great job,2022-04-12,5.0,Consumer Care Representative,Hours and job are fun and upbeat,Irate customers make it difficult . But still overall great job
3,,Credit analysis,2022-04-11,3.0,Credit Analysis Manager,Good entry level position in banking,Department was not very flexible
4,,Good but,2022-04-06,4.0,Bank Teller,"Decent pay
Health benefits 
Pension plans","Short staffed
Customers can be rude
A lot of procedures to remember
A lot of fraud to deal with"
5,,The Good/The Bad/The Ugly,2022-04-05,3.0,Collections Specialist,Pay is good / insurance is good,Hours / incentive for payments
6,,teller,2022-04-02,1.0,Teller,"none , it sucked bad.","Everything was a con, and so were they."
7,,good,2022-04-01,3.0,Relationship Banker,"Good hours, great work team",Open late on Fridays' and Saturday hours.
8,,Great starter job,2022-03-31,4.0,Customer Service Representative,Good Work life balance and location.,Must work most weekends on rotation.
9,,Great Place to Work,2022-03-24,4.0,IT Team Lead,"My co workers
Benefits
Pension Plan
Location
WFH flexibility",Lack of mobility in the group I was in
10,,Good benefits,2022-03-19,5.0,Wealth Client Specialist,"They offer Pension, health insurance and programs that they actually pay you for being healthy.",Set schedule with no chance to work remote and a lot of paper work but to be expected.
11,,Decent job,2022-03-16,4.0,Universal Banker,pay/benefits/coworkers/some branches are closed on saturday,staffing has been very stressful during pandemic
12,,OK,2022-03-16,3.0,Community Banking Branch Banker III,One of the only companies to still offer a pension plan; you have to work for 5 years however to be vested,High expectations without being provided the resources to do the job
13,,Runs off all their Talent,2022-03-09,2.0,Anonymous Employee,A handful of really great co workers.,Local Management Practices were awful.
14,,Great company!,2022-03-07,5.0,Branch Banker,"Culture, salary, motivation, rewards, .. Great teamwork and Caring management.","None really, except I wish BB&T Truist would expand to cover more states and territory in the US and overseas."
15,,"Great company, sometimes the days are just too long",2022-03-06,4.0,Bank Teller,Offers quarterly bonuses for excellence in performance,Some days you had to be at the branch as early as 6:30am
16,,Great Company,2022-03-04,5.0,Area Operations Manager,"BB&T will promote from within, has outstanding benefits and some good training programs. Culture is one of community.",Procedures not always clearly understood
17,,Good Job,2022-03-01,3.0,Call Center Supervisor,"Nice benefits, knowledge leaders and decent pay",Outdated computer systems...behind the times
18,,do not work here,2022-02-28,1.0,Loan Administrator,do not work here do not work here,there are no cons for working here
19,,Fast paced,2022-02-22,3.0,Banker,Great leadership and management. Company has great core values,"Back to back calls, upset clients"
20,,Overall decent place to work,2022-02-14,3.0,Commercial Analyst,"Nice people, clear training, decent pay",Very strict on work time. No flexibility for doctors appointments or leaving a few minutes early to pick up kids. You have to use PTO for all of it
21,,Customer Care Representative,2022-02-13,2.0,Customer Care Representative,Friendly environment and plenty of overtime opportunity.,Unclear expectations from management during performance reviews and your hands are often tied when trying to assist clients.
22,,Okay,2022-02-11,4.0,Anonymous Employee,Pay and benefits and hours,Call volume is really high
23,,Nice place,2022-02-11,5.0,Teller,Enjoyed my boss and leadership,Wish they had more full time opportunities.
24,,Great company with good benefits. I really enjoyed to work at BBand T,2022-02-09,5.0,Branch Relationship Banker,Estable work conditions. Friendly environment. On-going training.,Difficult to advance. A very traditional way to do business.
25,,didn't enjoy,2022-02-08,2.0,Student,decent pay for lack of experience,terrible mgmt and a weird system
26,,"Great company, terrible department",2022-02-06,3.0,Analyst,"Good benefits, can purchase an extra week of PTO",Toxic employees aren’t removed until the entire department leaves
27,,Now Truist,2022-02-06,2.0,Analyst,Good benefits including a pension plan,"Low salaries, overworked, inconsistencies and isn't a small friendly bank since merging with Suntrust."
28,,Great atmosphere,2022-01-29,4.0,Relationship Banker,"Company culture, the team, Holidays.",Advancement opportunities. No other Cons.
29,,Great Bank,2022-01-29,4.0,BB III,"Benefits, work life balance, and career growth",A lot depends on your manager
30,,Overall Experience with BB&T now Truist,2022-01-28,2.0,BBII,The company has decent pay and growth opportunities.,Growth opportunities are not always given and there is a lack of communication within corporate and staff.
31,,Part-time Teller Experience,2022-01-27,5.0,Teller,You have access to plenty of resources that help you answer your own questions if you need help. The people who work at BB&T are nice and care about you.,"Being a part-time teller, sometimes you may be needed to work at other locations due to short-staffing at this time."
32,,"Ehh, not my favorite",2022-01-24,3.0,Client Care Specialist,Vacation time and detailed training,Salary and strict work environment
33,,Decent Place to work,2022-01-23,4.0,Bank Teller,Company benefits are nice. Will negotiate salary if you can justify your worth,"Due to the merger, there is no job security. Might be better for upper management or corporate positions."
34,,Credit Risk Review,2022-01-19,5.0,Quality Assurance Analyst,"Excellent Benefits (health, dental, vision)",Not an 8-5 job in banking.
35,,Best job ever,2022-01-19,5.0,IT Support Specialist II,"healthy work environment, very friendly",There are no cons working here
36,,My pension,2022-01-19,5.0,Assistant Vice President,Helpful to make better decisions in the future.,If your security is poor I could have a problem.
37,,Waste,2022-01-17,1.0,Anonymous Employee,Nothing expect for pension plan,Racist people from the top to bottom. If you are a minority jn this country do not come to this place
38,,Good Company,2022-01-16,4.0,Universal Banker,"401K match up to 6%, pension after 5 years invested, good insurance",Hard to move up in positions
39,,Great company,2022-01-13,5.0,Market Leader,Good company to work for. great benefits,No big cons. Stay positive.
40,,Benefits are a plus,2022-01-13,2.0,Senior Universal Banker,Higher paying job among most banks.,"Favoritism, Difficult to progress until THEY want you to, Regardless of available positions or qualifications. Under staffed even prior to the pandemic and even worse after. Some days you Will be by yourself servicing a branch full of clients."
41,,Its okay,2022-01-11,2.0,Universal Banker II,No weekends so far and the pay was okay.,Staffing issues are constantly at this job. And if you mess up they scrutinize you and make you feel stupid for making a mistake. Not a friendly environment.
42,,Terrible pay -work was easy,2022-01-05,3.0,Relationship Banker,Good work life balance. Good community in my branch,"Vacation package below standard for industry 
Pay way below average 
Seems to have outdated systems and perspectives
Very disorganized from a management front
Not Covid safe at all for employees
Little career development unless you threaten to leave"
43,,Learning curve,2022-01-04,1.0,Branch Banker,They offer great employee benefits,constantly understaffed which causes burn out
44,,Best Place to Work,2022-01-04,4.0,Human Resources Generalist,Good place to work for,Less growth options to the next level
45,,Good job if you’re full time,2021-12-23,4.0,Bank Teller,"Day shifts, compensation was high, great training","Hard to get on full time, management plays favorites"
46,,Anon,2021-12-20,3.0,Bank Teller,Working with clients on a daily,Short staffed most of the time
