,company,headline,date,overall_rating,author_position,pros,cons
0,Bajaj Finance,Bad work environment,2022-04-10,1.0,Account Manager,"- not many that I can think of
- Pay comparable to market average","- Toxic work environment
- Using expletives at the workplace is quite common from senior management 
-CEO & senior management do not support work life balance and want employees to work on Sunday as well
- Extremely high sales targets set my mgmt., with no idea on how to achieve them"
1,Bajaj Finance,collection agent bajaj finance,2022-04-08,5.0,Collections Agent,collection experience with all time 100% location close,My working experience collection agent
2,Bajaj Finance,Corporate culture and employment benefits,2022-04-07,5.0,Assistant Manager,Job security with more income,Facing customer queries and miss communication with out
3,Bajaj Finance,Good company,2022-04-07,3.0,Manager Credit,Good company & better package but there is no work life Balance,Huge pressure & Work culture
4,Bajaj Finance,Good,2022-04-06,4.0,Senior Cluster Manager,"Incentive,Growth of company ,ceo, environment,vision",Work life and Saturday working
5,Bajaj Finance,There is a lot to learn here,2022-04-06,5.0,Assistant Manager,"● Open minded seniors 
● Progressive company
● Good exposure
● Second & third Saturdays off
● Nice internal job openings 
● Generous salaries
● Opportunities to grow within the company",None that I can think of.
6,Bajaj Finance,good to start career,2022-04-04,5.0,Associate,good company to work and learn,nothing to mention as such
7,Bajaj Finance,Abundant growth opportunities and great workplace to start your professional career,2022-04-04,5.0,AREA SALES MANAGER,"Continuous engagement with the senior management via confluences and town halls. 
● Like the work culture – open, transparent and fair.
● Growth is purely performance based – no favouritism, unfair practices or politics. 
● Place for self-motivated and charged employees – innovation and creativity flows. 
● High salaries and incentives. 
● There’s enough time to recuperate because the second & third Saturdays are off here","Fast paced environment, you are expected to catch up on your own. Can’t lose focus."
8,Bajaj Finance,Good workplace with an amazing culture and great values,2022-04-03,5.0,ASM (Area Sales Manager),"To ensure that everyone is well versed with different business departments, they give importance on inter department rotations and conduct multiple trainings from time to time.
● Strong values are upheld such as respect for all, equality, meritocracy free of favouritism & biases.
● Casual dressing, no fixed seating and approachability of the seniors make the environment calm where one can give work their 100%.
● BFL pays well for performance which is over and above the incentives",Can not think of any.
9,Bajaj Finance,Hard to survive in BFL,2022-04-03,1.0,ASM (Area Sales Manager),"Salary, opportunities, Incentives, Growth, Develoment","Over time work , No work life balance , Too much stress , Hard to survive ,"
10,Bajaj Finance,This was great experience with Bajaj Finserv Ltd. They provide awesome work cultures.,2022-04-01,5.0,Sales Executive,Everything is fine when  you are capable and love you job,there is everything is good
11,Bajaj Finance,Best place to work,2022-03-31,5.0,Assistant Collection Manager,"Transparent promotion structure, best salary structure, easy to got promoted",Not had cons to share
12,Bajaj Finance,Working here is enriching personally and professionally,2022-03-31,5.0,Business Analyst,"A lot to learn from cross cultural team activities
●	Enjoy the townhalls and confluences
●	Good salaries 
●	Great culture 
●	Transparent job openings within the organization 
●	The work can be hectic, but the second and third Saturdays are off here, so there’s enough time to take a breather",I can’t think of any.
13,Bajaj Finance,"Pay Is good, not a place for designers",2022-03-31,2.0,UI Designer,"Good Salary
Lots of incentives
Good office space","No place to show creativity
Not suitable company for designers"
14,Bajaj Finance,Merit-based organisation with good pay packages,2022-03-31,5.0,Data Analyst,"- The sort of growth chances and remuneration offered here are worth it.
- If you want to experience startup-like passion and fun with established work culture and policies, then join Bajaj without thinking twice. 
- No dress code and good bonuses. 
- Relaxed leave policy, though it you have to work two Saturdays a month!
- Creativity and versatility are highly valued. Advice to newcomers – be eager to learn from day one!
- Enough time to take a break and then get back to work as 2nd & 3rd Saturdays are off",Can not think of any.
15,Bajaj Finance,Best for youngster,2022-03-31,4.0,Manager Administration,It's carves you to adapt to the changes,None observed in my domain
16,Bajaj Finance,Most bad place to work,2022-03-31,1.0,Sales Manager,Good hike and incentives and promotion,"Work life balance is screwd up
No time for family
Working on sunday is a regular feast
No bank holidays
No fix working hours 9 - 11 at night working hours"
17,Bajaj Finance,Good Experience,2022-03-29,4.0,Salesforce Developer,"Learning wise good 
good salary",Work life balance is not good
18,Bajaj Finance,FINANCE MANAGER,2022-03-29,5.0,Finance Manager,"AMAZING CULTURE, WORK LIFE BALANCE",nothing as of now to share
19,Bajaj Finance,Fun orkplace with a good vibe and healthy culture,2022-03-28,5.0,"Manager, IT","It is easy to walk up to and speak to seniors about issues or give your opinions and suggestions as they are quite approachable.
Progressive culture where everyone is open with one another, just like a modern fintech start-up. 
Incredible prospects to grow; almost double as compared to the kind of opportunities I have been presented with in my previous companies. 
Everyone feels respected and valued here due to the unbiased work culture and ethical values instilled in the BFL employees. 
Work can get too hectic at times, but considering that the second and third Saturdays are off here, nothing is ever too difficult.","Work gets hectic at times, but to be honest that is the case everywhere."
20,Bajaj Finance,Boost your skills and mindset,2022-03-28,5.0,Cluster Manager,"Skill set
Mindset
Minute things related to business 
Data analysis
Earning","Personal time 
Family time 
Holidays
Workaholic
High pressure
Support"
21,Bajaj Finance,Overall good,2022-03-27,4.0,Assistant Sales Manager,Very active in Digitally and culture is average,Nothing is there as bad
22,Bajaj Finance,Senior Unit Manager,2022-03-24,3.0,Data Analyst,Less work in my team,No proper work culture. No much growth
23,Bajaj Finance,Good place for hustlers,2022-03-24,3.0,Anonymous Employee,"Good Pay, Growth Opportunities, Stability, Good Benefits","No work-life balance, Less creative thinking,"
24,Bajaj Finance,"Dynamic management, amazing career prospects",2022-03-24,5.0,Credit Operation,"One of the few organisations where the senior management is very active and full of youthful energy. Has helped me settle in the organisation big time. You can choose to move vertically or at least horizontally, so no scope of career stagnation. A very open and diverse office where sitting together and brainstorming past challenges is always fun and engaging. Rewarding increments, perks and compensation.",Haven't experience any so far
25,Bajaj Finance,A Great Fit for the Ambitious,2022-03-24,5.0,Assistant Products Manager,"- Pick and choose your projects with freedom 
- Something to learn every day, thanks to the dynamic nature of the workspace
- Casual dressing, relaxed office timings, though only two Saturdays are off
- Focus on personality development along with improving skills through HR programs
- Some of the smartest people I have ever worked with 
- Cool colleagues - buddy like peers, and very supportive management and seniors
Cons:","No cons, in my opinion."
26,Bajaj Finance,Freedom to experiment and work in different projects,2022-03-24,5.0,Data Analyst,"- High calibre, high tech organisation that believes in solving challenges through the best technology
- Emphasis on turning freshers into leaders right from the off 
- Work pressure is there, but you will get through it due to exciting nature of projects 
- A decent mix of good salary, better increments, and great benefits
- You can take off as per your convenience, no issues in that department","Difficult to think of a con, aside from maybe the strict deadlines."
