,company,headline,date,overall_rating,author_position,pros,cons
0,Banamex,"Citi is great, but not in Mexico",2022-04-01,4.0,Assistant Vice President Risk Management,"Good pay, backed up by Citi, stability","Employees in Mexico get unnecessarily overworked, processes are inefficient and there's no willingness to improve, career opportunities are for NAM and ASPAC mostly, highly dependent on your Manager's style to ever get exposure"
1,Banamex,GOOD LEARNING,2021-07-21,3.0,Gerente Divisional,"Payment, banking benefits, health benefits, vacations","Long working hours, too political"
2,Banamex,.,2021-06-07,5.0,Team Lead,Good Company to work for.,extra benefits are quite less
3,Banamex,Good place to work,2021-04-09,4.0,Associate Client Desk,"Brand, opportunities to grow, benefits, discounts","Overly bureaucratic, sometimes complex procedures"
4,Banamex,"Great Company , Great People",2021-02-27,5.0,Technical Director,"Big Company , there are a lot of different jobs , food salary , home office available","Risk Control Environment
New Labor Policies 
Age discrimination"
5,Banamex,Good payment,2021-01-04,5.0,Business Analyst,Good salary and perfect work team,No balance in your life
6,Banamex,Leader Financial Company,2020-12-20,5.0,Assistant Vice President,Growth opportunities based on meritocracy,Not a very diversified company
7,Banamex,Good Salary. Stressful work environment,2020-11-16,3.0,Priority Banker,Good Salary for people above cashiers.,Old banking system. Complicated process and too much red tape for both clients and workers.
8,Banamex,JOB,2020-11-11,5.0,Analyst,"very good bank, it is huge",they doesnt have so much career
9,Banamex,It was a decent job,2020-10-10,5.0,Assistant Manager,they have a nice enviornmenyt,bad salary rate but it was kind
10,Banamex,good career progression,2020-09-16,4.0,Assistant Vice President,good salary in a multi-national company,I had a good experience
11,Banamex,Good place to work,2020-06-30,3.0,Cobol Developer,A lot of things to learn from a big company,Some of their processes are rather burocratic
12,Banamex,Great career development,2020-06-24,5.0,Relationship Manager,You can make a life career in the bank.,The lifework balance is tipped towards work.
13,Banamex,Great company to work and go up,2020-01-22,5.0,Database Marketing Analyst,good salaries and interesting job duties,"big  company, high competitive, poor work/life balance"
14,Banamex,"Old school place, feels like goverment institución.",2019-11-16,2.0,Relationship Manager,"Average salary, Citi brand and products.","Old school, poor medium and high management. 
Bureaucrazy. 
Poor Working culture"
15,Banamex,great place to work,2019-10-10,5.0,Director Risk and Compliance,"development, benefits, open areas, inclusion, salary, ethics",some obsolete process take your time off
16,Banamex,Good place to work,2019-05-19,4.0,Relationship Manager,Good client exposure and interesting projects,"Going through a reconstruction period, trying to comply with US and Mex regulations has taken a toll on the company"
17,Banamex,Financial Planning and Analysis Area,2019-04-21,4.0,Director,Experience as a Professional is great,Permanent reduction in personnel avoids lack of commitment
18,Banamex,"Liquidity risk, cva, ROA, NIM analysis",2019-03-09,4.0,Market Risk Analyst,"good wage
intersting projects
top tier company
bonus","long hours, high stress, complicated work enviroment"
19,Banamex,Sales Manager,2019-02-07,5.0,Sales Manager,"Growth, high remuneration, development, constant training, travel.","insecurity, continuously change in top management,"
20,Banamex,Senior Financial,2018-12-19,3.0,Anonymous Employee,"Great health plan,  fair vacations days","Poor Management, bad career advancement"
21,Banamex,No recomendable,2018-12-13,3.0,Assistant Vice President,You can get better positions just with  relations,"Doen't exist  work/life balance culture, there's no organization"
22,Banamex,Currency trader,2018-12-12,3.0,Currency Trader,"good pay, mobility to different states","long working hrs without breaks,  disorganization or too much micromanagement depending on your team leader"
23,Banamex,Good career opportunities,2018-10-31,4.0,Anonymous Employee,"There are some good professional opportunities.
The salaries are fair.","Long working hours
Not enough training"
24,Banamex,Great company depending on who you work with,2018-10-10,4.0,Anonymous Employee,Great pay and benefits for everyone,Too much bureaucracy and bad team culture
25,Banamex,Project Manager,2018-05-20,5.0,Project Manager,Opportunities to get knowledge about the area you are.,Its processes are so slow and sometimes very elaborate.
26,Banamex,Analyst,2017-11-08,3.0,Analyst,"- good starting salary
- good working enviroment","- burocracy
- gowth is slow"
27,Banamex,Controllers Department,2017-10-06,5.0,Anonymous Employee,Great place to work in. Great benefits and time off. Great culture and Values.,Too bad the bank is closing down.
28,Banamex,Operations Quality Control,2017-09-21,3.0,Operations Analyst,"friendly, flexible work schedule,  corporate culture","old systems , upper management not open to suggestions"
29,Banamex,Clash of cultures,2017-09-05,3.0,Subdirector,"Teams with very experienced and hard working people. 
It used to be a place with proud professionals and the best place to develop ones career and learn from the best.  Now it has changed quite a bit. 
Many of its business areas are very profitable and have longstanding relationships with the most important clients all over the region.","Very long hours and lots of pressure to reach business targets but with diminishing resources (financial, technological and human capital). 
Too much control, oversight and scrutiny to all processes and even individual lives, making people feel uncomfortable and under pressure all the time. 
Silos and continuous power struggles at top management and middle management positions that damages collaboration between teams.  
Very poor investment in in decent physical working spaces, everything very dated, cramped and uncomfortable.  
Constant reshuffling of team members and even whole business areas. Matrix reports to different bosses with different agendas, diferent locations and management styles makes it difficult to ""please"" everybody and achieve the best results. 
Once it was a great place to develop your career. The fashion has changed drastically. They now prefer attracting people with specific skill-sets and pay big numbers to these people instead of allowing internal candidates to grow and develop within the Bank.  There are many internal thresholds, rules and limits to moving up and getting paid better.  This has resulted in many experienced people leaving the bank (searching for better opportunities) while at the same time many newcomers being paid lots of money but with some zero knowledge of the Banks processes, teams,  culture, etc.  This is quite inefficient because it takes a lot of time for the newcomers to adapt and start making a difference, while experienced internals are being pushed out."
30,Banamex,Analyst,2017-08-31,1.0,Analyst,Good long term employees there,Old Mexico Culture was stifling
31,Banamex,Relationship Manager,2017-08-15,4.0,Anonymous Employee,"great place to learn, opportunities to develop and grow",sometimes the workload is very heavy
32,Banamex,Banamex marketing,2017-07-09,1.0,Marketing Manager,Largest bank in Mexico. Steady company,Most bureaucratic company in the world
33,Banamex,Stable job at a big company,2017-06-10,3.0,Lider De Proyectos,"Stable job at a big and easily identifiable company, part of an international group (Citi); has all the challenges of a job in finance","Benefits are not what they used to be, most jobs are now outsourced. All rules come from Citi and sometimes are not properly translated to the Mexican market's needs"
34,Banamex,Relationship Manager,2017-01-23,4.0,Relationship Manager,"High perks, Great people, you learn a lot.","Lots of hours, plenty of levels up the chain, big size makes thinks move slower."
35,Banamex,Banamex - great place to work,2016-09-26,5.0,Anonymous Employee,Great Company to Work. Competitive Salary. Personal and Professional development.,Excesive micromanagement from oversighters resulting into too much time expended in those activities.
36,Banamex,Slow mover,2016-09-21,3.0,,"Positive brand recognition by consumer
Great people within the organization","Innovation in legacy technology bound
No work-life balance"
37,Banamex,ADMINISTRATIVE SPECIALIST,2016-08-22,3.0,,"COMPETITIVE SALARY, 
GOOD WORKING ENVIRONMENT",Many hours of work after hours
38,Banamex,Investigator,2016-08-09,1.0,Anonymous Employee,"Interesting field
Benefits
Nice building
Farmer's market in the vicinity
Holiday events 
Hours were great
Not too big of a company","Unqualified management
Raises were practically non-existent
No room for advancement
Supervisors did minimal amount of work
No company culture"
39,Banamex,Wealth Management,2016-06-10,3.0,Banker,The balance between work and life is fine. The bonus in the area are difficult to get but they are not bad. The medical service and the credits are very attractive.,The management is struggling and pushing too much the employees and that creates problems within the organization.
40,Banamex,Good,2016-05-27,4.0,Anonymous Employee,Good management and good payout,Stress to hit revenue targets
41,Banamex,Project Manager,2016-05-16,3.0,,"Global company, one of the most important financial institutions in Mexico, great oportunity to work with global teams","Distance to the office, work schedule"
42,Banamex,Excellent Opportunities,2016-03-27,4.0,Anonymous Employee,"Competitive Salary. breadth of tools at your disposal, large corporation with excellent quality standards.","One may feel to small as it is a very large operation, not very intellectually challenging. 
Depends on your title."
43,Banamex,Commercial strategy,2016-02-19,3.0,Strategy Coordinator,"You can find A lot of talent people, you get a good professional network, you have the possibility to get global relations within company,","Due to it is a global company, there are procedures and policies that don't allow to have the better time to market"
44,Banamex,Good experience,2016-02-01,4.0,Anonymous Employee,Good network and learning experience,"Salary, big organization, bureaucracy, might be difficult to grow"
45,Banamex,Good in general,2016-01-26,4.0,Relationship Manager,"Good company, flexible and good benefit plan.",Too much administrative paper work which doesn't allow you to focus on your main duties.
46,Banamex,"Good Company to work for, but could be better",2016-01-04,4.0,Credit Analyst,"-Very organized company and posibility to grow.
-Not innecesary work done, al that i do has impact, at lease in my area.","-Not a lot of exposure, you show your work to your boss and your boss to his boss, never get the chance to present something to an important person in the company."
47,Banamex,good,2015-10-22,3.0,Anonymous Employee,its a big company in mexico,there are less benefits each year
48,Banamex,"Average employer, in constant optimization",2015-10-19,3.0,Project Manager (TI),"Banamex is the Mexican subsidiary of Citi, so a lot of mature top worldwide processess and policies are in place and learning them can be very helpful for yor career.","Although part of Citi, Banamex is highly independent, so not all the good things from Citi are available to you.
Banamex is deeply transforming its structure, but its strategy seems chaotic even from the inside."
49,Banamex,AML Compliance Analyst,2015-09-07,4.0,Consultant,Worked close to home and enjoyed working with my collegues,The Traffic is just horrible
50,Banamex,Wrong Attitude,2015-09-03,2.0,Information Manager,The Bank has good products and the work enviromente is not bad. Benefits for low interest loans and products are good.,"The person does not  count much, management is blind on the necessiteies of the people, that work in the bank. There is a big emphasis on productivity no matter the human cost. Your boss will not give much advice but will want you to do the work, he needs, not necessarily the one the insitutions requires,"
