,company,headline,date,overall_rating,author_position,pros,cons
0,Bank Of China (Hong Kong),nice,2022-04-07,4.0,Anonymous Employee,"-good employee benefits
-my colleagues are nice
- ot allowance","-long working hours
-a a a"
1,Bank Of China (Hong Kong),Boring,2022-04-06,2.0,Anonymous Employee,Lots of freedom at work,Not much going on culture
2,Bank Of China (Hong Kong),Stable job,2022-04-06,3.0,Operation Manager,Stable job for working at,too much redundant administrative works
3,Bank Of China (Hong Kong),Low pay and no increasement,2022-04-05,1.0,Anonymous Employee,nice colleagues and nothing else,"Low base salary and bonus, no salary review and almost no increasement in salary for promotion."
4,Bank Of China (Hong Kong),Good Platform to onboard Financial Industry,2022-04-03,2.0,Assistant Personal Banking Manager,- Provide great opportunities into Banking,"- Long work hours (~more than 10 hours when peak season)
- Manager set monthly target unachievable"
5,Bank Of China (Hong Kong),Easy job,2022-04-03,3.0,Assistant Manager,Easy handled job with short working time,Workload is heavy sometimes with Little bonus
6,Bank Of China (Hong Kong),"OK company, good colleagues",2022-04-01,4.0,Compliance Officer,colleagues were good and helpful,Salary was below average and workload was heavy
7,Bank Of China (Hong Kong),Work environment  and co-workers,2022-04-01,4.0,Anonymous Employee,"Good work environment, co-workers are friendly",Nothing nothing nothing nothing nothing
8,Bank Of China (Hong Kong),NA,2022-03-31,3.0,IT Senior Manager,very stable employment status. friendly environment,lack of innovation friendly environment
9,Bank Of China (Hong Kong),One of the great bank in Hong Kong,2022-03-29,4.0,Anonymous Employee,Well pay with good benefit,Fast paced and high pressure environment
10,Bank Of China (Hong Kong),Good work-life balance,2022-03-28,5.0,Strategic Planner,Good work-life balance and nice colleagues,Lack of career development and progression
11,Bank Of China (Hong Kong),Typical China-owned Corp,2022-03-26,3.0,Wealth Specialist,"Lower stress
Free COVID prevention kits",Poor reporting system and management hardware
12,Bank Of China (Hong Kong),Can't complain,2022-03-25,3.0,Anonymous Employee,Stable work environment. People are nice.,Slow progression. People stay forever.
13,Bank Of China (Hong Kong),OK,2022-03-25,3.0,Managing Director,Relatively stable environment; friendly colleagues,"Structured corporate hierarchy, top down"
