,company,headline,date,overall_rating,author_position,pros,cons
0,Bank of Baroda,Not a company for hardworking and motivated individuals,2022-04-05,1.0,Assistant Manager,I had diverse responsibilities and I really liked the fact that we could help poor people in some way or the other.,"There are many cons about Bank of Baroda:
1. I faced discrimination based on gender. 
2. I was mentally harassed. 
3. I was never appreciated for my hard work. 
4. There is no work-life balance (going to work on Sundays, staying until 10-11 pm)
5. Male employees given preference over female employees in everything.
6. The management only supports the branch head. 
7. Their only response to a crisis is to transfer the employee to a different branch rather than get to the root of the complaint and giving a fair judgement. 
8. The infrastructure is abysmal. 
9. Many employees get away with not doing any work because they are branch head's gossip partners.
10. It is a very toxic place to work at."
1,Bank of Baroda,Good company,2022-04-02,4.0,Trade Finance Officer,Excellent staff benefits. Good Salary & Perks.,"Extreme work pressure 
Poor Management"
2,Bank of Baroda,Decent place,2022-03-24,3.0,Senior Manager IT,Lots of learning in IT specially in development team and vendor managed project implementation teams,"No growth opportunities
Improper management in terms of projects and people at higher levels"
3,Bank of Baroda,salary,2022-03-22,3.0,Anonymous Employee,good motivation and talent hunt,low salary and poor working conditions
4,Bank of Baroda,Great Bank,2022-03-21,4.0,Business Associate,It is a great place to work.,Not that i have felt any
5,Bank of Baroda,Good PSU,2022-03-21,4.0,CHIEF MANAGER,Govt Job with less growth,Growth is not at par
6,Bank of Baroda,Psu bank,2022-03-17,3.0,Credit Manager,"Job security
No one can ask you to leave","Govt pay structure
Less growth opportunities for career oriented professionals"
7,Bank of Baroda,Pathetic,2022-03-13,1.0,Anonymous Employee,Not at all good here,Everything is a con here
8,Bank of Baroda,Nice,2022-03-12,5.0,Loan Clerk,Good growth bank in india as well as in loan field also,"On time work 
Flexibility work"
9,Bank of Baroda,Satisfactory,2022-03-10,4.0,Senior Manager,"Hardworking and competitive environment. 
Sports and cultural events.",No special recognition or bonuses on achievement of targets.
10,Bank of Baroda,The best place to work,2022-03-08,5.0,Business Associate,"growth opportunity,
interactive work environment
opportunity to work in a team, scope for collaborative learning, opportunities to develop communication skill","long working hours, less importance to work-life integration"
11,Bank of Baroda,Bank of Baroda,2022-03-05,4.0,Assistant Manager,"It is very good bank in India as it is having 3rd largest customer base, inculcating new technologies which would be creating bright future for this bank and employee w.r.t. to India.","You may feel like that your life is at stagnation after working for 5 years because same old promotion policy, salary hike is also not good as compared to inflation etc"
12,Bank of Baroda,Good place to work,2022-03-04,3.0,IT Officer,Decent perks with nice work life balance,Learning curve is not good. Monotonous work.
13,Bank of Baroda,Worked at branch level as well as Head office. During 8 years tenure 5 years in ATM operations and recon team.,2022-03-01,4.0,ATM Operations Manager,Having excellent staff for corporate work culture,Less chances to gain knowledge
14,Bank of Baroda,Social media detox and Only work,2022-02-25,3.0,Unix/Linux Systems Administrator,"You will learn multiple technologies such as HP-UNIX, AIX, Solaris, Linux.
Datacenter experiences 
It is good for someone who is starting a career in IT.","No phones are allowed
Strict rules and some bank policies.
While working in the data center you may get exposure but for replacing parts or engineer visits you will carry forms for signs same as banks it is annoying and irritating too.
Currently they are not taking any freshers right now."
15,Bank of Baroda,Hmm,2022-02-25,3.0,Bank Officer,Very good working atmoshpere here,Salary offered is very low
16,Bank of Baroda,Ok,2022-02-23,4.0,Clerk,"Indias International Bank, PSU , Secure job.",Daily Targets Daily Review meetings across all levels.
17,Bank of Baroda,Great Organization to work,2022-02-23,4.0,Financial Officer,Opportunities perks growth advices help,Work pressure deadline time management
18,Bank of Baroda,Banking review,2022-02-22,2.0,SENIOR MANAGER CREDIT,PSU gives you a safe job.,Extremely stressful and poor work life balance. Leaves not granted when required.
19,Bank of Baroda,No work life balance,2022-02-21,1.0,Operations Manager,Nothing as of now only you have to work more than private job,"No work life balance,you have to work on holidays"
20,Bank of Baroda,Credit,2022-02-20,2.0,Credit Officer,None as of now. Not good for specialist.,"No consideration of qualifications
Unnecessary work pressure without any plan
Frequent transfer 
No work life balance"
21,Bank of Baroda,Good Job,2022-02-20,4.0,Manager,Good Job and learning experience,Not much negative as more positives than negative
22,Bank of Baroda,Good place to work,2022-02-19,5.0,Banking,Good salary at entry level,Career prospects are minimal in psu
23,Bank of Baroda,Not bad,2022-02-17,4.0,Assistant Manager,"Steady job, steady salary
Good benefits",have to work more than 9-5 on most days
24,Bank of Baroda,Good,2022-02-17,3.0,Assistant Manager,"Good, good for career growth, good opportunity for learning","Transferable, targets, risk, merger has created few problems"
25,Bank of Baroda,It’s okay kind of place,2022-02-16,3.0,Manager,Good for starting your career as the pay and perks are high also allowances are good.,These days banks have become center for selling insurance etc.
26,Bank of Baroda,Good bank to work,2022-02-16,5.0,Business Associate,"Under paid ,poor management and high stress","High pressure ,careere development low"
27,Bank of Baroda,Great opportunity for temporary work,2022-02-15,1.0,Financial Crime Manager,"Great experience
Ability to move around teams","Unprofessional
No training 
No cleanliness 
They do not invest in their employees 
There is no health and safety measures in place especially with covid
They spend no money on technology
To this day I still don’t know where to go if there was a fire!"
28,Bank of Baroda,Credit,2022-02-12,4.0,Anonymous Employee,Supportive environment for beginners and good growth prospects in the early stages of the career,The growth may be stagnant after reaching a certain level
29,Bank of Baroda,My experience as an officer at bank of baroda,2022-02-11,5.0,Officer Scale I,"Stable pay, stable job, zero need of any finance degree",Not as well paid as bank's like Goldman Sachs and Morgan Stanley.
30,Bank of Baroda,Good company,2022-02-07,5.0,Sales Executive,"Good opportunity to work
I know more knowledge of real estate business future I will give bookings and visitings",I know more knowledge of real estate business future
31,Bank of Baroda,Good public sector bank,2022-02-06,4.0,Assistant Manager,"Even being a public sector bank, it tries to incorporate the private bank culture and focuses on the increase in its efficiency",The employees consider themselves as government employees and therefore consider working fast or efficiently as a bane.
32,Bank of Baroda,Presently working in Bank of Baroda,2022-02-01,4.0,Manager,"Quickly adapt to changes, team player",Not good with communication with other
33,Bank of Baroda,Bad work culture,2022-02-01,1.0,Probationary Officer,Bad work culture at all levels,Very low pay and too much pressure
34,Bank of Baroda,Bank of baroda,2022-01-27,5.0,Anonymous Employee,"Job security, loan benefits, reputation.","Higher management, too much work pressure due to staff cruch"
35,Bank of Baroda,One of the Best places to work for,2022-01-24,5.0,Business Associate,"Good work culture
Manageable pressure
Employee friendly policies",must do overtime once in a while
36,Bank of Baroda,Bad,2022-01-23,1.0,Assistant Managet,"Job security , no prior knowledge required","no life , nothing good about job"
37,Bank of Baroda,Good Culture,2022-01-20,4.0,Manager,Good working culture and staff,The digital services are not up to the mark
38,Bank of Baroda,Culture of company,2022-01-20,1.0,Officer,Good brand management is too egoistic in some regions,"Culture of company is good but some employees make it bad.
Sales oriented organization bakwas people too much politics happen in company"
39,Bank of Baroda,Nice,2022-01-20,4.0,Anonymous Employee,Good company and nice work environment,Less growth opportunities as it is a govt organisation
40,Bank of Baroda,Good Bnak,2022-01-19,5.0,Senior Credit Manager,Stable job & Job Security,Not as Such. Hence Nil
