,company,headline,date,overall_rating,author_position,pros,cons
0,Bank of the Philippine Islands,Good employer,2022-04-07,4.0,Customer Service Associate,"Guaranteed 16th month pay, bonuses and allowances","Workload, long banking hours, career growth"
1,Bank of the Philippine Islands,Good company,2022-04-07,5.0,Bank Teller,Company is good and reliable,Company is need improvement and
2,Bank of the Philippine Islands,,2022-04-04,3.0,Portfolio Manager,Benefits People Boss Workload Time,Not applicable. BPI is a good employer
3,Bank of the Philippine Islands,Good culture but low pay,2022-04-02,4.0,Senior Manager,Very good culture and professionally managed company. You will learn a lot with good leaders.,Very low pay relative to other banks
4,Bank of the Philippine Islands,"Good benefits, but little time to rest",2022-04-01,3.0,Audit Specialist,Good benefits and wfh to hybrid setup,Little time to rest since assignments always overlap
5,Bank of the Philippine Islands,Truly a great experience,2022-03-31,5.0,Consumer Service Representative,Full time view in banking,The load of experience pilling up in minutes
6,Bank of the Philippine Islands,Good compensation,2022-03-29,4.0,Bank Teller,Great management and my manager was supportive,We were laid off during pandemic
7,Bank of the Philippine Islands,Good,2022-03-27,5.0,HR Data Management Specialist,Good working environment and workmates.,Workload. Compensation can be better.
8,Bank of the Philippine Islands,Work,2022-03-24,4.0,Customer Service Associate,"Lots of bonuses, additional income if you have many sales like credit card, personal loan etc",Too much workload and if you’re not close with your fellow employees it will be hard
9,Bank of the Philippine Islands,Overall great company,2022-03-23,4.0,Branch Operations Officer,Great benefits. Challenging and won’t get bored.,Too much workload sometimes. Should have regular feedback to staff
10,Bank of the Philippine Islands,D,2022-03-23,4.0,Marketing Associate,Work life balance and proactive friends,"Volume of work, compensation is not that high"
11,Bank of the Philippine Islands,Good working environment,2022-03-22,5.0,Customer Service Representative,Great opportunities and nice working environment,Has limited employee benefits and low salary
12,Bank of the Philippine Islands,Typical Big Bank,2022-03-21,4.0,Bond Trader,"-Good Benefits and Salary
-Nice office","-Weak HR
-Stringent/strict employment/work requirements
-Lack of flexibility"
13,Bank of the Philippine Islands,Good Company,2022-03-21,5.0,Sales Manager,Good opportunities for career growth,You can be overworked sometimes
14,Bank of the Philippine Islands,Work Life Balance,2022-03-21,4.0,IT Risk and Compliance,"If you are aiming to balance work and life, you should apply here.","Interactive and collaborative training is highly suggested to keep the employees engaged and skills and knowledge enhanced. Based on feedbacks, promotion depends on the boss, tenure, and if project based."
15,Bank of the Philippine Islands,provided training,2022-03-16,5.0,Senior Manager,"high pay, good environment, team work, energetic","multiple project, time constraints, exhausting, workaholic"
16,Bank of the Philippine Islands,SELLING BANK INSURANCE,2022-03-15,4.0,Bancassurance Sales Executive,"Base Pay AND Commission
Benefits
Work at Banks
Discounts at Restaurants, Hotels, Shops (Mall)","Quota 
Pandemic WFH no clients"
17,Bank of the Philippine Islands,Okay to start but not for long term career,2022-03-13,3.0,Account Officer,Good starting point. You get to immerse in finance and businesses.,"Very slow movement in career development. It all boils down to politics to move up. If you don’t have a good supervisor, say goodbye to promotion before 10 years."
18,Bank of the Philippine Islands,Good company,2022-03-11,5.0,Anonymous Employee,"Lots of benefits
Good environment
Lots of trainings
Knows how to value your worth and efforts","Manual transactions
Very traditional
Insufficient technology strategy"
19,Bank of the Philippine Islands,salesmanbpi,2022-03-11,2.0,Relationship Manager,"Great people, bosses are approachable, you get so much training","Annual pay increase is low, too traditional, lacks innovation, risk appetite is too low that it affects relationships with clients"
20,Bank of the Philippine Islands,Nice,2022-03-10,5.0,Customer Service Associate,"Good compensation, salary, pay, time","Lack of self time, lack of self care"
21,Bank of the Philippine Islands,Okay,2022-03-08,3.0,Custoner Service Representative,Benefit wise and good pay,Low increase in salary cap
22,Bank of the Philippine Islands,Great overall Benefits but HMO can be better,2022-03-04,4.0,Business Analyst,"Work culture
Most Benefits and bonuses
Ease of internal movement/transfers within the Bank and it's subsidiaries.

Work from Home support for certain Line of Business.","Working Lean translates to being Understaffed.

A lot of medical benefits are for reimbursements including for dependents. Can be frustrating."
23,Bank of the Philippine Islands,BPI is good for analysts who are more traditional.,2022-03-02,3.0,Analyst,Great benefits given to officers (up to 16 months),Favoritism in management. Very hierarchical. Slow to adapt to current technology.
24,Bank of the Philippine Islands,Good,2022-02-27,4.0,Office Manager,Good company for fresh grads,Low salary for bank officers
25,Bank of the Philippine Islands,"Kind to employees, work-life balance",2022-02-27,5.0,In-House Legal Counsel,Provides the best benefit and emphatic to employees,Stagnant career movement but low salary compared to others in the industry
26,Bank of the Philippine Islands,BPI is a good training ground...but not for long,2022-02-23,3.0,Universal Banker,"The discipline that we gain while working in that institution.
The integrity that the company has.","Career growth is dependent on the immediate supervisor. 
Politicking is the name of the game."
27,Bank of the Philippine Islands,Good company,2022-02-23,5.0,Anonymous Employee,Good company to work with,A good company to consider
28,Bank of the Philippine Islands,One of the biggest banks in Philippines,2022-02-18,4.0,Agency Supervisory Officer,Competitive Salary with bonuses and allowances,"Too many Assistant Managers, hard to get promoted"
29,Bank of the Philippine Islands,.,2022-02-18,5.0,Business Development,"Generous bonuses, good management, professional managers","Slow promotion, not digital savvy"
30,Bank of the Philippine Islands,First job,2022-02-16,4.0,Anonymous Employee,"Good benefits; depends on the unit but in our unit, people are really nice and professional; good exposure to banking and finance",Sometimes no work life balance - people would call or ask you to do work outside work hours/weekends
31,Bank of the Philippine Islands,Good entry-level position training ground,2022-02-15,4.0,Investment Associate,"- Good training ground for fresh graduates
- Up to 16th month pay
- Cares for employee's welfare
- Good working environment","- Somewhat outdated equpiment (computers)
- Sub-par salary bracket"
32,Bank of the Philippine Islands,Top Philippine Bank,2022-02-14,5.0,Portfolio Performance Analyst,Well-Managed and Straight forward approach,Conservative and Traditional compared to newer banks
33,Bank of the Philippine Islands,New accounta,2022-02-14,5.0,New Account Specialist,"Knowlege about bank, critical thinking",Taken for granted after staying 7 years
34,Bank of the Philippine Islands,Working in BPI as a bank teller,2022-02-12,5.0,Bank Teller,"nice salary grade, flexible working hours",small opportunity for promotion or career advancement
35,Bank of the Philippine Islands,Great working environment,2022-02-11,4.0,Product Development Associate,"Excellent working environment. Very considerate, mentorship style, and has plans on your career growth",Basic Pay is low for staff
36,Bank of the Philippine Islands,One of the best banks to work with,2022-02-10,5.0,Assistant Manager,Has excellent HR and competitive benefits,Low salary compared with other banks (Assistant Manager level)
37,Bank of the Philippine Islands,Manager,2022-02-10,4.0,Anonymous Employee,Good environment and friendly people,Low salary and annual increase
38,Bank of the Philippine Islands,More than average employee benefits,2022-02-09,4.0,Manager,Company provides good company benefits that is particularly helpful for employees with families and of the best banks in the philippines,IT gets overwhelmed with multiple projects while going thru the need to go thru red tape like processes that aren't helping the company implement its target timeline as consequence constantly missing deadlines
39,Bank of the Philippine Islands,Superb,2022-02-09,5.0,Anonymous Employee,Best benefits for the employees,Lots of clients and overtime
40,Bank of the Philippine Islands,Great company,2022-02-07,5.0,Operations,Great company and best bank ever,Need to resign and move to province
41,Bank of the Philippine Islands,Junior associate,2022-02-07,5.0,Associate,benefits kyc experience sales trainings,Low salary fast paced toxic clients
42,Bank of the Philippine Islands,Lots of Workload,2022-01-29,3.0,Operations Manager,"Better Health Care Benefits
Near home address","Too much workload for officers
Taking charge of all new things and making solutions to errors by staff
Financial risks for any negligence
Low Basic Salary/Not commensurate with workload/low increase
No Overtime pay despite of working for more than required
Hard to take leave"
43,Bank of the Philippine Islands,great place to work,2022-01-28,5.0,Customer Service Representative,great benefits and salaries and time,routine works and limited growth of career
44,Bank of the Philippine Islands,Working with Bank of the Philippine Islands,2022-01-28,4.0,Product Specialist,Good working environment; nice culture,Low salary; not a total work from home job
45,Bank of the Philippine Islands,Best employer,2022-01-24,5.0,Bank Teller,Best employer for bankers thank uou,Longer hours especially if many clients
46,Bank of the Philippine Islands,BPI,2022-01-24,5.0,Operations,Provide up to 16 month pay,Expect a low increase yearly
47,Bank of the Philippine Islands,BPI trains competitive employees in achieving career goals.,2022-01-21,5.0,Senior Chargeback Analyst,BPI is the oldest bank in the Philippines,They use to be the leading bank
48,Bank of the Philippine Islands,Great for Fresh Grads,2022-01-20,5.0,Relationship Manager,MT program is a good stepping stone,"Traditional workplace culture
vertical org structure"
49,Bank of the Philippine Islands,GOOD COMPANY,2022-01-20,5.0,Bank Teller,Good environment and competitive salary,You need to learn how to multi task
50,Bank of the Philippine Islands,Excellent,2022-01-19,4.0,Anonymous Employee,Best customer services provider in the country,I dont have any idea about this
51,Bank of the Philippine Islands,Highly recommended,2022-01-18,5.0,Anonymous Employee,"Great benefits and non-toxic workplace.
If you're a fresh grad with sky rocket achievements and honors, pls aim for Management Trainee and not the usual Rank and File for higher salary and opportunity",Low base pay offer. Try to haggle
