,company,headline,date,overall_rating,author_position,pros,cons
0,Banque Nationale du Canada/National Bank of Canada,§enior Analyst,2022-04-11,5.0,Senior Analyst,Good working environement with loves of great benefits,I have no cons to add
1,Banque Nationale du Canada/National Bank of Canada,Good pay at start,2022-04-08,4.0,Branch Advisor,Good pay at start as a new banker,Understaffed. Needs to do more duties compared to big 5
2,Banque Nationale du Canada/National Bank of Canada,Great culture/Managers,2022-04-08,5.0,Senior Fraud Agent,"- Schooling paid
- Great Benefits
- Most Leaders Care
- Employees included in decisioning process for improvements","Being newer schedules aren't fun,"
3,Banque Nationale du Canada/National Bank of Canada,Employee benefits,2022-04-07,5.0,National Bank of Canada,"Great benefits
nice environment and employees
telemedicine
good bonus
free banking services","less salaries compared to the market
french environment
legacy systems
out of province/country work not allowed
too much work for managers"
4,Banque Nationale du Canada/National Bank of Canada,Nice coworkers but bad management,2022-04-07,3.0,Senior Analyst,People are nice and great working environment,"Don’t like the management team
Salary not amazing"
5,Banque Nationale du Canada/National Bank of Canada,Human First,2022-04-04,5.0,Manager,Competitive salary and great work life balance,None that I can think of
6,Banque Nationale du Canada/National Bank of Canada,great employer,2022-04-03,5.0,Customer Service Representative,"All the financial ''discount'' such as great rates on mortgage, credit card, insurances, end of year bonus, etc.",works get to be repetitive
7,Banque Nationale du Canada/National Bank of Canada,Private Banking Associate,2022-04-01,3.0,Private Banking Associate,No work on the weekends. Has decent benefits and perks - good events and networking opportunities.,Heavy workload. Overtime is required to meet tight deadlines. Can be quite stressful.
8,Banque Nationale du Canada/National Bank of Canada,Good company,2022-03-31,5.0,Assistant Manager,"Job security, great benefits, competitive salaries","Bad middle management, cold calls and aggressive sales practices"
9,Banque Nationale du Canada/National Bank of Canada,Experience,2022-03-29,3.0,Investment Representative,Good working place for finance professional,Average compensation . Nice People to work with
10,Banque Nationale du Canada/National Bank of Canada,It was ok,2022-03-28,3.0,Recruiter,"Benefits, Job Opportunities, like most of other competitors.",No sure if this would be the place for innovation.
11,Banque Nationale du Canada/National Bank of Canada,"A lot of talk, but no action",2022-03-27,1.0,Financial Advisor,"Recognized financial institution, nice marketing turnaround","- More about appearances, than doing what's right. 
- More about getting in front of situations to give the impression they are upright and down for the cause, but it's all about the bottom line.
- Do not care about employees wellbeing, more interested in keeping up great appearances
- Racist, condescending, lying management: all about protecting their own instead of recognizing what needs to be addressed and rectified
- No accountability from management"
12,Banque Nationale du Canada/National Bank of Canada,financial advisor,2022-03-26,3.0,Financial Advisor,"great benefits, good learning curve",too agressive in sales and competitiveness within
