,company,headline,date,overall_rating,author_position,pros,cons
0,,Good place to work,2022-04-14,4.0,Information Technology Analyst,great place to work with good people,upward mobility difficult in certain depts
1,,Swaggy,2022-04-13,5.0,Director,Great benefits and culture. Visionary leadership.,"A lot of hours, especially during proxy season."
2,,QA automation,2022-04-12,5.0,QA Automation Engineer,"Good work env and culture, lot of opportunities",Nothing as of now to tell
3,,Great Company,2022-04-11,5.0,Relationship Manager,Great company to work for,Need more advancement opportunities for employees to career path into management
4,,Nice place to work,2022-04-11,4.0,Anonymous Employee,"Good management of a company, good timings, employee benefits are good.",No Cons for now a
5,,Company Review,2022-04-09,4.0,Anonymous Employee,"Working Environment is good!
Job Security is there.",perks and benefits are too low.
6,,Great company to work,2022-04-07,4.0,Senior Software Engineer,"Excellent managemnt ,very friendly team","Nothing , broadridge excellent company to work"
7,,"Low salaries, not innovative",2022-04-07,1.0,Marketing Specialist,Friendly environment and nice office in new york,Not possible to live in NY with such a low salary
8,,Amazing work environment,2022-04-06,5.0,Logistics Clerk,Very friendly work environment! Everyone is very helpful!,Not many cons to my position
9,,Good,2022-04-05,4.0,Member Technical,"Good work life balance, employee friendly.","Ntg as such, few application are stiin legacy."
10,,Good company to work for,2022-04-03,4.0,Senior MEMBER TECHNICAL,"Perks and benefits
Flexible work timings
Leave system","Compensation
Type of work our team does"
11,,Manual Tester,2022-04-03,4.0,Member Technical,Great work life balance and good work environment and culture,Cons is Notice period is 3months
12,,Good,2022-04-01,3.0,Process Analyst,"No pros, Broadridge actually good company","No cons, Broadridge Financial services good"
13,,Only suitable for Entry-Level job seekers,2022-04-01,2.0,Data Entry,Opportunity to understand Fintech industry,"Non-Transparency from Upper Management, Micromanaged, Lack of Quality Help, Unprofessionalism from Managers, Salary less than other competitors."
14,,Good company,2022-03-31,4.0,Director,Good company to work for.,Lot of red tape to get things done.
15,,Depends on team and managers,2022-03-29,1.0,Sinor software engineer,Latest technology helps to learn,Very high expectations without giving enough knowledge on project
16,,Growing too quickly,2022-03-29,3.0,Director,It is a paycheck if they do not get rid of you,Growing too quickly via buyouts and removing leadership with knowledge
17,,Full time employee,2022-03-29,4.0,Senior MEMBER TECHNICAL,"Pay,bonus,variable pay will be given on time.for covid related also leaves will be given.good technology used.professional growth is good",Work stress as all companies
18,,Best company for benefits,2022-03-27,5.0,Software Engineer,"Remote,
2 week vacation start,
Discounts on gym membership and workperks,
Rrsp,
Health benefits","Older company, not much room for growth
Older employees, not best for younger people who juat started their career
Older technologies"
19,,Great Company,2022-03-27,5.0,Business Analyst,"Solid management team that is down to earth
Moat product
Looking to be innovative and are growth oriented",A few companies that were taken over were questionable.
20,,N/a,2022-03-25,2.0,Anonymous Employee,Company is well established and good ambiance,"worst top management , no transparency"
21,,Great Place to work,2022-03-24,5.0,Group Leader,Flexibility and commitment to associates,None that come to mind
22,,Good place,2022-03-22,5.0,Vice President,Made many good friends in my 10 yr tenure,Not many cons to list
23,,Good Company,2022-03-22,4.0,Revenue Analyst,"- Growth opportunities
- Learn a lot of excel
- Friendly co-workers","- Compensation not enough for the work at times.
- Inter-department communication not great."
24,,Very Good,2022-03-22,4.0,Anonymous Employee,Very good to learn different technology... My team n my manager is good.,Nothing such much to as of now
25,,Okay Okay,2022-03-22,3.0,Data Analyst,Have great learning opportunities here,Pay scale comparatively low seems
26,,Low packages,2022-03-21,1.0,Process Analyst,One of the worst company,Night shifts low packages no growth.
27,,Good Working environment,2022-03-14,5.0,Member Technical,Good Working environment and very supportive management.,"the company can be expensive to establish, maintain and wind up"
28,,If you are a Experienced professional this is good place to work,2022-03-14,5.0,Member Technical,"1. Its definitely a good place to work.
2.Work life balance is damn.
3.You will get allowances in few teams and client bonus for everyone based on the designation.
4.Here appraisal process is good and management will recognise your efforts.
5.Hikes are good compared to any company in market now.
6.This is product based company.","1. If you get stuck in some support project chances of getting moved to other job roles will be complex.
2.Freshers are not suggested to join here unless they get good job roles.
3. There are few people here in management who can take things seriously and do micromanagement."
29,,With great compensation comes great demand!,2022-03-14,5.0,Senior Software Engineer,Compensation & work life balance!,Most of the teams are in India. There are certain cultural & language barriers that can impede the flow of work.
30,,Review,2022-03-14,4.0,Business Process Lead,Good place to start the career with.,Nothing specific at this point.
31,,Current Empoyer,2022-03-12,2.0,Maintenance Technician,"Benefits package is satisfactory 
At this time, pay is satisfactory for my experience and knowledge","12 hour shifts
As of late, too many extra work days. 6+ days a week."
32,,Positive Experience,2022-03-11,5.0,Member Technical Staff,"1. Competitive 
2. Friendly 
3. People
4.Interactive
5.Good Work Environment
Flexible","1. None
2. None
3. None
4. None
5. None"
33,,Good,2022-03-11,3.0,Member Technical,"Friendly Environment
Good Company
Friendly Environment
Good Company
Friendly Environment
Good Company","Salary is very low
Manager worst
Salary is very low
Salary is very low
Salary is very low"
34,,Great place to work,2022-03-10,5.0,Team Leader,A Very good Work Culture,Nothing so far in the past
35,,Insight,2022-03-10,4.0,Member Technical,"Good learning experience if your in development, other than that everything here is support basically, from Dba to support all are same.","Work life balance is not here at all , other than development team."
36,,Friendly & Helpful,2022-03-09,5.0,Junior Software Developer,I joined Broadridge with little technical knowledge and had a lot of help learning the material. People are friendly and we seem to get a lot of work done.,Might be too relaxed for some.
37,,Supportive Leadership,2022-03-09,5.0,Associate Process Manager,Work environment and culture is awesome!!,Nothing I have found so far
38,,Good Company,2022-03-09,4.0,Senior Process Analyst,"Job security,Environment,good benefits,good culture,Leave polices","Less packages,less growth,Less take home salry,"
39,,Not so bad as a start,2022-03-07,4.0,Revenue Analyst,Good in-house career development and competitive pay.,"Little to no guidance. 
Expected to perform way above and beyond pay."
40,,Process analyst working on corporate actions,2022-03-06,4.0,Process Associate,Very good company for freshers,Nothing bad is there and everything is fine
41,,Deve,2022-03-04,4.0,Software Developer,Work life balance is good,Don't find any so far
42,,No Growth,2022-03-04,3.0,Senior Conversion Analyst,Good for partial experience and base pay,No growth based on the career orientation
43,,Good,2022-03-03,4.0,Member Technical,Good place to work as fresher,"No cons , usual like other companies"
