,company,headline,date,overall_rating,author_position,pros,cons
0,,I wish the pay was better!!,2022-04-14,3.0,CIBC Customer Service Representative,Great team to work with,The amount of work and crap we take you’d think the pay would reflect!!
1,,"Not The Best Bank, But A Good One To Work For",2022-04-14,4.0,Renewal Specialist,"Employees well taken care of, constant improvement. Best employer I've had","I'm fairly happy with CIBC as an employer, even if they wouldn't be my first choice as a bank"
2,,Cibc review,2022-04-14,3.0,Consultant,"Good company, decent benefits good work environment",Pay structure not good in technology
3,,Great company to work with,2022-04-13,3.0,Contact Center Specialist II,Good environment overall and great benefits.,Less pay for the stress you have to deal with.
4,,Commission,2022-04-13,4.0,Mortgage Advisor,"Helpful team
Helpful support staff
Great benefits
Quarterly bonuses
Flexible hours","Micromanaging
Work-life balance (long hours)
Slow with sending funding instructions to lawyers"
5,,Analyst,2022-04-13,5.0,Analyst,"Nice office, training, employee offer",System might not be working well all the times. Have to be multi tasking and good at managing the work.
6,,Great place to work,2022-04-13,4.0,Senior Credit Analyst,Ability to work with a Diversified Team.,Compensation is not that great compare to peers
7,,Decent,2022-04-13,4.0,Product Specialist,"Job flexibility, good vision set by leaders",Lots of hierarchy so takes time to drive projects
8,,Fair,2022-04-13,4.0,Customer Service Representative,"Good health benefits
Fair career growth",Expect some overtime hours during the weekdays
9,,Teamwork Atmosphere,2022-04-13,4.0,Operations,"Overall, a friendly work atmosphere.",There is not much room for advancement.
10,,Associate financial advisor,2022-04-12,2.0,Afa,"Friendly colleagues understanding , cultural environment","Fast paced , number Centric , pressure"
11,,Traditional Bank,2022-04-12,4.0,Senior Developer/Tech Lead,"Lots of interesting work
Learn Large Scale Enterprise Coding
Consistent Project Work",Not Many Sr Engineer SMEs
12,,Great place to learn,2022-04-12,3.0,Software Engineer,This is a great place to learn,The pay could be higher
13,,TGRP,2022-04-12,4.0,TGRP (Rotational Program),Great to have many different experiences,Constantly looking for a new job. nothing guaranteed after 18 months
14,,FSR,2022-04-12,2.0,Financial Service Representative (FSR),there is the opportunity for growth,position is mostly driven by sales target
15,,FA,2022-04-11,2.0,Financial Advisor,more and more and more work,Less and less and less compensation
16,,Review,2022-04-11,5.0,Vice President,"Great culture, expanding market share.",Not as innovative and agile as smaller organization can be.
17,,Fa,2022-04-11,5.0,Financial Analyst,Good ppl to work with,None that I can remember
18,,It was good experience,2022-04-11,5.0,CIBC Customer Service Representative,"Good benefits
Better work opportunities 
Health benefit
Future enhancements",Just too much of micro management
19,,It's okay,2022-04-11,4.0,Accounting,Flexibility on time and the best manger,Management is so bad in few things
20,,It's ok,2022-04-10,3.0,Financial Services Representative,"Big company, typical bank , pandemic support was ok","Overworked, some ppl r lazy and most don't care"
21,,Not bad..good colleagues,2022-04-09,3.0,Cystomer Service Represenitive,Learned working in a fast paced environment & how to achieve sales targets.,Not enough hours/ could end up in same role for atleast a year
22,,Relaxed environment in Technology Operations,2022-04-09,4.0,Business Analyst,"Good people, good managers, not the fastest pace of work.",Can be slow at times
23,,Good work life balance/poor management,2022-04-09,4.0,Financial Advisor,"good system and support, people oriented","poor management, lunch time always got cut off"
24,,CIBC,2022-04-09,4.0,Customer Service Representative,"Flexible, Great people, interesting work",I enjoyed my time there. No cons
25,,Nothing,2022-04-09,4.0,Senior PROJECT COORDINATOR II,Good and for the company,Bad for th4 company and people
26,,Stuff,2022-04-08,4.0,Director,Good culture and exciting opportunities,A bank focused on profits
27,,Supportive Culture,2022-04-08,5.0,Analyst,Good work life balance. Caring culture,below market pay. Turnover at senior level is high
28,,Good Company,2022-04-08,5.0,Senior Software Engineer,"Awesome place to work.
Great Benefits.
Insurance and good coverage.",No cons as of now.
29,,Cibc Review,2022-04-08,3.0,Financial Services Representative,There’s a lot of room for career growth within CIBC. There’s are no many departments that you can move to. Great stock plan option with company. Good benefit plan,Micromanaging if you work at the call centre
30,,Ok place to work,2022-04-08,4.0,IT Support,Culture is great and friendly,Management is not the best
31,,Good place to work,2022-04-08,4.0,Associate,"Equal opportunity
Good culture
Good training
Work life balance",Salary not the best in the market
32,,Bonus,2022-04-07,4.0,Financial Representative,Nothing but pressure targets bad salary,Too much pressure micro management bonus suck. Only people close to management grow.
33,,It's good to work in Cibc,2022-04-07,3.0,Senior Account Processing Officer,"Diversity and inclusiveness are taken seriously
Good workplace
Opportunities to grow
Management is great depending on departments","In the entry level, it's taking time to be in permanent position"
34,,Goog,2022-04-07,4.0,Underwriter,"Flexible work schedule 
Good pay",Promotion is harder than other places
35,,Great place to work,2022-04-07,5.0,Wealth Management Client Services,"Great culture, good pay and benefits, nice colleagues, and collaborative environment","Not many.. I work in the US and it’s a Canadian bank. There aren’t as many career opportunities in the US as there are in Canada, but CIBC encourages career growth."
36,,work experience,2022-04-07,4.0,Customer Service Representative (CSR),"good co workers, good environment","poor working system, low pay"
37,,Good company,2022-04-07,5.0,Financial Service Representative (FSR),Very good as an employer. Also loads of learning opportunities,No cons when I was working
38,,Flexible hours,2022-04-07,5.0,Operations Associate,Very flexible hours. Great benefits,Highly redundant tasks. A lot of processes could be streamlined
39,,great,2022-04-07,4.0,Sales Associate,people and culture for sure,boring job can be automated
40,,Amazing place to work,2022-04-06,5.0,Customer Service Representative (CSR),"Family dynamic, resourceful management, caring staff.",Takes a while to move up the company
41,,Salary,2022-04-06,3.0,Customer Service Representative,No pros that I can think of,Salary not competitive/ management sucks
42,,No quality life for employees,2022-04-06,3.0,Financial Services Representative,"A good way to gain experience and the possibility to move on with other positions, inside of the organization","Poor management
Poor Training
Burn out people so fast
No quality of life for employees"
43,,CIBC  ambitions made real,2022-04-06,4.0,Customer Service Representative (CSR),"- Great management and team
- Opportunity to learn and grow",Have to deal with some rude clients that think they can do whatever they want because they are clients.
44,,Good company,2022-04-06,4.0,Senior Financial Analyst,"Value talents, can move up pretty quick","Fast paced working environment, can be stressful sometimes"
45,,Good,2022-04-05,4.0,Software Engineer,Good company to work for.,I don't know cuz it's great.
46,,Employment,2022-04-05,4.0,Anonymous Employee,"Training is amazing no micro managing
Growth comes within internal",Pay not as high as competitors
47,,.,2022-04-05,1.0,Branch Manager,Career progression. Plenty of opportunities,High stress. Underpaid. Burnout often
48,,Good place to work,2022-04-05,5.0,Accountant,"Good people, decent pay, good location",long hours and sometimes work not valued
49,,Great place to work coming straight from school,2022-04-05,4.0,Business Analyst,Training and lots of support,Strict targets leading to pressure on employees
50,,Quality assurance salary,2022-04-05,5.0,Junior QA Analyst,profits given by the company,work as a consultor no directly with the bank
