,company,headline,date,overall_rating,author_position,pros,cons
0,CICC,good team,2022-04-06,4.0,Senior Supervisory Analyst,excellent team mates. nice work ethics.,not a big NYC office
1,CICC,Interview,2022-04-03,3.0,Research Assistant,"good pay, nothing else, i didn't get the offer","nothing, cicc is quite good i think"
2,CICC,mm,2022-04-02,3.0,Analyst,"High salary for new graduates, great exposure",bonus may vary from ppl to ppl
3,CICC,Top well known Chinese investment bank,2022-03-30,4.0,Anonymous Employee,Professional service at full aspect of financial services,Need more improvement on fin tech.
4,CICC,CICC IB Intern,2022-03-24,5.0,Intern Investment Banking,Good working environment and nice team,"Basically envolves grunt work, little skill learnt"
5,CICC,good,2022-03-22,5.0,Anonymous Employee,good career opportunity and deal pipeline,relative low package as compared to BB firms
6,CICC,invesment bank,2022-03-22,4.0,Associate,"Great location
Great deal flow
good culture","Fair salary 
poor hours but better than BB"
7,CICC,Analyst,2022-03-21,5.0,Anonymous Employee,Overall is good. Great team work. Nice office,Good for fresh graduates to start the careers
8,CICC,Good,2022-03-18,4.0,Investment Banking Analyst,"Dealflow and perks, good exposure as well",Lack of training and very much a rigid organisational structure
9,CICC,Good platform,2022-03-17,4.0,Anonymous Employee,Access to big deals and domestic investors,"SOE culture, bad hours, inflexible bonus"
10,CICC,CICC,2022-03-15,5.0,"Associate, Ibd","High salary, high bonus, high allowances","high presure, high workload, no weekends"
11,CICC,s,2022-03-15,5.0,Intern,Very big challenge and useful,Big opportunity for the young
12,CICC,Good,2022-03-10,4.0,Investment Banking Analyst,Deal flow is always good,Culture and organization is a con
13,CICC,NA,2022-03-07,5.0,Analyst,"Active, Efficient, Professional, Friendly, etc.",Nope nope nope nope nope
14,CICC,Great company with smart people,2022-02-28,4.0,Bond Underwriter,"People are really intelligent, dilligent and intensive, you will be able to learn from your peers. Little politics is played out here.",Hierachy in the workplace is strict. Everyone seems to live a model life and sometime appears to be hypercritical.
15,CICC,Great platform,2022-02-16,5.0,Analyst,"Good platform, research team is excellent, leading broker in China, good wellfare",high turnover; low base; local management needs improvement
16,CICC,Investment Consultant,2022-02-14,4.0,Sales Associate,"nice working environment
payout is good after 3 years",base salary is low comparing with foreign companies
17,CICC,Less professional than before,2022-02-10,3.0,Internship,A good platform to understand China's sophiscated financial system,"Thanks to the strenghthening control from the government, CICC has become less transparent in its decision-making process. The benefits for interns have remained the same while there is extra amount of work for them."
18,CICC,Some Experience at CICC,2022-02-06,3.0,Analyst,Get in touch with startups from a variety of industries. The payment is almostly satisfiable.,Really bad work life balance. Usually stay up to 12pm or even later.
19,CICC,working hours are too long,2022-01-31,3.0,Analyst,good platform and many talents,working hours are too long
20,CICC,Good place to work,2022-01-31,4.0,Equity Sales,Good place to work! Happy,hard to advance upward though
21,CICC,Great teamwork,2022-01-30,5.0,Intern,Place with challenges and growth,High work pressure and super competitive
22,CICC,good platform,2022-01-28,4.0,Analyst,"rich resources, intellectual peers and steep learning curve",high pressure and maybe some gaslighting leaders
23,CICC,intern,2022-01-24,3.0,Equity Sales,it was pretty intense actually,not good at work life balance
24,CICC,FICC,2022-01-19,4.0,Associate,High standard firm with competitive pay,Not good from wlb perspective
25,CICC,Top IBD in China,2022-01-18,4.0,Investment Banking Analyst,"Cross border deals exposure, good brand and platform",A bit of redundancy comes up
26,CICC,good,2022-01-14,5.0,Anonymous Employee,everything is very good hahaha,no bad things to say
27,CICC,work,2021-12-31,4.0,Senior Associate,good cooperation with teams and users,work over times always and urgent task always
28,CICC,good,2021-12-30,2.0,Anonymous Employee,"expe is good enough, and","tiime is short, but we"
29,CICC,Good experience,2021-12-08,5.0,Investment Banking Analyst,"Steep learning curve, competitive salary",long working hours as like any other investment bank
30,CICC,Good company in a bad industry,2021-12-05,3.0,Executive Director,Decent pay and good culture,Industry is losing its momentum
31,CICC,Interesting,2021-11-30,4.0,IB Analyst,"Domestically strong, great A-share deal flow",Internationally not that famous compared to bulge bracket
32,CICC,not bad,2021-11-30,4.0,Intern,learning exposure is high and could be exposed to real tasks,"Bad hours, harsh colleague relationships"
33,CICC,Good work experience,2021-11-28,5.0,Internship,"Good work environment, nice teamwork, very professional","Highly intense, almost no pay."
34,CICC,good,2021-11-28,5.0,Analyst,"AM good hour, IBD not so much","bonus could be a problem,buy-side depends on Bonus a lot."
35,CICC,A best company but not a best business,2021-11-27,4.0,FICC Sales & Trading,"Best IB in mainland China, high salary","FICC is not the best business line of CICC, no enough training"
36,CICC,Senior Associate,2021-11-26,3.0,Anonymous Employee,"competitive pay, good platform, steep learning curve","work life balance, team interaction"
37,CICC,Not a good emplyer,2021-11-21,3.0,Associate,good platform with massive industry exposure,"high pressure from peers and leaders, not well organised"
38,CICC,work and life,2021-11-18,4.0,Associate,"good package, stable life, promising company","hard work-life balance, hard culture"
39,CICC,TMT,2021-11-17,5.0,Investment Associate,"High salary, great exposure, great culture",a little bit high workload
40,CICC,a good job,2021-11-13,5.0,Research Assistant,You will have sufficient resources for working.,"so many peers will compete with you, long working hours"
41,CICC,Ha,2021-11-11,5.0,Investment Banking Summer Analyst,Good deal flow. Good exposure,"Too much work load I think
Busy."
42,CICC,good,2021-10-31,5.0,Graduate Student,a very good financial company,the working pressure is a bit high
43,CICC,Neutral,2021-10-29,4.0,Analyst,Biggest financial institution in China,Too administrative and less opportunity for juniors
44,CICC,1st tier Chinese investment bank,2021-10-24,5.0,Anonymous Employee,mature platform with supportive colleagues,lack of work life balance
45,CICC,Good employer,2021-10-22,5.0,Vice President,"good pay, clear growth path",too long hours and too much travel
46,CICC,Review,2021-10-17,4.0,FICC Analyst,"good pay, big team, good exposure","environment is bad, office battle"
47,CICC,Tired but worthy,2021-10-15,4.0,Investment Banking Analyst,"good deal, good team, good culture","bad hrs, no personal life"
48,CICC,Overall Experience,2021-10-12,4.0,Analyst,"Good Team atmosphere, but it really depends on the team and your BU.",The quality of leaders of different teams vary a lot
49,CICC,ANASLYT,2021-10-08,5.0,Analyst,GOOD JOB NICE LOCATION NICE PEOPLE,fierce competition too many peipele
50,CICC,Working environment friendly,2021-10-03,5.0,Trader,"Package is fine, healthcare plan is good","Base is so-so, the personnel is a little hard"
51,CICC,Excellent Company with Abundant Deal Exposure,2021-09-30,5.0,Investment Banking Analyst Intern,"1. Fast-paced Environment with mentors and colleagues willing to teach and a very steep learning curve
2. Gain on-hand experience with 20-30 deals in three months
3. Rotate between different industry teams to obtain comprehensive learning of the financial industry
4. Intern can participate in the deal pitching process, or even meet and consult with industry famous fund managers
5. Tasks are very flexible, interesting, and challenging
6. Good location with good restaurant and convenient transportation at Beijing
7. Employees are very intelligent and open-minded","1. Some tasks like book-building, office memos can be tedious and time-consuming
2. Mentors are very busy and only give limited feedbacks
3. Tough hours and no weekend
4. Salary is not as high as Bulge Bracket banks in HongKong
5. As a China State-Owned Enterprise, sometimes the culture can be introvert and need to work on maintaining a good ""relationship"" with senior management"
52,CICC,Junior Salesperson,2021-09-29,5.0,Analyst,Good view of Bejing city,so long time for working
53,CICC,Nice,2021-09-27,4.0,Quantitative Trader,Payment is decent and good benefits,Culture is not free enough for personal development
54,CICC,investment department is not as good as IB,2021-09-27,4.0,Investment Associate,"big name, top tier investment bank in China","bureaucracy, low operation and working efficiency"
55,CICC,Product Management,2021-09-25,5.0,Financial Analyst,High pay and good platform for new grads,Long working hours and high load
56,CICC,very good to go,2021-09-21,4.0,Anonymous Employee,goooood. decent place to go,nothing is bad. very good
57,CICC,CICC is a good employer,2021-09-19,4.0,Master Student,It has good culture and talented people,Back office has low salary
58,CICC,good pay with heavy workload,2021-09-14,5.0,Assistant Manager,the pay is really really high,it is too tiring and boring
59,CICC,Great company  but being as an internship is not a great experience,2021-09-13,4.0,Summer Internship,"Top Research Resources
Top Company Title","Feel too competitive 
Mentors are always too busy to train you"
60,CICC,Analyst,2021-09-04,4.0,Analyst,good pay for overall package,lose base comparing to others
