,company,headline,date,overall_rating,author_position,pros,cons
0,CIMB Group,Culture,2022-04-06,1.0,Director,Nothing to highlight as Pros,Very poor culture and Organization often took decisions without stratergic view
1,CIMB Group,Worst place to work,2022-04-04,1.0,Financial Services Consultant,"-Good commission payout
- HR management is professional","- politic as usual, to the peak
- doesn’t matter if employee is a good performer, if he/she raise a question or feedback, they will target the employee till he/she leaves the company"
2,CIMB Group,Good,2022-04-04,5.0,Bancassurance Manager,"Good company to work in, liberal.",Too much hierarchy in the company
3,CIMB Group,You are on your own,2022-04-02,3.0,Relationship Manager,"Helpful colleagues, less politics drama",Make sure you are keep up to the sales target
4,CIMB Group,E.O,2022-04-01,4.0,Executive Officer,Experience working with multiracial employee & crossing other division in term of business banking operation.,Out of scope task need to carry
5,CIMB Group,Good n bads,2022-03-31,3.0,Commercial Banking Relationship Manager,Good emphasis on governance and doing things the proper way,"Management can be biased, while communication within the bank can be a bit poor"
6,CIMB Group,Good company,2022-03-30,4.0,Relationship Manager,Welfare Bonus Colleagues are good,Things can be Manual sometimes
7,CIMB Group,Workig culture,2022-03-29,3.0,Implementation Manager,job scope can be flexible given that you complete your tasks,There are too many manual processes and overlapping/unclear job responsibility
8,CIMB Group,-,2022-03-28,5.0,Telemarketing Executive,unlimited income depends on your effort,different target for each employee which sometimes not fair
9,CIMB Group,Stay away,2022-03-28,1.0,Systems Analyst,Sorry to say I have nothing good to say.,"I must say I actually enjoyed my first few years working at this organisation. However things turned sour when it was time for me to move. Its almost like you become an enemy. That, I find is most childish and unprofessional. Both from my direct superiors as well as from the HR department. If your direct superiors are against you, you are in trouble. This is because HR sides with whoever has the highest grade, instead of whoever is right. CIMB used to be a good place to work at. Now, unfortunately, it has gone to the dogs. HR speaks very very rudely. And they have started hiring absolute jokers as management. Please do yourself a favour and stay clear of this place."
10,CIMB Group,Good opportunities,2022-03-27,3.0,Data Analyst,Good place to expose to banking,Technology limitations for actual implementation
11,CIMB Group,Na,2022-03-25,3.0,Relationship Manager,Good staff Benefits to employee,No career enhancement and appreciation
12,CIMB Group,Good place to work,2022-03-25,3.0,Associate Director,A Good work life balance.,Slow pace and slow to adapt to changes
13,CIMB Group,Great job for entry level,2022-03-23,4.0,Support Center Representative,You’ll gain much experiences as senior & leaders are very supportive,Not much good benefit if you’re not FTE staff
14,CIMB Group,Good DC Manager,2022-03-21,3.0,Officer,Good guidance and support in ad-hoc roles.,Company have bad culture of holding late meetings and supervisor needs to stay back late till 8-9pm daily.
15,CIMB Group,Navigating the politics,2022-03-20,3.0,Chief Technology Officer (CTO),"- Good benefits
- Fair bonus","- Have to typically navigate the politics when you get to U2/U1 levels
- Lots of restructuring which can lead you to working for a new boss who can be difficult or be sidelined because you are deemed a ""threat""
- When it comes to industrial relations, HR is not really neutral and will be pro-management"
16,CIMB Group,Head of Department,2022-03-20,4.0,Head of Department,Aggressive growth in the country,Strategy not yet fully aligned
17,CIMB Group,good,2022-03-18,5.0,Software Developer,good company and good copany revenue,increment to small less than 5%
18,CIMB Group,TRADE FINANCE SINGAPORE OPERATION,2022-03-17,3.0,Trade Finance Executive,good value for searching an experience,overwork and underpaid. working until late night
19,CIMB Group,So so only,2022-03-17,3.0,Relationship Manager,Work From Home is Good. ON TIME ON TARGET.,"Going to back Office permanently soon.
Process very manual.
Very sales oriented makes you very stress"
20,CIMB Group,Work,2022-03-16,3.0,Relationship Manager,Good exposure to different tjings,High target and stressful environment
21,CIMB Group,Great place to grow,2022-03-15,5.0,Analyst,Good place to learn and grow,Quite rigid and beurucraric bankingenvirontment
22,CIMB Group,Great,2022-03-15,5.0,Software Engineer,Great place to work with great work and life balance,Sometimes have to work outside your job desc
23,CIMB Group,Good place to work at,2022-03-14,5.0,AVP-Project Manager,Really good HR and bosses were so encouraging,Nothing that I can think of
24,CIMB Group,good,2022-03-11,4.0,Bank Teller,Access to Preferred Relationship Manager.,Access to Preferred Banking Centers.
25,CIMB Group,Good,2022-03-10,4.0,Assistant Sales Manager,Salary. Working environment and culture,Work life balance and sales targets
26,CIMB Group,Private Banking,2022-03-09,3.0,Manager,Great team to work with,No career advancement for diligent staff who is professionally trained and expert in specific field.
27,CIMB Group,Working at CIMV,2022-03-07,2.0,Anonymous Employee,Good working location at RP or Expo,Too much politics and low salary
28,CIMB Group,Great workspace,2022-03-07,4.0,Assistant Manager,Great place to work and to explore career,Need to invest in technology
29,CIMB Group,Overall is good,2022-03-06,5.0,Data Analyst,Infra and tech is good,So far overall is good
30,CIMB Group,Credit admin,2022-03-06,3.0,Credit Administrator,Good colleague- tends to help each other,Low increment and Low bonus
31,CIMB Group,Poor Management,2022-03-04,2.0,Vice President,Team colleagues are nice in general,Lack of staff welfare and concern by Management. No follow through from feedback
