,company,headline,date,overall_rating,author_position,pros,cons
0,China Construction Bank,Banking done right,2022-04-06,5.0,Personal Banker,Great place to work all around,Too much drama for yo mama
1,China Construction Bank,Good,2022-03-31,5.0,Cashier,Very cool and chill work place,No cons to add it’s sweet
2,China Construction Bank,Normal,2022-03-10,3.0,Assistant Manager,"Normal working environment, friendly colleague",Too many non relevant targets
3,China Construction Bank,nope,2022-03-09,4.0,Relationship Manager,"great platform, high reputation, great client resources","low salary, less annal leave"
4,China Construction Bank,Working Environment,2022-03-05,4.0,Manager,The workload is reasonable and it is a stable job.,The culture is a bit conservative.
5,China Construction Bank,Good salary,2022-03-03,5.0,Customer Service Representative,Good place to fit in,not supportive team to help
6,China Construction Bank,two cents,2022-03-01,4.0,Administrative,Takes care of employee during pandemic.,near to zero career development/advancement.
7,China Construction Bank,Great place,2022-03-01,5.0,Bank Teller,Experience bennefits trainings growth opportunity,Really enjor qorking here great experience great people nothing bad to say
8,China Construction Bank,Not Bad,2022-02-27,4.0,Intern,get familiar with the industry,lot of things to do
9,China Construction Bank,Working Atmosphere,2022-02-24,2.0,Relationship Manager,The colleague is great as a family,The system is completely unacceptable
10,China Construction Bank,a good opportunity,2022-02-21,3.0,Intern,"if there are more than 1 part-time intern, we can make a shift work.
low wage, but can get a free lunch.
compared to other companies in China, working here can search work-life balance","can not access core work, just dirty work and company regulations.
have to do chores as some formal employees do not want to do"
11,China Construction Bank,Good enough company for people don't look for career progression,2022-02-10,2.0,Anonymous Employee,"Good company benefits, friendly people","Slow and effecient, limited career progression opportunities, uninspiring leadership"
12,China Construction Bank,Highly overturn rate,2022-02-07,1.0,Anonymous Employee,Do not have any pro,Staffs are highly overturn with bad working atmosphere
13,China Construction Bank,good benefit,2022-02-06,4.0,Software Engineer,reasonable salary reasonable salary reasonable salary,hopeless promising and hopeless promising hopeless promising
14,China Construction Bank,Good for the 1st job,2022-01-29,5.0,Mortgage Banker,Rigorous training plan for every new employee,Salary is not enough I think
15,China Construction Bank,CCB review,2022-01-22,5.0,Vice President,Good work environment and nice coworkers,less opportunities to raise and some extra work
16,China Construction Bank,Low salary,2022-01-18,3.0,KYC Officer,Lots of chances for learning,Low salary and harsh bosses
17,China Construction Bank,analyst,2021-12-30,5.0,Anonymous Employee,good about the environment of company,the organization is very big
18,China Construction Bank,it is ok,2021-12-03,1.0,Anonymous Employee,I had a good team.,High staff turnover. a lot of office politics.
19,China Construction Bank,Average,2021-11-26,3.0,Banking,"Learn more experience 
401k matching",Should have more career advancement
20,China Construction Bank,Stressful environment,2021-11-20,3.0,Relationship Manager,The pay was okay and benefit was good.,No work and life balance. Need to work very hard to meet the target or your boss’s expectation.
21,China Construction Bank,Stable,2021-11-19,4.0,Vice President,Company is stable with bright prospect.,"Hardly speaking English at the workplace, with extensive Mandarin speaking culture."
22,China Construction Bank,many changes,2021-11-17,3.0,Relationship Manager,I like the pace. Not too pushy.,"Culture still quite top-down, up-tight. Depending on who you work with and for, i have great experience and bad ones"
23,China Construction Bank,Civil Project Engineer,2021-11-16,5.0,Project Engineer,"Learn Project management, Got Certified From PMP","Recourses Management, Electrical Knowledge, Final Decision"
24,China Construction Bank,Environment,2021-11-05,4.0,Officer,Good working environment and there's lots of things to learn,There's not much cons for me.
25,China Construction Bank,Stable Job,2021-11-01,4.0,Assistant Vice President,"If you are looking for a stable job with the only challenge is in office politics, this is it.","Relatively not competitive package 

Office politics"
26,China Construction Bank,Suitable to stay till retirement,2021-10-29,2.0,Credit Risk Analyst,comparatively low-intensity daily work in CCB,low pay and need to have conference call with China HO
27,China Construction Bank,Had great experience with my 6 month internship.,2021-10-27,4.0,Intern,A lot of opportunities given to learn and to explore about the banking industry.,They only offer graduate intern position for fresh graduate at the moment.
28,China Construction Bank,A stable platform company,2021-10-20,4.0,IT MANAGER/IT HEAD,"Very stable platform with relatively good salary, colleagues are helpful.",Lots of hierarchical reporting and very limited promotion.
29,China Construction Bank,bad management and a lot of unspoken rules,2021-10-16,2.0,Customer Relation Manager,"they pay you salary on time, that's the only pro","very strange Asian work etiquette, I'm not being racist or hold any prejudice against Asian culture, but the ""your superior is your master"" culture at this bank is really off the charts. 
What do I mean: Your boss sends you a message and you don't reply within 30 seconds? You missed your opportunity because you are not effective and hardworking (actually what it means: you don't show respect to your superior, your superior is your No.1 priority no matter what)"
30,China Construction Bank,work at ccb,2021-10-16,3.0,Credit Analyst,Easy working environment good to get a long with colleague,salary below market level though
31,China Construction Bank,very good working environment,2021-10-15,5.0,Anonymous Employee,good working environment and friendly,sometimes a bit of long hour
32,China Construction Bank,Not a professional workplace to work in,2021-10-10,3.0,Anonymous Employee,Sometimes company will give vouchers.,"HR hides many employment details like working days is only 5 days but in employment letter will state 5.5 days per week. Expat are untrained with low work skill knowledge. Department micro manage due to company culture. No advancement. Lack of transparency. Expect a very ""Comrade"" culture."
33,China Construction Bank,Digital banking,2021-10-05,4.0,AVP-Project Manager,"Digital Banking 
Mobile banking
Online banking","Chinese banking
Good benefit 
Less over time"
34,China Construction Bank,work,2021-09-29,3.0,Junior Project Manager,good work environment and friendly,nothing negative about the office team
35,China Construction Bank,not bad,2021-09-27,3.0,Data Analyst,"good salary, good people, good work environment","bad company culture, stressful workload"
36,China Construction Bank,accountant,2021-09-19,5.0,Accountant,work life balance is good,the job mobility is not good
37,China Construction Bank,Interesting place to work,2021-09-17,5.0,Intern,"Good pay 
I’m just adding review don’t ask why",Very good damn it this site
38,China Construction Bank,Commercial Banking Division - Credit Analyst,2021-09-17,1.0,Commercial Banking Division,"- Training up staff's EQ in a very short period of time
- Being a very good problem solver by handling tasks independently at all times","- Pretending to work overtime culture
- Be responsive to any calls during non-office hours, including lunch time, weekends, etc
- Inexperienced supervisors"
39,China Construction Bank,Global Bank,2021-09-15,5.0,Anonymous Employee,Second largest Bank in China,Small team work with in
40,China Construction Bank,Relationship Manager,2021-09-14,4.0,Relationship Manager,prestigious firm and well respected,the difficulty to get promotion
41,China Construction Bank,commercial account manager,2021-09-08,5.0,Commercial Account Manager,good team work and benefits,Work overtime over and pressure
42,China Construction Bank,good and professional,2021-08-27,4.0,Software Engineer,"big company, a lot of benefits",lack of technical changes and low salary
43,China Construction Bank,Good work life balance,2021-08-25,5.0,Anonymous Employee,"Good work life balance, fringe benefits ok,",No clear career path. HR system messy
