,company,headline,date,overall_rating,author_position,pros,cons
0,,Ok,2022-04-13,3.0,Senior Financial Analyst,"Young company as far as age of the employees go
Great place to gain a lot of experience
Beer fridge!","Lower than industry pay
No work life balance"
1,,Stressful,2022-04-12,3.0,Anonymous Employee,Good starting salary for new hires,"no Work Life Balance
So much overtime"
2,,The most stressful job I've ever had,2022-04-12,1.0,Loan Servicing Specialist,"Pay is competitive, benefits are good, coworkers are nice if you get to talk to them when things aren't in crisis mode, which is almost never","Work at Citco is largely a series of artificial crises in order to meet arbitrary deadlines.  Month end is a perpetual fire drill and takes 3 weeks out of the month, during which you spend the largest chunk of your time giving status updates and getting blasted by emails or yelled at in Zoom meetings by people in other cities or on other continents.  Turnover is out of control. Zero-work life balance. I got called by my boss when I was putting my kids on the school bus in the morning, after six when I was taking out the trash, and after 9;00 PM when I was taking the dog out. You could be logged in 24/7 of you wanted to, the work NEVER ends."
3,,Okay team,2022-04-12,4.0,Analyst,Free beers and birthday cake,Lots of overtime during month end
4,,Good company to work,2022-04-12,4.0,Fund Accountant,"Good pay
Work life balance
Good team",Nothing as of now .. may be going forward
5,,Good,2022-04-11,4.0,Senior Fund Accountant,Work life balance is good,Management need to work on improvement
6,,Nightmare,2022-04-11,2.0,Investor Relations Administrator,"Salary on time
Good salary for night shift","Nobody listens to you
Over Time
Problem with leaves
Managers treat you like slave
Less increment
Sometimes weekends are not off"
7,,Work life balance,2022-04-07,4.0,Financial Reporting Accountant,"Good benefits, salary and workload",Not fully work from home
8,,Can be stressful,2022-04-07,3.0,Finance Manager,Good support team and structure,Can be stressful especially beginning of year
9,,Great Company to work for,2022-04-06,4.0,Supervisor,"Quality of Work
Best Processes in place
Proper Delegation of Authority
Proper Escalation Matrix",Not having facilities like an IT company
10,,Friendly Employer,2022-04-05,5.0,AVP-Talent Acquisition,"Flexible, Good Benefits, Free Transport, Free Medical Insurance to Parents or Inlaws",Not found anything so far
11,,Entry level position,2022-04-04,4.0,Operations Analyst,can learn a lot of basic things,"too busy, you need to do everthing"
12,,Worst Onboarding Experience Ever,2022-04-04,1.0,Senior Fund Accountant,"My Manager was caring and considerate, was willing to assist when I was overwhelmed.
Experienced staff were very knowledgeable and willing to assist when they had time.","Onboarding by an actual trainer doesn't happen until your second month. Never experienced something so illogical. Instead, overwhelmed staff trains you as best as they can, despite it not being their expertise.
Promised job shadowing, instead left to complete work with minimal supervision and need to beg to receive assistance.
Overtime requirements are unreasonable at times. Could work 16+ hours in one day and be told ""the work has to be done"".
Pay does not match the expectation of work load.
Next to no personality, with Zoom calls always faceless and without emotion or care.
Some managers simply care about work getting done, not their staff.
The software is not user friendly. Extremely difficult to navigate and zero training documentation to support it."
13,,Half and Half,2022-04-04,3.0,Supervisor,"young and energetic culture, company party twice a year, various group activities, tight schedule do good with time management skill and improve your client communication skill.","constant OT and heavy workload, payment is only decent"
14,,good for personal growth...poor for long term,2022-04-04,5.0,Senior Investment Banking Analyst,"growth
decent salary
job security","over time
poor management
politics"
15,,Ok,2022-04-04,4.0,Junior Fund Accountant,"High salary, work life balance","Overtime, fatigue, stress, micro managing,"
