,company,headline,date,overall_rating,author_position,pros,cons
0,,s,2022-04-14,5.0,Customer Service Representative,"Benefits, pay, environment, moral, people","Tedious work, rude customers, score card"
1,,Old technology,2022-04-13,2.0,Personal Banker,Decent co workers and staff,"Old computers never work, hard to perform job duties with old tech"
2,,Banker,2022-04-13,3.0,Concierge,It was okay just a job,Managers would be very annoying
3,,Ehhh,2022-04-12,2.0,Head Concierge Banker,"Only giving it 2 stars because the team I worked with was amazing. Good benefits and paid time off. If you're lucky enough to have a good team in upper management then you're all set, but. I was one of the unfortunate.","Not sure if it was just the particular area I worked under but no upper management wanted to take ownership of policies that caused issues with customers. NO support offered if understaffed which was often because turnover rate was like 90%. Just because we were CONSTANTLY understaffed didn't mean we got more help or guidance even without a manager. A lot of it you have to figure out on your own which is fine but then upper management would still have the same expectations like if we were a fully staffed branch which was EXTREMELY stressful. I would say if your work here, do not take any lead roles. As a regular teller it is so much better. Albeit, it could've just been my area (Greater LA Area). Managers have so much on their plate, they're constantly stressed, no accountability for verbal instructions. eg. If upper management would express that certain things needed to be done, if anything went wrong they would say that if it's not on ""The Source"" then it shouldn't have been done; which is complete bollocks. Honestly, just look out for yourself. I've never been happier to leave a job. Not worth the immense stress. Lastly, they expect employees to perform duties outside of their job function with absolutely no compensation."
4,,analyst,2022-04-12,5.0,Analyst,culture people perks office travel,"not much really, maybe the food"
5,,Average,2022-04-12,3.0,KYC Analyst,The employee benefits are good,"Red tapes, conservative, many, long term staff who are resistant to change"
6,,Good people,2022-04-11,5.0,Talent Tracker,"Benefits, Pay, Comfort, Easy, People, Work Life Balance","Slow paced
Work is kind of boring"
7,,HR Assistant,2022-04-08,3.0,Human Resources Assistant,Human Resources Assistant in Recruitment and government departments,Working with Citibank since 2008 as Recruitment officer
8,,Good place to work,2022-04-07,3.0,Director,Good salary and benefits from citi,Nil that I can think of
9,,GOOD,2022-04-06,5.0,Anonymous Employee,"MANAGEMENT IS GOOD, FROM TOP TO DOWN",No cons that I can think of.
10,,great start position,2022-04-05,5.0,Part Time Teller,"get all benefits same as full time: 401k and insurances
hourly pay is ok","yearly increase is low
no more incentives for teller"
11,,They have to improve the technology,2022-04-05,3.0,Personal Banker,Higher base pay comparing to other banks.,Technology is terrible and they have a lot of issues.
12,,Citi bank,2022-04-05,4.0,Quality Assurance Analyst,A great environment to learn and grow as a quality assurance analyst.,It takes really long go grow.
13,,Good place to work,2022-04-04,4.0,Risk Operations Analyst,Great coworkers. Good remuneration. Benefits are good,No work life balance possible.
14,,Retention Special,2022-03-31,5.0,Phone Banking Officer,I made the best carrer decision to be a part of this company.,There are no Cons to mention.
15,,Good,2022-03-28,5.0,Anonymous Employee,"Great culture, work environment and opportunities to grow",long approval processes and bureaucracy
16,,Soso,2022-03-27,2.0,Business Analyst,Good benefits in the company,Bosses I feel have no empathy
17,,place to grow,2022-03-27,5.0,Quantitative Analyst,so many job opportunities available,I have not hit any challenges or big deal problems
18,,Best job ever,2022-03-25,5.0,Customer Service Representative,"I loved this position, wish I had never left",They went back to the office
19,,Tech Product Manager,2022-03-25,4.0,Tech Product Manager,Employee benefits are quite decent. Pay is ok.,"The management team planning to migrate most of the country systems into regional platform. So it can be expected that, recourse for country tech will become less. 
This impacted the promotions and salaries of Taiwan tech staff. In short, if you expect a more challenging and rewarding environment then don’t come. If you are looking for a stable job and don’t care about the promotion then you can come."
20,,Ok ✅,2022-03-23,3.0,Collections Specialist,Good pay good time off,Over worked short staffed no compassion
21,,Great company,2022-03-21,5.0,Anonymous Employee,"Pay, Benefits, Advancement, PTO, Purchase PTO, Paid Volunteer Time Off","Schedule (Tues-Sat or Sun-Thur), Forcing to return to office,"
