,company,headline,date,overall_rating,author_position,pros,cons
0,,"Great ideas, poor implementation.",2022-04-12,3.0,Customer Resolution Specialist,"~Decent pay ($20/hour entry-level)
~Decent benefits (comprehensive health plans were very costly)
~Decent schedule (option to choose from 3 options if you rank high enough in your training class, which I did, so I cannot speak to the schedule satisfaction of those that weren't able to choose for themselves)
~No weekends or holidays 
~Friendly team leads
~Company provided equipment 
~100% remote job opportunities for those interested, and office opportunities in Louisville, KY for US based roles (headquarters are in Australia)
~Paid downtime if that downtime is not your fault (company servers/equipment issues are paid, your own internet going down is obviously not) 
~Fun company games and activities remotely","~Not much room for growth (raises/promotions are hard to come by regardless of what they promise)
~Low employee retention rates (which they lie about during interviews)
~Group interviews with 20+ candidates where you do not get to ask many questions or highlight your personal experience/skills
~PTO/sick leave come from the same bank, are slowly accrued and are essentially a joke overall
~Company equipment is absolute trash and will give you problems at every turn
~Drama within teams (did not involve me but was hard to ignore)
~Team chats with up to 20+ members via your personal cell phone that are always ongoing and cannot be ignored less you miss important info about downtime, schedule changes etc. and no other option like Slack, Teams etc. off the clock
~You must utilize your personal cell phone (via an app on the company computer) for all phone calls and this is an 8 hour a day, back to back phone call center position 
~No room for taking time off for things like being hospitalized, being sick for more than a day or two and you are forced to utilize your PTO for sick leave"
1,,Benefit,2022-04-11,3.0,Software Test Engineer,"Very good, has gymn, table tennis at site","No bonus, no life insurance"
2,,Good company,2022-04-10,3.0,Senior Consultant Delivery,Work life balance wfh benefits,Low pay could be higher
3,,A great place to grow your career,2022-04-08,5.0,Corporate Trust,"Working at Computershare Corporate Trust provides a great opportunity to work in the very sophisticated structured finance industry, as well as the debt markets, intersecting with all major Wall Street investment banks, private equity firms, as well as major public companies. Its interesting and challenging work involving complex financial transactions, so there are lots of career paths to pursue. Computershare plays an important role in the operation of the US financial markets, so its a great place to learn, and grow your career. The employees are treated very respectfully and fairly, and there is a lot of flexibility.","No cons, very happy at Computershare."
4,,Great company/great people,2022-04-07,5.0,Manager,"Flexible work schedule and work from home for certain roles
Room for growth and hiring from within is part of the culture
A culture of cooperation and working together with the same goal
Customer centric from the top down
Transparency","Growing pains with technology
Lack or broken technology causing more manual work on an already lien staff. 
Need more focus and help in documenting and updating processes."
5,,Great place to work,2022-04-06,4.0,Team Leader,"Family community 
Flexible working
Great benefits","No great progression 
Large company"
6,,Software,2022-04-04,3.0,Software Engineer,Work life balance. Team collaboration. Good co-workers,Old systems need to be replicated
7,,Good company,2022-04-04,5.0,Relationship Manager,Pay and benefits are good,"No negatives really, all pretty good."
8,,Business Analyst - Technical,2022-04-04,3.0,Business Analyst,Slow and less hectic work environment,High attrition and low average salary
9,,It's A Paycheck,2022-04-01,3.0,Customer Service Representative (CSR),"Easy job
Accessible by public transportation","No room for growth
Pay is minimal"
10,,Great job,2022-04-01,5.0,Quality Assurance Analyst,"Flexibility, work environment, teams, fast paced, fun, make great money.",I do not have any cons to share.
11,,A company that walks the talk,2022-04-01,5.0,Process Lead,"Employees and management are laser focused on modernising the organisation
Clear culture and goals
Friendly, collaborative and skilled colleagues",Normal issues related to organisations who are in the process of transformation
12,,Great place to work.,2022-04-01,5.0,Senior Internal Auditor,Great supportive team to work in. Interesting work. Good overall benefits package. Great straight forward recruitment process,"No Cons, keep up the good work."
13,,A paycheck not a career,2022-03-31,3.0,Assistant Team Leader,"Decent work environment
Some room for growth","Stagnant pay practices, monopolistic attitude in many areas"
14,,Great place to work,2022-03-31,5.0,Project Support Officer,Good benefits and holiday allowance,Not really recognised for the hard work done
15,,Stay away,2022-03-30,1.0,Analyst,"Nearly Impossible to get fired 
Ok-ish health and benefits","Vacation and sick days are all categorized as the same for time off. Management often pushed me to use all of my days before year end, such that when I got sick I needed to take unpaid days."
16,,fine company,2022-03-30,4.0,Auditor,it was a fine company to work for,it was a fine company to work for when I worked there
17,,Great Place,2022-03-30,5.0,TAP,"Great pay, flexability,  career progression",Managers need management training and held accountable for how they treat their workers.
18,,Excellent,2022-03-30,5.0,Debt Collector,"Good company in general 
Helpful",Lengthy training at the beginning
19,,Great Environment,2022-03-29,4.0,Project Assistant,Great community and positive environment. Decent employee stock options.,Lower wages than one would like
20,,Nice place to start your career,2022-03-28,3.0,Software Developer,"Great environment, Flexible and good Parking facility","Old tech stack, Legacy applications"
21,,Great work experience,2022-03-27,4.0,SAS Analyst,"very friendly environment, good work to life ratio",covid has made some relationships challenging
22,,Lack of growth,2022-03-26,1.0,Anonymous Employee,Flexible working hours and manageable workload,People tend to pass ball here
23,,Good company,2022-03-24,4.0,Senior Software Developer,"Good company to work for, many benefits.","Coorporation feel like, legacy code difficult to change, although is going in the right direction."
24,,Not executive remuneration,2022-03-21,3.0,Relationship Manager,"Friendly staff, nice work location and office.","Long hours, input required v salary paid"
25,,has it's ups and downs,2022-03-21,3.0,Closing Manager,"Bonus incentives
Work life balance
Training and PTO",Constantly Changing work environment and workflow
26,,Good job,2022-03-20,3.0,Customer Service Representative,Pay and extra training excellent,Hours rude hr rude customers
27,,Harmony work environment,2022-03-19,5.0,Manager,Everyone is hard working striving for completion of non-stop incoming job,Compensation benefit to employees are fair
28,,Great place to work,2022-03-18,4.0,Lead Developer,"Computershare is a great place to work. 

Great benefit scheme.

The company doesn't discriminate, and they always promote diversity which is great to see. There are opportunities for everyone regardless of race, gender etc. 

Clean and spacious office.

Friendly managers who are always approachable and listen to feedback.

Flexible working policy is great.",Poor salary compared to market which often makes experienced people leave the company
29,,Stressful,2022-03-17,1.0,Anonymous Employee,Good team members to work with,Terrible leadership high stress environment
30,,Salary Entry Level,2022-03-17,4.0,Currently Unemployed,"Good work life balance, steep onboarding but easy job to maintain, people are nice","very boring, not challenging, bad management"
31,,Good company to work for,2022-03-17,4.0,Anonymous Employee,"People 
Good culture 
Flexible working 
Great progression opportunities","Pay scale
Benefits
Some practices are more traditional"
32,,Poor management,2022-03-17,1.0,Customer Service Representative,"Unsure of many since joining 
Home working","Poor management 
Inflexible working hours"
33,,Decent employer,2022-03-17,4.0,Anonymous Employee,"Established, large company with good policies in place for staff.",Generally pay is below benchmark in most roles.
34,,Great place to work,2022-03-15,4.0,Anonymous Employee,Lots of opportunities to develop,A large corporate company structure
35,,An awesome global Company with some unfortunate local side effects,2022-03-15,3.0,Programmer Analyst,"Computershare, the global company, is a really great company. Global leadership genuinely cares about the employees everywhere. There is a strong belief in the core values and it is apparent in everything that Global does.","If you work in IT in the mountain west region this is not the place for you. The Loan Servicing company that Computershare acquired is completely unprofessional. Business units hire ""developers"" to deliver things directly in production stating that the IT organization has too much process and takes too long."
36,,Alright,2022-03-14,3.0,Associate Relationship Manager,Great set of People to work with,a lot of red tape and low pay
37,,Awesome colleagues and working culture!,2022-03-10,5.0,Talent Acquisition Partner,"It is refreshing to be working with goal-driven and solution-oriented leaders in a Global firm. This key factor (and selling point) wasn't mentioned in my interviews but it becomes evident as one works with managers individually. 

The colleagues are great, the company works with the latest and easy-to-use tools and platforms and if help is needed across any facets, someone is there to assist! 

Internal transfers and mobility is encouraged and supported across the business too.

The business is open to ideas and in parallel, feedback. They are always looking for ways to continuously improve whether it be process, experience etc. I can easily see why a lot of the employees tend to stay here for a very long time. 

I would highly recommend Computershare!",Annual leave benefits can be much more competitive.
38,,Good,2022-03-08,5.0,Customer Service Advisor,"Days go fast, sociable environment",Pay isn’t the best but it’s easy work
39,,It's okay,2022-03-06,3.0,Transactions Processor,"People are cool, bosses are cool. They offered cake and cookies and holiday parties before covid.",No raise despite having worked there for years.
40,,"Dated company, with dated financial practices. On the road to the land down under?",2022-03-03,2.0,Actuary,"No one really knew what they were doing,
It was very easy as i was never challenged
HR staff
Co-workers
manager","Leadership staff under-qualified an unmotivated.
office space
technology is dated
it system + software, inefficient and outdated"
41,,Computershare,2022-03-03,4.0,Quality Analyst,"Good place to work. People are great.

Hours also accommodating.",Limits to progression in some job roles.
42,,Nice work/life balance,2022-03-02,4.0,Securities Administrative Analyst II,"Great team & managers. Work is consistent and low-stress. Training is helpful, and promotion opportunities are available.",No comment at this time
43,,Great learning platform,2022-03-02,5.0,Post Closing Coordinator,"Access to learn in any industry Computershare operates in, Can learn from entry level,","Very slow about promoting, Department Managers widely vary on being good leaders or more of a boss."
44,,Heads on Seats,2022-03-02,2.0,Anonymous Employee,"Nice working environment
Solid processes throughout department","Valued as a number, not a person
Lack of progression
Poor salary"
45,,Good/Bad,2022-02-28,3.0,Anonymous Employee,Great employees to work with in the company. Stable job and pay for worked hired to perform. Life and work balance is good.,Leadership is lost in direction and has been going in the same circles for years. Salary isn't a selling point or career development for employees. Company needs to shake up Global Leadership to invest in better technology.
46,,decent,2022-02-25,3.0,Software Developer,"good people, flexible hours, good work","underpaid, lack of structure for a large company"
47,,Great Company,2022-02-24,5.0,Customer Service,Great team here at CPU.,No complaints whatsoever. Great team here!
48,,Great benefits and strong culture,2022-02-22,5.0,Marketing Communications Manager,"The share plan (BGOF in the UK) is incredible. Good pension, holiday buy, discounts site and health & wellbeing resources. The corporate structure is pretty flat which means a refreshing lack of hierarchy - things get sorted quickly.",Pay is lower than average in some areas but the benefits and culture make up for it. More tangible targets are needed for diversity and inclusion.
49,,One of the better companies to work for,2022-02-18,4.0,Communication Center Representative,"Extensive training, Decent pay, great benefits & a supportive atmosphere",Have not experienced any major complaints yet
50,,Poor support,2022-02-18,2.0,Adjudicator,Flexible working hours and good pension,"Not supportive to staff, target driven from first month. Not a healthy environment to keep mentioning probation regularly."
