,company,headline,date,overall_rating,author_position,pros,cons
0,DBOI Global Services,Good,2022-03-30,3.0,Associate,"Good
Salary is good
Work life balance","Nothing bad
Slow growth for mid level experience"
1,DBOI Global Services,Good,2022-03-25,4.0,Associate,"Work balance life. 
Flexible work hour",I don't found any cons as of now
2,DBOI Global Services,It feels like Home. And that's what everyone who leaves says this.,2022-03-24,4.0,Process Supervisor,Positive working culture and leaves policy it is best in industry.,They have monopoly in Jaipur. So packages are always very low from market standard.
3,DBOI Global Services,Very good,2022-03-18,4.0,Senior Analyst,"Very good salary, good work environment",I have nothing as cons
4,DBOI Global Services,Over all good company,2022-03-05,4.0,Senior Automation Test Engineer,"leaves and cab facility , nice office",few old rules from old mind sets
5,DBOI Global Services,Good company to work,2022-02-27,3.0,Assistant Vice President,Good company to work in db policies good,Wast tools many manual works
6,DBOI Global Services,Work Life Balance is Really Good,2022-02-13,4.0,Associate,"Work Life balance is good.
Appraisal is good. 
Enough Leaves for a year.","Allowances for shift work, weekend work are not good enough.
Neither you can carry forward nor encash earned leaves."
7,DBOI Global Services,Company management back stabber,2022-02-07,1.0,Associate,"Good salary
Free to take initiatives","Middle management will follow directions coming from senior management without thinking rationally. 
Job not secure. They prefer to keep people who does buttering rather then working."
8,DBOI Global Services,Good to be part of,2022-02-02,4.0,Manager,"Good salary, employee benefits and learning opportunities however drastic difference in work environment a d culture if you compare across different business lines.","Legacy application, lot of changes happening over last few years. Leading to disruption.
A lot is dependent on face value and direct manager or 2nd line."
9,DBOI Global Services,Good company to work,2022-02-02,4.0,Anonymous Employee,"Good organization, work and family balance","Not much but complicated promotion process,"
10,DBOI Global Services,Good place to work,2022-01-22,3.0,PMO Associate,Given equal roles and responsibilities,"Bonus are not good, sometimes percentage of hike is also very less"
11,DBOI Global Services,Good for freshers and mid career growth,2022-01-14,3.0,AVP-Finance,"Better career opportunities, good culture & working condition, employee friendly",Limited opportunities at senior management levels
12,DBOI Global Services,Great place to work,2022-01-12,5.0,Vice President,"Lots of learning
More of technology company
Engineering culture
Above market compensation
Great people",None to report at this point
13,DBOI Global Services,.,2022-01-06,5.0,Assistant Vice President,Work Life Balance is good.,Processess needs improvement and lack of innovation.
14,DBOI Global Services,Good company,2021-12-21,5.0,Anonymous Employee,Good company to work with,not applicable at this moment
15,DBOI Global Services,Valuation analyst,2021-12-20,4.0,Analyst,Good company to work with,No growth in this company
16,DBOI Global Services,Great company to be with for a long term career,2021-12-14,3.0,Assistant Vice President,You can easily grow up the ladder if you are a hard worker...you get lot of opportunities while working in the same team... management is very supportive,Not a good payer in comparison to peer companies
