,company,headline,date,overall_rating,author_position,pros,cons
0,Danske Bank,Great place to work,2022-04-08,5.0,Customer Advisor,"Supportive managers, fun atmosphere, interesting & varied","Salary - even though you're meant to get incremental rises as you progress within Customer Direct, this doesn't apply if you're already past the mid point on salary scale. Really annoying."
1,Danske Bank,High stress and chaotic,2022-04-08,1.0,Anonymous Employee,"Team members and other collaborators, a very positive and open environment. 
Opportunity to get licenced
Opportunity to advance","Note that it's a big company, and the situation depends on which team you belong to. 

Very stressful working environment, projects given without time or support, tight delivery deadlines that result in (often un-compensated) overtime and poor work life balance, chaotic structure due to poor management"
2,Danske Bank,Yea,2022-04-07,5.0,Greeter,It was cool and nice n stuff,Yup and yup and yup and yup
3,Danske Bank,"Bureaucratic, conservative and risk-averse",2022-04-07,3.0,Business Analyst,Great benefits - many holiday weeks and good pension,Bureaucracy at it's worst. The organization changes all the time with little vision and insight in the actual employees daily way of working. Little to no transparency and creating innovative products/processes is halted by the banks conservative attitude to taking any form of risk despite not being competetive with new modern banks.
4,Danske Bank,Brilliant work culture,2022-04-06,5.0,Marketing Manager,Great work culture and people. The company really value their people and promotes work life balance.,No parking but not overly an issue as I think it’s mostly wfh now
5,Danske Bank,Good experience,2022-04-06,3.0,Analyst,Large institution and bank int the Nordics,"Hiearchy
Bureacracy

Old fashioned corporate culture at DB."
6,Danske Bank,Great company if you are in IT part of it,2022-04-05,4.0,Project Manager,"Trying new things
Agile
Hires good engineers
Good culture and work life balance","Slow to implement new things
Leadership changes avg. every 2 years
Some projects take way too long due to politics"
7,Danske Bank,Working with the best people and brains,2022-03-28,5.0,Consultant,"Flexibel, Great tasks and responsibilities",Bad media and external reputation
8,Danske Bank,Great company,2022-03-27,5.0,AML Analyst,"Flexible hours, decent pay and benefits",Lots of registration in this job
9,Danske Bank,Review,2022-03-27,4.0,Data Analyst,Good employer and working conditions.,"No cons, management is great."
10,Danske Bank,Good working environment,2022-03-25,4.0,Consultant,Good culture and work life balance. High internal mobility.,"Management could be better
Scarce accountability
Big machine moving slow"
11,Danske Bank,Great employer,2022-03-23,5.0,Project Manager,"Salary packages, employee benefits, oportunities, nordic/global","Large organisation, centrally lead, cost focus"
12,Danske Bank,Nice working environment,2022-03-22,4.0,Senior Software Developer,"Vacation days, continues development, competitive environment",Fragile environment the last 3 years after the Estonian case
13,Danske Bank,Professional environment,2022-03-22,5.0,Student Assistant,"Good pay and benefits
Competent colleagues
Professional environment with focus on diversity",Many people work many hours
14,Danske Bank,good work life balance,2022-03-21,4.0,Anonymous Employee,good work life balance can be experienced.,too much politics within vertical level
15,Danske Bank,good work place,2022-03-21,4.0,Auditor,work-life balance is good in a challenging environment,Complex organisation due to legacy setup
16,Danske Bank,Day,2022-03-19,4.0,Anonymous Employee,Good spirit and a Nice working place,I dont know what to answer
17,Danske Bank,Great Company to work,2022-03-17,5.0,Talent Acquisition Specialist,"- strong team
- great approach to employees. You can trust your employer.
- a lot of opportunities to grow.",Sometimes you can face too much bureaucracy.
18,Danske Bank,Good,2022-03-16,4.0,Senior Software Engineer,all good so far to know,"nothing so far, all good"
19,Danske Bank,Good,2022-03-15,4.0,Anonymous Employee,Good for all employees to enjoy,I will go back if given the chance
20,Danske Bank,22,2022-03-11,3.0,AML Officer,"Good office, culture, system, schedule, equipment",Low salary and so on
21,Danske Bank,Too much focus on compliance and not on driving business,2022-03-11,3.0,Customer Service Representative,Good collegaues with somewhat of an entrepeniorial culture in Sweden,too much focus on compliance
22,Danske Bank,Everything was super nice.,2022-03-06,5.0,Operations Officer,"Good atmosphere, supportive team, company looks at worker super respectfully.","The work is not consistent, people in the team rotates a lot."
23,Danske Bank,Ok,2022-03-05,3.0,Software Engineer,"- Good benefits
- Job security
- Work-life balance
- Nice colleagues","- Slow pace
- Tedious and mundane tasks depending on your squad
- Strategic direction changing often
- Legacy systems"
24,Danske Bank,Good entry into finance,2022-03-04,3.0,AML Officer,Options to get training and certifications funded; extra vacation days; stable working hours; great health insurance and on-site benefits incl. canteen; options for horizontal and vertical career turns,"Large corporation, so large gaps between management and employees; sudden and radical internal restructurings; often rude attitude from top management; market often offers better pay;"
25,Danske Bank,Actuary,2022-03-01,3.0,Actuary,"Environment, Colleague, Motivation, Challenges, Salary, Definitive, Hierachial","Office, Coworkers, Staff, HR service, Internett, Slow service, Bad canteen"
26,Danske Bank,Good place to work,2022-03-01,4.0,Personal Banker,"Good people, fun culture and good senior managers",salary lower than some others I have seen
27,Danske Bank,Review,2022-02-28,4.0,Statistical Analyst,"Flexible working hours, benefits, jobsecurity,","Large organisation, hirarchi, changes often, rotation,"
28,Danske Bank,Working at Danske Bank for 6 months,2022-02-26,2.0,AML Officer,"Strong newcomer onboarding process, various trainings, modern office.","Very low salary, first salary review is after 6 months at the earliest, monotonous tasks, no flexibility due to high bureaucracy."
29,Danske Bank,Okay salary,2022-02-25,3.0,Product Owner,"Welfare, stability, friendly coworkers, and flexible work style",Management sometimes not lead with purpose
30,Danske Bank,Evaluation,2022-02-22,4.0,Anonymous Employee,"- good working hours
- Paygrade acceptable (especially in regards to hours)
- Good Vibe","- Very political
- Can be challenging to"
31,Danske Bank,Excellent vibe,2022-02-21,5.0,Senior Operations Specialist,"Respect, caring people, minimum subordination","Salary, career perspectives, monotony, thats all"
32,Danske Bank,bad,2022-02-19,1.0,Anonymous Employee,"internal manipulations, mobbing, has big cultural problems, bribes, non fair company politics.","stable salary,
medical insurance, and there is no more benefits. only lies"
33,Danske Bank,Uncompetitive Pay,2022-02-19,4.0,Analyst,"Great people, good culture, good worklife balance","Uncompetitive pay, especially compared to other banks"
34,Danske Bank,OK,2022-02-16,3.0,Mortgage Underwriter,Good sick pay and holidays. teams were supportive,"Not much progression, not interested in employee opinion. Salary is under par."
35,Danske Bank,Traditional workplace trying to transforms,2022-02-16,3.0,Junior Consultant,good employee benefits like discounts at restaurants,some sites are very conventional and some IT systems can be very old school
36,Danske Bank,Student salary,2022-02-15,4.0,Student Assistant,"Very good personal benefits. In addition, Danske Bank provides a very high salary for students.","Danske Bank is still a quite conservative bank, however they are working on changing this."
37,Danske Bank,Above average,2022-02-14,3.0,Senior Software Engineer,"Job security, equality, good work culture","old tech stack, slow pace"
38,Danske Bank,Good company  but not great pay,2022-02-12,3.0,Personal Banker,Good holidays and staff rates,Not great pay for existing employees
39,Danske Bank,Good place to grow,2022-02-07,4.0,Compliance Officer,Good benefits and work life balance,A lot of change constantly
40,Danske Bank,Student Worker,2022-02-07,4.0,Anonymous Employee,"Engaging
Good work life balance
Nice colleagues","Lack of coordination
Poor process ownership"
41,Danske Bank,Good place to work,2022-02-06,3.0,Senior Software Engineer,Work life balance and lot of benifits,"Nothing to mention, it's really a great place to work"
42,Danske Bank,Good Employer,2022-02-06,4.0,Senior Compliance Officer,Amazing people  in the organisation really,Not the best Salaries compared to Other places
43,Danske Bank,great company to work for,2022-02-04,5.0,Senior Software Engineer,"great work-life balance 
good colleagues","I can't think of any, recommended"
44,Danske Bank,Not a place to grow.,2022-02-02,2.0,Agile Coach,"Great facilities in Vilnius. Hybrid workspace. Good environment. Work language is English. Many diversity and opportunities for women in junior positions and middle management. The bank has targets for female senior leaders going forward, but maybe those positions will be in only Copenhagen? If you just want a job, maybe will be okay.","Bank struggling financially. Leadership is concentrated in Denmark with limited opportunities in Lithuania. Very high number of colleagues leaving for other opportunities. Very poor senior leadership in some areas with a demonstrated inability to execute, prioritise or even take decision. VERY rigid HR policies that are very difficult on employees/hard to get answers. Depending on department there is no plan for personal development or support for certifications. Nieko. Senior leaders have old mindset of “if we train them or get them certified, they will leave”. If you want to develop and grow - stay away from this place. Feelings of DK employees being superior over LT workers. Maybe to become next Barclays of Vilnius soon."
45,Danske Bank,Variable experienses,2022-02-02,4.0,Senior Portfolio Manager,You will be involved in many different perspectives of you role.,"It is a big organisation, sometimes little hard to overview."
46,Danske Bank,Ok but but not more,2022-01-29,4.0,Equity Analyst,Entrepreneurial culture. Good colleagues and a little more freedom than similar roles at other banks.,Top mgmt focus to much on non-business related activities.
47,Danske Bank,Project manager in DB,2022-01-27,4.0,Project Manager,"Good career opportunities, great place to learn and improve, good benefits","Working facilities not great, a lot of change of company structure and management"
48,Danske Bank,ok to work for,2022-01-24,3.0,Manager,Good training and coaching available but depends which area you work in.,Differentials in salary scales between grades
49,Danske Bank,Very professional and well structured bank.,2022-01-20,5.0,Senior Compliance Analyst,Friendly working environment with numerous positive incentives for employees.,Average age is generally quite old.
50,Danske Bank,Great company culture,2022-01-18,5.0,"Manager, Sustainability Env, Environment Sustainability","The company has suffered a lot from several scandals few years back and now it has built a strong involving, engaging company culture. Everyone seems to be a YES person, collaboration and healthy work-life balance.","Exactly for the same reasons, the company is very focused on risk which leads to somewhat complex internal processes."
51,Danske Bank,Pretty nice,2022-01-18,5.0,Software Engineer,"Flexible workplace with a good salary and nice people. The work-life balance is quite good too, not what I expected from a bank!",The bank has a lot of controversies
52,Danske Bank,Excellent Company to work for,2022-01-14,5.0,Senior Project Analyst,Inclusive and interesting work. Pleasure working there.,"Not too much negative to say. Other than there is not much opportunity for progression, however, the experience is great."
53,Danske Bank,Decent place to work for some time,2022-01-14,4.0,Senior Software Engineer,"Opportunities to move within organization and learn something useful for your future. If you are in the beginning of your career, it can be a good place to work for 1-2 years, to get good understanding of the business of your interest. Then it will be much easier to make a next step for a better salary and position elsewhere.

Good work-life balance and flexibility.

My collogues were really good and nice people, and in general I was happy to work there. My direct manager was also a really nice guy, and I liked his people-centric approach.","Low salary comparing to competitors. 
There are 2 important aspects here:
1) - Salary raise is regulated by collective agreement and there is a hard cap of 1-3% per year in a best case scenario, unless you are in a managerial position where you can negotiate. So when you are getting in, you need to make sure that you have pushed them to the edge and squeeze as much as possible, because you will not get any raise.
2) You can still get a raise, but IF and only IF, you got a lot of responsibilities and you became a dependency which is hard to replace. In this situation you will still have to get a better offer from other company, and ask them to beat it. 

Bad upper management.
When a top manager starts a townhall meeting with words : ”I could have been relaxing on Maldivian resort now, but instead I am standing here spending my time to teach you to work properly ” – you just think “WTF??? Is it a joke??”. Extreme arrogance, “look how awesome I am” attitude from the top management, contributes to a working culture where good and sincere people don’t stay for too long. All decisions on the top are taken without considering any feedback from “peasants” at the bottom, who are supposed to blindly follow any orders from kings and dukes on the top. All the low-tier managers only care about ranking up and getting to the top. Nobody want to solve a problem at hand unless it’s a major life-threating issue. Do a nice facade, sweep garbage under the rug and make some nice power points – get promoted, repeat – that’s the success formula if you get there. No one cares about your feedback. This culture results in a low quality software with errors and major public scandals related to this."
54,Danske Bank,AVOID AT ALL COSTS,2022-01-12,1.0,Personal Banker,Private health insurance but only after 6 months,"No training provided
Customers are awful
Managers put you in dangerous situations
No help for mental heath, it's swept under the carpet despite partnering with a mental health charity
Wages are rubbish for the amount you are expected to do and abuse you deal with
You are expected to do at least 2 people's jobs if not more
No opportunity for promotion and no pay rise, people have been there 5+ years and still on £17000
Managers care more about getting people to take out a mortgage than looking after their staff
Managers allow abusive customers to get away with shouting at staff and treating them like dirt
IF YOU VALUE YOUR MENTAL HEALTH AND SELF WORTH DO NOT JOIN DANSKE"
55,Danske Bank,Good place,2022-01-11,4.0,Anonymous Employee,"People, structure, great welcome and good salary",They have had big budget costs
56,Danske Bank,toxic work environment,2022-01-10,1.0,Compliance Officer,There is nothing good to say about Danske Bank.,"Toxic work environment that do not care for workers well-being, nor their rights, especially those having a disability."
57,Danske Bank,Constant restructuring. Good work life balance,2022-01-07,3.0,Software Developer,Work / life balance is ok,Salary is lower than competitors. Lots of bureaucracy
58,Danske Bank,My time,2022-01-05,4.0,Personal Banker,"Great staff , great team, felt comfortable and at ease at work",Lower pay in comparison to other financial institutions
59,Danske Bank,"Lots of challenges, cost strategy",2021-12-22,4.0,Chief Consultant,A lot to do!!! Quite innovative.,"Execute innovations poorly. The issues with legacy issues in some of the products, can be quite a lot!!!"
60,Danske Bank,"Good perks, no future",2021-12-22,4.0,QA Engineer,"Good perks
Not so much work to do
Slow pace","Nobody cares about anything
Nordic countries looks to other countries from above
You won't make any impact ever on anything bigger"
61,Danske Bank,Nice place to work,2021-12-17,5.0,Senior Applications Analyst,"Good Management
Decent salary hike 
Focus on skill development and lot of learnings and training",Nothing which I can recall
62,Danske Bank,Danske Bank Compliance,2021-12-17,2.0,Senior Officer,"pension, health care insurance, holidays","culture, bureaucracy, discrepancy in goals"
