,company,headline,date,overall_rating,author_position,pros,cons
0,Edelweiss Financial Services,very employee friendly company,2022-04-09,5.0,Collection Manager,It will give you all support to work.,nothing as such that I have noticed in 2 years
1,Edelweiss Financial Services,Don't expect salary,2022-04-02,3.0,Associate,Great learning experience and supportive manager.,No work life balance at all.
2,Edelweiss Financial Services,Good,2022-03-31,3.0,Wealth Manager,"Good environment, nice work culture","Not much, work life balance"
3,Edelweiss Financial Services,About the Company,2022-03-30,5.0,Assistant Manager,The company is well organised and employee centric.,Looking for a Switch to another company.
4,Edelweiss Financial Services,No work life balance and No good working culture,2022-03-29,3.0,Associate,There are many things to learn here.,Doesn’t have a good working culture and no work life balance.
5,Edelweiss Financial Services,No future growth,2022-03-25,1.0,Credit Risk Analyst,"1. Work will not be that difficult, so you will get job stability if you're ready to the repeatetive work for years. 
2. General pros like insurance, salary on time and total of 21 leaves a year.
3. HR's are dumb as usual, nothing new but they do listen sometimes to your problem and can solve for it, like close friend took help in claiming medical insurance and third party was not passing the claim. So, HR did some good work in that case.","1. As I mentioned, no growth can be expected as there will be repeatetive work you will doing. My boss spent 10 years in company and he was doing same work for 8 years before he left.
2. Office politics (though it depends on dept to dept) but assss-lickers do get favour over hard workers.
3. No innovative business models, just old traditional ones - "" Give loans directly to some shady builders and earn interest on it"" and then covering NPA's by making shell companies. So, if you like this work, go for Edelweiss or if you like the growth and money, staw away from this company
4. Average salary and almost no salary hikes. I didn't get any salary hike for 2 years (along with rest of the department in case you're wondering if I was even eligible for), though they were pretty generous in giving bonuses (as what I have heard from some colleagues) when business were going smooth but those days are over. So, don't join in hope for bonus or even salary hikes.
5.Strict dress code. They do make a big deal if you're wearing complete formal attire, but not what they expected and you will be getting good lecture over this!
Though girls have literally freedom to wear anything, several times it was not even formal. So, girls can chill and boys must have to wear formal as per their requirements."
6,Edelweiss Financial Services,A great place to work at,2022-03-24,5.0,Junior Associate,The salary and benefits are great.. I have had a great experience with my managers.. The people culture is also good,The workload was a little too much
7,Edelweiss Financial Services,Nice company,2022-03-20,4.0,Floor Engineer,Friendly staff and good management,Manager will move closely and encouragement
8,Edelweiss Financial Services,Good,2022-03-15,3.0,Relationship Manager,Salary is credited on time,"Not so good managers,not a great culture"
9,Edelweiss Financial Services,Sales & Portfolio Management - ESOP & LAS,2022-03-08,5.0,Sales Manager,Dynamic Culture employee centric good policies,Not any yet none mot at all
10,Edelweiss Financial Services,Excellent,2022-03-05,5.0,Credit Analyst,Excellent company to work for.,I didn't find any cons working here.
11,Edelweiss Financial Services,Good company to work,2022-03-04,4.0,Credit Manager,Work life balance and good culture,Not much to say on cons.
