,company,headline,date,overall_rating,author_position,pros,cons
0,,Great place to work,2022-04-14,5.0,Client Services Manager,Work from home flexibility from top to bottom,Pay can get behind when you stay in the company for a few years
1,,Great company,2022-04-13,5.0,Managing Director,Invest in their employees strong benefits,Wish I came here sooner
2,,Great company,2022-04-12,5.0,Manager,"Great culture, benefits, compensation and work life balance!",Haven’t found any yet to be honest! I love this company!
3,,Understaffed,2022-04-06,2.0,Retirement Representative Call Center,Great people to work with and an easy job.,Company is stretched too thin. Underpaid and overworked. Company started requiring mandatory overtime.
4,,Great company,2022-04-05,5.0,Recruiting,"I've been in the industry for 15 years and at Empower for 4 months. We are so innovative, thought provoking, and really know the meaning of balance.",No cons from my experience
5,,"Lots of work, little benefit",2022-04-05,3.0,Asset Retention Specialist,Was able to work remotely and the vacation time was not bad.,Could hardly take vacation time and lots of overtime. Managers didn’t care about your career progression.
6,,Great workplace,2022-04-04,4.0,Assistant Manager,"Great workplace with supportive management. Gives options for move across team/function based on skill, aspiration and availability.","Difficulty in procuring hardware, application access."
7,,Wonderful place to Work,2022-04-04,5.0,Executive Director,"cheerful staff, active residents, clean environment, professional and responsible.","none yet. I have not yet to find a con, this company is better than most."
8,,No flexibility,2022-04-03,3.0,Customer Service Representative- Retirement Services,"The pay is pretty good, especially for a work-from-home customer service position.",Very little flexibility. Hours of mandatory overtime every week and so much micromanaging. Can barely use the bathroom outside of your scheduled break without penalty.
9,,Operations Manager,2022-03-31,3.0,Assistant Manager,"Employee Friendly
Good company to work with at the associate level",It is a good company who are ready to work hard and have positive attitude
10,,Great,2022-03-30,5.0,Relationship Manager,"Culture, people, leadership and vision of the company",No real cons. Maybe improving back office technology.
11,,QA,2022-03-30,5.0,QA Analyst,Great place to work. Work life balance is too good.,Nothing as of now. It is a great place to work.
12,,Good place to work,2022-03-30,5.0,Financial Advisor,"Good benefits, good low stress environment.",System technology is not the best
