,company,headline,date,overall_rating,author_position,pros,cons
0,Federal Bank,One of the best salaries in the banking industry,2022-04-09,4.0,Clerk,"1. Healthy Pay
2. Yearly Bonus
2. Job Security till scale 3.",Career growth and opportunities are slim as it is more preferred to hire a freshman than to promote a lower cadre to that position.
1,Federal Bank,Including the allowances you get 52-53k gross salary,2022-04-04,5.0,Probationary Officer,Great place to work as colleagues are supportive.,Have to work in a target driven atmosphere
2,Federal Bank,Great Place to Work,2022-04-04,4.0,Assistant Manager,"Package and compensation
Working condition
Regular progression",Hard work sometimes doesn't work here
3,Federal Bank,.,2022-04-03,4.0,Senior Manager,Good place for corporate office,Follows IBA. Slow growth till your reach Senior Manager level
4,Federal Bank,Great Place to Work,2022-04-01,5.0,"Manager, Analytics",It's a great place to work. Bosses are very considerate. Great exposure. Best work life balance.,Could give more pay. Performance based pay can be introduced.
5,Federal Bank,Good,2022-03-29,5.0,Associate,Timing and good atmosphere and friendly colleagues,Repeated tasks and customer handling
6,Federal Bank,A good place to work,2022-03-25,4.0,Probationary Officer (Scale I),"* Good pay structure
* Employee centric bank
* Focuses on growth of employees","* No work life balance 
*Worst transfer policies"
7,Federal Bank,Amazing Work atmosphere,2022-03-18,5.0,Officer,". High tech
. Wholly Staff centric
. Amazing HR policies
. Great Atmosphere",Not much I can see
8,Federal Bank,The perfect place to start your career,2022-03-17,5.0,Bank Clerk,"Good pay, ample opportunities for promotions and fixed working hours",Transfer process may take time
9,Federal Bank,Good Work Culture,2022-03-11,5.0,Anonymous Employee,"Helpful colleagues, Less pressure, good salary, good environment",A little tough HR regarding transfers
10,Federal Bank,Good employment,2022-03-10,3.0,Manager,Job security is excellent. You wont be laid off,Career path attainment is hard
11,Federal Bank,-,2022-03-10,5.0,Business Analyst,Healthy working environment and team members,Bias for specific language speaking people
12,Federal Bank,Compensation,2022-03-09,4.0,Manager,Compensation at par with nationalised peers,Transfer and posting policy is not proper
13,Federal Bank,Good organisation to work with,2022-03-09,5.0,Assistant Manager,"Good Compensation
Enough number of leaves
Good career growth",I don't find any cons
14,Federal Bank,Great place to work !,2022-03-08,5.0,Anonymous Employee,Everything is good here in Federal Bank,Nothing is bad here in Federal Bank
15,Federal Bank,Manager,2022-03-07,4.0,Manager,"Best in industry salary, ample opportunities to grow,bank gives the opportunity to everyone to explore their interested areas","Transfers,cross sale pressure,more dependency on operations"
16,Federal Bank,Great place to work,2022-03-07,5.0,Clerk,Management is impeccably good. Very responsible and honest,Nothing much of.cons as long as I worked
17,Federal Bank,cons offset pros,2022-03-05,3.0,Assistant Manager,"benefits, good among south based banks","career growth,worse politics flexibility,strict timings"
18,Federal Bank,getting more private banking approach than before,2022-02-28,4.0,Assistant Manager,"good pay
good learning opportunities 
great HR support and Head office staff","work-life balance is going haywire with upcoming target pressures, frequent changes in rule and policies 
senior management has a large number of people who have less knowledge than required
job rotation not as frequent as required for leaning things"
19,Federal Bank,Good,2022-02-23,5.0,Management Trainee,"Work is fine, culture is good.",Nothing as of now though.
20,Federal Bank,Good exposure,2022-02-21,3.0,Assistant Manager,"Different responsibilities are allocated, Different locations","Culture, no proper feedback system"
21,Federal Bank,Clerk Salary,2022-02-19,4.0,Clerk,Nature at a top notch,As of now there is no problem
22,Federal Bank,Strong ethics,2022-02-14,4.0,Assistant Manager,"Overall Nice culture
Satisfactory salary
Best Fintech Tie ups
New innovations
Clear Employee Policies
Mediclaim Facility","Not much if you enjoy customer interactions
Transfers but genuine cases are considered"
23,Federal Bank,Nice,2022-02-11,3.0,Teacher,Nice place to work on bank,No such comments about that
24,Federal Bank,Great place to work,2022-02-09,5.0,Probationary Officer,"Benefits, work culture, salary,work life balance","Management, targets pressure, transfers, increaments"
25,Federal Bank,balanced place of work,2022-02-08,3.0,Assistant Manager,"Perks, demography, knowledge sharing, employee concern and technology advancement","poor work-life balance, long working hours, ill-treatment and pressure for targets"
26,Federal Bank,Ancient,2022-02-05,3.0,Assistant Manager,"Salary benefit and perks
Govt culture",No proper upgrade in mindset
27,Federal Bank,Better than I expected,2022-02-04,5.0,Bank Clerk III (Computer Operator),Best job I had ever and all are respecting me,Not a worst job I had ever and all are not irrespective to me
28,Federal Bank,Great organization,2022-02-03,5.0,Assistant Manager,It was a enriching experience.,Small size of bank limits your opportunity
29,Federal Bank,Great,2022-02-02,5.0,Credit Analyst,Good work life balance .,Growth here is very slow.
30,Federal Bank,Employee caring,2022-01-31,5.0,Credit Analyst,Well rounded experience and good opportunities,Lack of good leaders. Frequent change in processes.
31,Federal Bank,Good job,2022-01-29,5.0,Clerk,good environment and fix timings,nothing as compared to other private banks in india
