,company,headline,date,overall_rating,author_position,pros,cons
0,,Review,2022-04-12,5.0,Specialist,"Retirement plan, compensation, and great place to learn skills",Long hours and hard work
1,,Solid Company,2022-04-12,3.0,Sales,Good opportunity to start career,"Limited growth, but large earning potential"
2,,Great Place,2022-04-09,5.0,Data Analyst,"Pays well, great benetfits no cons","No cons, no cons, no cons"
3,,Know what you are getting into,2022-04-05,4.0,Account Executive,"-Uncapped commission 
-Leads provided for you","-Intense cold calling 
-High pressure/old school sales"
4,,Consider Other Alternatives,2022-04-04,1.0,Anonymous Employee,"401k 
Health Insurance 
That is it!","- NO WFH especially in today's day in age
- This company is still based in the 1970s
- The most outdated technology which makes its very inefficient 
- Did not believe in the pandemic- did not care about employees health at all. In fact, most offices were open during the pandemic and employees had to come in unless if you were ""high risk."" 
- And a lot of people caught covid from the office. 
- Super disorganized on handling the pandemic. 
- No work life balance - mandatory 10 hour work day. 
DO YOURSELF A FAVOR AND DO NOT WORK HERE!"
5,,Could be worth it,2022-04-04,4.0,Client Services Associate,"Good place to work
Good pay","Burnout can happen quickly 
Lack of diversity"
6,,Great company,2022-04-04,5.0,Account Executive,"Great pay
Excellent mission statement
Good work environment",No opportunity for remote in my role.
7,,Hard but rewarding,2022-04-02,5.0,Account Executive,"Uncapped commissions 
Motivational environment 
Good managers
Send you home at 5pm, 40 hour work week","200 calls a day minimum
Do not apply unless you are prepared to call"
8,,Great Place to work,2022-04-01,4.0,Client Account Coordinator,Many avenues to grow with others company . Amazing benefits,"Long hours, pay could be better for operations specialists"
9,,They need to change A LOT,2022-03-31,2.0,Anonymous Employee,"- The people I worked with were great and became close friends. 
- Opportunities to move into any department you want , regardless of your degree or experience, once you have your foot in the door.
- Great benefits and 401(k) match
- Rewarded based on performance, not just tenure.","- Mandatory 10 hour workday (5 days a week) for most employees. They changed non-exempt employees to 8 hours without reducing their compensation. But, they refuse to move exempt employees to 8 hours unless they get special approval AND agreed to a pay cut. It sends a message that they really don't care about their skilled workers or work/life balance

- D&I is a joke at Fisher! They haven't actually done anything to improve since Ken's comments back in October 2019. Senior leadership is also extremely out of touch and can be very politically incorrect and almost offensive at times when speaking about D&I items.

- Their response to COVID-19 was and has continued to be terrible. They have repeatedly put their employees at risk, treated offices differently (ex. California came back full time in July 2021 but Washington didn't return until 6+ months later), didn't provide many accommodations to those who needed them and just were not understanding to people's mental health at all. Sure they have resources, but they basically forced people to quit because they wouldn't let them work from home when there was no reason they needed to be physically in the office despite Fisher saying they have to. (Btw, I don't think being in the office is an ""essential function"" of a majority of your jobs and I doubt that'd hold up in court).

- Ken Fisher should not be allowed to speak. He sent out a memo to employees basically saying that they need to just get over COVID and that anyone who quit because of the company's response to it is wrong and is never welcome back. Terrible. 

- It feels very cult-ish. 

- They don't change. I worked there for almost a decade and had been hearing about change -- more flexibility with work/life balance, dress code, etc. and nothing has ever changed. They receive endless feedback but just don't listen."
