,company,headline,date,overall_rating,author_position,pros,cons
0,,Good job,2022-04-14,4.0,Disclosure Specialist,Great job during covid pandemic,Job security isn't the best.
1,,Great place to gain experience,2022-04-13,3.0,Recruiter,The ability to work remotely is great. Opportunity for growth is there,Pay is not in line with current salary trends. The 401k match is not a true employer match.
2,,Eh,2022-04-13,2.0,Mortgage Underwriter,Starts off as a good company who cares about employees,Mass hires and mass layoffs
3,,Growing my career and having fun and being appreciated,2022-04-13,5.0,Vice President,Employees are often celebrated and advanced for success,Layoffs with interest rates in flux
4,,Advocate for sustained homeownership during Natural Disasters and life changing-events related to COVID-19,2022-04-13,5.0,Outreach Advocate II,"Empower and develop employees so that their value in the organization is known as well as provide a clear vision for their future with the company. Inclusivity, Diversity, and Meritocracy.",Be ready not only to identify procedural and service disconnects but to provide resolutions. No cons.
5,,Bittersweet,2022-04-13,5.0,Oversight Analyst,FMC is an amazing company to look into if you are thinking of a change in career. The onboarding and hiring process was seamless even with being 100% remote. Getting in touch with IT help during any issue is quick and usually resolved within the first call. Leadership team within FMC are always going above and beyond to lend a hand when needed and definitely keep the team engaged throughout the day. Being remote is a challenge of itself and although you aren’t with your team in person the use of zoom and teams helps build that bond you would get in an office setting.,"Honestly being here for a year I haven’t had any real “cons” that I have personally ran into. Any issue or concern that I brought to leadership attention would be immediately addressed. If I had to have a con it would be give more to your employees. It is amazing to see all the volunteer work and charitable deeds FMC participated in, but it would be nice to see a year end bonus, or even some small gift of gratitude not just during review time."
6,,"Empowering bosses. Smart, kind and motivated employees",2022-04-13,5.0,Funder,"Great health benefits, family oriented, and opinions regarding work and process are welcomed. Feels like you are working with family. Management actually cares about employees and you are not looked at just a number.",None at the time. Our management team is always looking for improvement and welcomes suggestions from employees.
7,,Great company,2022-04-13,5.0,Mortgage Underwriter,"Love how flexible the work environment is! 
I have excellent leadership that provide great guidance and make my job less stressful!",Everything has been great since I started working at Freedom!
8,,"Potential to be a good company, stay away for now.",2022-04-13,2.0,Sales Manager,"Good base that is comparative to the industry. 
Good benefits. 
Strong culture for a remote company.","Communication is lacking from executive level management. Freedom is riddled with politics and it’s all about who you know. 
Not geared for the rising rate environment. 
Lack of products will hurt future growth. 
Not much care for talent retention and irresponsible hiring that ends with layoffs in a very short period of time (these are peoples lives). This creates a toxic environment where everyone is always living in fear of what comes next regardless of talent level. 
Technology for sales and ops is backwards and counter intuitive. 
Loans that should close in 4 weeks end up taking 3 months because of low level internal communication. 
No accountability in taking care of clients and everyone feels it is ok to pass the buck. 

Best of luck to anyone still employed here as you will need it. This company has a ton of potential but for now is one that I would recommend against till they re-evaluate their business model."
9,,Not recommended.,2022-04-13,2.0,Customer Success Agent Tier II,"Decent pay, fun and friendly team members, gain some entry-level mortgage experience.","Rude supervisors, unreasonable expectations such as time spent on a call, minimal or no training for the subject matter of the phone calls, let go with no issues or warning whatsoever."
