,company,headline,date,overall_rating,author_position,pros,cons
0,,good work life balance,2022-04-15,3.0,Anonymous Employee,"Good work life balance
Decent pay","Zero to no growth
Laid back work culture"
1,,Don’t do it,2022-04-14,2.0,Executive Assistant,You’re employed don’t stay long you’ll lose skills,No time for growth. Overworked and underpaid
2,,Good,2022-04-14,5.0,Anonymous Employee,"Benefits, people, salary, encironment, people",Rto rto rto rto rto
3,,Good environment,2022-04-14,4.0,Back Office,"Good environment, well-being, training, benefits, safe","Political , some managers / leaders have old style of mgmt"
4,,Nice place to work,2022-04-14,3.0,Analyst,"Very friendly staff 
Work from home
Inclusive
Flexible","Work not challenging enough and not very interesting
Not many opportunities for travel 
Cost cutting"
5,,Great benefits,2022-04-14,4.0,Business Support Manager,"good vacation days
good other benefits",low pay for high work
6,,HSBC Banker,2022-04-14,3.0,Personal Banker,"Entry-level jobs in the banking industry
A small team (7-9 people in a branch)
Regular off work time (at 5:30 pm)
No overtime","Not remote
Customer services
Need to meet selling goals"
7,,Nice place to work,2022-04-14,5.0,Vice President,New and hi tech building in TRX.,Expensive parking rate in TRX.
8,,Wonderful,2022-04-14,1.0,"Senior Manager, Operations","Bad read as is
Greatest bad 
Hire and fire","Excellent read as is 
Joiners and leavers at entry gate"
9,,Intern - Legal dept,2022-04-14,5.0,Student Work Placement,nice colleagues and positive working environment,Compulsory work from and need vaccination to back office
10,,Good org but culture issues,2022-04-14,3.0,,"The HSBC brand is pretty good on the CV. Very structured and highly corporate culture. Opportunities to move across teams, geographies once settled in. Internal movement encouraged.","Micromanagement of staff time shows a culture of distrust. Extremely process driven and highly bureaucratic. Corporate culture in the extreme.
Stingy company when it comes to salary, hikes etc.
Ops heads and teams have extreme cost cutting plans .
Work quality is average."
11,,Great place to work but little reward,2022-04-14,4.0,Senior Business Manager,"Great people, very challenging work, advanced technologies. Overall, everyday is a challenge and provides intellectual rewards.","Work hard, but little monetary reward. Sometimes years without merit increase, or cuts to bonuses. If in high cost countries, there is little advancement or promotions."
12,,Good company - frequent layoffs,2022-04-13,4.0,Operations Manager,Great coworkers. International opportunities. Advancement opportunity.,High amount of layoffs recently
13,,good,2022-04-13,5.0,Anonymous Employee,good perks given by company,bad working hours in company
14,,Good benefit and compensation package,2022-04-13,4.0,EIR Assistant Manager,"24 AL, hybrid working, $6000 wellness budget","Heavy workload, high turnover rate"
15,,Culture,2022-04-13,2.0,Anonymous Employee,Nothing really counts as pro compared to competitors,Culture is definitely a con
16,,Good place to work,2022-04-13,5.0,Customer Service Specialist II,"the pay was great, been there for 16 years,","no cons, great place to work"
17,,Good,2022-04-13,5.0,Financial Advisor,"very good company, thank you! very good company, thank you!","working long hours and shifts, couldn't really think of anything more"
18,,Varied and interesting role,2022-04-13,4.0,Anti Money Laundering Investigator,"Varied client base made for interesting cases.
Ability to move around business and apply for other roles.",Onboarding of new staff takes a very long time so many times the team was understaffed. The business we’re often dismissive of how important CDD was to enable a thorough investigation.
19,,Overall good company,2022-04-13,3.0,Finance Analyst,Good team to work with and culture was decent,Some management can be difficult to work with
