,company,headline,date,overall_rating,author_position,pros,cons
0,ICICI Securities,Good place to work,2022-04-04,4.0,Financial Advisor,Good client base and launch pad for early stages of careers,All non sales relevant profiles are present only in Mumbai
1,ICICI Securities,Good,2022-04-04,3.0,Anonymous Employee,Good knowledge sharing & excellent client base,"Work culture , should be towards employee centric"
2,ICICI Securities,Good,2022-04-02,3.0,Senior Relationship Manager,very much to learn from the organisation,there is some work pressure
3,ICICI Securities,Average,2022-03-31,3.0,Executive,You will learn new things,"Extended work hours
Low pay
No work life balalnce"
4,ICICI Securities,Just joined,2022-03-29,4.0,Functional Manager,"Good management, learning experience and ofcourse salary","Work life balance, strict timings"
5,ICICI Securities,Good,2022-03-28,3.0,Anonymous Employee,Lots of training they provide,"Work pressure
Strict timmings
No work life balance"
6,ICICI Securities,Very bad company,2022-03-25,1.0,Digital Relationship Manager,"Salary.
Colleagues
Nothing
Nothing. . .
Nothing. . .
Nothing . . .",Everything.. boss is the 👿..call will start at 8 after work till 9:30 only gali
7,ICICI Securities,NA,2022-03-25,3.0,Wealth Manager,It helps in understanding consumer behaviour,"It's hectic, tedious, working on holidays"
8,ICICI Securities,Dont spoil your career,2022-03-24,1.0,Senior Relationship Manager,"not any special...
salary on time","too much pressure
-join any other company to save your career"
9,ICICI Securities,Good place for sales,2022-03-23,3.0,SAP Srm Consultant,"If u can do sales it is heaven for u
Sales
Sales 
Sales
Sales","Staffs are nt supportive
Not good
Not for good ethics
Not for ethical
Not for good slalary"
10,ICICI Securities,"Worst manager, worst company",2022-03-12,1.0,Virtual Assistant,Can not think of even one.,"No work life balance
Worst management
No data available for calling still expect good sales 
Fooling there customer, pressurising employees"
11,ICICI Securities,Good,2022-03-11,4.0,Mutual Fund Analyst,Freshers can gain a lot of knowledge,Bit pressure We should bare
12,ICICI Securities,Relationship Manager at IDIRECT,2022-03-09,3.0,Relationship Manager,"Flexible timing 
Sometimes Wfh opportunities","6 days working 
Low salary 
Sales pressure"
13,ICICI Securities,Very Good company,2022-03-08,4.0,Assistant Manager,"Very good company , supportive staff,",Work Life Balance is not that good
14,ICICI Securities,Good company,2022-03-05,3.0,Operations,"Learn a lot
Supportive environment
Good management","Low perks
Working hours are atleast 12 hrs a day"
15,ICICI Securities,Good opportunity to start a career,2022-03-04,3.0,Senior Relationship Manager,"- good career start
- working with a brand
- will keep you updated with current market scenarios","- sales pressure 
- will make you focus on sales rather than providing services to a client (in terms of portfolio management)
- pressure of life insurance sales
- multiple products for sales. Each product has its own target."
16,ICICI Securities,Gud company,2022-03-03,4.0,Vice President,Gud company to work in india,Long working hrs 5 days a week
17,ICICI Securities,Good,2022-03-01,4.0,Relationship Manager,"Learning experience , knowledge, good earning","No work life balance,no time"
18,ICICI Securities,Beneficial as an entry level job,2022-03-01,5.0,Relationship Manager,"Timely pay
Good culture
Work life balance
Learning","Saturation
No canteens
Less exposure
Target based job"
19,ICICI Securities,No work life balanca,2022-02-25,2.0,Senior Relationship Manager,"Good infrastructure 
Initial salary is good","Low salary
Hectic wor
Pier pressure 
They only focus on business numbers
No work balance"
20,ICICI Securities,Wealth Management,2022-02-20,2.0,Wealth Manager,Learning Portfolio analysis networking product mix,Bad culture insurance push bad incentives
21,ICICI Securities,Good,2022-02-18,5.0,Anonymous Employee,It was good going for me,There is nothing to say for cons
22,ICICI Securities,don't come to this company if you have other job in hand,2022-02-16,2.0,,"worst experience in my life , most lathargic approach toward everything",everything is worst don't expect to get growth in term of knowledge and post
23,ICICI Securities,wealth manager,2022-02-16,4.0,Wealth Manager,good incentive structure and working environment,lower salary package main focus is on life insurance
24,ICICI Securities,Good !,2022-02-15,5.0,Sales Manager,Good to start from ground,Career growth is always a concern.
25,ICICI Securities,Worst Company,2022-02-15,1.0,Senior Relationship Manager,"Nothing is good with this company, HR with 4 years experience absconded this company","Worst managers, continuous pressure for Life insurance sales"
26,ICICI Securities,Its  a good company,2022-02-13,3.0,Senior Relationship Manager,Salary on time every month,"Work Pressure high, Daily call take by co."
27,ICICI Securities,Good,2022-02-12,5.0,Senior Relationship Manager,To gain capital market and financial institution knowledge,Sales pressure and new leads
28,ICICI Securities,d,2022-02-12,1.0,Key Relationship Manager,not all well no pros,cons is all pressure is
29,ICICI Securities,Good Organization,2022-02-10,4.0,Wealth Management,Good Growth and Lots of Learning,Career Opportunities are limited in this organisation
30,ICICI Securities,Senior Relationship manager,2022-02-10,3.0,Senior Relationship Manager,Good money nd knowledge in financial markets,Lot of pressure nd stress bcz it's sales job
31,ICICI Securities,"Good company, good HR culture, good work life balance",2022-02-09,4.0,CHIEF MANAGER,"Good company, good HR culture, good work life balance",Sometimes too much process oriented
32,ICICI Securities,average,2022-02-08,3.0,Software Development Engineer (SDE),good work culture. . .,Neutral experience. . . .
33,ICICI Securities,Sales,2022-02-07,2.0,Senior Relationship Manager,They provide training for every single products.,"Too much travelling
No support
They only talk about targets."
34,ICICI Securities,Good,2022-02-06,5.0,Equity Advisor,Work life balance is good,You don't get leaves easily
35,ICICI Securities,Target oriented,2022-02-04,4.0,Senior Relationship Manager,Brand name as so many employees get high paid jobs in finance after placement in it,Much high targets with less growth
36,ICICI Securities,Good place to work,2022-02-04,5.0,Project Manager,It's nice place to work..have many things to learn,Good place to learn good enviornment
37,ICICI Securities,Good work life balance,2022-02-03,5.0,Backend Executive,Good company to start career.,Not at all deff gg
38,ICICI Securities,Over all a good platform to learn,2022-02-02,4.0,Senior Relationship Manager,"Learning platform for every individual
Multiple products to deal with 
Client data is very good","Less salary
Poor Management
No hike
No weekend off no holidays"
39,ICICI Securities,good,2022-02-02,4.0,Fresher,if you do sales good you get goodmoney,pressure work for sales sometimes
40,ICICI Securities,Too much pressure,2022-02-01,3.0,Equity Advisor,Salary and incentive are good,too much work pressure on employees
41,ICICI Securities,Not recommend,2022-02-01,1.0,Relationship Manager,As such no pros of working here,Long notice period of 90 days
42,ICICI Securities,Sales Job,2022-01-24,3.0,Relationship Manager,Good place to work for Marketing people.,People from non marketing background might find it difficult to to work here.
43,ICICI Securities,Customer service escalations,2022-01-20,3.0,Escalations,The working culture is amazing and sorted.,Pay scale is very less
44,ICICI Securities,Good,2022-01-18,5.0,Senior Relationship Manager,Can gain lot of knowledge,"Work time
Less family life
More work"
45,ICICI Securities,Worst company,2022-01-17,1.0,Senior Relationship Manager,"Lots of products to sell. 
Environment is very bad.","No cons. 
Brand name. 
Company only look good from outside"
