,company,headline,date,overall_rating,author_position,pros,cons
0,IDBI Bank,Good,2022-04-10,5.0,Buisness Development Executive,Good for learning for freshers.,Not for career for experience one.
1,IDBI Bank,Transition,2022-04-04,3.0,Credit Manager,Job security  is certain with proper management of stress.,Transition period has made the reatail banking pure sales oriented from service/admin oriented.
2,IDBI Bank,IDBI Managet,2022-04-02,4.0,Manager,"Challenging,learning,good salary and perks. Hood environmemt and modern bank",There are not many cons..usual banking sector related
3,IDBI Bank,Manager,2022-04-02,3.0,Manager,ok for staring your career,no work life balance for branch people
4,IDBI Bank,Corporate Banking,2022-04-02,3.0,Relationship Manager,"Salary is good. If you lucky to get good manager, it's good place to work.","Now more than banking, it's like insurance selling agency. The bank is not interested in investing on technology or improvement of employees knowledge. The top management is only worried for selling insurance products."
5,IDBI Bank,Teller Service Executive,2022-04-01,4.0,Teller Service Executive,Various opportunities to learn. One can easily become AM after 3 years.,Long working hours. HR department is not supportive.
6,IDBI Bank,Very good,2022-03-29,5.0,IDBI BANK,Good to work with this company,Nothing as such in this
7,IDBI Bank,Worse,2022-03-27,1.0,Cashier,"Goodpackage ,better culture ,get a chance to learn about financial sector.","Have to work from 9:30 to 9 , no credits, have to work like dockey.."
8,IDBI Bank,Good bank to work with,2022-03-24,4.0,Manager,"New generation bank, good customer service",will get delayed promotions for the new joinees
9,IDBI Bank,Nice place to work,2022-03-22,4.0,AGM,full exposure/ opportunities for any work profile..,transfer & relocation after certain period of time
10,IDBI Bank,Good,2022-03-18,4.0,Assistant Manager,Good nice plca to work,Nothing bad as such here
11,IDBI Bank,Sarkari style of working,2022-03-18,3.0,Assistant Manager,Good exposure in Corporate finance and all online system,"Extremely sarkari style of working,"
12,IDBI Bank,IDBI Bank,2022-03-16,5.0,Senior Manager,best work environment in industry,bad culture of old people politics
13,IDBI Bank,Good job,2022-03-15,4.0,IDBI BANK,Colleagues who supported everytime and everywhere,Job postings given far far away from home
14,IDBI Bank,Neutral,2022-03-11,3.0,Credit Manager,Neutral salary stability Perks Growth,Neutral Nothing to complain about
15,IDBI Bank,IDBI Bank Ltd,2022-03-10,5.0,Manager,Good Bank and Employees are good,There are cons for this Organization
16,IDBI Bank,Worst place,2022-03-08,3.0,Sales Executive,Good salary and less time issues,Worst bank to work at
17,IDBI Bank,Bad work culture. But decent pay,2022-03-07,3.0,Manager,Good pay and govt organization,"Policies keeps on changing in a short while. Mgmt not sure what to make staff do.
No vision."
18,IDBI Bank,A Bank which lost its loyal employees,2022-03-03,2.0,Manager,"1. Good Leave policy.

2. Good history with infrastructure and systems in place","1. The management is confused and more of an LIC office than a banking institution.

2. Employees are overburdened with work and higher management harasses the employees.

3. Mid management level consists of old aged PSU cultured people who are more inclined towards ""demanding"" undue respect and seniority treatment rather than working in tandem with team.

4. Favoritism is hurting the bank and many people have taken undue advantage of the same, thereby placing most of the people in controlling office and back offices rather than business end.

5. Bank is more inclined towards generating other incomes to improve balance sheet"
19,IDBI Bank,Work Culture,2022-02-24,4.0,Manager,"The salary is better than other banks. Lunch, Conveyance, and telephone-like benefits.",Sales targets are extensive and have no work-life balance.
20,IDBI Bank,Good bank to start career with,2022-02-24,2.0,Branch Operations Manager,Good learning curve. hands on experience at branches,bad management. disconnect between departments.
21,IDBI Bank,Bank,2022-02-24,5.0,Risk Analyst,Best practices are followed which are system driven,Slow growth and under paid
22,IDBI Bank,idbi,2022-02-23,3.0,Assistant Manager,Employee friendly culture at idbi,Too much pressure at workplace
23,IDBI Bank,Look Elsewhere,2022-02-12,3.0,Fvp,New office space in the Grace Building; CEO is moving in a positive direction,Low pay; strictly annual performance based bonus and no annual raise for officers
24,IDBI Bank,"Sales  Marketing ,& ops",2022-02-09,4.0,Territory Sales Manager,Behalf of best achievement promoted to RSM at delhi location,My first months in idbi
25,IDBI Bank,Good for low growth expectations,2022-02-06,4.0,Assistant Manager,"Job security
Satisfaction HR policy
Leaves abundance","Slow growth
Low perks
Slow salary increment"
26,IDBI Bank,Good,2022-01-29,3.0,Assistant Manager,"Good locations, infra, work and job","Work life, management, promotion and sometimes transfer"
27,IDBI Bank,Banker,2022-01-25,3.0,Manager,"Government bank pay grade, friendly colleagues,","High work pressure, long working hours"
28,IDBI Bank,good,2022-01-23,4.0,ABC Manager,"good working enviornment, supportive colleagues","no cons as such, good place to work"
29,IDBI Bank,Idbi bank,2022-01-22,4.0,Assistant General Manager,Good brand value with customers,Staff shortage due to low level of recruitment
30,IDBI Bank,good,2022-01-15,5.0,Operations Manager,"organized 
good communication
employee friendly environment","less inter department initiatives
no quite areas"
31,IDBI Bank,Good,2022-01-13,3.0,Sales Executive,Banking experience is good for all.,Working atmosphere is not upto mark.
32,IDBI Bank,Higly rewarding job,2022-01-08,4.0,Director,Higly rewarding job and nice work enviroment,A few Carear developmetn opportunities
33,IDBI Bank,Good,2022-01-07,5.0,Credit Analyst,Good environment and overall development,Huge work pressure and staff shortage
34,IDBI Bank,Great organisation with rich vintage,2022-01-06,4.0,Assistant General Manager,"Excellent organisational culture, employees friendly",Privatisation has resulting in rogues bosses spooling the great culture
35,IDBI Bank,File login to disb.,2022-01-04,5.0,Credit Processing Associate,"Very good, excellent working culture","No negative comments, good work"
36,IDBI Bank,Ok,2021-12-30,3.0,Manager,Job security is a plus point,Work Timings can be challenging.
37,IDBI Bank,Manager at retail segment,2021-12-28,1.0,Manager,Salary and petrol allowance are good.,Worst work culture and poor management.
38,IDBI Bank,Competitive work culture,2021-12-25,4.0,Assistant Manager,Good policies and gender equality,Too much pressure of targets sales
39,IDBI Bank,Credit Administration,2021-12-24,3.0,Assistant Manager,Stable career with govt backup,Unstable banking industry in current government.
40,IDBI Bank,Working with bank since last 12years,2021-12-24,5.0,Credit Manager,Want change from banking field,"Business pressure ,Output is not worthy according to work."
41,IDBI Bank,Service ops manager,2021-12-23,4.0,Assistant Manager,"Good culture, good working environment",Everyone has to do sales. Just lot of sales. .
42,IDBI Bank,Worst place to work in,2021-12-20,1.0,Asset Manager,People with average intelligence and worst attitude manage to go a long way here,"Worst HR policies, extreme work pressure, inequality among staff distributed in branches"
43,IDBI Bank,Idbi bank,2021-12-17,2.0,Manager,Salary is the only driving factor,"No work life balane
Lots of politics
Not much growth oppurtunity"
44,IDBI Bank,great company,2021-12-16,5.0,IDBI BANK,i was great and lovely to be there,less salary and too many work
45,IDBI Bank,Best environment,2021-12-15,2.0,Assistant Manager,Best environment in the industry,Recruitment process is rather slow
46,IDBI Bank,Good,2021-12-11,5.0,Manager,Good  everything is going well,"Nothing seems challenging, very good"
47,IDBI Bank,Operations,2021-12-10,3.0,Assistant Manager,"Good learning and exposure
Good colleagues
Great atmosphere","Bad leadership
No career growth
Lots of transfers"
48,IDBI Bank,A,2021-12-09,5.0,Assistant General Manager,It was my First job n I found it very good.,I worked in liability side only
49,IDBI Bank,I have worked in retail banking and retail asset center in IDBI bank,2021-12-07,4.0,Banking Professional,Good bank to work for,Transfer policy need to be revised
50,IDBI Bank,good place to work,2021-12-06,4.0,Accountant,It's now Ltd organization half government and half private,work load lic insurance work
51,IDBI Bank,"Multi culture, good ambience, good expertise",2021-11-30,5.0,Salesforce Lead,"Multi culture, good ambience, good expertise",Not so good salary and temporary contracts
52,IDBI Bank,Culture,2021-11-29,3.0,Anonymous Employee,Good learning curve for beginners,Slow career growth for everyone
53,IDBI Bank,Good,2021-11-28,3.0,Anonymous Employee,Comfortable service for long term jobs and security,Difficult with customer facing roles.
54,IDBI Bank,Good,2021-11-23,3.0,Anonymous Employee,Corporate Banking Experience in the Bank,Red Tape in the Bank
55,IDBI Bank,Good bank,2021-11-20,5.0,Sales Executive,He is one of best bank in private sector .,Don't grow our life in bank
56,IDBI Bank,Previously good,2021-11-17,3.0,Assistant Manager,Good pay structure when compared to most banks,More focus on TPD income
57,IDBI Bank,Just okay.,2021-11-16,3.0,Assistant Manager,"- Young workforce
- Very good service standard 
- Good exposure","- Stressful
- Inadequate salary
- Promotion is not quick enough"
58,IDBI Bank,Best bank to survive,2021-11-14,4.0,Manager Trade Finance,"Best monetary benefits 
Best leave policy
Best promotion policy","Average infrastructure 
Worst man power management
Worst transfer policies"
59,IDBI Bank,Manager,2021-11-12,1.0,Manager,Good for freshers to gain experience.,No job rotation . Extended working hours.
60,IDBI Bank,Excellent Bank,2021-11-11,5.0,Head Credit Processing Centre,"Good salary and perks, good training, promotions etc",I have not noticed any cons
61,IDBI Bank,Trade Finance,2021-11-10,4.0,Assistant General Manager,Mix of private and public sector culture,Show salary increase per year
62,IDBI Bank,Idbi bank,2021-11-09,5.0,Assistant General Manager,Bank is very good in all terms.,I don't see anything bad in idbi.
63,IDBI Bank,NA,2021-10-30,5.0,Assistant Manager,Good work culture at IDBI Bank,Targets are not the good thing here if working in retail bank
64,IDBI Bank,Nice place to work,2021-10-28,4.0,Asiistant Manager,"Nice work culture, Motivated people around","Long working schedule,less Salary in hand."
65,IDBI Bank,Quite Good,2021-10-24,4.0,Credit Analyst,Light work load and pressure throughout the year,Low benefits and salaries and bonuses
66,IDBI Bank,Great experience,2021-10-22,5.0,Associate,Great projects and transactions. Exposure.,No bonus. Only base pay.
67,IDBI Bank,Good,2021-10-17,4.0,Assistant Manager,Good working culture..young bank and employees.,Less branches so less probability to be in one city for longer time
68,IDBI Bank,Slow growth coupled with fewer learning.,2021-10-10,2.0,Assistant Manager,"Salary, colleagues, location, little pressure in administrative tasks.","Very slow growth, fewer learnings, much complicated working process, promotion process, hierarichal changes required in bank."
69,IDBI Bank,Good,2021-10-04,4.0,Assistant Manager,Good work culture and friendly atmosphere,Not many cons are there.
70,IDBI Bank,Overall good,2021-10-03,5.0,Service Operational Manager,"Professionalism, active participation, Teamwork, Guidance from Superiors, Training","Nothing much, training should be more practical"
71,IDBI Bank,mitigation risks come from approving facilities,2021-10-02,3.0,Credit Risk Analyst,just getting an exposure and maybe i get an opprtunity,no salary no social ife no nothing
72,IDBI Bank,.,2021-10-01,4.0,Deputy Manager,the work environment is good,"long working hours, bureaucratic administration, less democratic."
73,IDBI Bank,Negative,2021-09-29,2.0,Assistant Manager,Lesser roi for loans for staff,Too much work load pressure
74,IDBI Bank,Good secured environment,2021-09-27,2.0,Assistant Manager,"Less work pressure
Salary
Work life balance","Limited to no learning
Slow promotion process"
