,company,headline,date,overall_rating,author_position,pros,cons
0,IDFC First Bank,Worst culture,2022-04-09,1.0,Senior Banking Officer,Nothing is good in the company,"No proper working time
Too much work pressure
Embalance in work life culture"
1,IDFC First Bank,good,2022-04-08,2.0,Sales Officer,good environment in idfc first bank,good incentive structure in this bank
2,IDFC First Bank,Neutral,2022-04-08,3.0,,"work life balence is good
management is ok",working infrastructure need to stabilize
3,IDFC First Bank,Good experience,2022-04-08,4.0,Sales Manager,Overall good company. Good environment,There is little bit politics in appraisal
4,IDFC First Bank,Limited very slow growth,2022-04-07,2.0,Credit Manager,"Not much except a bit of learning
They hire MTs and give chance to freshers which is a good thing","Slow growth
Poor hike if you are in credit
Hierarchy related formalities are too much"
5,IDFC First Bank,MBL,2022-04-07,4.0,Credit Manager,"Great place to work at initial stage of your career, Good learnings",sometimes we have to work on weekends hence it is bank mostly all pvt banks has same tendency
6,IDFC First Bank,Worst,2022-04-07,1.0,Front Desk Receptionist,Dominating managers very worst behavior,They don't respect their employees even if u relieve from that company they won't release your last salary
7,IDFC First Bank,Role of an RM in NRI Banking,2022-04-06,1.0,Senior Relationship Manager,"Lots of learning, responsibility of 4-5 branches.","Poor work-life balance, Work beyond shift, Micro-Management, work pressure"
8,IDFC First Bank,Great,2022-04-06,5.0,Manager,Everything is great about it,No cons in this organisation
9,IDFC First Bank,Review on NRI Banking as an RM - Retail Sales,2022-04-06,2.0,Senior Relationship Manager,The NRI Business is good to work with in Retail Banking. There is a lot to learn.,"Micro-management, responsibilities of 4-5 branches, no-proper training, beyond shift work."
10,IDFC First Bank,Good Learning experience,2022-04-06,4.0,Auditor,Good exposure with different product insight,Check review of your reporting manager before joining
11,IDFC First Bank,Sales,2022-04-06,1.0,Senior Officer,Nothing was good for career,Everything was bad for career
12,IDFC First Bank,it's a good n accept this take challenge n complete it.,2022-04-02,4.0,,it's big corporate place where I will learn everyday something new with senior n colleagues.,it's a new for me becos still hv not work in banking sector.so this is new exp for me.
13,IDFC First Bank,Data engineer,2022-04-02,4.0,Data Engineer,"Good learning opportunity
Given chance to present own idea","No work life balance
More adhoc requirements without any KT"
14,IDFC First Bank,"Good learning, bad culture",2022-04-01,3.0,CHIEF MANAGER,"Good learning, colleagues are good.","Culture is bad, frequent change in strategy of top management"
15,IDFC First Bank,Corporate Salary,2022-04-01,5.0,Bank Officer,Good to work with this organisation,"Management wise everything fine, cross sell products are many to do"
16,IDFC First Bank,Read this before taking your decision,2022-03-31,3.0,Anonymous Employee,Good pay scale compared to industry standards,"No work-life balance
Weekend and holiday working"
17,IDFC First Bank,collection,2022-03-31,5.0,Collection Manager,Love to work in collection,Months end pressure  but enjoyable
18,IDFC First Bank,Finance,2022-03-30,5.0,Finance,Salary is main reason for working here.,i seek challenges opportunities where i can fully use my dreams for the sucess of the organization.
19,IDFC First Bank,Review,2022-03-30,3.0,Sales Manager,Got to Learn a lot,Poor work culture and environment
20,IDFC First Bank,Ok work enviorment,2022-03-30,3.0,Department Head,Good incentives payouts and good increaments,No work life balance in this organisation
21,IDFC First Bank,Est place to work,2022-03-29,5.0,Customer Service Coordinator,"Amazing team 
Great products 
Supportive supervisor",Nothing as such I faced
22,IDFC First Bank,Best Bank,2022-03-29,5.0,Senior Officer,This is the best Bank so far in India for an Employee. Management is very keen on employee benefits.,Depends on Branch and Manager's
23,IDFC First Bank,Good management and good work life balance,2022-03-29,4.0,AVP-IT,Good management and good work life balance,None as of now but bank must sponsor training and certification program for employees.
24,IDFC First Bank,Pros and cons,2022-03-26,4.0,Senior Manager,Higher management and work culture,Backend IT support team weak
25,IDFC First Bank,poor company,2022-03-26,2.0,Senior Credit Manager,no pros only cons here,"poor salary structure inefficient hr, upper management inefficient"
26,IDFC First Bank,Marketing Manager,2022-03-26,4.0,Acquisition and Engagement Manager,"Supportive management, always guide for growth progression. Good bonus",Lack of career growth and poor HR
27,IDFC First Bank,Sales manager,2022-03-26,4.0,Manager,"Good incentive structure
Timely salary given","Low work life balance 
Might work on sunday"
