,company,headline,date,overall_rating,author_position,pros,cons
0,IIFL,CSR,2022-04-09,5.0,Customer Service Representative,Many things to learn willsurely recommend for start pf career,Work timings are hectic late sitting and weekoffs spoil
1,IIFL,All Good,2022-04-05,5.0,Deputy Manager,Friendly Enjoinment and Fast Files Sanction Process.,Nothing is find in these days.
2,IIFL,Never ever join this company,2022-04-04,1.0,Relationship Manager,Nothing good in the company,"Lots of pressure,no incentives etc etc plenty of things just dont ever join"
3,IIFL,pathetic company,2022-04-03,1.0,Senior Gold Appraiser,i don't find any reason to work in this company,nothing positive to work here
4,IIFL,Good,2022-03-30,5.0,Associate Wealth Manager,Good working environment and good management,There are no such cons
5,IIFL,Senior Qa,2022-03-30,3.0,Senior QA,Every thing good nothing is bad,Management should have better approach
6,IIFL,Good Place,2022-03-29,5.0,AVP- Technology,Good place to work and Grow,No Cons I can see
7,IIFL,SENIOR SALES OFFICERS,2022-03-27,5.0,SSO,Just need to learn more and more for improved myself,Working in iifl it's like feeling proud to be here and all process is digitalize it's very easy to access all things fast and easy. Thanks for given chance to prove my self
8,IIFL,Very good,2022-03-27,5.0,Resident Manager,Very good atmosphere and helping nature all employees,There is such things good organization
9,IIFL,Excellent,2022-03-25,5.0,Operations Manager,Excellent company this is great company,"No as such,everything is really great"
10,IIFL,Job,2022-03-24,3.0,Designation,Variant products and digital process and more,Sales targets and more insurance premium
11,IIFL,worked for 4 years,2022-03-23,5.0,Internal Auditor,Good Management with well educated man power,"NO ANY CONS, ONLY CANTEEN FOOD"
12,IIFL,"File Sourcing,login & disbursements etc.",2022-03-22,5.0,Independent Relationship Manager,I want to work with iifl family.,Downsides on this companies here's that target is only FD wased not volume wased.
13,IIFL,Excellent Excellent,2022-03-20,5.0,Sales Officer,Uses Advance technology on providing systems,Not at all nothing be
14,IIFL,About company,2022-03-17,4.0,Senior Sales Officer/Sales Executive,FIT N SET with excellent training program,Since i am new employee..
15,IIFL,Very good,2022-03-16,5.0,Collections Manager,Working environment is so good.,Third party verification for issue loans.
16,IIFL,Superb,2022-03-16,5.0,Senior Sales Officer,Everything is good in IIFL,Nothing in IIFL it's good place
17,IIFL,Good place to start career,2022-03-15,5.0,Portfolio Management,Good place learn new things.,"Long working hours, less work-life balance."
18,IIFL,Good Place to work and Learn,2022-03-13,5.0,Product Manager,Ownership provided to you. Good place to learn and grow,"Only if you please people at influential positions, you will get bonus or appraisal, no matter how good you are."
19,IIFL,Software Developer,2022-03-11,5.0,Software Developer,Good for freshers to get into this company and gain some knowledge,No cons. working with it.
20,IIFL,Good for average employees,2022-03-11,4.0,Assistant Manager,New things to learn with Microsoft technology,Environment is not that much good
21,IIFL,Good company,2022-03-09,4.0,Customer Care Specialist,Best for freshers to start their career,Nothing cons best place to work
22,IIFL,Policy,2022-03-09,5.0,Resident Manager,Policies and opportunities are good,All are good in iifl
23,IIFL,Good,2022-03-09,5.0,Anonymous Employee,Very good experience it is at IIFl,Share some of the downsides
24,IIFL,Good,2022-03-06,4.0,Senior Officer,Good organisation team work target oriented,Individual target sales sales force
25,IIFL,Customer care,2022-03-04,3.0,Assistant Manager,Work culture of the company,Nothing as such .. no bad
26,IIFL,Good company with bad management,2022-03-03,1.0,Marketing Executive,"IIFL is a good company. Also the owner is also good. But the management is worst. They treat the employees like slave and insults employees. These management people has kept the owner of the company in dark. They torture employees every day. They hire just to fire. So never ever join this company, even you are jobless still don't join this company","The company is good surrounded by the bad, possibly worst management which treats employees like slaves and insults them. Every day there is personal insults which makes to survive in this company practically impossible. The owners are good. But they don't know what the management and others are doing with their employees. They say seedhi baath..but it's never seedthi baath..never join this company."
27,IIFL,Test,2022-03-02,1.0,Assistant Manager,Ok to work for new comers.,Ok culture can do good
28,IIFL,Easy to work with sportiveness,2022-02-28,5.0,Collection Manager,Very happy to work here due to friendly work nature with colleagues.,Seperate branches required for home loan
29,IIFL,Good,2022-02-28,5.0,GOLD Associate,Good experience  with All coworkers,Gold audit  is challenge type of gold
30,IIFL,Share Broking is very esay with iifl,2022-02-28,4.0,Athorizations Specialist,fast growing financial company and also locate in ahmedabad,"very commen work in job , nothing new to learning"
31,IIFL,Good Company to Work,2022-02-28,5.0,Quality Manager,Started being an agent to Quality Manager with in 5 yrs.,"Notice Period, needs to serve 3 month as notice period."
32,IIFL,Great Experience,2022-02-24,5.0,Resident Manager,Nice policy to sell the Sakthi loan product all type of customers will be satisfied.,Good experience to work in IIFL
