,company,headline,date,overall_rating,author_position,pros,cons
0,IndusInd Bank,"Sales oriented people can join, if and only if they offer good package",2022-04-10,2.0,Service Delivery Manager,"If you are looking for banking experience, you can start with IndusInd bank",Salary for employees is the biggest concern. Work life balance is not good. Too much politics inside the system.
1,IndusInd Bank,Contact Centre,2022-04-07,2.0,Deputy Manager,Nothing to share in pros section,No work life balance in this firm
2,IndusInd Bank,Good,2022-04-07,2.0,Phone Banking Officer,It's nice to work over here in.,It's strict on punctuality and work ethics
3,IndusInd Bank,Nil,2022-04-07,5.0,Assistant Manager,Great bank to work with,No salary hike for last five years
4,IndusInd Bank,Amazing Work Experience,2022-04-07,5.0,Aqm,"Good Environment.
All facility.
Normal Timing 9 to6","Salary is less.
Future Scope is less."
5,IndusInd Bank,Amaging,2022-04-07,5.0,Senior Manager,Team supporting is best in sector,Market activity regularly basis here
6,IndusInd Bank,Manager / Senior manager,2022-04-06,5.0,Senior Manager,betterment for the future life,I need to join your best bank
7,IndusInd Bank,Phone banking Officer,2022-04-05,3.0,Phone Banking Officer,Its a good place to work with,It strict with punctuality and time table
8,IndusInd Bank,no work other than sales,2022-04-05,3.0,Assistant Manager,"good staff, timings changed. leave office compulsory by 7.30 pm","very less salary, sales pressure, timing extension."
9,IndusInd Bank,very good,2022-04-04,1.0,,best industry in banking services,co-operate with senior and HR
10,IndusInd Bank,Job analysis,2022-04-04,4.0,Marketing Agent,Reputated bank and well marketed products,Not growth oriented company for employees
11,IndusInd Bank,Evening shifts,2022-04-03,5.0,Associate Manager,Extra shift allowance of rs 300 is very good,Breaks given is very less
12,IndusInd Bank,Very good work culturw,2022-04-03,5.0,AVP-Finance,"Foreign bankers, so no work after office",No work from home option
13,IndusInd Bank,Avrrage place to wok,2022-03-31,4.0,Senior Manager,"No pressure, work enivronment is good",Work load depend on teams. Few teams are work life balanced. Few have stress.
14,IndusInd Bank,Worst Experience,2022-03-31,1.0,Bank Teller,Helpful hr department and idk there is any more pros,"No training is provided 
Worst banking experience 
Extreme pressure of operation and sales
Average working 12hr in bank still work is pending every day of end
Bad policy regarding salary and resignation"
15,IndusInd Bank,Good,2022-03-30,4.0,Anonymous Employee,Good company to work with,Nothing as such.good to work
16,IndusInd Bank,Not great experience,2022-03-30,2.0,Deputy Manager/Business Analyst,Good office location in New delhi,"No work-life balance for starting positions 

HR not supportive department"
17,IndusInd Bank,Good work culture,2022-03-29,4.0,Anonymous Employee,The company offers great work culture if you are placed in the right branch,"no cons as such, great company"
18,IndusInd Bank,Work life balance,2022-03-25,5.0,Deputy Manager,Infrastructure and working environment is good,Career growth is slowly progressing
19,IndusInd Bank,review,2022-03-24,4.0,Officer,very Good Growing Industry in banking sector,"Not only in Indusind bank each and every bank fall in sales of Insurance, is it also not far of complete guideline in not take care the customer."
20,IndusInd Bank,Poor,2022-03-24,1.0,Select Relationship Manager,"No pros whatsoever
Never go to IndusInd bank","No work life balance
Working on holidays
Everyday insults"
