,company,headline,date,overall_rating,author_position,pros,cons
0,J.P. Morgan,Excellent company,2022-04-11,5.0,Anonymous Employee,Latest and greatest technology implemented,Too many layers causing bureaucracy
1,J.P. Morgan,Commercial Portfolio Manager,2022-04-11,4.0,Portfolio Manager,Diversity and Inclusion...Stable job...good benefits,Minimal pay raises and bonus is low (3 to 5%)
2,J.P. Morgan,Good company to work with,2022-04-11,4.0,Associate,"Good company to work with , good salary , annual bonus",shift timings even for Dev and QA team
3,J.P. Morgan,Sweatshop but good experience,2022-04-11,4.0,Associate,Good exposure to top talent and midns,work life balance not all that great
4,J.P. Morgan,Not so bad,2022-04-10,4.0,Software Engineer,"Traditional big firm work, not too bad not so great, good for gaining some experience and moving on",too many meetings and red tab
5,J.P. Morgan,Good Culture,2022-04-10,4.0,Analyst,Good Culture; Supportive Environment; Pay as per Industry Standards,"Internal Mobility is tough for certain Job Positions, Notice period increased to 2 months"
6,J.P. Morgan,didnt like,2022-04-10,1.0,Administrative Assistant,"Job security, predictable hours, benefits","got boring at times, the upper level employees were a bit stuck up"
7,J.P. Morgan,Unreflective Experience of J.P. Morgan,2022-04-10,3.0,Analyst,"- Remote working
- Annual bonus
- Competitive salary
- Many internal teams to join to suit your interests
- Covers work station expenses","- Mentorship could be improved as at the time the method for mentoring was to either sink or swim. Understandably, this is the industry norm but more guidance could be given especially for someone at the early stages of their career.

- HR could take internal matters more seriously: Complaints and suggestions enter the void at the company, maybe this is due to working at a large company but you would expect more from an industry leading employer."
8,J.P. Morgan,Loved JPMC,2022-04-10,5.0,Mortgage Loan Processor,"Good environment, management & training","None, I loved JP Morgan Chase"
9,J.P. Morgan,Loved it,2022-04-10,4.0,Financial Analyst,Too many to truly mention,None that I can think of
10,J.P. Morgan,Review,2022-04-09,4.0,Assistant Vice President,"Good work-life balance
Takes care of employes",Its a big gap between people getting good appraisals vs not so good appraisals
11,J.P. Morgan,Employee moral,2022-04-09,4.0,Treasury Management Sales Officer,"Great technology, alot of options to diversify work experience","Lots of layers of management, room for improvement on employee moral and inclusion"
12,J.P. Morgan,Ok,2022-04-09,3.0,Anonymous Employee,Good international positioning and network,Low compensation and not many reponsibilities
13,J.P. Morgan,Assistant Vice President,2022-04-08,4.0,Senior Associate,Great place to work for.,"None negative, so no corns."
14,J.P. Morgan,Good place to work,2022-04-08,3.0,Associate,"good worklife balance
good pay
great learning",nothing much to say in cons
