,company,headline,date,overall_rating,author_position,pros,cons
0,,Great Place,2022-04-12,5.0,Client Service Associate,Great Place to work. Challenging career with many rewards.,No Cons to report about company
1,,Salary Considerations,2022-04-11,3.0,Banking Operations Specialist,"I have been with JHA over ten years. It has been a good career. I have seen the company grow tremendously.

Strong vision for future.","JHA needs to look at salary grades, schedules, etc.

It is a little disheartening when new hires are recruited into positions, with no JHA background, with grades and salaries higher than someone who has dedicated over twenty years with the company. And others are leaving their roles to go to other areas where there is the incentive to make more money. This creates a larger cost, when training must be done backfill vacated positions."
2,,Good team environment,2022-04-08,5.0,Software Development Engineer,"Great people, job security, good benefits",Lower pay than average for similar work
3,,Positive experience all around,2022-04-08,4.0,Systems/Network Administrator,"Competitive pay
good work/life balance 
tons of PTO",None that I can think of
4,,Review,2022-04-07,3.0,Customer Service Representative (CSR),"Flexibility, decent pay, option to apply internally after two years","System issues, lack of resources to complete the job, call volume, employee retention."
5,,Customers can be a lot…. Extremely heavy call volume,2022-04-05,3.0,Senior Fraud Analyst,Great management who really care about their employees,Mean customers who blame you for everything
6,,Operations manager,2022-04-03,3.0,Ops Manager,Benefits and PTO package are generous.,Constant change in leadership and priorities
7,,Great Job,2022-03-31,4.0,Network Security Engineer,"Great team and management
Easy to do
Insane amounts of PTO",Pay is not enough for the work
8,,Worst job I’ve ever had in my life,2022-03-30,1.0,Fraud Prevention Representative,None I can think of,"Wow is all I can say! This company is a BIG mess. From management, down to their stupid unethical rules, unrealistic targets and expectations, to the low pay and crappy occurrences they give for things beyond your control. 

They expect you to be okay with the mental abuse from their card holders! They have NOTHING in lace if you’ve just finished a call with a bad person. This company has THE most disgusting set of human beings I have ever been involved with and I’ve been in customer service 15 years. I get abused daily and I tell my supervisor and NOTHING…ABSOLUTELY NOTHING IS DONE ABOUT IT! In fact, the first time I told my supervisor about being called a B- word he told me I had to grow thick skin with this job. WOW 
If you are a fraud prevention analyst you can forget about being treated with dignity and respect by Jack Henry. They tell you in training how “GREAT” working for this company is but that is a LIE! Maybe it’s great if you’re not a low paid phone worker because they truly treat us like scum of the earth. 

My morals, integrity and values will not allow me to work for such a horrible corporation and the minute I find a company that cares about me as a person and not look at me like a number expecting me to be a perfect robot then I am out the door quicker than I can say bye! 

They have a stupid attendance policy so don’t get sick working here. Even with a dr excuse you’ll get an occurrence. Internet goes out because of a thunder storm your supervisor will be asking are you able to go to your back up location?! If you can’t….occurrence. They expect you to drive out in bad weather conditions to get to a place where you can work (if you’re remote) which indicates they don’t care about your life or your safety just as long as you can take those abusive calls. 

This job has me dreading waking up to get on those phones. They expect so much but they do so little for us. This company gave us $10 for employee appreciation day to use in the Jack Henry store and we had to pocket the rest to make a purchase just another way to get us low paying working to further make the company more money. What was suppose to be appreciative about having to give money to a company to buy a cup or a t shirt with a company’s logo that doesn’t even care about us a person.

If you are on a long call they expect you to let them know why you weren’t able to take your break or lunch at the time scheduled. That’s the craziest thing I’ve ever seen in my life…. You can see that I was on a call and the call went over into my break YET & STILL my manger expects me to use my break time to send him a message /email letting him know WHY I was late what a joke! 

You’re watched like a thief here but truly they watch the wrong things. Watch the mental stress we endure on 90% of our calls and how it affects us as individuals. Watch how management shows favoritism to certain people and treat others like nothing! Watch the low hourly pay you give us! Watch the attendance policy and see how unrealistic it is! Watch the turn over rate….. no one enjoys working here that have to be on the phones talking to those nasty people day in and day out and te company has no destress procedure. Y’all are truly watching the WRONG things and you wonder why the turn over rate is HIGH it will forever be high running a circus like this. Good luck with your company but I won’t be here much longer."
9,,Solid Company — Mediocre Leadership and Poor People Development,2022-03-28,2.0,Senior Manager,Voted Best Work Place in IT year over year. New COO is doing good job making unifying silos and understanding where company has status quo thinking. Company has a lot of good things happening with removing legacy systems and building new corporate management approach that has been neglected for years. The new CTO is a star with vision for Digital Strategy. CIO is working hard to fix legacy thinking and systems and is a solid caring leader. CEO has done okay job removing leaders slowly that have preventing change by believing that their strategic differentiator was “customer service”. New Marketing leader did a great job showing how leadership was wrong about what differentiated them in the market. New leadership has done a great job creating catalyst for change.,"Company is struggling to overcome acquisition strategies that allowed new companies to operate for years with little to no mandate to act like One company. HR is trying to develop lack of career paths for employees and talent departures due to ill equipped managers that were hired as best operators. Still has no strategy for developing talent and keeping it, but they are making progress. COO has great vision for building One Jack Henry, but to many areas of business lack transparency into poorly documented processes. IT department is still riddled with poor visibility, and company is suffering from lack of corporate processes, governance and continue customers have put them on notice they need to fix their services. Company has suffered from clicks left over from early days and over reliance on old philosophy “Do What Every It Takes” that was well intended but has also allowed their people to suffer under poor legacy systems and processes that have been allowed to operate in Silos and customers feel that every day. They have the right vision now but too many employees have been leaving due to failing systems under HR and Support areas. Lot’s of talent has departed due to CEOs slowness to respond, however share prices keep climbing."
