,company,headline,date,overall_rating,author_position,pros,cons
0,,Great,2022-04-13,5.0,Anonymous Employee,Higher up management is focused on culture,"Long hours, difficult balance at times"
1,,Fast growing firm,2022-04-11,5.0,Research Associate,"Firm is growing fast
Great experience and training 
Management push for juniors to get coverage",Can be intense at times
2,,Entrepreneurial environment,2022-04-11,4.0,Product Controller,Hands on and fast learning environment. Stand out performers are celebrated. Plenty to learn on the job.,No where to hide and little official training.
3,,Med,2022-04-07,5.0,Anonymous Employee,A lot of pros with this company,Nothing wrong with this company
4,,Investment Bank,2022-04-06,5.0,Fiance/Accounting,Has given many the ability to grow their career,At this point not much to add
5,,Good Company,2022-04-05,3.0,Vice President,"Fast paced, lots of deal exposure","Hard charging culture, long working hours"
6,,Great place to work,2022-03-30,5.0,Rates Sales,The culture and the people,Smaller part of the bank than other bulge brackets
7,,Good place,2022-03-29,3.0,Associate,"Good worklife balance

Learned a lot","Lots of pressure

Poor work environment"
8,,Love it,2022-03-28,5.0,Associate,Love it great opportunities for growth,Hard work but nothing out of line of emerging banks
9,,good experience,2022-03-27,5.0,IT Analyst,"great culture, great teams, and nice managers","a relatively small firm, many research and apps are not so mature"
10,,Equity Research Associate,2022-03-26,4.0,Equity Research Associate,"V good comp, wide amount of training, nice people",Mgmnt less focused on associates and take them for granted
11,,Not the best of culture,2022-03-25,3.0,Analyst,A lot of work and opportunity to get analyst IB exposure,"Culture, working hours, ultra hierarchical organisation"
12,,Good place to work,2022-03-23,4.0,Data Scientist,"Great Internal mobility opportunities and good culture.
Good work-life balance.","Not much inter department coordination and information sharing, felt that most of those conversations happened via hierarchies causing inefficiencies and lack of cross collaboration .
Too slow to adopt to new technologies on the back-office and mid-office side of things."
13,,Poor,2022-03-22,2.0,Investment Banking Analyst,Learned a lot. Small team culture. Team events were fun.,Extremely overworked. Senior management tended to not care about the juniors. Compensation was mediocre.
14,,Banking Analyst,2022-03-21,5.0,Analyst,Great experience and fantastic people,Hard to manage work and personal life
15,,Great company,2022-03-21,5.0,Senior Analyst,"Very good culture, flexible, open minded, friendly",American firm and large corporation admin
16,,Great place to work,2022-03-19,5.0,Equity Analyst,Opportunity for development and motivated company.,No cons to list out.
17,,Good work culture,2022-03-18,4.0,Analyst,"Smart, friendly people to work with in a growing company with opportunities to connect with senior leadership from day one.",Lower pay than their peers and lackluster PTO
