,company,headline,date,overall_rating,author_position,pros,cons
0,KBC,General review,2022-04-08,4.0,Software Engineer,Nice place to work. Good atmosphere and culture,The company doesn't work in agile projects. Also they doesn't perform continuos integration.
1,KBC,Good place to work,2022-04-07,5.0,Internal Audit,Good company to work for,No cons working at company
2,KBC,Good Company,2022-04-04,4.0,Anonymous Employee,Staff treated well. Has endeavoured to challenge the established Irish banks despite fewer resources. Additional benefits like pension and health insurance etc,Progression can be slow. Salary is average.
3,KBC,Great people,2022-04-01,4.0,Executive,"Great benefits, good culture, coffee mornings","Pulling out of Ireland, long hours"
4,KBC,Great culture,2022-03-28,4.0,Business Analyst,"Great culture
innovation driven environment
Clear expectations
Nice and supportive colleagues","Sometimes too much of bureaucracy
Salary is below average"
5,KBC,controller,2022-03-26,4.0,Controller,good offices. Good canteen and cofff,"lack of promotion option, benefits"
6,KBC,Good place to work,2022-03-26,3.0,Compliance Officer,"Lovely staff.
Relaxed atmosphere.
Flexible working hours.
Good location.
Good holidays.","Could provide better training. 
Can be a stressful environment at times.
Access to all benefits not clear.
Not always willing to support extra learning."
7,KBC,"Great people, however little room for progression",2022-03-24,4.0,Data Analyst,People I woke with are very strong. Friendly and eager to help.,"Progression is not really a thing here.
 get contractors in quick rather than hire internally. Causes high turnover asa result."
8,KBC,Disorganised company,2022-03-19,3.0,Data Analyst,Nice people and good hours,"Poor salaries and very disorganised since exit announcement , hard to progress"
9,KBC,Decent corporate employer with many benefits,2022-03-18,4.0,Appian Developer,"PC, WFH, bonuses, benefits, no time-zone difference with clients, good colleagues, mydays","Frequent organisational changes, mediocre salary compared to industry standard"
10,KBC,"Weak leadership team, old fashioned",2022-03-15,1.0,Anonymous Employee,Nice office in a good area,"no career progression, leadership team are not very modern thinking, several belgian people there for no reason, pressure on costs, it's very old fashioned call center type place"
11,KBC,KBC review,2022-03-10,5.0,AML Analyst,Great work life. Great room for progression. Managers are great to work for,There are some employees stuck up their own behind
12,KBC,Compliance Specialist,2022-03-10,3.0,Compliance Specialist,there are many reasons - interesting work and social benefits,almost each day i am working over-time
13,KBC,"Good company, nice pay",2022-03-05,5.0,Officer,"Good work environment, nice pay, a lot of growth opportunities, trainings that improve soft and hard skills available","Frequent changes of the work systems, lots of unclear tasks, high workload at times"
14,KBC,Overall decent company to work for nice pay,2022-03-03,4.0,Anonymous Employee,Good pay nice staff decent culture,Weekend work strange hours leaving ireland
15,KBC,"Not great, not terrible",2022-03-01,4.0,Officer,"Team spirit, room to develop soft and hard skills",Some departments work during public holidays
16,KBC,Bad attitude,2022-02-25,1.0,Anonymous Employee,Big name in the CV,Bad attitude towards different opinions
17,KBC,Kbc,2022-02-19,4.0,Teamleader,"Opportunity to work across different functions
Good benefits and pay",Leaving Ireland no further opportunities
18,KBC,Reasonable CS role,2022-02-14,3.0,Customer Service Representative,"Comprehensive training provided. 
Knowledgeable and friendly staff on hand to assist with queries as required.",Antiquated and confusing system to record file activity
