,company,headline,date,overall_rating,author_position,pros,cons
0,,Benefits,2022-04-15,4.0,Bank Teller,"Good benefits, good pay, promote within company",Training could be improved for positions
1,,Mixed review,2022-04-15,4.0,IT Senior Business Analyst,"Amazing time off and benefits, remote work options, flex scheduling","Work life balance, not good about promoting within or adjusting salaries for job and workload increase, constantly trying to automate people's jobs"
2,,Great Culture/ OK pay,2022-04-14,4.0,Senior Auditor,"Culture and being your authentic self
Push for Diversity
Remote working","Salary
Some managers are petty
Strong push for certifications"
3,,FWC,2022-04-13,5.0,Financial Wellness Consultant,overall good people to work with,very aggressive on the sales
4,,Nothing,2022-04-13,5.0,Anonymous Employee,Great company and great team,It depends on how you take it
5,,2 year employee,2022-04-11,4.0,Licensed Relationship Manager,Bank hours and office were nice,Bank hours / clocking in 40 hours
6,,Great pay and opportunity,2022-04-11,4.0,Financial Wellness Consultant,"Great training
Lots of room for growth and self-discovery","Extremely short staffed yet still expected to hit sales goals
Can feel overwhelming since you're also doing walk-in transactions"
7,,Good Co Negotiate  Your Pay,2022-04-11,4.0,Lead Analyst,Solid company been around and stayed sound during Covid.,Negotiate your pay. Merit raises are low.
8,,Great company,2022-04-11,5.0,Personal Banker I,Keybank is a great company to work for! The benefits are awesome and as a personal banker you get paid very well if you hit your quota,I don’t have any cons
9,,KeyBank Teller Review,2022-04-11,5.0,Bank Teller,Bonus varied but very good employer,Can be limiting with time off requests
10,,Teller,2022-04-10,3.0,Teller,Great opportunity to learn about various functions in a branch.,No benefits only called as needed never get more than specific part time hours.
11,,Great company,2022-04-10,5.0,Lead Teller,Very caring and diverse company and benefits are good,Small regional bank so not as well known
12,,Its ok,2022-04-09,3.0,Anonymous Employee,Work from home. Benefits. Paid time off.,"Upper management is more worried about being ""woke"" than providing employees with the tools and technology needed to perform our jobs."
13,,N/a,2022-04-08,4.0,Physical Security Manager,"Remote work from home, good ssalary",Large territory involves travel by car
14,,A Good Plate To Work In Banking,2022-04-08,4.0,Float Teller,"-You float between branches and get good exposure to different leadership, client experience, and skills working with different groups of people each day and week
-Better pay than other employers in the field
-Better working hours than competitors: most branches are open 9a-4p Monday thru Thursday, 9a-5p on Fridays, and select branches are open 9a-1p on Saturday","-Bouncing between locations can become cumbersome if you work at multiple locations in a week
-Where you're working can chance at a moments notice if a branch is dealing with a callout or staffing issues"
15,,Amazing company to work for,2022-04-07,5.0,Branch Manager,"Loyal, great pay, realistic, growth opportunity",I don't have any at this time
16,,Great place,2022-04-07,5.0,Customer Service,Lots of benefits and nice people,Long days some of the time and weekend work can sneak up on you
17,,Absent leadership,2022-04-06,2.0,Senior Specialist (AML Detection),Pays well. Work from home for some roles.,Sfressful. Inadaquate training. Not all policies and procedures are discussed in training. Leadership is absent from instructions. Everyone decisions alerts differently making it difficult to learn what's right or wrong.
18,,Good place to work,2022-04-06,3.0,Treasury Management Sales,Diverse set of solutions to offer prospects and clients,pricing structure is not always competitive
19,,Okay,2022-04-06,2.0,Teller,Nice people the company gives good benefits,"Mudane work, lots of cold calling"
20,,Remote Working,2022-04-05,3.0,Sr Closer,"Remote working, generous PTO, matching 401k","""Too many chefs in the kitchen"""
21,,Ok place to work,2022-04-04,3.0,CC SERVICE SPECIALIST II,"The call center can be rough, but key treats their employees fairly decently.","They treat you well until they are ready to fire you, then it’s a 180* shift."
22,,Good company.,2022-04-04,4.0,Lead Specialist,Provides a lot of employee support options.,"Management for my department seems to change frequently, in the 2 years I’ve been in my current position I have gone through 3 managers."
23,,Great Place to Work,2022-04-03,4.0,Manager,"PTO, Promotes from within; Great pay",High sales goals; high turnover
24,,It’s okay,2022-04-02,3.0,Anonymous,Work life balance and flexibility,Leave politics out of the workplace. It’s okay to be inclusive but it’s very uncomfortable when it’s constantly talked about in meetings and if your opinion is different it doesn’t matter. It’s so awkward and uncomfortable.
25,,Great,2022-04-01,5.0,Personal Banker,Best place to work with,Excellent customer satisfaction and service
26,,Exciting to be in a growing company,2022-03-31,4.0,Private Client Banker,Quick advancement. Able to learn new skills in short amount of time.,"They have gotten rid of the teller role so most of the day you are processing cash and dealing with check orders while having goals in investments, lending and opening checking accounts. It's high stress."
27,,Great Team!,2022-03-31,4.0,Covenant Compliance Analyst,Great environment to work in especially out of college.,Pay feels lower than industry standard
28,,Good Experience,2022-03-31,5.0,Retail Banking Intern,gives wide exposure to the retail banking environment,Lower pay compared to other interships
29,,Low Pay for experience,2022-03-31,4.0,Lead Teller/Supervisor,"Fun co-workers.
Sometimes can find a good bank manager.",Low pay for people with experience.
30,,KeyBank review,2022-03-29,3.0,Lead Teller,"Great benefits, and cost efficient company","Stressful work environment, lack of understanding between people who make the decisions and the people in the trenches, simple tasks that require coordination between departments (outside of branch) take long periods of time,  uses computer software from early 2000s/1990s, and much much more"
31,,Great,2022-03-29,5.0,Security Analyst,Great place to work for,There are no cons for this job
32,,Keybank,2022-03-29,3.0,Private Client Banker,Good middle management and great customers!!,Out of date technology and processes.
33,,Good start,2022-03-27,3.0,Personal Banker,"- Supportive coworkers, good PTO","- Outdated systems, management has a disconnect with branch employees, hard to actually use PTO"
34,,communication,2022-03-26,3.0,Telephone Operator,open many doors and new opportunities,working short staffed during pandemic
35,,Awful management with a lack of character,2022-03-24,3.0,Insurance Specialist,Hours and honestly that's it!,"Horrible management, half the people there do nothing all day, and no one has a clue about insurance"
36,,Mediocre,2022-03-23,2.0,Personal Banker,"Varied Work Experience, decent base pay","Outdated Processes, minimal internal movement"
37,,"Perfect for getting through school, not much else",2022-03-23,3.0,Personal Banker,"Welcoming work environment, easy to learn/use software.",unrealistic sales goals that are constantly changing
38,,Terrible in the Fraud Department,2022-03-22,1.0,Lead Specialist,"During Covid, they converted to a mobile workforce (work from home), which you would think would be good, but they don't have a structured training program, which makes it very, very difficult. However, for existing employees that know what they are doing it's great.","No structured training.
No dedicated mentors. 
First and second line supervisors have never served in the unit they manage.
Staffing is not sufficient for the amount of fraud.
Communication is horrible. 
Senior management doesn't have a clue what's going on since they have two layers below them that also don't have a clue; because they were promoted from other units rather than from within the same fraud unit. 
Very short sighted management.
Just a big hot mess."
39,,Good benefits,2022-03-22,5.0,Anonymous Employee,Management is empathic and great,Metrics can be unreasonable sometimes
40,,Good benefits,2022-03-22,5.0,Anonymous Employee,Management is empathic and great,Metrics can be unreasonable sometimes
41,,Great company,2022-03-21,5.0,Real Estate Analyst,I love the people very much,It’s sometimes is very boring
42,,Hard to advance,2022-03-21,2.0,Financial Services Consultant,Great pto package and benefits,Short staff and lack of support
43,,Terrible Customer experiences,2022-03-21,1.0,Anonymous Employee,There really arent many pros,"Does not adapt well to current tech needs of the customer
Causes unnecessary difficulty for customers"
44,,it's allright,2022-03-20,4.0,Lead Management Reporting Analyst,"Pay, benefits, job security, and hours",lack of concrete upward mobility
45,,Enjoyed job but pay not high enough,2022-03-19,5.0,Personal Banker,Enjoyed all aspects of job except pay.,18.86 per hour is not worth it
