,company,headline,date,overall_rating,author_position,pros,cons
0,,3,2022-04-12,3.0,Financial Advisor,"Good pay. Good benefits, smart people.",growing to fast and high level of beauracracy.
1,,👍🏻,2022-04-11,5.0,Business Development Associate (BDA),Great company culture and work life balance.,Haven’t had a bad experience here.
2,,Great Company,2022-04-11,5.0,Administrative Assistant,I work for independent advisor,The Software sometimes is slow.
3,,Good Entry Level Role,2022-04-09,4.0,Anonymous Employee,"•Good entry level role. 
•The managers/teammates are always willing to help with question. 
•Overall would recommend if you want to get into finance without having a background in finance.","•You start out in a Service/Call Center. Only way to advance is by getting licensed.
•Training can be rushed in an effort to get you on the phones.
•Sometimes the focus can be more on the amount of calls you take."
4,,Decent,2022-04-06,3.0,Operations Manager,Good benefits for full time employees,processing for determining pay is vague and challenging to understand
5,,Great company to work for.,2022-04-05,4.0,Service Professional,"There is room for growth within the company. The managers are very helpful, informative, and understanding.",Not able to change or request a change in your shift; basically stuck with what they give you. Must be ready to work later in the afternoon.
6,,You’re a statistic,2022-04-04,2.0,Financial Advisor,"I had a bad experience, so can’t think of any pros.",Insensitive when you have personal issues that affect your business.
7,,Same old Same old,2022-03-30,4.0,Conference Planner,"great office facilities - gym, onsite nurse, cafeteria, big budgets, free trips, free","micromanagement, no tolerance for mistakes, innovation, and new ideas. D&I exists only inside the ERGS, with no diversity at all at the C level"
8,,Good,2022-03-29,5.0,Vice President,"Empathy Great vision , servant leadership",Frequent leadership changes constant funding model practice
9,,Great Company with Excellent Growth Strategy,2022-03-26,5.0,Anonymous Employee,Excellent leadership and company vision,Fast paced environment with tight delivery deadlines
10,,Very hard to move up,2022-03-25,3.0,Ops Specialist,Not applicable for company or position,LPL is very selective of who they want to move up in the company. There is a lot of favoritism that goes on for certain individuals within the company.
11,,R,2022-03-24,2.0,Project Manager,Independent to create your way,Very burocratic for everything they do
12,,Not too shabby place to work,2022-03-24,4.0,Compliance Specialist,Culture is nice. Pre-Covid the environment was open and friendly.,"Pay, time in current position before another opportunity is allowed."
13,,Grt company,2022-03-24,5.0,Program Manager,All Good in the company,Nothing to mentioned any thing
14,,very busy,2022-03-23,3.0,Senior Help Desk Specialist,remote work. good if you enjoy fast-paced workplaces with room to grow (with the right credentials),very strict with your time and you are just a disposable asset to the company
15,,Legal and Compliance,2022-03-23,4.0,Software Developer,Good management and team support,Can be overwhelming working through backlog created by others
16,,Great Company to work for!,2022-03-22,5.0,Assistant Vice President,"Very customer focused 
Great work life balance
Family environment",There are really no bad things to say.  Great Company with great benefits.
17,,Sales,2022-03-21,2.0,Insurance Consultant,Well known company with a good reputation,Insurance team is not well ran. I lot of turn over with upper management not sure how to run an insurance agency.
18,,They run you into the ground,2022-03-16,2.0,Onboarding Consultant,Colleagues are good and work together as best they can.,"-Top-heavy (There is an AVP and VP for everything but not enough employees who actually do the work)
- They will run you into the ground
-There's an exception for every rule, opening themselves up to broader risk
-Dayton has run the company morale into the ground."
19,,Promising growth company outlook,2022-03-16,4.0,Vice President Product Management,LPL is a growing company exponentially,Processes are very chaotic and manual.
20,,Wonderful,2022-03-16,5.0,Marketing Consultant,Great Culture And Environment For Work!,Contract Employee So No Benefits At The Moment
21,,Decent but needs improvement,2022-03-16,2.0,Anonymous Employee,"Benefits 
Decent team culture 
Training","Outdated technology
Poor planning
Under value employees
Pay
Promote externally before internally"
22,,Mediocre,2022-03-16,3.0,Associate Analyst,"Decent benefits, ability to work from home","Growth opportunities limited, do not show appreciation for employees, pay is not competitive, even though meeting and/or exceeding on yearly review only getting bare minimum (1% or less) raise and bonus."
23,,Great company and culture,2022-03-15,5.0,Assistant Vice President,Lots of room to growth,Industry is focus purely on financial services
24,,Disappointed,2022-03-14,3.0,Vice President Operations,"Benefits, good experience navigating corporate red tape and up hill battles build character…if you’ve got the patience for it.","Lacks diversity at the leadership level, and gets worse the higher up you go, pay inequities are flat out ignored, not enough investment in strengthening core foundation and fixing well known gaps in order to adequately address risk and prepare for aggressive growth plans. Disaster waiting to happen."
25,,Friendly people and beautiful building with great perks,2022-03-13,4.0,Anonymous Employee,"Coworkers were friendly
Free gym, fountain drinks, and snacks onsite
Building was beautiful
CEO seemed very down-to-earth and seemed to truly care about the people under his charge","There was no real work-life balance. I’d get texts on my personal cell as late as 9:00 p.m. frequently.
There was quite unclear direction from leaders. Many times, leaders would sign off on their approval early on and then ask for changes to the final product after it had already shipped."
26,,Contracted position,2022-03-11,2.0,Repapering Specialist,There were many pros before new management came in.,"Treated contractors very disposable.
No benefits
No OT
No accomodations
Added work
Management is heavily into drama"
27,,Great Entry-Level Position in Finance Industry,2022-03-10,3.0,Associate Service Professional,"Values team input and feedback, provides ample training to non-financial experienced individuals, good support system for new hires, great benefits and training opportunities to advance your career and knowledge.",Performance is heavily numbers based and prepare for some stressful interactions with affiliated financial advisors
28,,Great place to work depending on department,2022-03-10,3.0,Senior Strategy Analyst,Many smart people that are motivated and have a willingness to help. Great company culture,"Generally, lower than average pay. Lots of work and sometimes certain areas are very understaffed."
29,,Great place to work,2022-03-09,5.0,Anonymous Employee,"A lot of room for growth within the company, very extensive training. Also great health benefits!",PTO accrual takes awhile to accumulate.
30,,Good Company,2022-03-08,5.0,Financial Advisor,Allow advisors a lot of flexibility and independence,Growing at a very fast pace
31,,Great Employer,2022-03-08,4.0,Financial Analyst,Great advancement opportunities for growth,Lack of growth opportunities to management levels
32,,Great place to work,2022-03-08,5.0,Anonymous Employee,Great place to work for all career levels,Nothing that is worth mentioning
33,,Lesson Learned,2022-03-07,2.0,Client Service Representative,"Good benefits, beautiful building, good cafe","Work Hours, corporate don’t listen to concerns."
34,,Terrible,2022-03-05,1.0,Associate Services Consultant,"Nice healthcare, that’s pretty much it.",The hours for sure and the attitude of upper management
35,,Intern,2022-03-04,5.0,Intern,Good company lots of people,Can get lost in the structure
36,,Past Employee,2022-03-02,2.0,Executive Assistant,Very nice facilities and employees,"Long hours, management not great"
37,,Great People,2022-02-28,5.0,Executive Assistant,"Great people, fast paced, enjoyed working there.",No cons to comment at this time
38,,Good place to work,2022-02-24,5.0,Staff Accountant,You will learn a lot with smart people,It is hard to be promoted.
39,,I really like it so far,2022-02-23,4.0,Manager,"My team has great leadership, autonomy, and freedom.",It is a corporation so information from the top is hard to come by
40,,A great company to work for,2022-02-23,3.0,Anonymous Employee,They have a great employee appreciation program.,Too many Chiefs and not enough Indians!
41,,Salary,2022-02-18,5.0,Senior Operations Specialist,Team benefits overtime pto knowledge,A lot of work overload
42,,Amazing Place to Work,2022-02-18,5.0,Associate Analyst,They value everyone and make you feel you have a purpose. They treat everyone fairly and have a positive work environment,The structure of the company can be very confusing because it's so large
43,,Great Place to work,2022-02-17,4.0,Senior Marketing Consultant,"Supportive Environment
Great Benefit
Very flexible in current Covid Environment",Salaries are a bit low
44,,"Fast Paced, Lots of Change",2022-02-17,4.0,AVP-IT,Good direct management support when looking for guidance.,"Lots of change in the organization, must be used to fast passed environment."
45,,Great stepping stone,2022-02-16,3.0,Administrative Coordinator,"Big company, looks good on resume","Pay is bad, management is a mess"
46,,BestPlaceToWork2022 #FinTech,2022-02-16,5.0,Assistant Vice President,"Work-life balance
Career development
Employee Resource Groups 
Management transparency",Not in person for the past 2 years
47,,Great Place to work,2022-02-15,4.0,Customer Service Professional,Great place to work with great benefits!,Management lacks communication with employees and onboarding process needs to be reviewed since they are now bringing large groups of associates at one time.
48,,Great company & Great people,2022-02-14,5.0,Associate Financial Analyst,Great company and people. You're made to feel as though you are making an impact immediately.,"Pay is definitely below average, but made up for in total compensation."
49,,Virtual Financial Advisors Admin Assistant,2022-02-09,4.0,Financial Advisor Administrative Assistant,Working relationship with Advisors and Clients,Forever changing policies and procedures
50,,Growing firm,2022-02-09,4.0,Vice President,A growing firm with an emphasis on creating an inclusive culture.,Compensation is not up to par with peer firms and no tangible strategy to correct.
51,,Great Company value,2022-02-09,4.0,Associate Data Analytics Auditor,"Great people to work with
Great company value and communication",This is personal to my position. the associate level you are expected to know some of the Analytics tools already and you do more of the audit work that data analysis.
52,,Great Company to work at,2022-02-08,5.0,Anonymous Employee,Great work life balance. Diverse and inclusive culture.,Limited internal mobility opportunities due to size of the company
53,,Independent Financial Advisor,2022-02-08,5.0,President,You do the right thing for your clients.,Technology is not up to date.
54,,They care for their people!,2022-02-08,5.0,Senior Compliance Analyst,"The culture focuses not just on the advisors but also on home office employees. From new age office layouts to an extremely active DEI community to endless opportunities due to it's scale, it's a great place to work.",Salaries are not the highest in the industry and there is room for improvement with technology as with any firm but they are aware and addressing these concerns from various angles.
55,,Excellent company that focuses on Employee Experience as part of its strategy,2022-02-05,5.0,Associate Analyst,"Listens to employee feedback and acts to make changes. 
Great benefits package 
Hugh retention rate in my department",Can get lost in a large company
56,,ok place to work,2022-02-05,3.0,Portfolio Manager,nice office and environment compared to peers,"bad management, lower salaries and bonuses compared to peers"
57,,"great company, pay could be better",2022-02-04,4.0,Operations Specialist,"Management is great, lots of opportunities for development and great work life balance.",Pay is pretty low for the amount of work.
58,,Intriguing work within a Fast Paced Environment,2022-02-02,4.0,Vice President,"Never a shortage of work & great team players who want to help 
The People who you work with are amazing - one team one mission culture","Culture shift happening; pushing old talent out to make room for new
Expect high performance all the time
Work/Life balance is tough"
59,,Great company,2022-01-31,4.0,Associate Services Consultant,The company and culture overall is among the highest I’ve ever worked for.,"Phones, unrealistic service level agreements"
60,,Amazing program,2022-01-31,5.0,Intern,"Incredible managers
Intern education and enrichment sessions
Group projects
Networking",Not all departments can keep interns past summer
61,,Tough job,2022-01-31,1.0,Customer Experience Specialist,Pay I wish there were more,"They’re watch everything you do and no work life balance. The whole year is blacked out.

If you so good they target you and give you more calls than your peers"
62,,Do not recommend,2022-01-30,2.0,Administrative Consultant,"Flexible with working from home

When we were in the office, the culture and coworkers","- hard to move up 
- no upward mobility 
- leadership is not really there for you 
- if there’s an issue, it may not get addressed immediately at all

Just be careful!"
63,,Overall Great Experience,2022-01-29,4.0,Client Service Associate,"Working with a collaborative team in problem solving. The technology, CRM, and educational resources.",no major cons to list.
64,,Nice company,2022-01-27,4.0,Senior Registered Sales Assistant,Systems are easy to use,Back office support is frustrating
65,,Working,2022-01-25,4.0,Product Support Specialist,Just started. Hopefully there’s bonuses,None that I can think of
66,,Lots of opportunities,2022-01-25,4.0,Assistant Vice President,Lots of different opportunities and departments. Most positions are now available to be worked remotely. Many employees with long tenure.,Overworked employees. Senior management with little experience in the industry. Lack of training.
67,,Great company,2022-01-24,5.0,Lead Ops Specialist,"Friendly environment, opportunity to grow, positive culture and great people to work with.","Work-life balance could be better, compensation package needs to be more aligned with competitors."
