,company,headline,date,overall_rating,author_position,pros,cons
0,La Poste,Good company,2022-02-04,3.0,Analyst M&A,"Good lifestyle 
People are helpful and nice","The organization is slow
Limited opportunities for evolution within the company"
1,La Poste,Facteur,2022-01-31,3.0,Anonymous Employee,meet a lot of people,not enough free time here
2,La Poste,Good,2021-11-23,5.0,Security Specialist,"Good, great firm in france",This is during my studies
3,La Poste,best job,2021-10-22,3.0,Post Man,"the best job in France for a summer holiday, good training,","no much personal development, low pay"
4,La Poste,Good team,2021-10-13,3.0,Customer Service,Good team - Nice office view,No inconvenient i can'find one
5,La Poste,It’s ok,2021-10-03,3.0,Sales BDM,Work from home and good phone,Rubbish boss with no training given or bonus
6,La Poste,Good,2021-08-31,4.0,Systems Engineer,I do have a very good crew,The office could be better
7,La Poste,Manager,2021-05-03,3.0,Manager,The works is good not much work,The environment and people are meh
8,La Poste,intern avis,2020-09-03,4.0,Intern,"Friendly environment , Very good","nothing, every thing is really good"
9,La Poste,too much hierarchy,2020-08-07,3.0,Project Manager,"good people, nice projects, fun","too bureaucratic, too much time"
10,La Poste,Guichetier,2018-10-19,4.0,GUICHETIER,Convivialité esprit d'équipe diversité des tâches sont les maîtres mots,Entrée difficile au sein de l'entreprise
11,La Poste,Back office manager,2018-05-29,5.0,Anonymous Employee,"Dynamic, Digital, Human, Creative, Positive",No cons during my experience
12,La Poste,cost controler,2017-02-28,2.0,,"security of employement, diversity of the group activites","salary, some few people unable to work"
13,La Poste,La Poste,2016-05-17,3.0,Senior Data Analyst,"Friendly, lots of opportunities, investment on new tech and training, safety employment","too slow, vertical organisation, not for youth!"
14,La Poste,3 months internship in Business Development,2016-02-16,1.0,,Good salary for a 3 months internship in France.,Not a very dynamic group.
15,La Poste,Old processes and RH but important internal opportunities,2015-11-08,4.0,,internal promotion really exists for people who want to work,"old processes and HR, such decrease of mail volume that future looks gloomy"
16,La Poste,Wonderful experience,2013-06-09,5.0,Chief Executive Officer,Balance Compensation Benefits Career opportunities,Business outlook for the next 6 months
17,La Poste,"Awesome topics, but slow company",2013-03-13,3.0,Financial Management Junior,"A holding group, meaning that you can work on topics from banking to mobile phones
A recent equity rising, meaning that you'll work on interesting investment opportunities
Trying to find new business opportunities since mail is bound to desappear",Huge group. Decisions take a long time to be implemented
18,La Poste,"Dynamic, good fringe security and social advantage",2013-02-10,3.0,,Willing to get a new experience in a new strategy scope,Restructuration in process difficult for the oldest employee to find a place corresponding of them previous job.
19,La Poste,Large organization with great jobs and works to do ...,2010-12-28,4.0,,Rich opportunities with a lot of profiles ...,"but, it's hard to reach them ..."
