,company,headline,date,overall_rating,author_position,pros,cons
0,Laurentian Bank,Good,2022-04-10,5.0,Fraud Analyst,it’s a great place to work in very efficient,nothing to mention about this for now
1,Laurentian Bank,Outdated technology but great working environment,2022-04-09,4.0,Commercial Underwriter,"- Great working environment
- Good salary
- New CEO with a great vision
- Smaller company means a lot of possibility for you to climb up","- Bad technology
- Smaller company so lower salary/benefits compared to competitors
- Smaller brand name makes it harder to compete in the market"
2,Laurentian Bank,Learning,2022-04-03,4.0,Customer Service Representative,"Inclusive environment, Good culture
Good pace, not too busy not too slow","Less prospects for growth
Less clarity about career opportunities"
3,Laurentian Bank,Great team,2022-03-24,5.0,Commercial Underwriter,"- Great team to work with
- Great management.
- Great culture",- Average pay for the position/responsabilities
4,Laurentian Bank,Decent to gain experience,2022-03-24,4.0,UAT Analyst,Cultural and people of work place,Salary and opportunity to advance your career
5,Laurentian Bank,Work Ethics,2022-03-24,4.0,Customer Service Officer,Senior Management staff is most helpful.,At time work is really stressed up.
6,Laurentian Bank,Learning team,2022-03-15,3.0,Learning And Development Specialist,"Manager was good but not all managers are good
Remote","slow to change
low pay
Learning culture is low"
7,Laurentian Bank,Great employer,2022-03-12,3.0,Client Advisor,"Good pay, great pearks, possibility of avencement, excellent place to debute in the financial world and work from home.","Most of the clients are old, future of the compagnie is uncertain."
8,Laurentian Bank,A little lost,2022-03-10,3.0,Financial Advisor,good people in the branches,the company  just seems lost.  their is so much time wasted.
9,Laurentian Bank,DevOps Engineer,2022-03-07,5.0,Devops Engineer,"Chef, Ansible, Jenkins, Maven, CI/CD, Docker, kubernetes, AWS, Terraform, SonarQube, Python, Bash, Shell Scripting, GIT, Splunk, SonarQube, Nexus, Windows, and LINUX","•	Actively involved in architecture of DevOps platform and cloud solutions.  
•	Responsible for User Management, Plugin Management and END-END automation of Build and Deploy using Jenkins.  
•	Created Jenkins pipeline jobs using Groovy Jenkins file. Pipeline provides Build as a code option to perform end to end process of source code, building and deployment in different environments. 
•	Implemented Chef Cookbooks for OS component configuration to keep AWS server's template minimal and written recipes and cookbooks for configuring server side through Chef.  
•	Written Chef Cookbooks for various DB configurations to modularize and optimize end product configuration, converting production support scripts to Chef Recipes and AWS server provisioning using Chef Recipes.  
•	Used Ansible to manage Web applications, Environment’s configuration Files, Users, Mount points and packages.  
•	Used Ansible as a configuration management tool to manage the software configuration and created new infrastructure on AWS. 
•	Automated Splunk infrastructure for Logging and Monitoring the team through Ansible Playbooks.  
•	Created AWS Infrastructure using VPC, EC2, S3, Route 53, EBS, Security Group, Auto Scaling, and RDS in Cloud Formation and Terraform.  
•	Utilized AWS Cloud Watch to monitor the performance environment instances for operational and performance metrics during load testing.  
•	Implemented Terraform modules for deployment of applications across multiple cloud providers.  
•	Created nightly builds with integration to code quality tools such as SonarQube.  
•	Integrated GIT repository with Jenkins and added webhooks and build triggers to automate build and deployment of applications on application server.  
•	Integrated Docker container orchestration framework using Kubernetes by creating pods, config Maps and deployments. 
•	Used Kubernetes to load balance, scale and manage Docker containers."
10,Laurentian Bank,Good Place to Work,2022-03-03,5.0,Bilingual Credit Administration Officer,"Good support from the manager, great co-workers, good salary.","High volumes during peak RRSP season, but I enjoyed the intensity."
11,Laurentian Bank,working at b2b,2022-02-21,3.0,Customer Service Representative,"Great managers, a lot of valuable information to learn.",lack of organization in the company
12,Laurentian Bank,Good employer,2022-02-21,3.0,Customer Service Representative (CSR),Overall good employer to work for,Disjointed systems in place and takes longer to figure out answers
13,Laurentian Bank,"good environment , friendly managers but tech need to be upgraded",2022-02-15,3.0,Collections Officer,"- CEO and top management doing their best to carry out the company to a high standards.
- Flexibility 
-Job work /life balance 
- Many opportunities available to work remotely especially post pandemic.
-","- Missing communication between Depts. leads waste of time.
- software and apps outdated and need to be upgraded.
-"
14,Laurentian Bank,Good place to work overall,2022-02-09,4.0,Office Administrator,"It has a Comfortable office, convenient location, friendly environment.",No possibility to change role to full-time status.
15,Laurentian Bank,Layoffs,2022-02-02,1.0,Programmer Analyst,There are no pro for working at this company,"It is a bank that have a very disorganized culture.
Lots of layoffs"
16,Laurentian Bank,So far so good,2022-02-02,4.0,Bilingual Credit Administration Officer,"Work Flexibility;
Multiculturalism, inclusion and diversity;
Not much stress.","Some incompetent employees are praised, and kept while bright ones are let go of."
17,Laurentian Bank,Ok,2022-02-02,1.0,Head of Department,Great great great great great great great great great great great great great great,Bad time to drop off the phone with you to the meeting to discuss deployment of the certificates and I
18,Laurentian Bank,good for a first Canadian experience,2022-02-01,2.0,Credit Administration Officer,It gives you a chance to start a career in Canada,"Huge work load
Low salary 
Poor Management"
