,company,headline,date,overall_rating,author_position,pros,cons
0,Legal & General,Good company & generous benefits,2022-04-09,4.0,Sales Manager,"Stable company, and good comms from senior management. Impressed with direction and values of company",No significant disadvantages to working at L&G
1,Legal & General,Great place to work,2022-04-08,4.0,Intern,Good work environment and work life balance.,Could use better communication from senior management.
2,Legal & General,Great place to work,2022-04-08,5.0,Advisor,Excellent benefits. Great work-life balance and fully enjoy the role,Very few cons to note
3,Legal & General,Great company,2022-03-31,4.0,Anonymous Employee,"Good company culture 
Great work life balance",Pay isn’t competitive with others in the market
4,Legal & General,Great people average business,2022-03-31,2.0,Customer Success Manager,Amazing lower graded individuals who genuinely want to do a great job,"No cohesive approach between departments - management say they want to invoke change, but make every excuse not to."
5,Legal & General,L&G review,2022-03-29,4.0,Director,"Strong sociao purpose, with clear messaging and aims from the CEO
Good salary and benefits",Poor IT infrastructure at group level
6,Legal & General,Good Long Term Company,2022-03-28,5.0,Test Manager,Great benefits and work place,Career progression can be slow
7,Legal & General,L&G is a great employer,2022-03-28,4.0,HR Business Partner,"Fair, ethical, acts with purpose, good comp","Old fashioned systems, slow decision making"
8,Legal & General,Fantastic company to work for,2022-03-23,5.0,Customer Experience Manager,"Great employee benefits
Lots of avenues for development
Caring management team",There are none that I can think of
9,Legal & General,Abusers with smiles,2022-03-20,3.0,Sales Associate,Work life balance is great,cowards and backstabbers everywhere at this place.
10,Legal & General,xx,2022-03-19,5.0,Senior Pensions Administrative,"Good employer, going places, ethical",Being given the opportunity and being directed to your next level of competence. Managers want to hold on to you when they know you've probably outgrown your role.
11,Legal & General,Great culture,2022-03-18,5.0,Regional Sales Manager,"Great people 
Fantastic culture 
Adult environment, no micro managing etc..",Workload can be high but this is recognised by the company.
12,Legal & General,Values went out the window,2022-03-18,2.0,Anonymous Employee,People are collaborative and flexible working is supported,They brag about strong values but once Covid came in and business performance suffered they reverted to a sales organisation and staff were hung out to dry
13,Legal & General,Progressive and inclusive,2022-03-17,5.0,Senior Asset Manager,"Open, flat structure, inclusive, progressive",Difficulty understanding the wider structure
