,company,headline,date,overall_rating,author_position,pros,cons
0,,Emotionally draining / nonstop calls.,2022-04-13,3.0,Customer Service Advisor,working with great people in multiple departments,"customers are brutal, you will be absolutely drained and there is not enough help or support to handle the amount of calls"
1,,Getting worse,2022-04-05,2.0,Project Manager,Nice people and for most areas good work life balance.,High turnover makes this a no go. IT support and technical help almost non existent. Managers can be good but are overworked so they tend to provide minimal input and I often don’t hear from mine for more than a week. I needed technical help on a project and got none. I often work very late and am looking to leave for a larger company.
2,,Best career move I've ever made,2022-04-01,5.0,"Director, Communications","- LendingClub attracts amazing people - whip smart, supportive, down-to-earth, awesome teammates - and everyone takes a lot of pride in doing great work.
- Collaborative, team-oriented community. 
- Impressive perks and benefits - the SF office is INCREDIBLE. On-site gym and locker room (with towels!), cafe with barista, catered lunches on days we're in-office, cold brew/kombucha on tap, fully-stocked pantries, ice cream freezer... I think I eat better at work than I do at home.
- Unlimited PTO has given me real work/life balance for the first time in my career
- Generous parental leave and very supportive People Success team
- Tons of opportunities to learn and grow - certainly helps if you're willing to push and take initiative
- High expectations lead to high performance org-wide. Don't really run into too many unmotivated colleagues.","- I actually don't think this is really a con, but it's a very fast-paced environment, so get ready to hit the ground running on Day 1!"
3,,Leadership,2022-03-30,2.0,Anonymous Employee,- they pay well and provide sponsorship,"- bringing all HSBC leaders in, losing the fintech side of the company.
- leadership cannot set a clear vision
- more executives than doers"
4,,"Solid place to work.  Work Life Balance, Smart colleagues",2022-03-29,4.0,Anonymous Employee,"Time off benefits, WFH options, catered lunches, Compensation is reasonable. Leadership is solid.",Not much to complain about.
5,,Happy Here,2022-03-24,5.0,Anonymous Employee,"Good culture, great long term plan and trajectory, good CEO",The share price is too low.
6,,Awesome Place to Work,2022-03-23,5.0,Senior Frontend Engineer,"Salary, bonus, RSU, unlimited PTO, flexible work hours and most of all, great people. People will stop whatever they are doing just to help you.",I love everything about the company except that some projects still use legacy tech but they are in the process of migrating everything to a newer stack.
7,,Great,2022-03-22,5.0,Sr. Finance Manager,Actually a great place. You get to work with humans.,Not scaling like other hot tech companies
8,,Great Company!,2022-03-22,5.0,Anonymous Employee,"- diversity of people and thought
-truly cares about employees and their growth
-hybrid model
-great benefits that are employee focused
-innovative business strategy
-clear visibility from the top down",-Sometimes hard to keep up with the quick growth/change
9,,Great job,2022-03-21,4.0,Anonymous Employee,"Great people, atmosphere and bonus structure",Lower hourly wages and small yearly raises
10,,Amazing company with a great culture!!!,2022-03-16,5.0,Sourcer,"-they prioritize a work/life balance
- you always feel supported by everyone 
- They have wonderful ERG groups you can be a part of to ensure that everyone feels valued and everyone's voice is heard 
- Very inclusive workspace *Diversity is always top of mind here*
- 401k Match
- They offer free therapy sessions through the betterment app
- They order free lunches in the office two days a week
- They help you grow",N/A- none I can think of on my end
11,,Covid ruined everything,2022-03-14,4.0,Account Manager,"Great culture, staff and the company represents great values for borrowers as well as for investors.
Not so bad on the pay either.","Tightwad scheduling
Left from a sales position to a clerical position due to covid and to avoid unemployment. 
Eventually left because pay was exorbitantly less and demoted to a role I hated."
12,,Poor Pay,2022-03-08,2.0,Operations Associate,Extremely Chill job with enjoyable coworkers,"Low Pay , no structure, no growth"
13,,Good place to work,2022-03-08,4.0,Anonymous Employee,I enjoyed the culture there,The salaries were on the lower end
14,,Worst,2022-03-07,1.0,Analyst,"Good management and HR team 
Friendly colleagues","Worst and torturous micromanaging
No work life balance
Manager can’t keep her calm (stay away from her) , shouts on people and converses in regional language"
15,,Good company in general,2022-03-05,4.0,Senior Software Engineer,"colleagues are very nice
TC are reasonable
WLB","stocks
snacks are not very good"
16,,"Big Dreams, but just a loan company",2022-03-01,3.0,"Director, IT",Some good people. But it's not really a tech company. Just a company with big dreams that turned into a nightmare.,Giving people loans isn't really much of a calling.
17,,Finally found my best place to work,2022-02-28,5.0,Technical Writer,"LendingClub trusts me to get my job done and they provide some great benefits and initiatives to keep me doing my best.

Open communication from leadership
Competitive pay and bonuses
Cool office space with game room, free snack bar, freestyle soda machine, coffee bar, catered meals (some days)
I feel valued as an employee by my manager and by higher leadership
Hybrid office/home work schedule
401k matching
Collaborative environment (even from home)
Concerned about making the company a diverse workforce",I haven't found any significant cons yet.
