,company,headline,date,overall_rating,author_position,pros,cons
0,,Product Owner in Wealth Tech Group,2022-04-14,4.0,Vice President,Managers sincerely care about comfort and job growth,The tech side is very immature in new SDLS processes
1,,Traditional Bank,2022-04-14,3.0,Anonymous Employee,"Great team work, lots of help","The pay is substantially low. They are based in Buffalo and do not fully understand the cost of living in other cities that are significantly larger. Also, lack of diversity even though they say it is important to them. It was discouraging not seeing people who look like me in true positions of power."
2,,Good place to work,2022-04-14,5.0,Branch Manager,A lot of opportunities to grow your career.,"Low pay, and the new compensation plan is group graded not individual."
3,,My experience,2022-04-14,2.0,Lock Box Operator,Co-workers were nice but older crowd,Work flow was heavy and uninvited
4,,Great,2022-04-13,5.0,Vice President,Great culture and atmosphere. Management cares.,Could use more pay but not bad.
5,,Great company,2022-04-12,5.0,Loan Officer Assistant,Great communication between management and amazing benefits,the pay could be better
6,,Great company to work for,2022-04-11,5.0,Analyst,"Benefits, time off, relaxed career growth","Pay, lack of industry standard for compensation"
7,,Good Job,2022-04-10,5.0,Credit Analyst,Great work life balance and awesome people,Slower upward mobility compared to other places
8,,It is a great bank to work for,2022-04-09,5.0,Senior Relationship Banker,"I don’t know how M&T hires great people but definitely most of the employees are kind and great to work with. I love the culture and the volunteer options, with 40hours volunteer pto.",M&T is expanding at the moment (PUB) and there are some system/ technical issues every day that makes it harder to complete my job but hopefully it will be solved soon.
9,,Do NOT work here,2022-04-08,1.0,Management Associate,None at all this place was horrible,"Not only is there a blatant disregard for people of color but the pay is horrible and the way the company treats you is even worse. They over work you and constantly add more and more for you to do at the same pay. They do not want to see any progress in terms of climbing up the latter for branch employees. They are also careless about employee health, I got Covid from working with an employee who clearly had Covid but they refused to let him stay home until his positive results came back. Oh and they don’t pay you for being out bc of Covid you need to use your pto or not get paid."
10,,Everyone experience is different,2022-04-08,3.0,Anonymous Employee,The only good thing was the Stock purchase program I participated in and cashed out when I left and 401k.,"The branch level is tremendously daunting and the managers don’t care if you’re overworked, that goes beyond just the branch mgr district as well. The turnaround rate is ridiculous because they pay pennies in raises."
11,,Low pay,2022-04-08,3.0,Vice President,Decent work life balance. Good PTO.,Managers have no control over compensation. You will be underpaid.
12,,Great company culture; low salaries,2022-04-06,3.0,Group Leader,Generous vacation days & bank holidays off. Great culture to work in. Nice flexible work accomodations (i.e. 4 day work weeks). 401k match up to 5%.,Low salary as compared to competitors. Often an employee would have to get an offer from another company before M&T considers adequate compensation. Health insurance is average at best. Only option is a high deductible plan; one bright spot is M&T does contribute to an HSA plan.
13,,Horrible,2022-04-06,1.0,Legal Document Analyst,Absolutely none at all. There is a minimum of five words.,I was micromanaged doing the most mindless simple tasks imaginable. My job honestly shouldn't have even existed.
14,,Unsatisfactory,2022-04-05,1.0,Assistant Vice President,"401k match exists, health insurance is good.","Neither location nor facilities are desirable enough to force talent to succumb to working in office 3x per week. Not all floors are renovated, which should have been a higher priority when people were working remotely. Safety in the downtown Buffalo area is a glaring issue, myself and other women in my department have had issues just arriving to work, getting coffee or lunch. Diversity is a flop. Expect the top achievers and speakers at events to be white and male. At my most recent departmental meeting and my coworkers and I all laughed. There were 9 men and 1 woman. This is the case at every departmental meeting, I would not exaggerate this. Meager 401k match at 5%. I am a woman working as an AVP and I earn 40,000.00 per year and a $900 average bonus per year. You can compare the stats on that. They also are not hiring quickly enough to deal with the great resignation and you can expect to pick up the slack. Stop asking for so much feedback if you aren’t interested in actionable responses. Need to improve upon benefits and salaries. Gender pay gap is a massive issue."
15,,Culture Change (for the worse),2022-04-04,2.0,Domain Architect,Nice office space open floor plan,"Lower salaries, low morale, no direction, lord of the flies environment"
16,,Awesome,2022-04-04,5.0,Credit Review Officer,Great great great great great,None Kobe none none none
17,,Typical 9 to 5 job...,2022-04-04,4.0,Universal Banker,"Comprehensive benefits (dental, vision, medical, fertility)
Perks at Work discounts
Decent amount of PTO","Issues with co-workers not addressed by management
Sales environment (sales goals exceed capability of staff)
Benefits are expensive for couple/family plans (~$400/mo premium, $3000 deductible, only 1 plan to choose from/no low-deductible option)
Under-staffed locations/poor time management"
18,,analyst,2022-04-01,5.0,Analyst,"great people 
great opportunities
great work life balance",Working hybrid schedule and commuting
19,,Worst group culture in a horrible city,2022-04-01,1.0,Anonymous Employee,- High pay in Buffalo (low cost of living),- Terrible work culture permeated down the levels
20,,.,2022-04-01,4.0,Universal Banker,Promotes from with in the company,Nothing much to report here
21,,Overworked and underpaid,2022-03-30,3.0,Associate,Learned a lot in the role,Never work in their call center.
22,,Review,2022-03-30,1.0,Senior Relationship Banker,None to say the least.,"You will work 6 days when scheduled a Saturday, 30 min breaks, Terrible System."
23,,Senior Branch Manager,2022-03-30,4.0,Senior Branch Manager,Small community bank feel while working in a large corporation,Small staffing model in branches
24,,Retail banking,2022-03-30,5.0,Bank Teller,"Great work environment
Laid back managers 
Good benefits",Been working for the bank for 3 years and still haven't been able to move into any other position.
25,,Manager Profile,2022-03-30,2.0,Vice President,"flexibility, teams, agile, professional, busy",",lack of leadership, support model, untimely feedback, slow moving processes, inability to approve items."
26,,UB,2022-03-30,5.0,Universal Banker,Work life balance is good,High pressure environment at times
27,,"You are different, so you can't be here.",2022-03-30,1.0,Cyber Security Analyst,I did not see any.,"Better watch what the supervisory level is doing. It is all about discrimination, the internal management does not reflect the diversity shown in the commercials."
28,,Good Work Life Balance,2022-03-28,4.0,Credit Risk Analyst,Reasonable hours and ok benefits,Management may not recognize talent
29,,Not immune to the great resignation,2022-03-28,4.0,Anonymous Employee,Investing a lot in Buffalo. Good hybrid flexibility and salary.,Results vary by team and manager. Eliminating or making it impossible to work fully remote has lead to a great brain train of talent.
30,,overall good,2022-03-27,5.0,TDP Software Engineer,most people are friendly and helpful,"will have in-person work, no mask required"
