,company,headline,date,overall_rating,author_position,pros,cons
0,,nice,2022-04-15,4.0,Anonymous Employee,its good place to work,nothing much to say here
1,,Great Company,2022-04-13,4.0,Data Research Analyst,Great company to work for,No cons I can think of
2,,Decent company but not all departments are good,2022-04-13,3.0,,"Decent company, India Leadership has been trying to give equal opportunity to all despite different job roles","Whatever good culture has been embedded in value system of Morningstar is undone by pathetic management of Equity Data. From 2020 onward after the Head of Equity Data changed, situation has deteriorated more. Top level Managers are very incompetent in Project Management, Technological understanding & financial data knowledge. They just do lip service. Many of them don't know even the basics like pulling reports from JIRA & need external help. They put projects in bad shape from start because of their surface level knowledge of dataset they are supposed to build & start blaming subordinates at 11th hour. They only confuse subordinates with unclear directions. Equity Data is fast becoming more BPO like culture and wouldn't recommend anyone to work here unless one could find anything better."
3,,good,2022-04-13,4.0,Data Analyst,"open culture
kind colleagues
international communication chance","payment not attractive
hard to go high position"
4,,Positive Atmosphere,2022-04-12,4.0,Senior Product Manager,The executive structure at Morningstar is very flat --the employees have a voice. The work day is very flexible --the company is results-oriented not concerned with clock punching.,The pay can be low.
5,,"Strong Values, Impactful Research",2022-04-11,5.0,Researcher,"This company really means it when they say ""we're all in for investors."" Objective, balanced reviews of companies and funds and ratings that clearly sort the best from the worst investment options with strong, well-explained rationales",Lots of growth and several recent acquisitions make the company feel as if it is several companies in one so internal coordination may need improvement.
6,,great place to work,2022-04-11,5.0,Operation Associate,"work life balance and great working environment, great people",salary below the market range
7,,Great place to start for fresh graduates,2022-04-11,4.0,Anonymous Employee,"-Great teams, great for experience 
-Really good employment benefits (CFA sponsorship, Annual Education stipend, etc)","Slow growth, salary is average"
8,,Excellent place,2022-04-09,4.0,QA Automation Engineer,"Good work life balance
Medical Insurance includes parents also
Open culture",Not yet found any cons
9,,Great place to work,2022-04-09,5.0,Operations Analyst,"Flexibility, Work life balance, Opportunities through IJP.",No cons to think of.
10,,Great place to work,2022-04-09,5.0,Operations Analyst,"Flexibility, Work life balance, Opportunities through IJP.",No cons to think of.
11,,Good times,2022-04-09,5.0,Call Center Manager,"Great company, plan to spend future there",None I love it here
12,,Good work life balance,2022-04-09,4.0,Software Engineer,Good wlb and the people are very helpful,Bad management and lack of vision
13,,Reserach Analyst,2022-04-08,3.0,Research Analyst,"Work culture
non monetary benifits 
Good location
large organization with multiple opportunity",salary less as per industry standard
14,,Senior Data Research,2022-04-08,5.0,Anonymous Employee,Great company with lots of benefit and employees oriented company. Always help employees in maintaining work life balance,Nothing is bad about company
15,,Bad compensation,2022-04-07,3.0,Associate Product Manager,Very good work life balance,Poor pay and compensation :(
16,,Great company,2022-04-06,5.0,Senior Software Engineer,"There are lots of Pros
Flexible working hours
Cutting edge technologies
Excellant bonus
401K matching up-to 7% of your salary
Sabbatical, PAID FMLA, unlimited leaves
Understanding management","Your work life balance entirely depends on your team and management. 
Your life balance depends on your product owner."
17,,Some entrepreneur atmosphere but fading,2022-04-06,3.0,Product Manager,Most of employee are young and full of energy.,Becomes very political on the mid-management level.
18,,Progressive Company,2022-04-06,5.0,Customer Support Representative,"Unlimited PTO
Competitive Salary
Good track for someone not 100% confident on what they want to do","On the phones talking to customers all day
Pay could be better
Must stay on support for at least 8 months"
19,,Stagnancy,2022-04-06,3.0,Investment Analyst,"1. Work-life balance
2. Good people to work with","1. Monotonous work
2. Slow growth
3. Below Average pay
4. No incentive for better performance"
20,,Morningstar Review,2022-04-05,5.0,Data Research Analyst,"Good work culture .
Very helpful colleagues.
Company provides different means to upskill the employee .",Sometimes the tools on which we work gets a bit slow...but that's not a big issue
21,,Disgusting management London. Not to be trusted,2022-04-05,1.0,Anonymous Employee,"Work colleagues. 
Good office location",Back stabbing management who should not be trusted in their position. Only if your on the inside can you succeed.
22,,Analyst,2022-04-05,4.0,Analyst,"- unlimited time off
- a lot of networking events","-low pay
- cannot negotiate salaries"
23,,Not great if you know exactly what you would like to do,2022-04-04,3.0,MDP,"This is a good position if you are someone who wants to explore what parts of the company you would like to join. Great, smart, caring people work here. Really good work life balance. Really good benefits.","This is not for people who know exactly what they would like to to with their career. Most MDP's first rotation is a customer service role. During the application process, I was told that rotations are 3-6 months. I am past this timeframe with no rotation in sight, as you cannot rotate until you have a backfill. Few 2nd rotation positions exist, and they are very competitive. The pay is also well bellow the industry standard."
24,,Great worklife balance; retention efforts need work,2022-04-03,4.0,Product Manager,"Work life balance 
Flexible
Great people
Great benefits","Salary not competitive
Employee retention very poor
Diversity efforts/hiring very poor"
25,,Glassdoor's making me do this.,2022-04-03,4.0,Team Lead,"Good working hours. 
A lot to learn. 
Management is helpful and compassionate.",Salary is on the lower end of the spectrum.
26,,Good experience,2022-04-03,5.0,Data Research Analyst,"Healthy working environment, work life balance","Less compensation, less monetary benefits"
27,,Ok,2022-04-03,5.0,Research Associate,Very good company culture good,No any cons about the company
28,,It's alright.,2022-04-01,5.0,Fundamental Data Analyst,"Work-life balance is awesome, no long hours OT.",Workload can be quite a lot during peak time.
29,,I dont know,2022-04-01,4.0,Data Research Analyst,"Good environment
Great opportunity 
Initial Stage
Environment 
Safe
Knowledge","Dont provide work from home 
Remote"
30,,xx,2022-04-01,4.0,Equity Analyst,good work life balance fair comp,too much focus on D&I
31,,Best Place to work,2022-03-31,5.0,Data Research Analyst,1) good work life balance,1) No Cons as such
32,,Good Company Overall,2022-03-30,4.0,Data Content Analyst,Morningstar has good work/life balance and benefits. The company is mission driven.,"Its salaries aren't competitive. There's good intention, but it's still a corporation with a bottom line at the end of the day."
33,,Good,2022-03-29,4.0,Data Research Analyst,"Good work life balance, company benefits, job opportunities",Salary might be not much
34,,Can’t get out of their own way,2022-03-29,1.0,Anonymous Employee,Unlimited vacation (that they make you feel guilty for taking),"Passive aggressive nature especially with the relationship managers/generalists. 
No direction, feels like they are running around without a head. 
Micromanaging from management
Overly focused on sales and not building out new products or platform enhancements 
People are disposable"
35,,Good Place,2022-03-27,4.0,Software Engineer,"Great people, good atmosphere. Flexibility.","Got repetitive after several years, needed something more hands-on."
36,,.,2022-03-25,4.0,Research Analyst,Good company to work with,Sometimes work can be overwhelming
37,,Good to start career,2022-03-24,3.0,Data Research Analyst,"Good organisation 
Brand name to start your career","After a point work feel repetitive 
A bit low pay"
38,,Amazing,2022-03-23,5.0,Data Research Analyst,Everything is good nothing to dislike,"Nothing as of now.
I joined in July 2021"
39,,Good Company,2022-03-22,3.0,Analyst,Good Work culture. Collaborative Environment.,None that I can think of
40,,Good  benefits,2022-03-21,5.0,Manager of Software Engineering,"Sabbatical every 4 years , good health benefits",Under staffs and none others.
41,,Good work life balance,2022-03-21,5.0,Lead Infrastructure Engineer,"Good work life balance.
Good leave policies.","nothing specific.
more opportunity should be provided to on-site."
42,,Research Associate,2022-03-20,5.0,Anonymous Employee,Good working environment. Nice office culture,Needs to improve pay structure.
43,,"Favouritism by senior management, they strive to get cheap labour",2022-03-19,1.0,Anonymous Employee,"Leave policies. 
If manager is understanding which is not a case across all teams then expect a good work life balance.
1k stipend.","Senior management is very laidback and have their favourites.
Very few growth opportunities in Sydney, all work is outsourced to India. Though surprisingly heaps of opportunities in Chicago and of course India & China. Very rare occasion where team got expanded (excluding acquisition) 
Higher package and stock options for only for senior management"
44,,Great to work with Morningstar almost latest technologies,2022-03-18,4.0,Senior Software Engineer,"Good work culture. 
Latest technologies like aws, python, java etc. 
Employee benefits. 
Convinient location.
So far I agree it's great place to work.","As long as lead/manager were from US really felt why we Indian likes US based product based company. 
They communicate more and more so we never live in dark area of our work, and we less and less. 
Sometime they keep interesting work around them should equally distribute to each one unless one has been proofed not mitigate the goal."
45,,Data Research Analyst,2022-03-18,3.0,Data Research Analyst,"Supportive team and management, good work culture.","Poor work life balance, low salary"
46,,customer sucess manager,2022-03-16,5.0,Customer Success Manager,"the co workers
flex hours
good work life balance",pay is below average and is not comparable with other companies
47,,Good Company,2022-03-16,4.0,Software Engineer,Great prospects to learn and explore new ideas,Often projects are left halfway. Lack of direction
48,,Great people and great opportunities to grow your career,2022-03-15,5.0,Regional Director of Operations,"Transparency
Breadth of products, solutions and teams in Australia provides lots of opportunities solutions
Local strategy, global scale
Smart and approachable people - little hierarchy
Mission driven
Culture - flexible and fun. People first mentality.",Lots to learn - broad and complex business
49,,Good Company,2022-03-15,4.0,Research Associate,"Good Company, Open Culture and Amazing People",The salary structure can be improved.
50,,Good company for a beginner,2022-03-14,3.0,Data Research Analyst,Work culture here is good,Salary should be a more
51,,None,2022-03-14,4.0,Research Associate,One of the biggest and reputed company.,There are no cons working here.
52,,Nice,2022-03-14,5.0,Anonymous Employee,Every thing is excellent employee friendly enviroment,Don't have any cons in company
53,,Good,2022-03-13,4.0,Data Research Analyst,"Good work culture, supportive leadership","Limited growth, low pay and lack of job satisfaction"
54,,GPTW,2022-03-13,5.0,Senior Software Engineer,"company policies,work life balance,decent compensation",Sometimes work is more depending upon project
55,,Good job if u like data copy pasting,2022-03-13,3.0,Data Research Analyst,"Work life balance
Chill hours
Can focus on education","No progress in career
Useless work"
56,,good,2022-03-12,5.0,Data Research Analyst,"everything is good people, environment incentives",repetitive work and growth is very leaa
