,company,headline,date,overall_rating,author_position,pros,cons
0,Motilal Oswal Securities,Employee,2022-04-03,4.0,Anonymous Employee,good company and work culture,over time on imp days
1,Motilal Oswal Securities,Good,2022-03-14,5.0,CRM Manager,Work life balance is given importance,No cons that I can think of
2,Motilal Oswal Securities,Great time at MOFSL,2022-03-10,4.0,Assistant Manager,Flexi timings which do well to the emp,I feel the organization sometimes takes up products to sell at whims and fancies
3,Motilal Oswal Securities,Good company for freshers,2022-03-04,3.0,Deputy Manager,Can learn a lot with respect to investment products,High pressure job for freshers
4,Motilal Oswal Securities,Bde,2022-03-02,2.0,BDE,"Salary
Basic knowledge
Share market
Work from home","Pressure
No work life balance
Long hours"
5,Motilal Oswal Securities,good,2022-02-28,5.0,Equity Trader,Good Exposure to learn and grow,Hikes is based on performance
6,Motilal Oswal Securities,Good,2022-02-25,3.0,Financial Advisor,Good company and supportive company,"Bad company for freshers, lot of presure"
7,Motilal Oswal Securities,Good Company for freshers,2022-02-15,3.0,Assistant Manager,Good benefits. Better learning and growing opportunities.,"Poor Upper Management.
Relies on old technologies."
8,Motilal Oswal Securities,Bad company to start your career,2022-02-08,1.0,Sales Executive,"Learning 
Incentives
Stress 
Mental health 
Job security","Bad management
Not supporting
Limited scope to grow 
Disturb your mental health
No job security"
9,Motilal Oswal Securities,Great company but bad management,2022-02-04,3.0,Anonymous Employee,"Research team is wonderful , will get lot to learn","Target focused, doesnt seem to care much about customers"
10,Motilal Oswal Securities,Short & Crisp review,2022-02-04,3.0,Inventory Specialist,Focused on knowledge and research,Very High pressure and bad working culture
11,Motilal Oswal Securities,na,2022-02-01,3.0,Analyst,the experience is valuable and leanring exp is great,the pay is lower than average
12,Motilal Oswal Securities,PM,2022-01-11,1.0,Project Manager,I dont have any pros to describe,management is filled with high level politics
13,Motilal Oswal Securities,Fast growing company,2021-12-29,4.0,Financial Advisor,This is a good company with better Salary and environment.,There is no too much work pressure
14,Motilal Oswal Securities,Handled team,2021-12-29,1.0,Team Leader,Good environment for fresher and growth,No career at all given to employees
15,Motilal Oswal Securities,Good,2021-12-28,5.0,Finncial Analyst,"Superb and friendly company, good",Give me my answer details
16,Motilal Oswal Securities,Good,2021-12-12,3.0,Team Leader,Good culture is maintained there,No flexibility in using our own prowess
17,Motilal Oswal Securities,Salary,2021-12-11,4.0,Equity Associate,Good place to start your career in finance,Employee turnover is very high
18,Motilal Oswal Securities,"Experience in Motilal, I had worked in the organization for 6 months here is some insight on my experience,",2021-12-02,3.0,Advisor,"Since I was in retail client reactivation it was a front-end job so it was all about client interaction and generating brokerage.

The training for calls and the pressure environment can help in improving the communication skill also make you very comfortable in the front end calling and in making conversation.

Since you would be pitching a lot of stocks and financial instruments you will get a very good insight on the overall market and how the financial market dealing happens. Along with that, you would learn a lot about the fundamental of the company which will be helpful in the future.","A lot of things would depend on your team if you are part of a good team and it has good data set you will be able to perform otherwise you won’t able to perform or generate revenue. If there is no revenue you would have no incentive this would not be good as the basic pay will be very low.

There won’t be any work-life balance you would be working almost 12Hrs a day which can impact your mental health. If your targets are not then also you would have to sit back for more work

The work environment and the surrounding can become a little toxic as most people will be overworking which can lead to a lot of negativity"
19,Motilal Oswal Securities,It was pathetic,2021-11-27,1.0,Insurance Broker,"Not good for finance, only good for sales",Too many to even list one.
20,Motilal Oswal Securities,Equity dealer,2021-11-24,1.0,Equity Dealer,Understanding of stock markets exchange,Very bad work culture and environment
21,Motilal Oswal Securities,Working atmosphere,2021-11-21,5.0,Anonymous Employee,good working atmosphere in the company,Company has a lot of database which is scattered
22,Motilal Oswal Securities,Good,2021-11-18,3.0,Analyst,"Knowledge, skill set development, good for stock market","Work culture, office politics, hectic work hours"
23,Motilal Oswal Securities,It is very good vompany,2021-10-21,3.0,Executive Assistant,Good work environment and people are very good,Less salary for freshers but learn more things.
24,Motilal Oswal Securities,great managemnt,2021-10-20,3.0,Staff Accountant,One of the best reasons to join motilal oswal is great mangement,Salary not given on time
25,Motilal Oswal Securities,Worst company,2021-10-20,1.0,Relationship Manager,Worst company ever... Dont have any positive feedback to share,Worst company ever... We do t get any support from the management. They won't Give you good salary and hike..You have to work under stress and pressure..
26,Motilal Oswal Securities,good,2021-10-18,3.0,Financial Advisor Trainee,"good environment, good seniors, gained knowledge","pressure to generate leads, stress, rude"
27,Motilal Oswal Securities,Too much presure,2021-10-16,1.0,Business Development Associate (BDA),lots of learning about Stock market,too much pressure in DAD sales
28,Motilal Oswal Securities,Worst company,2021-10-12,2.0,Team Leader,"Good pay incentive , nice location and infrastructure",Improper management and no proper support
29,Motilal Oswal Securities,Pathetic,2021-10-11,2.0,Assistant Manager Online Sales,HR policies and top managements thought process.,"Hod and managers are partial, doesn't matter how much you work hard you will never get an  opportunity to grow if your boss is not in your favour. Whatever efforts you put in your work wont be appreciated. Major politics has been done by HoD or manager or avp. Even if you give feedback or exit interview. HR will share with HOD or bosses and they will recite in front of team members making fun of the former employee. Feedbacks are supposed to be kept anonymous but here they enjoy reciting negative feedbacks and make fun of the former  employees."
30,Motilal Oswal Securities,good,2021-10-06,4.0,Sales Associate,"good company
near to my place","not good salary 
very cpmpetative enviroment"
31,Motilal Oswal Securities,No breaks allowed,2021-10-04,2.0,Order Processor,Fun environment working there at Sonic,Don't let you take breaks after working 8 hours
32,Motilal Oswal Securities,Nice company,2021-10-04,4.0,Assistant Manager,"Nice company , with good inventives","No cons as such,long work hours"
33,Motilal Oswal Securities,Good,2021-09-27,4.0,Product Manager,Great place to work with Motilal Oswal Financial Services,Can have better working style
34,Motilal Oswal Securities,Salary,2021-09-23,3.0,Area Manager,Good salary and compensation structure,Less incentives in the company
35,Motilal Oswal Securities,Best to learn,2021-09-23,3.0,Assistant Manager,"Friendly environment,Best Hr policy,simple interview pattern,","enormous pressure,no quality training,higher product cost"
36,Motilal Oswal Securities,--,2021-09-19,3.0,Manager,"Good Learning, Good Exposure, Bonus","No flexible hours, Over timing"
37,Motilal Oswal Securities,Overall a good company,2021-09-15,3.0,Senior Manager,"no hire and fire
company take cares of the employee","no work life balance
fixed pay is less and variable component is more"
38,Motilal Oswal Securities,Good to start career with MOFSL,2021-09-10,3.0,Equity Research Analyst,"Building, Cafeteria and Good Learning","Less salary, too many politics, less bonuses and many more"
39,Motilal Oswal Securities,Good,2021-09-07,5.0,Junior Trader,Very nice atmosphere to work,Need to be attentive on work
40,Motilal Oswal Securities,Fine,2021-08-25,4.0,Investment Associate,Good personal broker for clients.,A little difficult to find cliets with such commissions.
41,Motilal Oswal Securities,lead a team,2021-08-24,4.0,Financial Analyst,everything was good about it,nothing as such was bad about the company
42,Motilal Oswal Securities,Overall it was good place to learn about market but compensation is too low,2021-08-18,3.0,Financial Advisor,You get to know more about market,Compensation is too low and working hour is too long
43,Motilal Oswal Securities,Company,2021-08-16,3.0,Assistant Manager,"Good to learn equity
Disciplined
Broking work 
NBFC culture 
Good culture 
Smart people 
Work from home 
Laptops provided if required","Work pressures 
Penalties 
Sales is headache
Pressure 
Sales press ure 
Revenue press ures
Incentives quat arly"
44,Motilal Oswal Securities,nil,2021-08-06,2.0,Financial Advisor,"knowledge driven and easily access to almost everything
stable work environment","unnecessary late working hours with no work to do. 
very low salary with less to no increment in financial year"
45,Motilal Oswal Securities,Overall Great place to work,2021-08-05,5.0,Quality Assurance,"Good work environment.
Good employee benefit policies.
Colleagues are supportive.",Not much in cons but salaries might differ for people doing same role.
46,Motilal Oswal Securities,Cross selling if TPP to existing clients of Motilal Oswal as per their requirements & also acquiring new customers,2021-08-02,2.0,Sales Team Leader,"Good brand
Big incentives (provided u perform)
Timely payment of Salary","Unlimited working hours
Can make you work on Sundays n public holiday and u can't even ask for compensation leave as the company needs you."
47,Motilal Oswal Securities,Good Place to start with.,2021-08-02,4.0,Equity Advisor,"Great Work place 
Friendly environment
A learning curve for beginners
You won't realise you're working.","No holidays on Saturdays.
Low pay scale.
Sometimes the pressure to reach goals becomes hectic."
48,Motilal Oswal Securities,Na,2021-07-30,2.0,Executive Advisor,"Good working environment
Got to know about the stock market closely
Manaager and team leader was always available to help","Salary was too low
No proper timing 
Times are extended upto 9p.m
Low incentives for new comers 
Hectic schedule and they call on saturday as well"
49,Motilal Oswal Securities,Good if you can handle the pressure.,2021-07-27,3.0,Accounts Receivable Clerk,"Good incentives policy.
Team members are good.","Too much pressure.
No fix working hours.
Makes you sit for 12 hours in front of the system"
50,Motilal Oswal Securities,Relationship manager,2021-07-23,5.0,Relationship Manager,Good salary and cool work environment,Occasionally extra hrs and network error
51,Motilal Oswal Securities,analyst,2021-07-23,5.0,Relationship Manager,"good, satisfactory, helpful, growing, wealthy","over time working, mostly hectic"
52,Motilal Oswal Securities,knowledge gaining work experience,2021-07-21,3.0,Anonymous Employee,Knowledge and amazing team to work with,Hectic and tight schedule for working hours
53,Motilal Oswal Securities,good company to work for those who can handle people,2021-07-20,2.0,Advisor,nothing to like about company,too much sales load you are not an employee for them a laborer
54,Motilal Oswal Securities,Good place to work,2021-07-18,3.0,Equity Advisor,Overall good experiences good place to gain experience,I consider myself not in a position to
55,Motilal Oswal Securities,Overall good,2021-07-13,4.0,Equity Advisor,"Pay is high.
Learn new things.","No Work-Life Balance
No other cons"
56,Motilal Oswal Securities,Great company to work with,2021-07-12,4.0,Equity Advisor,High potential for career growth,There is a Very high work pressure
57,Motilal Oswal Securities,Equity analyst,2021-06-29,4.0,Equity Research Analyst,Most reputed company in the field,Working load is more comparitively to others
58,Motilal Oswal Securities,Great Place to Learn & Grow,2021-06-29,4.0,Investment Banking Analyst,Enormous Opportunity to Learn & Grow,Pays Scale is Low as compared to Industry Average
59,Motilal Oswal Securities,Good,2021-06-25,4.0,Senior Executive,Good work culture and colleagues,No cons very nice work culture
60,Motilal Oswal Securities,over all good experience .,2021-06-22,1.0,Senior Developer,good hikes . good bonus. work load according to project. new learnings.,Expectation   is 12 hours work to be in good book of and to be proven as good employee. tremendous load in some projects. unprofessional approach of problem solving and rush every time to complete things.
61,Motilal Oswal Securities,Nice job,2021-06-22,3.0,Manager,Work life balance and benefits,Salary given to employees is
62,Motilal Oswal Securities,bad,2021-06-22,2.0,Executive Advisor,very experienced people to learn and grow yourself,Extreme pressure for a fresher to cope up with.
63,Motilal Oswal Securities,Good company,2021-06-11,5.0,Anonymous Employee,Good company to work with,The company is good to work
64,Motilal Oswal Securities,Nice company to work with,2021-06-07,5.0,Associate Vice President,Take care of stakeholders and employees,No cons which i can think of.
65,Motilal Oswal Securities,Very bad Business model,2021-06-04,2.0,Financial Advisor,decent incentives and market knowledge.,Very bad business model and confusing system. very ugly office politics. Did not accept this from Motilal oswal
66,Motilal Oswal Securities,Should handle pressure,2021-05-26,4.0,Relationship Manager,Good company for fresher can get to learn a lot,Pressure is der in this company
67,Motilal Oswal Securities,Motilal oswal,2021-05-25,4.0,Analyst,Company is good staff gives lot of suppor to the freshers,In my experience I don't have any negative
68,Motilal Oswal Securities,salary based on your knowledge,2021-05-24,3.0,"Operation, Customer Service Executive",no targets in calling in the operation desk,late sittings are there its never be fixed
69,Motilal Oswal Securities,Rm,2021-05-23,1.0,Senior Executive,Nothing there was no pro,Extra work hours and target without extra pay
70,Motilal Oswal Securities,Good,2021-05-20,5.0,Anonymous Employee,"Good company, friendly, good environment,free food","None to share, good company"
71,Motilal Oswal Securities,sales,2021-05-20,4.0,Business Development Executive,person with good comm and convincing skills can earn good here,a bit high pressure from the management especially when theres a month end
72,Motilal Oswal Securities,Bcom graduate with around 2 years of experience at MOSL,2021-05-17,3.0,Executive,"Capital market, Equity, Derivatives, Currency, customer service, relationship management, securities","Restricted growth or mobility, less job security"
73,Motilal Oswal Securities,One of the Best Place to Work,2021-05-17,5.0,Branch Manager,"Huge Learning opportunity, Management is very supportive, Office ambiance is very good, work culture is excellent.",Work pressure when markets go down
74,Motilal Oswal Securities,Good company to work,2021-05-14,3.0,Anonymous Employee,"Good company, good salary packages, good bonus and incentives, every friday cake cutting session for the entire floor, HR always motivates to join trainings which is good",No cons as such... very punctual in time...only 15 minutes late allowed...after that latemark
75,Motilal Oswal Securities,company is good,2021-05-14,5.0,Android Developer,you can upgrade your skills and learn new things,"nothing to say any , salary wise they can improve"
76,Motilal Oswal Securities,Sales,2021-05-13,4.0,Customer Service Advisor,Good place to work and learn,Income is mostly based on incentives
77,Motilal Oswal Securities,Bad,2021-05-12,2.0,Equity Advisor,You get knowledge about the world economy,No work life balance. Zero respect to freshers.
78,Motilal Oswal Securities,Great Incentives,2021-05-09,4.0,Financial Services,many sales commissions opportunity for cross selling,alot of docking in their payment options
79,Motilal Oswal Securities,"Cultural, Family like Experience",2021-05-08,5.0,Senior Manager IT,"You feel like going office Daily, Work space is amazing, Work Culture is Fab",None to be named now
80,Motilal Oswal Securities,Worst workplace,2021-05-06,1.0,Franchise Manager,"Research reports
You will learn a lot about financial market",They hire people irrespective of educational background and mostly you’ll find a lot of people around you talk rubbish about stocks.
81,Motilal Oswal Securities,Good,2021-05-06,5.0,Operations,"Good firm, nice working opportunity","Late shifts, too much work"
82,Motilal Oswal Securities,Handling team,2021-05-06,3.0,Team Leader,"Good working culture, supportive environment",Nothing as of now all is good
83,Motilal Oswal Securities,wait for right co,2021-05-05,1.0,AVP-Operations,none to say currently .,working hours are tooo long and no end to problems
84,Motilal Oswal Securities,Good,2021-05-05,4.0,Anonymous Employee,Commission is good and you can have leave 4 times in a month,Pressure is a bit high in term of sales which is obvious but I think and believe they could increase the commission more for the Employees
85,Motilal Oswal Securities,Awesome place to work,2021-04-28,5.0,Investment Advisor,"Superb company, great place to work with great opportunities and supportive seniors","Nothing to say , a great company"
86,Motilal Oswal Securities,hfgshdgush;gushush,2021-04-26,4.0,Equity Dealer,Good working lots to learn,Pressure is too much to meet targets
87,Motilal Oswal Securities,ok,2021-04-26,4.0,Business Development Executive,new learning good place to work,"hardly getting leaves , no work life balance"
88,Motilal Oswal Securities,Good learning culture,2021-04-23,4.0,Management Trainee,Good platform to learn skills,Pay is low compared to industry
89,Motilal Oswal Securities,review for firm,2021-04-22,5.0,Anonymous Employee,good culture of the company,nothing to say about this
90,Motilal Oswal Securities,Okay to work with,2021-04-19,4.0,Sales Manager,Managers are supportive and helps in the business,No views available. No proper communication from Ho
91,Motilal Oswal Securities,Good very nice,2021-04-19,5.0,Insurance Specialist,Good and nice to work with.,Money salary deduction and more else.
92,Motilal Oswal Securities,Good,2021-04-12,3.0,Business Development Executive,Salary for freshers and timings,Recruitment of advisory people for telangana and andhrapradesh
93,Motilal Oswal Securities,Nice,2021-04-11,4.0,Relationship Manager,good company you can join,pressure is there in every sector
94,Motilal Oswal Securities,worst company ever don't go in sales team,2021-04-08,1.0,OAO Sales Executive,nothing in the sales team,everthing in the sales team
95,Motilal Oswal Securities,average wokring,2021-04-08,2.0,Equity Advisor,"Good working conditions.
Opprtunities are somewhat good","Managers/TLs aren't that appreciative in terms of salary increment or profile hike.
Biasness prevailing to good extent."
96,Motilal Oswal Securities,Good company overall in every way,2021-04-07,5.0,Financial Analyst,Good company to work for,None as much we have
97,Motilal Oswal Securities,compliance,2021-04-07,5.0,Compliance,"good culture, good management, cooperation","late setting, process, increment, bonus"
98,Motilal Oswal Securities,Fresher,2021-04-06,5.0,Associate Financial Analyst,It's a well reputed financial services company and I want to be a part of that. I would want to achieve the goals of the firm,Very challenging because of its competency
99,Motilal Oswal Securities,Good place to work,2021-04-05,3.0,Assistant Manager,Good place to work in,There is no Cons here
100,Motilal Oswal Securities,Great company!,2021-03-30,5.0,Software Developer,"Growth opportunities
Great HOD
Cross training, so many learning opportunities","You get great bonuses, but a low raise
May end up doing overtime"
101,Motilal Oswal Securities,NA,2021-03-12,4.0,Business Analyst,It has a very supportive environment for interns.,"Specifically, the company can improve on the use of technology for the business analyst role."
102,Motilal Oswal Securities,Good company,2021-03-11,3.0,Manager,Good working culture. Management think for employees,There is no cons.more work pressure on IT department
103,Motilal Oswal Securities,best place to work,2021-03-08,4.0,Area Manager,less work pressure and good place to work,less package and slow growth on promotions
104,Motilal Oswal Securities,Best corporate work culture,2021-03-06,5.0,Assistant Manager,"Helpful environment, best research and best place to work",Limited upside and little less growth
105,Motilal Oswal Securities,Not so good,2021-03-02,2.0,Business Development Executive,Friendly environment and colleagues good infrastructure,Long working hours salary not as per expectation
106,Motilal Oswal Securities,Avrage growth,2021-03-01,4.0,Anonymous Employee,Company is good if you achieved target Month on Month Basis,Too Much Pressure And work load
107,Motilal Oswal Securities,I am currently working in Motilal's franchise,2021-02-28,5.0,Equity Trader,For a good career for my future,I am interested in this broker
108,Motilal Oswal Securities,Na,2021-02-28,5.0,Anonymous Employee,Good company and good environment to work with motilal,Nothing I cannot answer but it's a good company
109,Motilal Oswal Securities,Private Wealth Management,2021-02-28,5.0,Senior Partner,"1. enterpenural, 2. leadership, 3. learning, 4. development, 5. training","dogmatic, HR, promoter driver, not far sighted"
110,Motilal Oswal Securities,Good organisation for learning,2021-02-28,4.0,Assistant Manager,Good organisation for learning new things,No HR policy hear no job security
111,Motilal Oswal Securities,Bad,2021-02-25,1.0,Relationship Manager,not having any pros of this company,"worst management, no time management, nothing is good in this company"
112,Motilal Oswal Securities,Good,2021-02-24,3.0,Anonymous Employee,"Good very good
Environment good 
Incentives policy good","Not bad late working hours 
Late sitting"
113,Motilal Oswal Securities,Too much politics,2021-02-21,3.0,Assistant Manager,"Yearly bonus, good infrastructure(only head office).","Biased upper management, non technical managers, bogus HR policies"
114,Motilal Oswal Securities,job review,2021-02-18,5.0,Investor Relations Executive,best working environment across industry,long working hours and hectic wfh schedule
115,Motilal Oswal Securities,Working with Motilal Oswal,2021-02-17,3.0,Taxation,Full of Opportunities to learn a lot. Good people. If proved worthy they pay good salary. It builds never say die attitude.,Pay Less Compared to Industry. Need to change more to become a Global like Corporate House. Need to come out of typical Sethji style of working.
116,Motilal Oswal Securities,Fresher,2021-02-17,3.0,Sales Associate,Can learn about the stock market,"Too much Pressure maybe, idk"
117,Motilal Oswal Securities,Good for equity professional,2021-02-16,3.0,Area Manager,Known name in equity market,Low salary and high pressure and attrition
118,Motilal Oswal Securities,Equity Advisor,2021-02-15,3.0,Equity Advisor,Equity Advisor Equity Advisor Equity Advisor,Team Leader Team Leader Team Leader
119,Motilal Oswal Securities,Good company for freshers,2021-02-11,3.0,Equity Advisor,"Timings, good learning experience, nice collogues","Poor HR management ,Target pressure"
120,Motilal Oswal Securities,HR,2021-02-09,5.0,Human Resources,"Brilliant Work culture
Amazing environment to learn and grow
Employee Engagement is the best here",Only if they pay better i would retire here!
121,Motilal Oswal Securities,Good,2021-02-09,4.0,Equity Advisor,Good Place to work! Good staff,Nothing bad to say to be honest!
122,Motilal Oswal Securities,Nice,2021-02-07,4.0,Anonymous Employee,"good place to work, supportive management",No cons amazing place to work
123,Motilal Oswal Securities,nice experience,2021-02-04,4.0,Anonymous Employee,I have a nice experience,work life balance is nice
124,Motilal Oswal Securities,OAO TEAM,2021-02-03,3.0,Financial Advisor,"Good incentive structure, good career opportunities","No work life balance, too much pressure"
125,Motilal Oswal Securities,Best company,2021-02-02,5.0,Territory Manager,Has Well organised management structure,"None as of now,don’t know about future"
126,Motilal Oswal Securities,bnbbv,2021-01-22,2.0,Investment Professional,"entrepreneurial work, flat team structure","Salary well below industry standards, bad culture, not meritocratic, poor image in industry"
127,Motilal Oswal Securities,Its a full service broking firm.,2021-01-22,4.0,Relationship Manager,"Good environment, Incentive structure was good","Charge high brokerage as compare to other broking firm, client not looking for much for small trading"
128,Motilal Oswal Securities,Good for freshers,2021-01-19,3.0,Equity Research Analyst,Decent Pay & Exposure to profile,Lack of growth opportunity & learning
129,Motilal Oswal Securities,ROTN,2021-01-19,4.0,Territory Sales Manager (TSM),Mothilal is good firm.they are given good business skills and training.,All are covered given space of time our employees become good growth
130,Motilal Oswal Securities,best place to work,2021-01-19,3.0,Android Developer,the team is supporting and keep the team motivated,the bouns is not fixed its kind of good also and bad
131,Motilal Oswal Securities,No work life balance,2021-01-19,2.0,Business Development Executive,"Money is very good, you just have to forget about your personal life reach office in the morning and go hone just to sleep","seniors are incapable.
No work life balance."
132,Motilal Oswal Securities,manager,2021-01-16,2.0,Manager,opportunity to work for india's largest domestic brokerage firm,bad culture. lot of micro managment
133,Motilal Oswal Securities,Poor HR policy,2021-01-14,1.0,Equity Advisor,Nothing pros were there except events,"Poor HR policy, 
TL behavior is not good"
134,Motilal Oswal Securities,Work culture,2021-01-14,3.0,Equity Dealer,Good team and challenging work,Work pressure and difficult to works as a fresher
135,Motilal Oswal Securities,Expery,2021-01-09,3.0,Manager,Good work life balance compared to peers,Not proffessional and not an mnc work life balance.
136,Motilal Oswal Securities,Stock analyst,2021-01-08,3.0,Indian Stock Market BSE/NSE,Good research Methods and great experience,No negative points for this
137,Motilal Oswal Securities,nice place to work,2021-01-06,5.0,Software Developer,"salary on time.
job security.
nice place to work.",nooooo cons i found till now
138,Motilal Oswal Securities,Workload is high and appreciation is very low.,2020-12-31,2.0,Project Manager,"Good market value, large clientel.",Professionalism is missing and no worklife balance
139,Motilal Oswal Securities,lovely place to work,2020-12-23,5.0,Vice President,very happy working for this brand,nothing as of now. I am very proud of the founders
140,Motilal Oswal Securities,Pathetic Work Environment,2020-12-21,2.0,Senior Executive,WEEKDAYS WERE FIVE ONLY. GOOD BALANCING,No guidance from the seniors
141,Motilal Oswal Securities,Good place to learn,2020-12-17,4.0,Assistant Manager,"You will get good rewards, work recognition","Long working hours, work life balance becomes a difficult task"
142,Motilal Oswal Securities,Review,2020-12-16,2.0,Senior Vice President,"Research Capabilities, Deep Insights of Business, Vast Experience in Investing World","Lack Professionalism, Need to institutionalize"
143,Motilal Oswal Securities,GOOD COMPANY TO LEARN,2020-12-15,4.0,Software Engineer,Good for fresher in this company,Growth is ok in this company
144,Motilal Oswal Securities,Do the data collection,2020-12-14,4.0,Associate Analyst II,"Goof culture and positive people , goof leave structure","Salary is bit low, promotion is hard to get"
145,Motilal Oswal Securities,Best company,2020-12-14,4.0,Financial Analyst,"Good working environment
Good management 
Proper incentives provided 
Working environment at best","High pressure 
Dont perform so you are forced to leave 
They cheat clients 
Knowledge provided is very low to freshers"
146,Motilal Oswal Securities,Great Place To Work,2020-12-10,4.0,Web Designer,Helpful colleagues and friendly environment,Management is a bit strict
147,Motilal Oswal Securities,Depends on your performance,2020-12-08,2.0,Equity Advisor,Give opportunity to learning and in time salary payment,Not well structured in terms of responsibility
148,Motilal Oswal Securities,Great Place to Work,2020-12-08,4.0,Equity Advisor,"Good work environment
Supportive colleagues
One can gain utmost knowledge","Too much work pressure
No work Life balance"
149,Motilal Oswal Securities,"Seniors dominate and disrespect you alot, no work life balance ,",2020-12-07,2.0,Business Development Executive,"1 good incentives .
2 helpful colleagues","1 Late sitting 
2 managers disrespecting"
150,Motilal Oswal Securities,Good place to work,2020-12-06,4.0,Online Sales Executive,"Good place to work
work/life balance",compensation and benefit part not so great
151,Motilal Oswal Securities,Great Colleagues,2020-12-06,3.0,Assistant Manager,"Great working environment, helping colleagues.","unrealistic targets, higher management is not helpful and understanding."
152,Motilal Oswal Securities,Nice Place to work,2020-12-04,4.0,Executive,"Career opportunities are more, Supportive higher Management","Work pressure, life balance is poor"
153,Motilal Oswal Securities,Fresher graduate,2020-12-02,3.0,Customer Service Advisor,"Great Place to learn 
Good work ethic 
Good knowledge of financial markets",High work pressure and cut throat deadlines
154,Motilal Oswal Securities,Great Culture,2020-11-30,4.0,Regional Human Resources Specialist,"Environment and culture is too good , Open Door policy","Connectivity Issue , no good restaurant near by"
155,Motilal Oswal Securities,good,2020-11-28,3.0,Research Analyst,good oppurtunity to work AT,bad management not much learning
156,Motilal Oswal Securities,Very bad company,2020-11-27,1.0,Assistant Manager,No pros of working here,"Everything. Toxic work culture, bad managers"
157,Motilal Oswal Securities,Not good,2020-11-23,2.0,AREA SALES MANAGER,Good organization and provide knowledge,Bad management no discussion on career
158,Motilal Oswal Securities,it's ok,2020-11-23,3.0,Area Manager,nice place for learning new thing,not good for long term
159,Motilal Oswal Securities,For Freshers,2020-11-19,3.0,Relationship Manager,Good for learning under pressure,Same and equal targets as seniors
160,Motilal Oswal Securities,Not a good place,2020-11-07,2.0,The Worst Place to Work,"Working conditions 
Knowledgeable experience 
Canteen 
Test series 
Updated about stock market","Biased team leaders 
Less salary 
Work pressure 
Angry team leaders"
161,Motilal Oswal Securities,Review on motilal oswal,2020-11-06,4.0,Sales Associate,It was good experience in working,Name of motilal is considered as they ll not manage it well
