,company,headline,date,overall_rating,author_position,pros,cons
0,Nationwide Building Society,Large company but high hierarchy,2022-04-08,4.0,Finance Analyst,"- Flexible working, suitable for people with family and kids. The organisation has allowed employees to work from home permanently 
- Member focused so not much pressure like normal PLC banks
- Generous pension","- Difficult to be promoted. You have to interview for a senior position of the same job which you have worked few years on
- Slow to change. Small change requires permission from multiple level"
1,Nationwide Building Society,"Great Benefits, Great Flexibility",2022-04-08,5.0,Senior Operations Manager,"Great Manager
Great Flexibility
Great Personal Development","Limited Pay Ranges
Limited Bonus
Performance review inconsistent"
2,Nationwide Building Society,people company,2022-04-07,5.0,Mortgage Advisor,Gave me a chance with no banking background,The vetting too super long
3,Nationwide Building Society,Good company,2022-04-07,5.0,Marketing Executive,"Good bonuses, great working environment and flexibility",Not easy to get pay rises
4,Nationwide Building Society,",",2022-04-07,5.0,Learning & Development Manager,"ethical, considerate, fair, great place to work","red tape, can be slow paced"
5,Nationwide Building Society,Great place to work,2022-04-04,3.0,Team Member,"Salary 
Incentives 
Good environment 

Good staff","Management 
High expectations 
Lack of development"
6,Nationwide Building Society,Great company,2022-04-04,4.0,Senior Software Engineer,"Mutual that cares about its members. Not a bank
Invests in people and wellbeing","Slow to make change
Management not technical"
7,Nationwide Building Society,Great start to a professional career,2022-04-04,4.0,Climate Change Analyst,"- Very inclusive & nurturing environment that prioritises development
- Internal vacancies are often advertised and a breadth of experience & roles is encouraged
- excellent pay, plus yearly salary increases & profit-share bonuses
- flexible hours & remote working","- Slower to achieve deliverables compared to larger FIs
- low ambition
- hierarchical"
8,Nationwide Building Society,Oppressive,2022-04-03,1.0,Anonymous Employee,"Nice offices hq
Good canteen
Gym onsite
Nice staff","Culture of exploitation
Constant monitoring
Reluctant support from line manager"
9,Nationwide Building Society,Not a bad company overall,2022-03-31,4.0,Internal Audit,"Very flexible and accommodating, very friendly",Senior management politics and uncertainties
10,Nationwide Building Society,Great place to work,2022-03-31,4.0,Nationwide Building Society,"Good benefits
Management was always open and honest
Amazing pension scheme
Days off for charity","Lack of career opportunities
Lack of internal training to develop"
11,Nationwide Building Society,OK,2022-03-30,3.0,Internal Communications Specialist,Good for flexiworking etc - everyone very warm and friendly,Management very disorganised and prone to favouritism
12,Nationwide Building Society,"Flexible, supportive, enjoyable",2022-03-30,5.0,Policy & Advice Consultant,"- Flexible working patterns
- Wellbeing is a key focus
- Everyone is very supportive",- Direction of travel can sometimes be unclear.
13,Nationwide Building Society,Member & Employee focussed,2022-03-29,5.0,"Senior Manager, Business Continuity","Good company to work for, good HR practices (on the whole), reasonable payers, Hybrid working",Experience varies dependent on manager
14,Nationwide Building Society,Good to start career with,2022-03-26,4.0,Product Owner,"Kind culture
Supportive team structure 
Good early careers development opportunities",Progression slows at middle management layer
15,Nationwide Building Society,No,2022-03-26,4.0,Senior Assistant Accountant,Great company and very flexible,No negative to give really
16,Nationwide Building Society,Too focused on process,2022-03-23,4.0,Senior Engineer,"Great work life balance.
Great hours","Ineffective management. Lack ability to make decisions.
No private medical."
17,Nationwide Building Society,"Good Culture , Poor Pay",2022-03-22,3.0,Risk Analyst,Great Culture and great flexibility,Pay is VERY Low compared to peers and pay review is almost non-existent and not based on performance
18,Nationwide Building Society,Good place to work,2022-03-22,4.0,Senior Risk Manager,"Great office
Community focus
Social engagement
Doing the right thing","Sometimes ""too sweet"" and less about the business (bottom line)
Lots of great people but like in all places a good portion is only thinking about their careers and not the team (or company)"
19,Nationwide Building Society,Loved it,2022-03-21,4.0,Compliance Manager,"good company, good culture, good people","slow paced, slow to introduce change and legacy systems"
20,Nationwide Building Society,OK employer,2022-03-21,3.0,Financial Adviser,They offer a salary and pension,"I don't feel there are any cons, really"
21,Nationwide Building Society,Tied Financial Adviser,2022-03-18,2.0,Financial Advisor,A great place to work,competing wioth the banks and the customers seem to come last
22,Nationwide Building Society,Great company,2022-03-16,5.0,Architect,On the whole great culture and purpose. Very pro-employee.,Legacy thinking and processes can be difficult to navigate
23,Nationwide Building Society,Mortgage Admin,2022-03-15,3.0,Mortgage Administrator,"Good working environment, great atmosphere","Pay rate not good, worked load higher but salary is not that much"
24,Nationwide Building Society,Left-wing ideologically possessed propaganda machine,2022-03-14,1.0,Senior Software Engineer,"- You hardly have to actually do any work (a pro for some, a con for me)
- Nice generous pension
- Only contract a 35 hour week","- Tech stack in the department I was working in was archaic
- They introduced the appalling policy of hiring based on racial preferences rather than competence, complete with panels of people chosen by the colour of their skin to have a final input around the suitability of candidates for the position they were applying for.
- Honesty, if in any way critical of left-wing ideas, is utterly unwelcome - e.g., voicing that the above policy to hire based on race is terrible, was a sufficient crime to swiftly land me in an HR review (which was ultimately dismissed, as I didn't actually do anything except think for myself and try to act with integrity)."
25,Nationwide Building Society,Good,2022-03-14,4.0,Banking Customer Service Officer,Good schemes to progress in the company,Push you hard to hit KPI’s
26,Nationwide Building Society,Great company,2022-03-14,4.0,Valuation Administrator,"Bonus, relaxed work environment, friendly","Not much progression, limited pay"
27,Nationwide Building Society,Boys club,2022-03-13,4.0,Financial Crime Analyst,"Great pension
People are lovely 
Interesting work","Unless you're a white male forget promotions. As a woman who has worked there 12 years I've watched every man be promoted above me. Including one who had been on the team 3 months.

More and more is expected of us but the wages never go up."
28,Nationwide Building Society,People focussed,2022-03-12,5.0,Engineering Manager,Allow you to work around the hours that are convenient for you. They don’t micro manage you.,Salaries not high enough at this level.
29,Nationwide Building Society,Great company to work for,2022-03-11,5.0,Building Society Manager,"Great benefits (pension is good), well looked after by senior leadership.","Genuinely a great company, can’t think of any cons."
30,Nationwide Building Society,Good Company,2022-03-11,5.0,Member Representative,Enjoy working for them and fun team,management seems stressed alot but no personal cons
31,Nationwide Building Society,Good,2022-03-10,4.0,Mortgage Broker,"Good place to work , good support , got better over time","Not much progression but this was pre covid , may change with new hybrid working"
32,Nationwide Building Society,Lots of challenging calls,2022-03-10,3.0,Contact Centre Consultant,"Job security, pension, buy hoildays","Poor salary in comparison to other banks, slow development, little support or training for difficult/challenging calls"
33,Nationwide Building Society,No,2022-03-10,5.0,Marketing,I don’t really know what to say,just a few things that are cons
34,Nationwide Building Society,A great place to work unless you're in the branch.,2022-03-10,4.0,Member Representative,Nationwide cares a lot about it's members and their ethos and ethics are great.,Branches are overworked and understaffed.
35,Nationwide Building Society,Good,2022-03-10,5.0,Analyst,"Good Culture, benefits, opportunities and great people",Nothing to add here. All good
36,Nationwide Building Society,All right,2022-03-09,3.0,Anonymous Employee,"Good teamwork
Fine customer service
Friendly customers
Good corporative culture","Rubbish app and internet bank
Outdated till 
Low wage"
37,Nationwide Building Society,Playing catch up,2022-03-04,3.0,Member Representative,"Relaxed work environment, goodish benefits, decent uniform, very much customer focused.","The system they have is very much behind the times, from experience other banks allow you to complete even the simplest tasks in much more efficient manner, their compliance procedures need updating, they allow their older customers to hold them back business wise which causes issues in appealing to younger potential customers, and whilst relaxed the branch network is a very cliquey environment which doesn't come off as very professional or friendly to an outsider."
38,Nationwide Building Society,Good,2022-03-04,5.0,Risk Analyst,Good ethics at the place,Too political at the place
39,Nationwide Building Society,Financial Crime Analyst,2022-03-04,4.0,Financial Crime Analyst,"Excellent experience gained within AML
Great company to work for",Salary is low for the responsibilities
40,Nationwide Building Society,Great company to work for,2022-03-03,5.0,Audit Manager,Great pension and culture with a lot of friendly and welcoming people,"Slow organisation, usually where people work for life or come to retire"
41,Nationwide Building Society,Nationwide,2022-03-02,4.0,Contact Center Representative,"Great company, good benefits and great opportunities to develop","Management aren’t the best, very clicky"
42,Nationwide Building Society,"Scottish Retail PMB, now working from home in a new project.",2022-03-02,3.0,Personal Banker,"The branches are nice and have nice people working in them, supportive branch manager and new team leader in project work is really good.  Good pension and good benefits.","Pay should be better for PBMs and especially for MRs.  The salaries paid to Member Relationship Directors is outrageous, I would be surprised if our loyal members would agree to these salaries.  Working from home,  doing what exactly? The couple of branch visits a year the MRD is usually late so misses the morning meeting and leaves early!!  Majority of the time not even “hello or “goodbye “ I had an MR who’s been with Nationwide one year ask me who she was!!  Its outrageous and I really hope the new CEO looks at the structure and pay. The retail side of Nationwide is too too heavy with managers, even new MR’s asking what do they do!"
43,Nationwide Building Society,What's not to love,2022-03-01,4.0,Member Service Representative,"Everything, there is a very positive and friendly atmosphere",Nothing really comes to mind.
44,Nationwide Building Society,Trying to do too much,2022-03-01,3.0,Head of Architecture,great brand and great benefits,strategy doesn't cover what we're *not* going to do - so we never STOP anything
45,Nationwide Building Society,Review,2022-03-01,3.0,Credit Risk Analyst,"Great colleagues, lots of exciting work and great pension scheme.","Career progression is slow, lacks opportunities."
46,Nationwide Building Society,great organisation to work for,2022-02-28,5.0,Inclusion & Diversity Manager,"Competitive salary, great benefits. A very flexible on how and where you work. A mutual organisation.",No down sides for working for Nationwide
47,Nationwide Building Society,Great company,2022-02-25,5.0,Business Analyst,Work life balance is great,Salary is poor compared to similar industry
48,Nationwide Building Society,Good company,2022-02-22,4.0,Audit Manager,Good company to work for.,Can be quite bureaucratic at times
49,Nationwide Building Society,NW,2022-02-22,3.0,Service Consultant,Get a bonus and managers are nicep,You work different shifts every week
50,Nationwide Building Society,Very Comfortable,2022-02-22,4.0,Technical Product Owner,"The business is a Mutuality - which means the whole mentality around operating is focused on the members, including the employees. 

The is the exact antithesis of most corporations with a purer capitalist mentality. The base salaries are market rate for non-technical roles, nothing to get overly excited about but not bad, but other benefits such as 30 days holiday, 8x life assurance as standard and 16% employer pension contribution when you put in 7% makes for a very comfortable employment. 

The profit sharing process is unlike anything I have experienced before where everyone either gets ""the bonus"" of everyone doesn't. It is in no way linked to individual performance, but there is also no incentive to perform better to increase said bonus.

Nationwide also have a work from anywhere policy, so no pressure to commute to an office if you don't want to.

I'm sure everyone in permanent roles feels incredibly secure as no one ever seems to get made redundant, maybe even when they really should be... 

It would be incredibly comfy to just sit in this role until 60 then retire on the phat pension.

Complete flexibility and no micromanagement over stepping out, hours worked etc. Completely operating on trust (based on your line manager I suppose).","The organisation is very slow, old fashioned, lacks agility, a lot of ""dinosaurs"" in the decision making roles and it's very hard for younger innovators to get up into those roles. Sadly it seems we will have to wait for retirements to arrive... Lots of bureaucratic hoops to jump through and unnecessary approvals that other FS companies did away with years ago. A lot of focus on ""delivery"" and projects which inhibits organisational transformation - no one who is empowered to do so, seems keen to make the tough calls on opimtising the organisation and how it operates."
51,Nationwide Building Society,Great place to work,2022-02-22,4.0,Consultant,Great benefits and friendly place to work,There is a lot of change and regular restructures
52,Nationwide Building Society,Nationwide,2022-02-18,5.0,Manager,Good culture and focused on members,Hard to make changes some old shcool senior manager who have been there too long
53,Nationwide Building Society,Great Company to Work For,2022-02-17,5.0,Test Lead,"Excellent work culture
Good benefits
Flexible working",recruitment process was a very lengthy one
54,Nationwide Building Society,Overworked and underpaid,2022-02-17,2.0,Mortgage Advisor,Flexible working hours. Sharing in success bonus.,Stressful job. They claim to focus on mental health but then cram as much as possible into diaries. Poor management structure that don't understand the real issues.
55,Nationwide Building Society,Good company to work for,2022-02-17,4.0,Reviewer,"get trusted to do your job, lots of jobs available if you want to progress",pay probably not in line with other companies
56,Nationwide Building Society,Good until management change,2022-02-17,4.0,Ui\Ux Designer,Loved working from home and getting on with what was needed.,"Very immature in the UX design field. Those who progress play the corporate game and produce very little 

The killer was a new manager coming in like a bull in a China shop and choose to change my role in their first two weeks."
57,Nationwide Building Society,Amazing company to work for,2022-02-16,5.0,Complaints Manager,They have a great culture and look after their people.,"Salaries could be higher, not overly competitive"
58,Nationwide Building Society,Great place to work,2022-02-15,5.0,Mortgage Advisor,great staff to work with,restrictive diary no freedom to work as u like
59,Nationwide Building Society,Run,2022-02-15,1.0,Senior Complaint Handler,A company that has forgotten to look after the people that do the job,Customer service is clicky amongst management
60,Nationwide Building Society,Good,2022-02-14,4.0,Customer Service Representative,"Good union, good opportunities. Nice building and facilities.",Very crowded office before covid.
61,Nationwide Building Society,Good can better,2022-02-12,3.0,Sales Representative,Good place to work for,Can be frustration at times
62,Nationwide Building Society,Great company but in period of uncertainty,2022-02-12,4.0,BI Manager,"Cares about employees
Excellent pension
Established organisation","New CEO causing uncertainty
Tend not to pay market anchor"
63,Nationwide Building Society,Brilliant,2022-02-09,5.0,Relationship Manager,"Great culture 
Good people 
Great brand","Limited opportunities outside regional offices 
Should be punch at its weight but often doesnt 
Vanilla finance"
64,Nationwide Building Society,5 star,2022-02-08,5.0,Senior Analyst,"WFH, culture, colleagues, great company to work for","Salary, not ready to get promoted. Not many cons"
65,Nationwide Building Society,Great place to work,2022-02-08,5.0,Anonymous Employee,"Great pension benefit 
Really looked after 
Good working environment",Pay is not the best
66,Nationwide Building Society,Good company,2022-02-08,5.0,Personal Banking Manager,"Good pay, progression and looks after staff",No cons working for this company
67,Nationwide Building Society,Good environment,2022-02-08,5.0,Delivery Value Manager,"Takes care of all employees 
Focusing on well-being",Lots of time spent on decision making
68,Nationwide Building Society,Structure and Security,2022-02-07,5.0,Member Representative,"Great training programme and breakdown
Good employee perks and attitudes towards wellbeing
Amazing support from colleagues and management
Constant help and encouragement","Nothing that any customer service role doesn't come with. So far, no faults.
Not any/much progression in branch levels."
69,Nationwide Building Society,Great company,2022-02-07,5.0,Community Manager,Fantastic to work to amazing,None at all to date
70,Nationwide Building Society,Good place to work relaxed,2022-02-07,3.0,Business Analyst,"Flexible hours and remote, friendly staff","Low pay, less oppurtunities, unbalanced some roles very hard some easy"
71,Nationwide Building Society,Administrator,2022-02-02,3.0,Administrative Assistant,They take care of their staff,"- Low salary
- Low pay rise"
72,Nationwide Building Society,Great company to work for,2022-02-02,5.0,Senior Ops Manager,genuinely believes in doing the right thing,pace of change can at times be overwhelming
73,Nationwide Building Society,Overall OK,2022-02-01,3.0,Bank Teller,Enjoy delivering great service. Good training,Stressful and short staffed. Pay low for the work expected
74,Nationwide Building Society,Very friendly place to work.,2022-02-01,3.0,Architect,Very friendly place to work.,It is a financial instution representing a good buidling society and the mortgages sector.
75,Nationwide Building Society,Pretty Good,2022-02-01,4.0,Anonymous Employee,"Looks after staff, good working feel for a large organisation",slow to adopt new approaches to work
