,company,headline,date,overall_rating,author_position,pros,cons
0,Natwest,Great company,2022-04-09,5.0,Anonymous Employee,"Good working environment, Great team, great for career development","Long job hours, Travelling between locations"
1,Natwest,Amazing,2022-04-09,5.0,Operation Analyst,"Friendly employees, good work life balance",Office was but far from my place
2,Natwest,Average Company,2022-04-08,3.0,Anonymous Employee,"Work life balance, leave policy","Less than market zalary, no bonus, no growth"
3,Natwest,5 star,2022-04-07,5.0,Personal Banker,"9-5, Monday-Friday. Weekends off so can’t complain.",No cons to speak of
4,Natwest,A dead end role that expects far more than it deserves,2022-04-06,2.0,Personal Banker,"I liked the people I worked with and I think most people could say that about their branch. You all face the same challenges and have your ups and downs together. 

Whilst I worked at the bank, I really needed a routine and this role fits that well. Open and close at set times and set days; undertake any extra tasks you might have and see the same customers. You will get to know your regulars and this is either a nice thing or a pain, but your co-workers will help laugh it off.

This is subject to branch but my managers would back me to the hilt if I needed it. They would stick up for me infront of customers and internally and you're not expected to be treated badly by customers. You're allowed to stick up for yourself and not bend over for rude and unpleasant customers like you are expected to in a lot of other customer service roles.","Despite what you will be told, this is a sales role. Your performance and your yearly pay review is assessed against how many products you sell via digital channels. It doesn't matter what extra responsibilities you may undertake, the bank only cares about the sales you are making, everything else is secondary. The most insulting part of this role is that no matter how much you go above and beyond for a customer, you will only be recognised if it results in sales figures.

Poor pay structure and no bonuses. Frontline staff dealing with challenging customers and delivering fantastic customer service will never receive financial recognition because it doesn't look good. Some kind of financial bonus is the least staff deserve. To top this off you will hear non-stop about how many other great services you have access to as a member of staff. These are trivial and come as standard among any company with more than 500 employees nowadays. They are not substitute un leu of better pay.

No access to any kind of favourable products. No preferential mortgage rates, loan rates, cheaper insurances and no discounts on packaged accounts. The bank recently eliminated the last remaining discounts for staff so that they can ""experience our products just how our customers do""... really?

Poor pension. You will have a retirement savings pot set up for you by the bank and that is it. The bank pay nothing into it, it's only you. You can elect to pay in an amount from your wage and it'll be tax free, but the insulting wage you will be starting on, it doesn't offer you anything.

No progression. There is very little room to progress in branch banking at Natwest. If you enjoy the sales aspect, you could become a Senior Personal Banker who see customers in appointments and help with their wider finances. A more fulfilling role but once again despite what you will be told it is sales driven and focused. From their you could become a bank manager. However you have to fit in with the clique and is currently oversubscribed. Plus the typical role of a bank manager is dead. What once were traditional duties are handed down to the personal bankers and they only serve as sales team leaders to the senior personal bankers. If you really want a career in the bank, look at head office jobs which nearly all start on better pay.

Natwest is rebranding to a ""digital-first"" bank. You will bear the brunt of the fallout it causes amongst the people who need access to branch banking services most and it really takes its toll. To top this off, redundancy calls will come up every year and depending on the size of the branch you work at, there is little job security in branch banking."
5,Natwest,R&D,2022-04-06,5.0,Scientist,"Amazing environment to work
Cooperative colleagues
Decent cafeteria",I don't have any cons to mention
6,Natwest,Ok,2022-04-06,3.0,Complaints Handler,Some departments are great others no so much,Constant change and no care for staff
7,Natwest,good,2022-04-04,4.0,Business Analyst,"workload is quite acceptable, creative and helpful","heavy pressure, cannot reach to next level"
8,Natwest,Tough Micromanagement.,2022-04-03,3.0,Fraud Prevention Officer,"It's a bank, and it looks nice on your cv.

Once you get the hang of working like a robot, its not that hard.","It's tough, they make you work pretty hard. Targets are never achievable. Never, really never. staff leave the moment they can. 

If you are multi skilled, it means that they give you extra work. 
So don't multi skill yourself, so you only have 1 departments workload to carry."
9,Natwest,Poor communication from staff at higher levels,2022-04-02,3.0,Customer Service Manager,"Great in house benefits like death in service pay, critical illness covef",Poor work life balance . You will work a forty-five hour week and still only get paid for thirty-five.
10,Natwest,Natwest,2022-03-31,5.0,AML Specialist,Salary was really really good,Non cons at all my friend
11,Natwest,Unable to retain decent staff,2022-03-30,3.0,Operations Analyst,"Flexible working, adaptive to individual circumstances","Lack of real progression opportunities for talented staff, lack of bonuses for high performance, value created by lower tiers of staff gets ignored / taken for granted by executives, no incentive for staff to stay."
