,company,headline,date,overall_rating,author_position,pros,cons
0,,Good company,2022-04-14,5.0,Administrative Assistant,"positive included sustainable, positive, and secure",nothing to mention for cons
1,,Management sucks,2022-04-12,1.0,Lot Attendant,Most of the people you work with are great,"Management sucks
Don't want to hire more people so bigger workload for you
Don't like it when you take days off"
2,,Nissan,2022-04-08,3.0,Anonymous Employee,generally good access to senior management,"can take time for change to happen
old laptops"
3,,Sigh,2022-04-07,3.0,Customer Service Representative,"Good pay
Control / autonomy
That's about it","Management and employees being shifted frequently
Uncomfortable / awkward working environment
Lack of oversight & direction
Unprofessional and innapropriate behaviours
High turnover
Felt like I was back in high shool which was rather disconcerting as I was one of the youngest employees there"
4,,Typical auto manufacturing company,2022-04-07,3.0,General Manager,"Cross functional, cross cultural, diverse","Chaotic, bureaucratic, IT systems laggard"
5,,HR management dosent encourage diversity and enforce discrimination,2022-04-04,1.0,Human Resources Responsible,absolutely nothing positive to mention,"Dull environment - corrupted HR management in Egypt team
HR management in Egypt doesn't encourage diversity and enforce discrimination"
6,,overworked,2022-04-04,2.0,Anonymous Employee,"none, management is considered different than the rest",all about the profit didnt care about employees
7,,"Lots of opportunities, poor culture",2022-04-01,3.0,General Manager,"Global company, lots of opportunities if you want to move","Worked for this company in several countries, and HR is absolutely rubbish regardless of location. The theme seems to be you’d be lucky to work for them, not the other way around, and never had someone from HR with the slightest idea about the business or the positions I’ve been in. Tend to promote problematic leaders rather than deal with them. Culture is very tokenistic"
8,,Good,2022-03-31,2.0,Quality Assurance Technician,"Good, benefits were good.It was excellent",It isnt a bad company to work for.long hours though
9,,Limited growth,2022-03-29,2.0,Collection Officer,"Company lease car 
New office building","Limited room to grow, very high turnover"
10,,Okay job,2022-03-29,3.0,Anonymous Employee,They pay you decently on nights,The benefits they have are not the greatest
11,,Bogus,2022-03-28,2.0,Collections,The company is bogus and not reliable,Company does not care about your personal life
12,,Not too shabby,2022-03-28,3.0,Project Manager,Good pay and benefits for work life balance,Old plant tends to be dirty
13,,Come and set your career back a decade,2022-03-28,1.0,Service Delivery Manager,"Cheap company provided car
Good holiday allowance
Boss is nice","You get treated like a slave. All work flows to you to protect their precious contract with their 3rd party service provider DXC. Who they don't hold to account. 

Expected to juggle 300 things and then they wonder why nothing is delivered well. 

Seem to get rid of staff mid project and then expect new staff with no experience of the project to pick it up 

Expected to perform 1st line end user support no matter what level you thought your career had got too."
14,,--,2022-03-28,5.0,Team Leader Technical Support,"Stability, possibility of development, reliability",There are no cons of the company
15,,Great,2022-03-28,5.0,Logistics,Have a chance to improve morethan 100 suppliers,some decision still treadition style
16,,Excellent opportunity,2022-03-28,5.0,Assistant Manager,Learning many things in organization,"Time bound 
Career growth
Politics
Work pressure"
17,,Good company to work for,2022-03-26,5.0,Administrative Officer,Friendly staff and decent pay,A long walk from the car park to the offices
18,,Give me a chance,2022-03-24,5.0,Anonymous Employee,Job security  and more freedom,Modern methods of technology  give challenges
19,,Good company,2022-03-23,5.0,Restraints Engineer,"Good lower level management , good training for young engineers",Higher leadership is to reactive to market. Salary and benefits lacking compared to other oems
20,,Great,2022-03-23,5.0,Lead Virtual Reality Software Architect,We made cool stuff and it was cool.,Project had a limited budget
21,,BDC at Nissan,2022-03-23,3.0,BDC Representative,"Could make easy money doing internet sales..
Meet cool co workers.","Fierce competition, others look out for themselves and could steal sales."
22,,horrible!,2022-03-22,1.0,Customer Support Representative,no advantage working for this company,"bad salary
toxic work environment
bad food"
23,,Nissan Manufacturing RUS,2022-03-21,5.0,Quality Assurance,"Continiously developing, employee friendly company",Political situation in Russia will lead to problems with business
24,,Good atmosphere,2022-03-20,5.0,Anonymous Employee,"Good conditions
Opportunities within the company",Sometimes slow change due to bureocracy
25,,Nissan,2022-03-20,5.0,QA Senior Engineer,"Strong team, good production culture","Model line up, low investment in plant because of unstable situation in RU"
26,,Was a good place to work at start,2022-03-18,3.0,Assistant Manager,"Nice people, Good work, Worked at Headquarters",You have to show off your work to be noticed
27,,Company was an amazing working experience,2022-03-16,4.0,Technician,"Great pay, Benefits, and they’ll pay for different certifications",Environment isn’t all that great
28,,L,2022-03-16,2.0,Manufacturing,Not very good at all,"Wouldn’t recommend working here, slave labour"
29,,Good,2022-03-14,5.0,Mechanical Engineer,"Co-workers, Equipment, Free lunch (sometimes), management,",They're good I got. nothing
30,,Nissan Placement,2022-03-14,3.0,Facilities Engineer,"Good on site training
Good pay
Job security","Poor work life balance
Forced overtime
Poor management"
31,,Automobile technician,2022-03-14,5.0,Engine Technician,"Nissan technology is best
Gulf one of best leadership company
Nissan V8 engine performance",Nissan pathfinder R52 cvt campaign
32,,Salary,2022-03-13,4.0,Automotive Technician,Very good career development and rising post fast,Long time of working hours
33,,Great company,2022-03-11,4.0,Manager,"Strong business mindset
Attractive vehicles line-up","Employee training is poor
Career paths are not clear and highly dependent on political"
34,,They don’t care,2022-03-09,5.0,Customer Representative,The ambiance is good but not great.,They don’t care about employees
35,,Great company to work for,2022-03-09,5.0,Deputy General Manager,"Great culture of teamwork and mutual respect. 
Very laid-back work environment. 
Fantastic leadership at senior management levels.
Relatively international environment.","Large dependency on vendors. 
Low IT staffing ratios."
36,,Nissan Financial Services,2022-03-06,3.0,Customer Service Representative,Office is great. They provide you with things needed if ever you need to WFH.,Not get paid enough for the work you do.
37,,Nissan Peru is a good company to learn automotive business,2022-03-06,5.0,Product Manager,"Great place to learn from all areas
The colleagues are willing to help and to teach.",Lack of growth opportunities due to it is a small organization
38,,"Not top notch, but a middle class company.",2022-03-04,3.0,Director,"Fast speed and every department respond quickly.
A good brand. A lot opportunities if you are really good and wanted.","Bad work life balance, little delegation or empowerment. Too slow decision making."
39,,Saws,2022-03-03,3.0,Sales Associate,Okay money and good environment,Lots of hours and boss would not listen to his employees
40,,Job experience,2022-03-03,1.0,Funding Analyst,"No pros
Only some benefits are good","High work pressure
High workload
They do not approve vacation when you would like to take it"
41,,Nissan Review,2022-03-01,4.0,Anonymous Employee,Excellent experience with engineering. Very diverse set of challenges.,Very large company. Can feel impersonal at times.
42,,Terrible,2022-03-01,1.0,Manufacturing,Absolutely no pros at all,Everything about the place is horrendous
43,,Learning Experience,2022-02-27,4.0,Product Strategist,"International environment with fairly open atmosphere. If there is a desire to learn, there are many opportunities to learn quickly and gain a vast knowledge of different functions.",A number of heavy processes that need to be leaned up and more agile.
44,,Customer service rep,2022-02-25,3.0,Customer Service Representative,Busy! You dont get bored,"No growth 
No career discussions with employees"
45,,Nissan Manager,2022-02-25,2.0,Area Manager,Good vehicles & choice of products,High staff turnover and unhappy staff
46,,Nissan,2022-02-25,2.0,Manufacturing Staff,"Competitive salary
Opportunity for over time
Company Pension","Work and home balance
Holidays
Shift work"
47,,Great Car company,2022-02-24,5.0,Senior Manager Product Management,Great people to work with,"Salary is average, HR is not very supportive."
48,,Nice place to work,2022-02-23,5.0,Éstagiário,"Organizations, nice people, great engineers",Nothing to say agains this company
49,,Job vs Career,2022-02-23,3.0,Credit Analyst II,"Job Stability, employee car program","- Limited advancement opportunities - rotations vs upward mobility
- Rotating work shifts (evening/weekends)"
