,company,headline,date,overall_rating,author_position,pros,cons
0,Nordea Bank,Good,2022-04-07,4.0,Anonymous Employee,"Good, good pay, good colleagues","Bureaucratic, slow and quite big pay gaps"
1,Nordea Bank,"Pretty alright, but big focus on cutting",2022-04-07,4.0,Compliance Officer,"A big company, so opportunity to switch careers within. 
Culture can be quite different depending on department, and i was fortunate to be appart of good teams.","A lot of restructuring, a lot. Could get quite tiring. 
Staff cuts, even when they didn't directly affect you it affected the atmosphere that felt like the opposite of growth, just a big focus of cutting."
2,Nordea Bank,"Good environment, evolving, transforming  towards correct direction",2022-04-02,5.0,Senior Software Engineer,"Company pays attention to employee growth, able to buy online course or offline conference.

Work & life balance is really good. 99% of colleagues I had been worked with were super nice.

Benefits is fair, can have launch at company restaurants. Mortgage benefits & funds",It was hard to get salary raise.
3,Nordea Bank,IT possition,2022-04-02,4.0,IT ASSISTANT,"Decent bonuses from the employer, Great culture and values, excelent leadership, W&L ballanced",Low pay considering other IT possitions
4,Nordea Bank,-,2022-03-31,4.0,Senior Business Developer,Nordic values and good work life,Low salary even to senior employees
5,Nordea Bank,Banking,2022-03-30,4.0,Customer Service Representative,"Steady and easy job, no real competition in work enviroment",Can be boring because best talents dont work at Nordea
6,Nordea Bank,Nordea,2022-03-30,4.0,Anonymous Employee,A very good salary standard,Big organizations can be slow
7,Nordea Bank,flexibility,2022-03-29,3.0,KYC Analyst,foreigners friendly and good location,many jobs are outsourcing now
8,Nordea Bank,Very good team I have. Enjoy my work really here.,2022-03-29,3.0,Anonymous Employee,My team is very helpful and friendly and motivating.,"Salary not up to the mark of competitors.
Nordea Estonia is just outsource hubs of the Nordics with major benefits for people working in the Nordic branches. Very little benefit compared to our Nordic employees."
9,Nordea Bank,Devops Engineer,2022-03-28,5.0,Devops Engineer,"Good working env, Great colleages","Bureaucracy and silos , slow paced development"
10,Nordea Bank,Rigid and very little room for career advancement/development,2022-03-28,3.0,Student Analyst,"Stable and very predictable, so you can (if you want) lean back when you've learned your primary tasks","Stable and very predictable, it is very hard to get exposure to new projects if you get proficient within a given area."
11,Nordea Bank,good environment,2022-03-28,4.0,Internal Auditor,"remote working
flexible working hours
exposure on different areas across the bank
good brand","slow decisions
salaries
flat organisation-limited opportunities for promotions"
12,Nordea Bank,IT Operations Specialist,2022-03-26,5.0,IT Operations Specialist,Good team and management of the company,salary could be much better
13,Nordea Bank,my view,2022-03-25,5.0,Business Analyst,Not friendly environment at workspace,Good salary and venue of the place
14,Nordea Bank,Bad pay,2022-03-22,3.0,Service Operations Officer,Flexibilidad - work life balance,Bad pay - not really anything else
15,Nordea Bank,Cost focus,2022-03-20,3.0,Chief Analyst,Very friendly and inclusive workspace,A lot of cost cutting
16,Nordea Bank,Good,2022-03-18,4.0,Senior Software Engineer,"- work life balance
- friendly environment","- Heavy banking process
- system is quite complex"
17,Nordea Bank,Great Employer,2022-03-17,5.0,Account Manager,"Great team, atmosphere, competitive salary, growth opportunities, etc.",The working environment can be a bit sterile.
18,Nordea Bank,Good work life balance,2022-03-17,4.0,Audit Manager,Good leadership and employee equality,Frequent organizational changes and bureucrazy
19,Nordea Bank,Good place to work,2022-03-16,4.0,Business Analyst,"It is very flexible,
Good atmosphere, good work load and amazing benefits","Salary could be higher
Processing time is slow"
20,Nordea Bank,good for a career start,2022-03-15,3.0,Process Officer,"Possibility of transferring in the organization to more developmental teams or tasks.
Nordea has given me a chance and I am very grateful.
Great collaborators and work culture.","salary, repetition of work, terrible team leaders, no development"
21,Nordea Bank,Good enough,2022-03-15,4.0,Software Developer,"- technologies
- friendly atmosphere
- nice office",- inefficient software development and planning process
22,Nordea Bank,It is fine,2022-03-13,4.0,Senior Business Analyst,"Good atmosphere
Nice benefits
Work life balance","Higher management changes
Lots of good emploees leaving and they do not try to mąkę then stay"
23,Nordea Bank,Good environment,2022-03-11,4.0,Product Owner,Solid place for career development,Low salary compared to peers
24,Nordea Bank,Good,2022-03-10,4.0,Database Expert,Great work place and culture,Nothing as such to mention
25,Nordea Bank,Great place to work,2022-03-08,5.0,Anonymous Employee,Great management and place to work,I don’t have any con
26,Nordea Bank,Fine Place,2022-03-07,5.0,Quantitative Analyst,"Big place to work, inside job opportunities",quite Slow increase in salary
27,Nordea Bank,Nordea,2022-03-06,5.0,Customer Production Officer,"- Training process is customized to your level of understanding .
- Co-workers were amazing.",Salaries only grew according to inflation.
28,Nordea Bank,AMl specialist,2022-03-04,5.0,AML Specialist,Culture was the best reason,Maybe the challenges of the work
29,Nordea Bank,Good company,2022-03-02,5.0,Senior Regulatory Reporting Manager,Scandinavian culture review regulatory reporting,Nothing nothing nothing nothing nothing
30,Nordea Bank,Good company to start career,2022-02-22,4.0,Business Officer,"work-life balance, nice people, flat organization",low salary and repetitive tasks
31,Nordea Bank,Very unflexible in terms of technology and opportunities for competence development,2022-02-21,3.0,Expert Developer,"Stable and peaceful working environment
Scandinavian working culture","Limits in competence development
Lots of working obstacles preventing you from working efficiently
Non-flexible and contribution-driven salary policy"
32,Nordea Bank,Analyst,2022-02-21,3.0,Analyst,"-Good benefits such as lunch,morgage etc",More work to employees as the company tries to reduce costs
33,Nordea Bank,Great first experience,2022-02-20,5.0,Process Officer,"- great, not so typical corporate environment
- many ways of possible grow
- if you are working with nordic languages - salary is very competitive
- typical scandinavian way of working, there is time for fika","- not feeling like you can change anything; management does anything management thinks is okay without consulting with employers
- cooperation with scandinavian stakeholders may sometimes be a way through hell, do not believe that you will feel as equal to equal"
34,Nordea Bank,Do more with less,2022-02-19,2.0,Director,"Mediocre performance is standard, so if that's you, there is a job for life.","0 pay increases unless you try wagedrift in a critical function or change functions. Yet the CEO bonus keeps growing.....
Don't expect talent management (non existent).
Forced 3 day minimum in office shows the generic old style management (we know best from CEO). Usually (although there are exceptions) management is uninterested in your growth, but you of course need to make management shine, although they may be incompetent. Little openess to challenge despite the belief on the inside is that management embrace diversity. Seems more to be a 40% female goal quota on all management levels that is the target for diversity rather than the real benefits and broader talents, diversity in the wider aspects bring."
35,Nordea Bank,Something is rotten in the state of Denmark..,2022-02-17,1.0,Equity Analyst,Salary - right up until bonus season..,"Macho management culture
Organizational silos
No loyalty to employees
Lack of ethics"
36,Nordea Bank,salary,2022-02-17,5.0,Anonymous Employee,easy and non stress full work.,It can be a little too much of the same
37,Nordea Bank,Part-time salary,2022-02-15,4.0,Working Student,"- nice atmosphere
- flexible working hours",- not super interesting work experience
38,Nordea Bank,Nordea,2022-02-13,4.0,Expert Developer,"Nordic bank and lots of exposure
Multi cultural environment",Promotion difficult and it's difficult to switch positions if your are an expert in Poland. You simply highired for the the job
39,Nordea Bank,Opportunities limited,2022-02-11,3.0,Anonymous Employee,"Nice venues
Mostly nice people working there","Opportunities to grow is very limited
Feeling of working in silos
Sallary not competetive"
40,Nordea Bank,Service adviser,2022-02-09,3.0,Customer Service Adviser,Great colleagues and manager. Only working day time. Low interest rate on mortgages.,Pretty low salary. Difficult to get a higher pay. Not possible to negotiate about the number of vacation days.
41,Nordea Bank,Excellent People,2022-02-09,5.0,Anonymous Employee,At Nordea I felt valued as an employee and a colleague.,"At some point the income increase seemed too low, not as competitive."
42,Nordea Bank,Great work-life balance,2022-02-09,5.0,Senior IT Developer,"- up to date stack
- work-life balance
-great people","- bonuses
- hybrid work after pandemic"
43,Nordea Bank,Review,2022-02-07,3.0,Specialist,Ok place to work for.,Not many opportunities to develop.
44,Nordea Bank,Great,2022-02-07,4.0,Senior Agile Coach,Great place to work in,"No bounces 
Leadership is not great"
45,Nordea Bank,Great company,2022-02-07,5.0,Anonymous Employee,"Work life balance, Salary, people management","Can be lots of reorganisation, HR doesn’t remove bad leaders"
46,Nordea Bank,"Great culture, but too many org changes",2022-02-06,4.0,Capital Risk Analyst,"Culture, people put the hard work and it’s very international and pushes for more gender balance",Sometimes it’s too corporate and cost cuttings are the religion
47,Nordea Bank,Good place to work,2022-02-03,4.0,Senior Risk Analyst,"Good pay, good colleagues and good work environment.",Work life balance could be better.
48,Nordea Bank,Nordic Bank,2022-02-03,3.0,Consultant,Great work environment. Agile. Positive.,Too much bureaucracy. Mediocre leadership
49,Nordea Bank,Great,2022-02-02,4.0,Database Expert,Great company to work with,Nothing in my mind at the moment
50,Nordea Bank,review,2022-02-02,4.0,Anonymous Employee,good salary an environmet as well as career growth,note very big in sweden
51,Nordea Bank,Review,2022-02-01,4.0,Quant,"Good working environment and working hours
Salary and benefits are also pretty good",Not much career development for quants
52,Nordea Bank,Customer Advisor,2022-02-01,4.0,Customer Advisor,"Relaxed atmosphere, not a lot of over-time hours.","Customers are rude, and repetitive, and they do not listen to you."
53,Nordea Bank,very nordic company,2022-01-31,2.0,Senior Quantitative Analyst,very good life work balance,not typical bank performance oriented in terms of salary
54,Nordea Bank,A fine place,2022-01-30,5.0,Business Development,"- flexible working environment
- varied task load
- great colleagues
- challenging subject matter","- cumbersome regulatory environment
- slow to change"
55,Nordea Bank,Slow,2022-01-30,2.0,Information Technology Manager,"Many nice colleagues, infinite resources","Slow and rigid, no clear reporting line. Too hierarchy and management is old school. No proper inclusion in top management"
