,company,headline,date,overall_rating,author_position,pros,cons
0,Nubank,Great Place,2022-04-01,5.0,Business Analyst,Great place to work. Friendly and smart people.,Leadership is a little bit unexperienced sometimes
1,Nubank,N/a,2022-03-28,5.0,Senior Software Engineer,"Great place to work, love the company.","Pay more for engineering, salary according to company place in the world."
2,Nubank,good company,2022-03-22,4.0,Internal auditor specialista,"Nubank has an amazing culture, you can learn a lot here.","Yet we still have a lot of daily working hours, exceeds 11 hours a day."
3,Nubank,Great place poor middle management,2022-03-04,4.0,Senior Business Analyst,"- Great culture
- Takes innovation really seriously
- Amazing place to contribute through projects and to learn fast","- Middle management is poorly prepared and mostly comes from other banks with very different culture
- Lack of career opportunities
- Diversity only happens on low level hierarchy"
4,Nubank,Very fast paced environment,2022-02-28,3.0,Customer Experience Coordinator,You can develop yourself very quickly having many people from different departments working together. You can also work on various projects.,"With a lot of things going on simultaneously, you usually have to work too many hours a day (much more than 8h), and it isn't easy to focus as you are working on many projects at the same time."
5,Nubank,Nubank,2022-02-23,3.0,Senior Business Analyst,"Multilngual company, workers with high quality",Compensation is not a transparent process. Transparency is definitely thing that lacks the most in this process. Has a lot of managers from other countries who have completely different ranges of salary for the same functions.
6,Nubank,Good,2022-02-12,4.0,Senior Data Scientist,"- Very talented people
- Great infrastructure
- Transparency of overall business results and strategy
- A lot of opportunities to innovate","- Older areas of the company are already accumulating a lot of technical debts, bureaucracy and inertia to innovate, which tends to worsen with the hyper growth.

- Very individualistic working culture in some BUs, where there is no such thing as shared ownerships and there is little incentive to collaborate."
7,Nubank,Awesome place to work!,2022-01-31,5.0,Product Manager,Amazing culture... srly you won't believe if I tell you,don't know yet... but definitely the best place I've ever worked
8,Nubank,Awesome growth and impact,2022-01-31,4.0,Software Engineer,"- Surrounded by incredible people;
- Standardized tech stack (clojure, datomic, kafka, kubernetes, ...);
- Strong culture always supporting the best decision making;
- Fast deliveries;","- Too much firefighting in some teams;
- Low comp considering on-call duties;
- Nice people leaving the company after IPO."
9,Nubank,"Inclusive and trusting environment, but poor compensation and transparency",2022-01-13,3.0,Finance Specialist,"- Inclusive environment
- Trusting environment: confidential information is shared first-hand with most employees.","- Deferred compensation in the form of restricted share units (RSUs) leaves little room for portfolio diversification. It also breeds a number of workers to stay only to accrue the time-deferred benefits.
- The increased size and public opening have led to a significant increase in bureaucracy and decrease in transparency."
10,Nubank,"Great culture, poor coaching",2021-12-19,4.0,Learning Partner,"Great culture, exposure to hypergrowth environment, demanding atmosphere.",The definition for my role changed drastically and I received precious little coaching to get me ready for this challenge.
11,Nubank,Best place I have worked at,2021-12-02,5.0,Senior Business Developer,"amazing culture, horizontal structure, creative and innovative. Open feedback culture, inspiring leadership, highly collaborative environment",Slow at shipping products - need to find balance between collaboration and fast decision making
12,Nubank,Good,2021-12-01,4.0,Business Architect,"Work environment, culture, salary, colleagues","Annual Bonus, benefits, Health and Dental Insurance, Meal Allowance, recognition"
13,Nubank,Best company to work at Brazil,2021-11-29,5.0,Engineering Manager,"salary, culture, open mind , flexibility",could be better in the annual planning
14,Nubank,Great culture,2021-11-21,5.0,Product Manager,"Flexible schedule 
Great working environment 
Lots of talented people 
Inspiring work",Lack of structured processes in the product development cycle sometimes
15,Nubank,Good place to work and learn,2021-11-18,4.0,Associate Business Analyst Manager,"Great team, tools to do analytics and projects",Poor transparency on performance reviews. Salary breaches depending citizenship.
16,Nubank,I love,2021-11-11,5.0,Administration,Is a good company for work,"I don´t have cos things, i love this company"
17,Nubank,Great company,2021-11-05,5.0,Team Leader,"Great benefits. Great job, great people","Nothing they are great, the best"
18,Nubank,Great place to work,2021-10-31,5.0,Marketing Analytics Senior Analyst,Great culture and great professionals.,Haven't experienced any cons yet.
19,Nubank,"At the head of the spear of technology, good place to learn, but still has many issues with management.",2021-10-29,3.0,Business Analyst,"The company is very tech oriented. Offers an experience not very often seen, with the sheer amount of data and big data processing it is possible to be extremely data driven, and make very accurate decisions. Has a decent career plan, but with every year that passes promotions become more difficult, which may be a good thing (for the reason pontes below). Has a competitive fixed compensation","Heterogeneity in management. Some areas have very competent people, but others have really inexperienced managers, which hugely deteriorates the life of ICs in general, and reduces the learning curve. Also, some areas have the expected nubank culture, but others seem more like a consultant firm than a startup. The variable compensation in stocks (at least the way it is today) will be mediocre in the coming future. With the company size now it would make more sense to give other types of bonuses. Also the benefits are lagging behind, at least for BAs."
20,Nubank,Great company,2021-10-27,5.0,Anonymous Employee,"Plenty opportunities inside the company, no matter your position.",Teams always overloaded due to the high pace the company is growing.
21,Nubank,Awesome place to work,2021-10-22,5.0,Senior Product Manager,Awesome place to work in Brazil,No cons right now .
22,Nubank,Amazing Work Place,2021-10-13,5.0,Senior Technical Recruiter,I love to work here and have an amazing work environment,"Now with the pandemic, Nubank is still figuring out how to proceed with remote work x hybrid"
23,Nubank,Best Company,2021-10-06,5.0,Program Manager,"Culture, benefits, autonomy, leadership, people.",Nothing that I could remember now.
24,Nubank,Great place to work,2021-09-29,5.0,Senior Business Analyst,"- Competitive compensation
- Good place to develop soft and hard skills",- Too many hours of work
25,Nubank,Great company,2021-09-25,5.0,Customer Service Representative,Great pay and motivation for workers.,There are a lot of meetings.
26,Nubank,Nubank,2021-09-23,5.0,Brand Manager,"Great place to work at, diverse, human and challenging towards building the best customer centric experience.",Challenging to work from home.
27,Nubank,Amazing company,2021-09-16,5.0,Technical Recruiter,"- Culture
- People
- Teamwork
- Organization
- Product
- Salaries
- Professional growth
- Company’s growth in the market",I´m not so sure yet
28,Nubank,"good company, culture has changed",2021-08-30,4.0,Product Marketing Manager,"customer focused company, high level professionals","increasing hierarchy fast, decreasing autonomy. slowing down product development and innovation."
29,Nubank,"Really strong team, great culture",2021-07-19,5.0,Business Analyst,"- Really smart people working there
- Great culture. People really live the values.","- It has grown a lot so if someone is looking for a small start-up, this isn't the place"
