,company,headline,date,overall_rating,author_position,pros,cons
0,OCBC Bank,Good and fun,2022-04-07,3.0,Business Banking Manager,"Great opportunities, fast paced environment, friendly colleagues","Stresfull, requires time management skills"
1,OCBC Bank,....,2022-04-06,4.0,Executive,Supportive culture at OCBC Bank,Lack of work life balance
2,OCBC Bank,over load like hell,2022-04-06,1.0,AML Officer,"benefit ok , salary ,",too much work . company slow and control budget to hire people
3,OCBC Bank,Bad dev environment,2022-04-05,2.0,Senior Android Developer,Good annual leave and flex,A lot of process no internet tough for developer
4,OCBC Bank,Stressful workplace,2022-04-05,3.0,Bank Officer,A reputable company which foreign workers are easy to get PR from,Workload is more than what the current headcount able to handle. Staffs are expected to work significant OT and over the weekend to complete task.
5,OCBC Bank,Long hours,2022-04-04,2.0,Assistant Vice President,"Plenty of job opportunities, always hiring","Mon-Thurs official working hours 9am-6.30pm and Fri is 9am-5.30pm.
Always have to work late coz given work at last minute with deadline to meet.
The staff who are there for many years are not easy to work with, on surface is friendly to you but actually not too collaborative. 
Too many unconventional accroyms to remember"
6,OCBC Bank,nice workplace,2022-04-04,5.0,Project Manager,nice workplace and nice co workers,not good salary and not good workplace
7,OCBC Bank,"Family friendly , good support for growth. But stagnant role",2022-04-03,4.0,Business Banking Manager,"- Supportive environment 
- Helpful bosses and Great colleagues",- Stagnant path for career growth
8,OCBC Bank,Good,2022-04-02,4.0,Manager,Very good working environment! Good,No no no no no
9,OCBC Bank,Good culture,2022-04-02,4.0,Loans Officer,"Overall, the culture is good. Managers and colleagues are understanding and welcoming. There won’t be a forceful retrenchment unless it’s a last resort but I have never seen it in my years of working for the company.",The pay increments aren’t fantastic but it’s acceptable.
10,OCBC Bank,Good benefits,2022-04-02,3.0,Customer Service Manager,good benefits in terms of leaves and medical,"Lousy OT pay 
Overworked staff
Ever changing KPI"
11,OCBC Bank,Great culture,2022-04-01,4.0,Relationship Manager,Nice people and great culture,"Poor pay, compensation and bonus"
12,OCBC Bank,Nice company,2022-03-31,5.0,Operations Supervisor,package and benefit is good,long working hour and workload more
13,OCBC Bank,Good culture,2022-03-31,4.0,Business Banking Credit Processor,Family oriented company with moderate pay,Local bank with lesser competitive market
14,OCBC Bank,Decent job environment,2022-03-30,3.0,Client Advisor Assistant,"good leave benefits, good managers","traditional culture, need to keep up with the times"
15,OCBC Bank,Kills your desire to be better,2022-03-30,3.0,Anonymous Employee,"Good miscellaneous benefits, like healthcare","If you have hunger to achieve, it will disappear here.
Good place to retire"
16,OCBC Bank,Horrible OT,2022-03-29,3.0,Credit Risk Analyst,Good colleagues who are there to help you. Family culture.,Superiors are not nderstanding. Expect you to work and not maintain your life. Had to work 7 days a week.
17,OCBC Bank,Mentality,2022-03-29,3.0,Fee Based Associate,In my dept i had a good colleague,The bosses is micromanage and so rude to the staff. Selfish and low class mentality. No trust to the staff. Workflow is too slow
18,OCBC Bank,Stagnant,2022-03-28,3.0,Relationship Manager,"-good medical benefit
-good wfh arrangements 
-flexibility","-stagnant 
-lack of people touch 
-slow in promotion and progress
-low increment & bonus"
19,OCBC Bank,Stressful,2022-03-28,2.0,Business Development Manager,"High pay with hardwork, taking a break will affect performance","Pressure to reach target, no sympathy"
20,OCBC Bank,Stressful,2022-03-28,2.0,Business Development Manager,"High pay with hardwork, taking a break will affect performance","Pressure to reach target, no sympathy"
