,company,headline,date,overall_rating,author_position,pros,cons
0,,Good Place to Work,2022-04-14,5.0,Anonymous Employee,"Flexibility, benefits, team environment, autonomy.",Unsure at this current time
1,,Internal Sales Specialist,2022-04-13,5.0,Internal Sales Specialist,"Amazing leaders and training process
Very flexible PTO schedules",Small sales offices - not really a con!
2,,Dental,2022-04-13,4.0,Customer Service Representative,The trainers when you first start are awesome!,Having to have a set Internet speed requirement
3,,"Company is great, tech is average.",2022-04-11,5.0,Senior Java Developer,"1. Great atmosphere.
2. Great People
3. Great Benefits.
4. Great leaders.
5. Great job security","1. Tech stacks.
2. Work pressure.
3. Extra times.
4. On-Call support"
4,,Not great,2022-04-11,2.0,Finance,"Not too stressful, some nice people.",Pay is not the best.
5,,It Ok but could be better,2022-04-09,3.0,Retirement Specialist II,"great benefits
great hours and can make your own schedule depending on business needs
managers are pretty great",bonus we recently got was mostly given to CEO and higher ups. by the time it got to regular workers its wasn't that great. Higher ups will constantly say take time but will hold it against you especially on Mondays. terrible work-life balance .people constantly leave because we have no incentive to keep working and find higher paying jobs somewhere else
6,,Great Place to work,2022-04-09,4.0,Administrative Assistant,Took good care of employees,Long term strategy to grow businesses outside of USA unplanned
7,,Great company,2022-04-08,5.0,Senior Talent Consultant,This is a place you can build your career.,I don’t have any cons right now
8,,"Good company, could pay better",2022-04-08,4.0,Software Engineer,"Pension, 401k match, employee stock purchase program.",Base pay lacks compared to the industry for jobs of the same title and function.
9,,Good,2022-04-08,4.0,Analyst,"Work life balance, good hike","depends on team , if there is attrition in team, need to work more"
10,,Great Company culture,2022-04-08,4.0,Operation Officer,"Fair salary, comfortable work environment, work life balance",May not have much to learn
11,,Good for Work Life Balance,2022-04-07,5.0,Trainee Engineer,"Work Life Balance, Good Compensation as compared to service based companies, Employee Centric, Now moving to new technologies","Most of the applications are on old tech stacks, for some teams timings are usa based(means it ends  around 10pm in night).
Not much development work, most of the teams are maintaing old applications.
Tech allocation is random and in some cases you won't get work in tech in which you got training."
12,,Pay More Please,2022-04-06,2.0,Compliance Analyst,good culture depending on what team you're on,"pay is wayyyy below market rate
management clearly doesn't care about employees like they did in the 90's-early 2000's
regularly taking away employee benefits
overall job satisfaction is down internally"
13,,"Good company, some room for improvement",2022-04-05,4.0,STD Claims Examiner II,"Great work environment, flexible hours, good benefits, trust among employees","Unstable work situation, pay could be better, not always room for advancement"
14,,incredibly poor work/life balance,2022-04-05,2.0,Client Implementation Manager,Flexibility to work from anywhere,"Poor work/life balance, low pay for the stress level.

Upper management does not seem to care

Company has extremely poor retention and overloads employees that choose to stay. I witnessed people crying at their desks and quitting without notice on a near weekly basis due to the absurd stress level"
15,,Work life balance is good,2022-04-04,4.0,Senior Developer,"Work life balance, good technology","Not fair review system , Less prmotion"
16,,Good Company to work,2022-04-04,4.0,Analyst,Good Work Life balance good hike,Not found till now ...
17,,Love this company,2022-03-31,5.0,Assistant Director of Operations,"Great benefits, flexible work environment, ethical, and strong executive management group",Lower pay than some companies
18,,Roles constantly changing,2022-03-31,4.0,Processing Specialist II,Lots of opportunities for overtime,"Unrealistic efficiency standards, hard to reach goal."
19,,Software Engineer,2022-03-28,4.0,Software Engineer,"good benefits, good schedule, flexibility, good atmosphere","many meetings
many normative courses
many internet restrictions"
20,,It,2022-03-28,4.0,IT Helpdesk Technician,"Great benefits, Training opportunities, Pension",Needs to adapt more modern practices
21,,Work environment,2022-03-27,2.0,Retirement Specialist,Work from home job for retirement company,"Way too stressful, micromanagement on every level"
22,,Striving to be average,2022-03-26,3.0,Systems Engineer,Stable company. Decent pay and benefits,"Trimming benefits annually to be more average. Pay is on the low side of average. Aspires to be a great place to work, but constantly blames market average for cuts to pay and benefits. Work loads are often not commensurate with pay."
23,,Poor Pay,2022-03-25,1.0,Software Engineer II,flexible work and remote options,"horrible pay once you've been there a while, yearly bumps are very small"
24,,"Great Place, a bit boring",2022-03-22,5.0,Software Engineer,"Treated like a human
Relaxed workplace
Realistic expectations",Boring work with frustrating requirements
25,,Best employer in the category,2022-03-22,5.0,Product Owner,"Best in class facilities , perks and work ethics",Sometime it takes time to pivot with fast Changing industry
26,,Good Company Culture,2022-03-22,3.0,Risk Analyst,"Good location, great and friendly people.","Small team in London, average career guidance."
27,,Nice company to build a career,2022-03-21,4.0,Retirement Education,"Core values
Career opportunities
Average tenure of employees is very long
Training and support
A top competitor","Midwest mindset doesn't jive with field teams, especially on the coasts.
Large and slow"
28,,A good company,2022-03-20,5.0,Consultant,A good environment to work in. Supportive Leaders,So far the experience is good
29,,Good,2022-03-19,5.0,Process Specialist,"Good culture, salary is also good",You need learn by self no one will help you to improve
30,,Ok,2022-03-18,5.0,Client Service Associate,"Was ok, not good work balance","A lot of work, for ok ot."
31,,Banking,2022-03-17,4.0,Account Manager,Great place lovely place to work,Growth didn't happen initially and foreign promoter
32,,Good job out of college,2022-03-16,3.0,Retirement Specialist,"Good benefits, decent company match","Mandatory OT, Few and far between pay raises"
33,,Amazing flexibility and unlimited vacation,2022-03-15,4.0,Sourcing Consultant,"Flexible schedule, unlimited vacation, not micro-managed, open seating","A lot of department restructures, so potential of position being eliminated. Didn't get a lot of support or feedback during the year to know how I was doing with my performance."
34,,Future focused,2022-03-15,4.0,Senior Relationship Director,"A great company for employees on an individual level, with strong benefits and competitive pay compared to similar jobs in the area.","While the company has a strong future-focused mindset for the business, some of the back office teams struggle to keep up with the strategies, but are also hindered by slow development of support technology for internal functions."
35,,Best place to work,2022-03-15,5.0,IT Consultant,Very employee centric org and pays really well.,I haven't found any. 5 star on all points.
36,,"Decent, if you're on the right team",2022-03-14,4.0,Learning And Development Specialist,"Leadership makes the difference. I've been on great teams, on terrible teams. Average raise is 2% if you're rated successful, which is always a frustration in March, review time.","Sometimes you get stuck with a terrible leader and you are stuck for a year before you can change departments.

It's well known Principal under compensates people compared to thr market."
37,,Respectful Company,2022-03-14,4.0,Business Development Manager,"Benefits, Culture, Location, Employees, Volunteer Time-Off, Community Engagement","Large Company, not all Business Units have the same culture"
38,,Highly employee centric,2022-03-13,4.0,Financial Analyst,Great culture and work life balance,Shift timings and poor management
39,,Good company for growth,2022-03-13,4.0,Investment Analyst,"Good place to work, nice pay and you grow a lot as a professional.","Difficult to change areas, grow horizontally. Mostly a vertical place to grow."
40,,Not where you want to work,2022-03-12,3.0,Brokerage Associate II,"Great benefits, good work environment, many wonderful people.","Required overtime, lack of training and resources, lack of replacement of employees that leave. Increase in workload without increase in salary. Pay for your own work from home needs (computer monitors etc). Unclear expectations and path for growth of careers."
41,,Good work/life balance,2022-03-11,5.0,Retirement Education Specialist,Better work life balance than many competitors,Limited upside potential outside of Des Moines.
